Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
KNOKKE-HEIST - FH09;4337458;4;0;0;4;MDU;D;Y;NA;4;4;;"- Volgens CRAB zijn er hier 3 LU's
- Op Google Maps zijn er 4 bellen 4LU";Y;_;BUILDING template;August Beernaertstraat;7;;
KNOKKE-HEIST - FH09;302697;0;1;0;1;SDU;;N;IRREG;8;0;;;Y;_;BUILDING template;Louis Parentstraat;28;;
KNOKKE-HEIST - FH09;5559096;17;0;1;18;MDU;XA;Y;NA;10;4;;;Y;_;BUILDING template;Parkstraat;19;;Residentie Zeeparel
KNOKKE-HEIST - FH09;5561970;4;0;0;4;MDU;D;N;ORN;4;0;Beschermd Erfgoed;;Y;BE;BUILDING template;Louis Parentstraat;12;;
KNOKKE-HEIST - FH09;2756840;0;1;0;1;SDU;;N;IRREG;8;0;;;Y;_;BUILDING template;Zeedijk-Heist;206;;
KNOKKE-HEIST - FH09;5579232;0;1;0;1;SDU;;Y;NA;4;4;;"- Volgens CRAB is er hier 1 LU
- Op Google Maps een aparte nummer in hetzelfde gebouw 
1BU (zelfde gebouw als nr. 20)";Y;_;BUILDING template;Albatrosstraat;18;;
KNOKKE-HEIST - FH09;2756863;0;1;0;1;SDU;;N;IRREG;10;0;;;Y;_;BUILDING template;Zeedijk-Heist;241;;
KNOKKE-HEIST - FH09;5579278;6;0;1;7;MDU;XC;Y;NA;6;4;;;Y;_;BUILDING template;August Beernaertstraat;20;;
KNOKKE-HEIST - FH09;2756885;18;1;2;21;MDU;XA;N;IRREG;10;0;;;Y;_;BUILDING template;Zeedijk-Heist;262;;
KNOKKE-HEIST - FH09;5579355;9;1;1;11;MDU;XA;Y;NA;6;4;;"- Volgens CRAB zijn er hier 10 LU's
- Op Google Maps zijn er 10 appartementen (nr. 12 is hetzelfde gebouw maar aparte ingang voor winkel) 10LU +1SU";Y;_;BUILDING template;Eerste-Geniestraat;14;;Residentie Zeerust
KNOKKE-HEIST - FH09;5579365;8;0;2;10;MDU;XA;N;IRREG;9;0;;;Y;_;BUILDING template;Elizabetlaan;379;;
KNOKKE-HEIST - FH09;2759165;7;1;2;10;MDU;C;Y;NA;5;4;;;Y;_;BUILDING template;Duinenstraat;19;;
KNOKKE-HEIST - FH09;5579523;3;0;0;3;MDU;D;Y;NA;4;4;Beschermd Erfgoed;;Y;BE;BUILDING template;O.-L.-Vrouwstraat;4;;
KNOKKE-HEIST - FH09;5579526;0;1;0;1;SDU;;Y;NA;3;4;;;Y;_;BUILDING template;Louis Parentstraat;15;;
KNOKKE-HEIST - FH09;4018334;0;1;0;1;SDU;;Y;NA;10;4;;;Y;_;BUILDING template;Heldenplein;8;;
KNOKKE-HEIST - FH09;5579527;7;0;1;8;MDU;XA;N;IRREG;8;0;;"- Volgens CRAB zijn er hier 7 LU's
- Op Google Maps niet controleerbaar 7LU + 1SU";Y;_;BUILDING template;Louis Parentstraat;26;;
KNOKKE-HEIST - FH09;2756860;9;0;1;10;MDU;XA;N;IRREG;9;0;;;Y;XA want er is geen schacht in dit gebouw. - Check Jasper SSV oké;BUILDING template;Zeedijk-Heist;239;;
KNOKKE-HEIST - FH09;5579528;10;0;1;11;MDU;XA;Y;NA;10;4;;;Y;_;BUILDING template;Parkstraat;17;;Residentie Speranza
KNOKKE-HEIST - FH09;2759159;0;1;0;1;SDU;;Y;NA;5;4;;;Y;_;BUILDING template;Duinenstraat;11;;
KNOKKE-HEIST - FH09;4336994;1;0;0;1;SDU;;N;IRREG;8;0;;;Y;_;BUILDING template;Zeedijk-Heist;132;;
KNOKKE-HEIST - FH09;5579529;0;1;0;1;SDU;;Y;NA;8;4;;"- Volgens CRAB is er hier 1 LU
- Op Google Maps niet controleerbaar 1BU bij nr. 25";Y;_;BUILDING template;Parkstraat;23;;
KNOKKE-HEIST - FH09;4335302;0;1;0;1;SDU;;N;IRREG;10;0;;;;check Nancy :;BUILDING template;Heldenplein;15;;
