Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
HASSELT - FH09;2409576;1;0;0;1;SDU;;Y;NA;2;4;Boerenkrijgsingel9;;;;;BUILDING template;Boerenkrijgsingel;9;;;217205,486;179181,859
HASSELT - FH09;2425640;1;0;0;1;SDU;;Y;NA;2;4;Generaal Lemanstraat47;;;;;BUILDING template;Generaal Lemanstraat;47;;;218278,353;179118,735
HASSELT - FH09;2446204;1;0;0;1;SDU;;Y;NA;2;4;Vooruitzichtstraat41;;;;;BUILDING template;Vooruitzichtstraat;41;;;217729,855;179731,554
HASSELT - FH09;4894240;1;0;0;1;SDU;;Y;NA;2;4;A. Vivaldilaan16;;;;;BUILDING template;A. Vivaldilaan;16;;;217788,176;179409,526
HASSELT - FH09;706875;1;0;0;1;SDU;;Y;NA;2;4;Huidevetterslaan2;;;;;BUILDING template;Huidevetterslaan;2;;;217379,146;179209,087
HASSELT - FH09;76766;1;0;0;1;SDU;;Y;NA;2;4;Hefveldplein10;;;;;BUILDING template;Hefveldplein;10;;;217963,776;179327,267
HASSELT - FH09;2409578;6;0;0;6;MDU;;Y;NA;4;4;Boerenkrijgsingel13;;;;;BUILDING template;Boerenkrijgsingel;13;;;217196,595;179194,551
HASSELT - FH09;2425643;1;0;0;1;SDU;;Y;NA;2;4;Generaal Lemanstraat51;;;;;BUILDING template;Generaal Lemanstraat;51;;;218273,145;179112,623
HASSELT - FH09;2446208;1;0;0;1;SDU;;Y;NA;2;4;Vooruitzichtstraat43;;;;;BUILDING template;Vooruitzichtstraat;43;;;217737,115;179729,838
HASSELT - FH09;4894245;1;0;0;1;SDU;;Y;NA;2;4;A. Vivaldilaan18;;;;;BUILDING template;A. Vivaldilaan;18;;;217775,866;179398,665
HASSELT - FH09;706876;1;0;0;1;SDU;;Y;NA;2;4;Huidevetterslaan38;;;;;BUILDING template;Huidevetterslaan;38;;;217223,923;179326,333
HASSELT - FH09;76767;1;0;0;1;SDU;;Y;NA;2;4;Hefveldplein9;;;;;BUILDING template;Hefveldplein;9;;;217973,005;179329,851
HASSELT - FH09;2409581;1;0;0;1;SDU;;Y;NA;2;4;Boerenkrijgsingel17;;;;;BUILDING template;Boerenkrijgsingel;17;;;217184,181;179209,833
HASSELT - FH09;2425645;1;0;0;1;SDU;;Y;NA;2;4;Generaal Lemanstraat53;;;;;BUILDING template;Generaal Lemanstraat;53;;;218262,493;179096,722
HASSELT - FH09;2447083;1;0;0;1;SDU;;Y;NA;2;4;Weverslaan4;;;;;BUILDING template;Weverslaan;4;;;217273,704;179561,198
HASSELT - FH09;4894248;1;0;0;1;SDU;;Y;NA;2;4;A. Vivaldilaan19;;;;;BUILDING template;A. Vivaldilaan;19;;;217761,124;179382,977
HASSELT - FH09;706877;1;0;0;1;SDU;;Y;NA;2;4;Huidevetterslaan28;;;;;BUILDING template;Huidevetterslaan;28;;;217245,67;179303,762
HASSELT - FH09;76768;1;0;0;1;SDU;;Y;NA;2;4;Hefveldplein8;;;;;BUILDING template;Hefveldplein;8;;;217981,505;179331,813
HASSELT - FH09;2409584;1;0;0;1;SDU;;Y;NA;2;4;Boerenkrijgsingel21;;;;;BUILDING template;Boerenkrijgsingel;21;;;217177,029;179220,45
HASSELT - FH09;2425648;1;0;0;1;SDU;;Y;NA;2;4;Generaal Lemanstraat55;;;;;BUILDING template;Generaal Lemanstraat;55;;;218252,313;179081,698
HASSELT - FH09;2447084;1;0;0;1;SDU;;Y;NA;2;4;Weverslaan6;;;;;BUILDING template;Weverslaan;6;;;217202,793;179578,627
HASSELT - FH09;4894250;1;0;0;1;SDU;;Y;NA;2;4;A. Vivaldilaan20;;;;;BUILDING template;A. Vivaldilaan;20;;;217754,243;179375,928
HASSELT - FH09;706878;1;0;0;1;SDU;;Y;NA;2;4;Huidevetterslaan26;;;;;BUILDING template;Huidevetterslaan;26;;;217251,888;179302,189
HASSELT - FH09;76816;1;0;0;1;SDU;;Y;NA;2;4;Wolfgang Amadeus Mozartlaan23;;;;;BUILDING template;Wolfgang Amadeus Mozartlaan;23;;;217927,153;179219,124
HASSELT - FH09;2409587;1;0;0;1;SDU;;Y;NA;2;4;Boerenkrijgsingel23;;;;;BUILDING template;Boerenkrijgsingel;23;;;217174,481;179225,834
HASSELT - FH09;2425651;1;0;0;1;SDU;;Y;NA;2;4;Generaal Lemanstraat57;;;;;BUILDING template;Generaal Lemanstraat;57;;;218246,258;179078,705
HASSELT - FH09;2447085;1;0;0;1;SDU;;Y;NA;2;4;Weverslaan7;;;;;BUILDING template;Weverslaan;7;;;217168,54;179577,343
HASSELT - FH09;4894254;1;0;0;1;SDU;;Y;NA;2;4;A. Vivaldilaan22;;;;;BUILDING template;A. Vivaldilaan;22;;;217766,084;179358,787
HASSELT - FH09;706879;1;0;0;1;SDU;;Y;NA;2;4;Kruisherenlaan1;;;;;BUILDING template;Kruisherenlaan;1;;;217478,528;179357,128
HASSELT - FH09;79701;1;0;0;1;SDU;;Y;NA;2;4;Hefveldstraat93;;;;;BUILDING template;Hefveldstraat;93;;;217804,803;179341,215
HASSELT - FH09;2409590;7;0;0;7;MDU;;Y;NA;4;4;Boerenkrijgsingel25;;;;;BUILDING template;Boerenkrijgsingel;25;;;217165,533;179230,721
HASSELT - FH09;2425654;1;0;0;1;SDU;;Y;NA;2;4;Generaal Lemanstraat61;;;;;BUILDING template;Generaal Lemanstraat;61;;;218221,728;179028,1
HASSELT - FH09;2447086;1;0;0;1;SDU;;Y;NA;2;4;Weverslaan9;;;;;BUILDING template;Weverslaan;9;;;217161,049;179556,945
HASSELT - FH09;4894256;1;0;0;1;SDU;;Y;NA;2;4;A. Vivaldilaan23;;;;;BUILDING template;A. Vivaldilaan;23;;;217770,519;179365,161
HASSELT - FH09;706880;1;0;0;1;SDU;;Y;NA;2;4;Kruisherenlaan3;;;;;BUILDING template;Kruisherenlaan;3;;;217470,944;179360,016
HASSELT - FH09;79702;1;0;0;1;SDU;;Y;NA;2;4;Hefveldstraat91;;;;;BUILDING template;Hefveldstraat;91;;;217833,956;179347,694
HASSELT - FH09;2409593;7;0;0;7;MDU;;Y;NA;4;4;Boerenkrijgsingel27;;;;;BUILDING template;Boerenkrijgsingel;27;;;217161,796;179239,068
HASSELT - FH09;2425657;1;0;0;1;SDU;;Y;NA;2;4;Generaal Lemanstraat63;;;;;BUILDING template;Generaal Lemanstraat;63;;;218210,333;179009,781
HASSELT - FH09;2447087;1;0;0;1;SDU;;Y;NA;2;4;Weverslaan10;;;;;BUILDING template;Weverslaan;10;;;217199,936;179548,325
HASSELT - FH09;4894270;1;0;0;1;SDU;;Y;NA;2;4;Hefveldstraat86;;;;;BUILDING template;Hefveldstraat;86;;;217905,704;179353,853
HASSELT - FH09;706881;1;0;0;1;SDU;;Y;NA;2;4;Kruisherenlaan13;;;;;BUILDING template;Kruisherenlaan;13;;;217440,705;179382,4
HASSELT - FH09;79703;1;0;0;1;SDU;;Y;NA;2;4;Hefveldstraat75;;;;;BUILDING template;Hefveldstraat;75;;;217893,033;179373,969
HASSELT - FH09;2409595;0;1;0;1;SDU;;Y;NA;2;4;Boerenkrijgsingel31;;;;;BUILDING template;Boerenkrijgsingel;31;;;217153,422;179255,111
HASSELT - FH09;2426452;1;0;0;1;SDU;;Y;NA;2;4;Luikersteenweg133;;;;;BUILDING template;Luikersteenweg;133;;;218350,422;179377,335
HASSELT - FH09;2449365;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan1;;;;;BUILDING template;Arnold van Loonlaan;1;;;218601,589;178875,968
HASSELT - FH09;4894278;1;0;0;1;SDU;;Y;NA;2;4;Hefveldstraat85;;;;;BUILDING template;Hefveldstraat;85;;;217848,429;179364,269
HASSELT - FH09;706882;1;0;0;1;SDU;;Y;NA;2;4;Kruisherenlaan16;;;;;BUILDING template;Kruisherenlaan;16;;;217426,669;179357,776
HASSELT - FH09;880764;0;1;0;1;SDU;;Y;NA;2;4;Sint-Truidersteenweg117;;;;;BUILDING template;Sint-Truidersteenweg;117;;;217707,988;179634,662
HASSELT - FH09;2409597;1;0;0;1;SDU;;Y;NA;2;4;Boerenkrijgsingel33;;;;;BUILDING template;Boerenkrijgsingel;33;;;217149,351;179259,588
HASSELT - FH09;2426467;1;0;0;1;SDU;;Y;NA;2;4;Luikersteenweg143;;;;;BUILDING template;Luikersteenweg;143;;;218483,825;179336,98
HASSELT - FH09;2449368;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan2;;;;;BUILDING template;Arnold van Loonlaan;2;;;218680,813;178890,649
HASSELT - FH09;4894280;1;0;0;1;SDU;;Y;NA;2;4;Hefveldstraat87;;;;;BUILDING template;Hefveldstraat;87;;;217843,903;179358,923
HASSELT - FH09;706883;1;0;0;1;SDU;;Y;NA;2;4;Kruisherenlaan2;;;;;BUILDING template;Kruisherenlaan;2;;;217512,85;179296,641
HASSELT - FH09;934926;17;0;0;17;MDU;;Y;NA;4;4;Boerenkrijgsingel63;;;;;BUILDING template;Boerenkrijgsingel;63;;;216875,806;179640,722
HASSELT - FH09;2409601;1;0;0;1;SDU;;Y;NA;2;4;Boerenkrijgsingel39;;;;;BUILDING template;Boerenkrijgsingel;39;;;217072,926;179360,994
HASSELT - FH09;2426481;1;0;0;1;SDU;;Y;NA;2;4;Luikersteenweg153;;;;;BUILDING template;Luikersteenweg;153;;;218529,848;179275,16
HASSELT - FH09;2449370;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan4;;;;;BUILDING template;Arnold van Loonlaan;4;;;218664,009;178878,523
HASSELT - FH09;4894286;1;0;0;1;SDU;;Y;NA;2;4;Hefveldstraat95;;;;;BUILDING template;Hefveldstraat;95;;;217800,898;179335,264
HASSELT - FH09;706884;1;0;0;1;SDU;;Y;NA;2;4;Kruisherenlaan4;;;;;BUILDING template;Kruisherenlaan;4;;;217460,059;179333,003
HASSELT - FH09;934927;15;0;0;15;MDU;;Y;NA;4;4;Boerenkrijgsingel65;;14 Units in CRAB, aantal onduidelijk in GM.;;;BUILDING template;Boerenkrijgsingel;65;;;216864,439;179658,542
HASSELT - FH09;2409604;1;0;0;1;SDU;;Y;NA;2;4;Boerenkrijgsingel41;;;;;BUILDING template;Boerenkrijgsingel;41;;;217058,734;179375,774
HASSELT - FH09;2426500;1;0;0;1;SDU;;Y;NA;2;4;Luikersteenweg169;;;;;BUILDING template;Luikersteenweg;169;;;218601,552;179172,93
HASSELT - FH09;2449372;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan8;;;;;BUILDING template;Arnold van Loonlaan;8;;;218659,901;178872,25
HASSELT - FH09;4894302;1;0;0;1;SDU;;Y;NA;2;4;L. v. Beethovenlaan12;;;;;BUILDING template;L. v. Beethovenlaan;12;;;217852,387;179241,386
HASSELT - FH09;706885;1;0;0;1;SDU;;Y;NA;2;4;Kruisherenlaan18;;;;;BUILDING template;Kruisherenlaan;18;;;217406,976;179375,019
HASSELT - FH09;934928;15;0;0;15;MDU;;Y;NA;4;4;Boerenkrijgsingel67;;14 Units in CRAB, aantal onduidelijk in GM.;;;BUILDING template;Boerenkrijgsingel;67;;;216850,828;179681,794
HASSELT - FH09;2409610;1;0;0;1;SDU;;Y;NA;2;4;Boerenkrijgsingel47;;;;;BUILDING template;Boerenkrijgsingel;47;;;217023,191;179421,558
HASSELT - FH09;2426511;1;0;0;1;SDU;;Y;NA;2;4;Luikersteenweg181;;;;;BUILDING template;Luikersteenweg;181;;;218655,331;179096,86
HASSELT - FH09;2449375;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan9;;;;;BUILDING template;Arnold van Loonlaan;9;;;218525,599;178829,234
HASSELT - FH09;4894303;1;0;0;1;SDU;;Y;NA;2;4;L. v. Beethovenlaan14;;;;;BUILDING template;L. v. Beethovenlaan;14;;;217859,392;179237,108
HASSELT - FH09;706887;1;0;0;1;SDU;;Y;NA;2;4;Boerenkrijgsingel37;;;;;BUILDING template;Boerenkrijgsingel;37;;;217075,834;179353,596
HASSELT - FH09;934929;17;0;0;17;MDU;;Y;NA;4;4;Boerenkrijgsingel69;;16 Units in CRAB, aantal onduidelijk in GM.;;;BUILDING template;Boerenkrijgsingel;69;;;216841,18;179699,799
HASSELT - FH09;2409611;1;0;0;1;SDU;;Y;NA;2;4;Boerenkrijgsingel49;;;;;BUILDING template;Boerenkrijgsingel;49;;;217011,086;179436,217
HASSELT - FH09;2426513;1;0;0;1;SDU;;Y;NA;2;4;Luikersteenweg183;;;;;BUILDING template;Luikersteenweg;183;;;218658,944;179089,52
HASSELT - FH09;2449377;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan12;;;;;BUILDING template;Arnold van Loonlaan;12;;;218640,166;178857,685
HASSELT - FH09;4894308;1;0;0;1;SDU;;Y;NA;2;4;L. v. Beethovenlaan3;;;;;BUILDING template;L. v. Beethovenlaan;3;;;217802,206;179273,251
HASSELT - FH09;706888;1;0;0;1;SDU;;Y;NA;2;4;Boerenkrijgsingel43;;;;;BUILDING template;Boerenkrijgsingel;43;;;217055,141;179382,916
HASSELT - FH09;2409615;1;0;0;1;SDU;;Y;NA;2;4;Boerenkrijgsingel55;;;;;BUILDING template;Boerenkrijgsingel;55;;;216987,894;179463,449
HASSELT - FH09;2426515;0;1;0;1;SDU;;Y;NA;2;4;Luikersteenweg185;;;;;BUILDING template;Luikersteenweg;185;;;218657,36;179070,095
HASSELT - FH09;2449380;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan13;;;;;BUILDING template;Arnold van Loonlaan;13;;;218505,804;178815,567
HASSELT - FH09;4894310;1;0;0;1;SDU;;Y;NA;2;4;L. v. Beethovenlaan13;;;;;BUILDING template;L. v. Beethovenlaan;13;;;217828,755;179228,865
HASSELT - FH09;706889;1;0;0;1;SDU;;Y;NA;2;4;Boerenkrijgsingel45;;;;;BUILDING template;Boerenkrijgsingel;45;;;217040,23;179403,653
HASSELT - FH09;2409828;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat123;;;;;BUILDING template;Boomkensstraat;123;;;217598,288;179772,041
HASSELT - FH09;2426523;0;1;0;1;SDU;;Y;NA;2;4;Luikersteenweg193;;;;;BUILDING template;Luikersteenweg;193;;;218732,327;178979,42
HASSELT - FH09;2449383;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan15;;;;;BUILDING template;Arnold van Loonlaan;15;;;218491,777;178805,955
HASSELT - FH09;4894312;1;0;0;1;SDU;;Y;NA;2;4;L. v. Beethovenlaan21;;;;;BUILDING template;L. v. Beethovenlaan;21;;;217858,968;179201,978
HASSELT - FH09;706890;1;0;0;1;SDU;;Y;NA;2;4;Boerenkrijgsingel51;;;;;BUILDING template;Boerenkrijgsingel;51;;;217005,609;179441,386
HASSELT - FH09;2409829;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat124;;;;;BUILDING template;Boomkensstraat;124;;;217621,068;179762,207
HASSELT - FH09;2426528;1;0;0;1;SDU;;Y;NA;2;4;Luikersteenweg195;;;;;BUILDING template;Luikersteenweg;195;;;218738,998;178951,771
HASSELT - FH09;2449385;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan16;;;;;BUILDING template;Arnold van Loonlaan;16;;;218620,803;178844,412
HASSELT - FH09;4894313;1;0;0;1;SDU;;Y;NA;2;4;L. v. Beethovenlaan23;;;;;BUILDING template;L. v. Beethovenlaan;23;;;217865,897;179202,48
HASSELT - FH09;706891;1;0;0;1;SDU;;Y;NA;2;4;Boerenkrijgsingel53;;;;;BUILDING template;Boerenkrijgsingel;53;;;216994,466;179458,358
HASSELT - FH09;2409830;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat125;;;;;BUILDING template;Boomkensstraat;125;;;217596,089;179764,063
HASSELT - FH09;2428324;0;1;0;1;SDU;;Y;NA;2;4;Sint-Martinusplein1;;;;;BUILDING template;Sint-Martinusplein;1;;;218503,095;179103,717
HASSELT - FH09;2449387;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan17;;;;;BUILDING template;Arnold van Loonlaan;17;;;218485,284;178802,953
HASSELT - FH09;4894319;1;0;0;1;SDU;;Y;NA;2;4;Hefveldstraat98;;;;;BUILDING template;Hefveldstraat;98;;;217833,181;179318,092
HASSELT - FH09;706892;1;0;0;1;SDU;;Y;NA;2;4;Boerenkrijgsingel61;;;;;BUILDING template;Boerenkrijgsingel;61;;;216953,953;179498,661
HASSELT - FH09;2409831;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat127;;;;;BUILDING template;Boomkensstraat;127;;;217594,764;179759,145
HASSELT - FH09;2428332;32;3;0;35;MDU;;Y;NA;4;4;Sint-Martinusplein4;;Bestaat niet in CRAB en GM, is onderverdeeld in 4A, 4B en 4C;;;BUILDING template;Sint-Martinusplein;4;;;218518,824;178977,185
HASSELT - FH09;2449391;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan19;;;;;BUILDING template;Arnold van Loonlaan;19;;;218470,752;178796,79
HASSELT - FH09;4894340;1;0;0;1;SDU;;Y;NA;2;4;Teschlaan12;;;;;BUILDING template;Teschlaan;12;;;217761,162;179212,878
HASSELT - FH09;706893;0;1;0;1;SDU;;Y;NA;2;4;Boerenkrijgsingel35;;;;;BUILDING template;Boerenkrijgsingel;35;;;217142,691;179262,872
HASSELT - FH09;2409834;3;0;0;3;MDU;;Y;NA;4;4;Boomkensstraat128;;;;;BUILDING template;Boomkensstraat;128;;;217616,66;179753,096
HASSELT - FH09;2428497;1;0;0;1;SDU;;Y;NA;2;4;Meiliedstraat1;;;;;BUILDING template;Meiliedstraat;1;;;218326,171;179234,144
HASSELT - FH09;2449395;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan22;;;;;BUILDING template;Arnold van Loonlaan;22;;;218558,487;178804,375
HASSELT - FH09;4894350;1;0;0;1;SDU;;Y;NA;2;4;J.S. Bachlaan8;;;;;BUILDING template;J.S. Bachlaan;8;;;217913,056;179421,833
HASSELT - FH09;706894;3;0;0;3;MDU;;Y;NA;4;4;Boerenkrijgsingel5;;;;;BUILDING template;Boerenkrijgsingel;5;;;217214,571;179173,708
HASSELT - FH09;2409835;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat129;;;;;BUILDING template;Boomkensstraat;129;;;217593,739;179753,913
HASSELT - FH09;2428504;1;0;0;1;SDU;;Y;NA;2;4;Meiliedstraat3A;;;;;BUILDING template;Meiliedstraat;3;A;;218314,647;179253,479
HASSELT - FH09;2449396;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan24;;;;;BUILDING template;Arnold van Loonlaan;24;;;218551,801;178801,524
HASSELT - FH09;4894355;1;0;0;1;SDU;;Y;NA;2;4;J.S. Bachlaan16;;;;;BUILDING template;J.S. Bachlaan;16;;;217880,804;179458,921
HASSELT - FH09;706896;1;0;0;1;SDU;;Y;NA;2;4;Kleersnijderslaan16;;;;;BUILDING template;Kleersnijderslaan;16;;;217252,037;179181,942
HASSELT - FH09;2409836;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat137;;;;;BUILDING template;Boomkensstraat;137;;;217584,643;179726,542
HASSELT - FH09;2428512;1;0;0;1;SDU;;Y;NA;2;4;Meiliedstraat5;;;;;BUILDING template;Meiliedstraat;5;;;218310,047;179258,892
HASSELT - FH09;2449398;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan26;;;;;BUILDING template;Arnold van Loonlaan;26;;;218538,282;178791,764
HASSELT - FH09;4894356;1;0;0;1;SDU;;Y;NA;2;4;J.S. Bachlaan18;;;;;BUILDING template;J.S. Bachlaan;18;;;217875,42;179467,189
HASSELT - FH09;706897;1;0;0;1;SDU;;Y;NA;2;4;Kleersnijderslaan17;;;;;BUILDING template;Kleersnijderslaan;17;;;217249,082;179189,416
HASSELT - FH09;2409837;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat139;;;;;BUILDING template;Boomkensstraat;139;;;217584,913;179721,507
HASSELT - FH09;2428517;1;0;0;1;SDU;;Y;NA;2;4;Meiliedstraat6;;;;;BUILDING template;Meiliedstraat;6;;;218284,467;179229,802
HASSELT - FH09;2449405;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan30;;;;;BUILDING template;Arnold van Loonlaan;30;;;218518,194;178776,846
HASSELT - FH09;4894357;1;0;0;1;SDU;;Y;NA;2;4;J.S. Bachlaan20;;;;;BUILDING template;J.S. Bachlaan;20;;;217870,095;179474,907
HASSELT - FH09;706898;1;0;0;1;SDU;;Y;NA;2;4;Kleersnijderslaan18;;;;;BUILDING template;Kleersnijderslaan;18;;;217243,871;179195,061
HASSELT - FH09;2409841;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat141;;;;;BUILDING template;Boomkensstraat;141;;;217583,102;179717,542
HASSELT - FH09;2428519;1;0;0;1;SDU;;Y;NA;2;4;Meiliedstraat6A;;;;;BUILDING template;Meiliedstraat;6;A;;218280,215;179236,983
HASSELT - FH09;2449408;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan31;;;;;BUILDING template;Arnold van Loonlaan;31;;;218384,349;178775,073
HASSELT - FH09;4894370;1;0;0;1;SDU;;Y;NA;2;4;Wolfgang Amadeus Mozartlaan28;;;;;BUILDING template;Wolfgang Amadeus Mozartlaan;28;;;217955,28;179235,484
HASSELT - FH09;706899;1;0;0;1;SDU;;Y;NA;2;4;Kleersnijderslaan19;;;;;BUILDING template;Kleersnijderslaan;19;;;217243,641;179200,36
HASSELT - FH09;2409842;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat143;;;;;BUILDING template;Boomkensstraat;143;;;217582,611;179711,716
HASSELT - FH09;2428528;1;0;0;1;SDU;;Y;NA;2;4;Meiliedstraat7;;;;;BUILDING template;Meiliedstraat;7;;;218302,541;179271,344
HASSELT - FH09;2449411;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan33;;;;;BUILDING template;Arnold van Loonlaan;33;;;218366,815;178775,066
HASSELT - FH09;4894435;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat197;;;;;BUILDING template;Boomkensstraat;197;;;217537,541;179542,089
HASSELT - FH09;706900;1;0;0;1;SDU;;Y;NA;2;4;Kleersnijderslaan20;;;;;BUILDING template;Kleersnijderslaan;20;;;217236,988;179202,784
HASSELT - FH09;2409843;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat144;;;;;BUILDING template;Boomkensstraat;144;;;217604,152;179696,729
HASSELT - FH09;2428539;1;0;0;1;SDU;;Y;NA;2;4;Meiliedstraat11;;;;;BUILDING template;Meiliedstraat;11;;;218294,899;179292,808
HASSELT - FH09;2449413;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan34;;;;;BUILDING template;Arnold van Loonlaan;34;;;218498,095;178756,779
HASSELT - FH09;4894713;1;0;0;1;SDU;;Y;NA;2;4;Hefveldstraat57;;;;;BUILDING template;Hefveldstraat;57;;;218075,985;179547,908
HASSELT - FH09;706901;1;0;0;1;SDU;;Y;NA;2;4;Kleersnijderslaan21;;;;;BUILDING template;Kleersnijderslaan;21;;;217233,966;179208,141
HASSELT - FH09;2409844;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat146;;;;;BUILDING template;Boomkensstraat;146;;;217602,043;179691,684
HASSELT - FH09;2428543;1;0;0;1;SDU;;Y;NA;2;4;Meiliedstraat12;;;;;BUILDING template;Meiliedstraat;12;;;218259,217;179271,123
HASSELT - FH09;2449416;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan36;;;;;BUILDING template;Arnold van Loonlaan;36;;;218472,184;178752,444
HASSELT - FH09;4894749;2;0;0;2;MDU;;Y;NA;4;4;Bergstraat59;;;;;BUILDING template;Bergstraat;59;;;218187,084;179138,799
HASSELT - FH09;706902;1;0;0;1;SDU;;Y;NA;2;4;Kleersnijderslaan22;;;;;BUILDING template;Kleersnijderslaan;22;;;217230,603;179213,147
HASSELT - FH09;2409845;5;0;0;5;MDU;;Y;NA;4;4;Boomkensstraat149;;4 Units in CRAB, aantal onduidelijk in GM.;;;BUILDING template;Boomkensstraat;149;;;217576,869;179696,789
HASSELT - FH09;2428547;1;0;0;1;SDU;;Y;NA;2;4;Meiliedstraat14;;;;;BUILDING template;Meiliedstraat;14;;;218254,668;179277,4
HASSELT - FH09;2449417;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan40;;;;;BUILDING template;Arnold van Loonlaan;40;;;218374,928;178735,053
HASSELT - FH09;4894761;1;0;0;1;SDU;;Y;NA;2;4;Bergstraat79;;;;;BUILDING template;Bergstraat;79;;;218211,993;179081,13
HASSELT - FH09;706903;1;0;0;1;SDU;;Y;NA;2;4;Kleersnijderslaan23;;;;;BUILDING template;Kleersnijderslaan;23;;;217228,324;179218,944
HASSELT - FH09;2409846;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat152;;;;;BUILDING template;Boomkensstraat;152;;;217598,135;179677,418
HASSELT - FH09;2428555;1;0;0;1;SDU;;Y;NA;2;4;Meiliedstraat16;;;;;BUILDING template;Meiliedstraat;16;;;218243,126;179290,551
HASSELT - FH09;2449418;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan41;;;;;BUILDING template;Arnold van Loonlaan;41;;;218299,151;178782,373
HASSELT - FH09;4894764;1;0;0;1;SDU;;Y;NA;2;4;Bergstraat81;;;;;BUILDING template;Bergstraat;81;;;218212,853;179076,928
HASSELT - FH09;706904;1;0;0;1;SDU;;Y;NA;2;4;Kleersnijderslaan24;;;;;BUILDING template;Kleersnijderslaan;24;;;217224,749;179223,671
HASSELT - FH09;2409847;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat153;;;;;BUILDING template;Boomkensstraat;153;;;217573,73;179683,186
HASSELT - FH09;2428562;1;0;0;1;SDU;;Y;NA;2;4;Meiliedstraat17;;;;;BUILDING template;Meiliedstraat;17;;;218274,238;179319,283
HASSELT - FH09;2449421;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan42;;;;;BUILDING template;Arnold van Loonlaan;42;;;218354,133;178738,496
HASSELT - FH09;4894773;1;0;0;1;SDU;;Y;NA;2;4;Bergstraat14;;;;;BUILDING template;Bergstraat;14;;;218114,625;179410,237
HASSELT - FH09;706905;1;0;0;1;SDU;;Y;NA;2;4;Kleersnijderslaan25;;;;;BUILDING template;Kleersnijderslaan;25;;;217219,53;179227,163
HASSELT - FH09;2409848;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat154;;;;;BUILDING template;Boomkensstraat;154;;;217597,487;179672,044
HASSELT - FH09;2432362;1;0;0;1;SDU;;Y;NA;2;4;Notelarenstraat4;;;;;BUILDING template;Notelarenstraat;4;;;217530,026;179569,115
HASSELT - FH09;2449424;1;0;0;1;SDU;;Y;NA;2;4;Arnold van Loonlaan44;;;;;BUILDING template;Arnold van Loonlaan;44;;;218346,845;178737,551
HASSELT - FH09;4894774;1;0;0;1;SDU;;Y;NA;2;4;Bergstraat18;;;;;BUILDING template;Bergstraat;18;;;218121,937;179399,628
HASSELT - FH09;706906;1;0;0;1;SDU;;Y;NA;2;4;Kleersnijderslaan26;;;;;BUILDING template;Kleersnijderslaan;26;;;217217,788;179233,451
HASSELT - FH09;2409849;2;0;0;2;MDU;;Y;NA;4;4;Boomkensstraat156;;;;;BUILDING template;Boomkensstraat;156;;;217596,654;179666,624
