Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
HASSELT - FH09;5528350;1;0;0;1;SDU;;Y;NA;2;4;Kerkhofstraat80;;6 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Kerkhofstraat;80;;;217749;179497
HASSELT - FH09;5609868;1;0;0;1;SDU;;Y;NA;2;4;Walter Thijsstraat10;;18 Units in CRAB, lijken nieuwbouwblokken in GM.;;;BUILDING template;Walter Thijsstraat;10;;;218259;179388
HASSELT - FH09;5807861;1;0;0;1;SDU;;Y;NA;2;4;Roode Roosstraat15A;;in GM in aanbouw, volgens kadaster en CRAB nieuwbouw;;;BUILDING template;Roode Roosstraat;15;A;;218260;179544
HASSELT - FH09;5807862;1;0;0;1;SDU;;Y;NA;2;4;Roode Roosstraat15B;;in GM in aanbouw, volgens kadaster en CRAB nieuwbouw;;;BUILDING template;Roode Roosstraat;15;B;;218280;179533
HASSELT - FH09;5807863;1;0;0;1;SDU;;Y;NA;2;4;Roode Roosstraat15C;;in GM in aanbouw, volgens kadaster en CRAB nieuwbouw;;;BUILDING template;Roode Roosstraat;15;C;;218300;179526
HASSELT - FH09;5807864;1;0;0;1;SDU;;Y;NA;2;4;Roode Roosstraat15D;;in GM in aanbouw, volgens kadaster en CRAB nieuwbouw;;;BUILDING template;Roode Roosstraat;15;D;;218324;179522
HASSELT - FH09;6058742;1;0;0;1;SDU;;Y;NA;2;4;Kerkhofstraat27;;1Unit in CRAB, niet in GM.;;;BUILDING template;Kerkhofstraat;27;;;217739;179547
HASSELT - FH09;6058743;1;0;0;1;SDU;;Y;NA;2;4;Kerkhofstraat31;;1Unit in CRAB, niet in GM.;;;BUILDING template;Kerkhofstraat;31;;;217732;179530
HASSELT - FH09;6059895;1;0;0;1;SDU;;Y;NA;2;4;Kerkhofstraat29;;1Unit in CRAB, niet in GM.;;;BUILDING template;Kerkhofstraat;29;;;217734;179539
HASSELT - FH09;6142106;1;0;0;1;SDU;;Y;NA;2;4;Eikenstraat15;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Eikenstraat;15;;;217508;179756
HASSELT - FH09;6177247;1;0;0;1;SDU;;Y;NA;2;4;Kruisherenlaan31;;1 Unit in CRAB, Niet in GM.;;;BUILDING template;Kruisherenlaan;31;;;217318;179408
HASSELT - FH09;6182516;1;0;0;1;SDU;;Y;NA;2;4;Hefveldstraat44;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Hefveldstraat;44;;;218118;179542
HASSELT - FH09;6184883;1;0;0;1;SDU;;Y;NA;2;4;Pater Valentinuslaan10;;1 Unit in CRAB, Onduidelijk in GM.;;;BUILDING template;Pater Valentinuslaan;10;;;218460;178849
HASSELT - FH09;6193374;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat204;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Boomkensstraat;204;;;217562;179497
HASSELT - FH09;6196854;1;0;0;1;SDU;;Y;NA;2;4;Volderslaan11A;;verdeeld in 1 Unit 11 en 1 Unit 11A in CRAB en GM.;;;BUILDING template;Volderslaan;11;A;;217117;179666
HASSELT - FH09;6239983;1;0;0;1;SDU;;Y;NA;2;4;Roode Roosstraat1A;;in GM leeg perceel, volgens kadaster en CRAB nieuwbouw;;;BUILDING template;Roode Roosstraat;1;A;;218123;179498
HASSELT - FH09;6243340;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat175;;1 Unit in CRAB, Nieuwbouw in GM.;;;BUILDING template;Boomkensstraat;175;;;217561;179620
HASSELT - FH09;6328337;1;0;0;1;SDU;;Y;NA;2;4;Hefveldplein8A;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Hefveldplein;8;A;;217985;179334
HASSELT - FH09;6339447;1;0;0;1;SDU;;Y;NA;2;4;Hefveldstraat42;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Hefveldstraat;42;;;218125;179550
HASSELT - FH09;6352572;1;0;0;1;SDU;;Y;NA;2;4;Hollandsveldlaan32A;;1 Unit in CRAB en kadaster, onduidelijk in GM.;;;BUILDING template;Hollandsveldlaan;32;A;;218544;178956
HASSELT - FH09;6355012;1;0;0;1;SDU;;Y;NA;2;4;Sint-Martinusplein3;;1 Unit in CRAB en GM.;;;BUILDING template;Sint-Martinusplein;3;;;218493;179050
HASSELT - FH09;6355014;1;0;0;1;SDU;;Y;NA;2;4;Generaal Lemanstraat3A;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Generaal Lemanstraat;3;A;;218445;179349
HASSELT - FH09;6390691;1;0;0;1;SDU;;Y;NA;2;4;Eikenstraat17;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Eikenstraat;17;;;217502;179757
HASSELT - FH09;6404062;1;0;0;1;SDU;;Y;NA;2;4;Prins-Bisschopssingel63;;1 Unit in CRAB, Niet in GM.;;;BUILDING template;Prins-Bisschopssingel;63;;;218017;178712
