Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
HASSELT - FH08;2407618;1;0;0;1;SDU;;Y;NA;2;3;;Aantal units in CRAB is hetzelde als in IFH;Y;_;BUILDING template;Acaciastraat;61;;;217145,276;180145,173
HASSELT - FH08;2414686;1;0;0;1;SDU;;Y;NA;2;3;;Aantal units in CRAB is hetzelde als in IFH;Y;_;BUILDING template;Ertbeekstraat;40;;;217368,989;180252,556
HASSELT - FH08;2446492;7;0;0;7;MDU;;N;IRREG;4;3;;Aantal units in CRAB is hetzelde als in IFH;Y;_;BUILDING template;Vredestraat;98;;;217071,884;180067,887
HASSELT - FH08;707019;1;0;0;1;SDU;;N;ORN;2;4;;Aantal units in CRAB is hetzelde als in IFH;Y;_;BUILDING template;Spoorwegstraat;56;;;217455,297;180381,204
HASSELT - FH08;4895215;1;0;0;1;SDU;;N;ORN;2;4;;;Y;_;BUILDING template;Acaciastraat;5;;;217306;180127
HASSELT - FH08;2407621;1;0;0;1;SDU;;Y;NA;2;3;;Aantal units in CRAB is hetzelde als in IFH;Y;_;BUILDING template;Acaciastraat;78;;;217108,317;180131,565
HASSELT - FH08;2414688;10;0;0;10;MDU;;Y;NA;4;3;;Aantal units in CRAB is hetzelde als in IFH;Y;_;BUILDING template;Ertbeekstraat;43;;;217372,154;180299,297
HASSELT - FH08;2446494;1;0;0;1;SDU;;N;IRREG;3;4;;Aantal units in CRAB is hetzelde als in IFH;Y;_;BUILDING template;Vredestraat;100;;;217068,466;180039,959
HASSELT - FH08;707020;1;0;0;1;SDU;;Y;NA;2;3;;Aantal units in CRAB is hetzelde als in IFH;Y;_;BUILDING template;Spoorwegstraat;53;;;217482,669;180377,052
HASSELT - FH08;4895299;0;0;0;0;SDU;;N;HEIGHT;2;4;;;N;;BUILDING template;Runkstersteenweg;19;;;217598;180322
HASSELT - FH08;NB-3500700881;1;0;0;1;SDU;;N;HEIGHT;1;4;Bouwgrond;Bouwgrond;Y;;BUILDING template;Monseigneur Kerkhofsstraat;7;;;217473;180226
HASSELT - FH08;2407623;1;0;1;2;MDU;;Y;NA;2;3;;Aantal units in CRAB is hetzelde als in IFH;Y;_;BUILDING template;Acaciastraat;82;;;217095,133;180135,055
HASSELT - FH08;2414689;1;0;0;1;SDU;;Y;NA;2;3;;Aantal units in CRAB is hetzelde als in IFH;Y;_;BUILDING template;Ertbeekstraat;44;;;217367,58;180238,073
