Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
EVERE - FH03;1299874;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Andalusielaan - Avenue de l Andalousie;20;;
EVERE - FH03;1622139;0;2;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Godfroid Kurthstraat - Rue Godfroid Kurth;113;;
EVERE - FH03;1314104;5;1;0;6;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;68;;
EVERE - FH03;1622140;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Godfroid Kurthstraat - Rue Godfroid Kurth;115;;
EVERE - FH03;1622967;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck;27;;
EVERE - FH03;1315900;0;3;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;154;;
EVERE - FH03;1622141;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Godfroid Kurthstraat - Rue Godfroid Kurth;123;;
EVERE - FH03;1624337;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Jean-Baptiste Desmethstraat - Rue Jean-Baptiste Desmeth;29;;
EVERE - FH03;1325536;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;August De Boeckstraat - Rue Auguste De Boeck;13;;
EVERE - FH03;1622201;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;44;;
EVERE - FH03;1329510;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Andalusielaan - Avenue de l Andalousie;9;;
EVERE - FH03;1622202;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;46;;
EVERE - FH03;1624339;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Jean-Baptiste Desmethstraat - Rue Jean-Baptiste Desmeth;34;;
EVERE - FH03;1332443;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Louis Pierard - Louis Pierardlaan;11;;
EVERE - FH03;1622203;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;49;;
EVERE - FH03;1622972;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck;37;;
EVERE - FH03;1340851;7;0;0;7;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Louis Pierard - Louis Pierardlaan;41;;
EVERE - FH03;1622204;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;53;;
EVERE - FH03;1352838;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;143;;
