Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
ANTWERPEN-WEST - FH01;1992494;0;1;0;1;SDU;;Y;NA;4;4;;;Y;;BUILDING template;Londenstraat;13;;
ANTWERPEN-WEST - FH01;1992496;8;0;0;8;MDU;D;Y;NA;5;4;;;;Review Required;BUILDING template;Londenstraat;17;;
ANTWERPEN-WEST - FH01;4506378;0;1;0;1;SDU;;N;ORN;4;0;;;;Afbraak -  Démolition;BUILDING template;Napelsstraat;53;;
ANTWERPEN-WEST - FH01;5978286;0;1;0;1;MDU;C;N;ORN;3;9;;;;;BUILDING template;Napelsstraat;71;;Napelsstraat 71-73
ANTWERPEN-WEST - FH01;4128343;0;10;4;14;MDU;A;N;IRREG;5;0;;;Y;;BUILDING template;Noorderplaats;9;;Noorderplaats 5-7-9
ANTWERPEN-WEST - FH01;108957;3;0;0;3;MDU;D;Y;NA;4;4;;;;;BUILDING template;Genuastraat;3;;
ANTWERPEN-WEST - FH01;1986445;0;1;0;1;SDU;;Y;NA;3;4;Dorpsgezicht;;;Review Required MON;BUILDING template;Oudeleeuwenrui;3;;
ANTWERPEN-WEST - FH01;4031647;3;0;0;3;MDU;D;Y;NA;4;4;;;;;BUILDING template;Genuastraat;5;;
ANTWERPEN-WEST - FH01;2047587;0;1;0;1;MDU;C;N;MON;2;6;Monument;;;Review Required MON;BUILDING template;Rijnkaai;1;;Rijnkaai 1-2-4_Braziliestraat 2C-2D-2E
ANTWERPEN-WEST - FH01;1986450;0;1;0;1;SDU;;Y;NA;3;9;Dorpsgezicht;;;Review Required MON;BUILDING template;Oudeleeuwenrui;5;;
ANTWERPEN-WEST - FH01;108301;0;1;2;3;MDU;D;Y;NA;5;4;;;;Dit zijn studenten kamers totaal 16 stuks;BUILDING template;Genuastraat;2;;
ANTWERPEN-WEST - FH01;186516;0;1;0;1;MDU;XC;Y;NA;4;4;Dorpsgezicht;;;7 en 11 is 1 gebouw en 1 eigenaar;BUILDING template;Oudeleeuwenrui;7;;Oudeleeuwenrui 7-11
ANTWERPEN-WEST - FH01;6000240;8;0;0;8;MDU;D;Y;NA;4;4;;;;;BUILDING template;Indiestraat;38;;
