Projectnummer;LAM MK;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Kolom1;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
HASSELT - FH10;NB-35001346995;1;0;0;1;SDU;Tenierslaan13;;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;Tenierslaan;13;;;217474;181311
HASSELT - FH10;NB-350013798107;1;0;0;1;SDU;Korte Breestraat137;;Y;NA;2;4;;2 Units in CRAB en GM.;Y;;BUILDING template;Korte Breestraat;137;;;217369;181528
HASSELT - FH10;NB-350014169471;1;0;0;1;SDU;Korte Breestraat141;;Y;NA;2;4;;2 Units in CRAB en GM.;Y;;BUILDING template;Korte Breestraat;141;;;217368;181545
HASSELT - FH10;NB-35001421571;1;0;0;1;SDU;Kempische steenweg14;;Y;NA;2;4;;9 Units in CRAB, volgens Lara nieuwbouw.;Y;;BUILDING template;Kempische steenweg;14;;;218241;180929
HASSELT - FH10;NB-350014529411;1;0;0;1;SDU;Korte Breestraat145;;Y;NA;2;4;;2 Units in CRAB en GM.;Y;;BUILDING template;Korte Breestraat;145;;;217362;181560
HASSELT - FH10;NB-35001488374;1;0;0;1;SDU;van Dijcklaan14;;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;van Dijcklaan;14;;;217604;181409
HASSELT - FH10;NB-350014961292;1;0;0;1;SDU;Korte Breestraat149;;Y;NA;2;4;;2 Units in CRAB en GM.;Y;;BUILDING template;Korte Breestraat;149;;;217351;181573
HASSELT - FH10;NB-350015370089;1;0;0;1;SDU;Korte Breestraat153;;Y;NA;2;4;;2 Units in CRAB en GM.;Y;;BUILDING template;Korte Breestraat;153;;;217345;181588
HASSELT - FH10;NB-35001599511;1;0;0;1;SDU;Herkenrodesingel15;;Y;NA;2;4;;1 Unit in CRAB, zal BU op  GLV zijn.;Y;;BUILDING template;Herkenrodesingel;15;;;216790;181272
HASSELT - FH10;NB-35001687668;1;0;0;1;SDU;Tenierslaan16;;Y;NA;2;4;;1 Unit in CRAB, MDU in GM.;Y;;BUILDING template;Tenierslaan;16;;;217464;181233
HASSELT - FH10;NB-35001695972;1;0;0;1;SDU;Kempische steenweg16;;Y;NA;2;4;;1 Unit in CRAB, volgens Lara nieuwbouw.;Y;;BUILDING template;Kempische steenweg;16;;;218243;180936
HASSELT - FH10;NB-35001797003;1;0;0;1;SDU;Goudsbloemstraat17;;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;Goudsbloemstraat;17;;;217167;181505
HASSELT - FH10;NB-35001965620;1;0;0;1;SDU;Elfde-Liniestraat19;;Y;NA;2;4;;1 Unit in CRAB, appartements gebouw in GM.;Y;;BUILDING template;Elfde-Liniestraat;19;;;218887;180970
HASSELT - FH10;NB-35002059137;1;0;0;1;SDU;Tenierslaan20;;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;Tenierslaan;20;;;217453;181220
HASSELT - FH10;NB-35002141237;1;0;0;1;SDU;Armand Hertzstraat21;;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;Armand Hertzstraat;21;;;217893;181254
HASSELT - FH10;NB-350021A22862;1;0;0;1;SDU;Kempische steenweg21A;;Y;NA;2;4;;1 Unit in CRAB, kan BU in GM zijn.;Y;;BUILDING template;Kempische steenweg;21;A;;218263;180937
HASSELT - FH10;NB-35002224758;1;0;0;1;SDU;Panoramastraat22;;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;Panoramastraat;22;;;217287;181476
HASSELT - FH10;NB-35002227110;1;0;0;1;SDU;Koning Boudewijnlaan22;;Y;NA;2;4;;stedelijk zwembad;Y;;BUILDING template;Koning Boudewijnlaan;22;;;218944;180933
HASSELT - FH10;NB-35002353782;1;0;0;1;SDU;Gouverneur Verwilghensingel23;;Y;NA;2;4;;1 Unit in CRAB en GM. Japanse tuin Hasselt;Y;;BUILDING template;Gouverneur Verwilghensingel;23;;;219584;180897
HASSELT - FH10;NB-35002478813;1;0;0;1;SDU;Elfde-Liniestraat24;;Y;NA;2;4;;2 Units in CRAB, 2 BU's in GM.;Y;;BUILDING template;Elfde-Liniestraat;24;;;218891;181333
HASSELT - FH10;NB-35002561920;1;0;0;1;SDU;Armand Hertzstraat25;;Y;NA;2;4;Beschermd Erfgoed;1 Unit in CRAB, onduidelijk in GM.;Y;;BUILDING template;Armand Hertzstraat;25;;;217853;181316
HASSELT - FH10;NB-35002615716;1;0;0;1;SDU;Kempische steenweg26;;Y;NA;2;4;;1 Unit in CRAB, 3 in GM. (26 A en B kunnen hier ook zitten);Y;;BUILDING template;Kempische steenweg;26;;;218255;181009
HASSELT - FH10;NB-350026A97903;1;0;0;1;SDU;Kempische steenweg26A;;Y;NA;2;4;;1 Unit in CRAB, niet geheel duidelijk in GM.;Y;;BUILDING template;Kempische steenweg;26;A;;218258;181012
