Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
KNOKKE-HEIST - FH06;5579271;8;0;0;8;MDU;;Y;NA;4;4;;7 Units in GM, 2 in CRAB;;;BUILDING template;Bayauxlaan;12;;
KNOKKE-HEIST - FH06;2762861;1;0;0;1;SDU;;Y;NA;1;4;;20 Units in CRAB, 10 in GM.;;;BUILDING template;Leopoldlaan;113;;
KNOKKE-HEIST - FH06;5579297;0;1;0;1;SDU;;Y;NA;1;4;;;;;BUILDING template;Canadasquare;6;;
KNOKKE-HEIST - FH06;2762866;5;1;0;6;MDU;;Y;NA;4;4;;;;;BUILDING template;Leopoldlaan;115;;
KNOKKE-HEIST - FH06;5579298;29;1;0;30;MDU;;Y;NA;4;4;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Canadasquare;14;;
KNOKKE-HEIST - FH06;2762870;5;0;0;5;MDU;;Y;NA;4;4;;;;;BUILDING template;Leopoldlaan;121;;
KNOKKE-HEIST - FH06;5579350;0;1;0;1;SDU;;Y;NA;1;4;;;;;BUILDING template;Sylvain Dupuisstraat;4;;
KNOKKE-HEIST - FH06;2762875;6;0;0;6;MDU;;Y;NA;4;4;;5 Units in CRAB, in GM ook.;;;BUILDING template;Leopoldlaan;127;;
KNOKKE-HEIST - FH06;5579411;16;0;0;16;MDU;;Y;NA;4;4;;15 Units in CRAB, 16 in GM.;;;BUILDING template;Koningslaan;153;;
KNOKKE-HEIST - FH06;2762878;9;0;0;9;MDU;;Y;NA;4;4;;;;;BUILDING template;Leopoldlaan;129;;
KNOKKE-HEIST - FH06;5579495;15;0;0;15;MDU;;Y;NA;4;4;;;;;BUILDING template;Meerminlaan;19;;
KNOKKE-HEIST - FH06;2762883;53;0;0;53;MDU;;Y;NA;4;4;;11 Units in CRAB, aantal onduidelijk in GM;;;BUILDING template;Leopoldlaan;133;;
KNOKKE-HEIST - FH06;5579516;33;0;0;33;MDU;;Y;NA;4;4;;1 Unit in CRAB, bestaat niet in GM.;;;BUILDING template;Jozef Nellenslaan;155;;
KNOKKE-HEIST - FH06;2763665;5;0;0;5;MDU;;Y;NA;4;4;;;;;BUILDING template;Meerlaan;82;;
KNOKKE-HEIST - FH06;5579558;31;0;0;31;MDU;;Y;NA;4;4;;16 Units in CRAB, 21 in GM.;;;BUILDING template;Sterrenlaan;8;;
KNOKKE-HEIST - FH06;2763667;7;0;0;7;MDU;;Y;NA;4;4;;;;;BUILDING template;Meerlaan;84;;
KNOKKE-HEIST - FH06;5579584;36;2;0;38;MDU;;Y;NA;4;4;;35 Units in CRAB, 36 in GM.;;;BUILDING template;Zonnelaan;34;;
KNOKKE-HEIST - FH06;2763669;22;0;0;22;MDU;;Y;NA;4;4;;;;;BUILDING template;Meerlaan;86;;
KNOKKE-HEIST - FH06;5579600;0;1;0;1;SDU;;Y;NA;1;4;;;;;BUILDING template;Zwaluwenlaan;15;;
KNOKKE-HEIST - FH06;2763702;6;0;0;6;MDU;;Y;NA;4;4;;5 Units in CRAB, in GM ook.;;;BUILDING template;Meerminlaan;8;;
KNOKKE-HEIST - FH06;5697759;3;0;0;3;MDU;;Y;NA;4;4;;5 Units in CRAB, werf in GM. 2009;;;BUILDING template;Sylvain Dupuisstraat;51;;
KNOKKE-HEIST - FH06;2763705;5;0;0;5;MDU;;Y;NA;4;4;;;;;BUILDING template;Meerminlaan;10;;
KNOKKE-HEIST - FH06;5805836;0;1;0;1;SDU;;Y;NA;1;4;;;;;BUILDING template;Zeedijk-Knokke;632;;
KNOKKE-HEIST - FH06;2763706;0;5;0;5;MDU;;Y;NA;4;4;;2 Units in CRAB, in GM ook.;;;BUILDING template;Meerminlaan;12;;
KNOKKE-HEIST - FH06;5831123;1;0;0;1;SDU;;Y;NA;1;4;;;;;BUILDING template;Sylvain Dupuisstraat;41;A;
KNOKKE-HEIST - FH06;2763708;7;0;0;7;MDU;;Y;NA;4;4;;6 Units in CRAB, in GM ook.;;;BUILDING template;Meerminlaan;14;;
KNOKKE-HEIST - FH06;6210672;6;0;2;8;MDU;;Y;NA;4;4;;;;;BUILDING template;Leopoldlaan;67;A;
KNOKKE-HEIST - FH06;2763710;5;1;0;6;MDU;;Y;NA;4;4;;5 Units in CRAB, in GM ook.;;;BUILDING template;Meerminlaan;16;;
KNOKKE-HEIST - FH06;2763712;11;0;0;11;MDU;;Y;NA;4;4;;;;;BUILDING template;Meerminlaan;18;;
KNOKKE-HEIST - FH06;2763714;9;0;0;9;MDU;;Y;NA;4;4;;11 Units in CRAB, 10 in GM.;;;BUILDING template;Meerminlaan;20;;
KNOKKE-HEIST - FH06;2763715;0;1;0;1;SDU;;Y;NA;1;4;;;;;BUILDING template;Meerminlaan;22;;
KNOKKE-HEIST - FH06;2763716;5;0;0;5;MDU;;Y;NA;4;4;;;;;BUILDING template;Meerminlaan;24;;
KNOKKE-HEIST - FH06;2763717;6;0;0;6;MDU;;Y;NA;4;4;;;;;BUILDING template;Meerminlaan;26;;
KNOKKE-HEIST - FH06;2763719;5;0;0;5;MDU;;Y;NA;4;4;;6 Units in CRAB, 5 in GM.;;;BUILDING template;Meerminlaan;30;;
KNOKKE-HEIST - FH06;2763720;0;1;0;1;SDU;;Y;NA;1;4;;;;;BUILDING template;Meerminlaan;36;;
KNOKKE-HEIST - FH06;2763722;6;1;0;7;MDU;;Y;NA;4;4;;;;;BUILDING template;Meerminlaan;40;;
KNOKKE-HEIST - FH06;2763723;1;1;0;2;MDU;;Y;NA;4;4;;1 Unit in CRAB en GM;;;BUILDING template;Meerminlaan;44;;
KNOKKE-HEIST - FH06;2764161;5;0;0;5;MDU;;Y;NA;4;4;;8 Units in CRAB en GM.;;;BUILDING template;Jozef Nellenslaan;125;;
