Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;adres;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
KNOKKE-HEIST - FH10;2759016;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Duinbergen389;;9 Units in CRAB, Onduidelijk in GM.;;;BUILDING template;Zeedijk-Duinbergen;389;;;72776;226729
KNOKKE-HEIST - FH10;2759030;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Duinbergen402;;24 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Duinbergen;402;;;72816;226747
KNOKKE-HEIST - FH10;2759032;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Duinbergen403;;17 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Duinbergen;403;;;72824;226751
KNOKKE-HEIST - FH10;2759033;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Duinbergen404;;2 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Duinbergen;404;;;72831;226754
KNOKKE-HEIST - FH10;2759036;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Duinbergen407;;1 Units in CRAB, Onduidelijk in GM.;;;BUILDING template;Zeedijk-Duinbergen;407;;;72841;226759
KNOKKE-HEIST - FH10;2759043;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Duinbergen418;;1 Unit in CRAB, niet in GM.;;;BUILDING template;Zeedijk-Duinbergen;418;;;72957;226808
KNOKKE-HEIST - FH10;2759106;1;0;0;1;SDU;;Y;NA;2;4;Duinbergenlaan115;;1 Unit in CRAB en GM.;;;BUILDING template;Duinbergenlaan;115;;;72636;226635
KNOKKE-HEIST - FH10;2759141;1;0;0;1;SDU;;Y;NA;2;4;Duinendreef26;;1 Unit in CRAB en GM.;;;BUILDING template;Duinendreef;26;;;72755;226413
KNOKKE-HEIST - FH10;2763461;1;0;0;1;SDU;;Y;NA;2;4;Lommergang3;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Lommergang;3;;;72953;226403
KNOKKE-HEIST - FH10;2763465;1;0;0;1;SDU;;Y;NA;2;4;Lommergang7;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Lommergang;7;;;72944;226417
KNOKKE-HEIST - FH10;2763517;1;0;0;1;SDU;;Y;NA;2;4;Margrietenpad14A;;1 Unit in CRAB en GM.;;;BUILDING template;Margrietenpad;14;A;;73263;226442
KNOKKE-HEIST - FH10;2765414;1;0;0;1;SDU;;Y;NA;2;4;Patriottenstraat12;;1 Unit in CRAB en GM.;;;BUILDING template;Patriottenstraat;12;;;72615;226614
KNOKKE-HEIST - FH10;2765437;1;0;0;1;SDU;;Y;NA;2;4;Patriottenstraat60;;4 Units in CRAB, 4 in GM.;;;BUILDING template;Patriottenstraat;60;;;72473;226554
KNOKKE-HEIST - FH10;2765474;1;0;0;1;SDU;;Y;NA;2;4;Petunialaan10;;3 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Petunialaan;10;;;72891;226561
KNOKKE-HEIST - FH10;292999;1;0;0;1;SDU;;Y;NA;2;4;Patriottenstraat8;;7 Units in CRAB en GM.;;;BUILDING template;Patriottenstraat;8;;;72623;226617
KNOKKE-HEIST - FH10;293607;1;0;0;1;SDU;;Y;NA;2;4;Kruindreef5;;1 Unit in CRAB, In aanbouw in GM.;;;BUILDING template;Kruindreef;5;;;73056;226612
KNOKKE-HEIST - FH10;293645;1;0;0;1;SDU;;Y;NA;2;4;Lommergang8;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Lommergang;8;;;72996;226365
KNOKKE-HEIST - FH10;293750;1;0;0;1;SDU;;Y;NA;2;4;Gallischpad6;;6 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Gallischpad;6;;;72929;226607
KNOKKE-HEIST - FH10;293754;1;0;0;1;SDU;;Y;NA;2;4;Petunialaan30;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Petunialaan;30;;;72924;226641
KNOKKE-HEIST - FH10;293793;1;0;0;1;SDU;;Y;NA;2;4;Jozef Nellenslaan6;;1 Unit in CRAB en GM.;;;BUILDING template;Jozef Nellenslaan;6;;;73040;226484
KNOKKE-HEIST - FH10;294233;1;0;0;1;SDU;;Y;NA;2;4;Majoor Quaillestraat2;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Majoor Quaillestraat;2;;;72962;226808
KNOKKE-HEIST - FH10;294234;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Duinbergen410;;1 Unt in CRAB, niet in GM.;;;BUILDING template;Zeedijk-Duinbergen;410;;;72899;226785
KNOKKE-HEIST - FH10;295101;1;0;0;1;SDU;;Y;NA;2;4;Leeuwerikenlaan13;;4 Units in CRAB en GM.;;;BUILDING template;Leeuwerikenlaan;13;;;73226;226668
KNOKKE-HEIST - FH10;295105;1;0;0;1;SDU;;Y;NA;2;4;Leeuwerikenlaan11;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Leeuwerikenlaan;11;;;73185;226703
KNOKKE-HEIST - FH10;295117;1;0;0;1;SDU;;Y;NA;2;4;Phillippartpad3;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Phillippartpad;3;;;73115;226703
KNOKKE-HEIST - FH10;295126;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand430;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Albertstrand;430;;;73136;226751
KNOKKE-HEIST - FH10;295127;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand445;;18 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Albertstrand;445;;;73295;226807
KNOKKE-HEIST - FH10;295128;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand436;;16 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Albertstrand;436;;;73200;226766
KNOKKE-HEIST - FH10;295129;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand437;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Albertstrand;437;;;73211;226773
KNOKKE-HEIST - FH10;295140;1;0;0;1;SDU;;Y;NA;2;4;Elizabetlaan245;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Elizabetlaan;245;;;73245;226596
KNOKKE-HEIST - FH10;295422;1;0;0;1;SDU;;Y;NA;2;4;Elizabetlaan283;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Elizabetlaan;283;;;72848;226270
KNOKKE-HEIST - FH10;295441;1;0;0;1;SDU;;Y;NA;2;4;Meeuwendreef2;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Meeuwendreef;2;;;72837;226277
KNOKKE-HEIST - FH10;295467;1;0;0;1;SDU;;Y;NA;2;4;Duinbergenlaan59;;1 Unit in CRAB en GM.;;;BUILDING template;Duinbergenlaan;59;;;72853;226276
KNOKKE-HEIST - FH10;295576;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Duinbergen333;;7 Units in CRAB, niet in GM.;;;BUILDING template;Zeedijk-Duinbergen;333;;;72588;226649
KNOKKE-HEIST - FH10;295577;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Duinbergen315;;25 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Duinbergen;315;;;72486;226611
KNOKKE-HEIST - FH10;295579;1;0;0;1;SDU;;Y;NA;2;4;Zeegrasstraat1;;1 Unit in CRAB, niet in GM.;;;BUILDING template;Zeegrasstraat;1;;;72535;226628
KNOKKE-HEIST - FH10;295597;1;0;0;1;SDU;;Y;NA;2;4;Patriottenstraat38;;7 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Patriottenstraat;38;;;72535;226581
KNOKKE-HEIST - FH10;296493;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Duinbergen396;;12 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Duinbergen;396;;;72805;226742
KNOKKE-HEIST - FH10;296566;1;0;0;1;SDU;;Y;NA;2;4;Brieshelling7;;1 Unit in CRAB, niet in GM.;;;BUILDING template;Brieshelling;7;;;72759;226685
KNOKKE-HEIST - FH10;3939540;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Duinbergen392;;26 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Duinbergen;392;;;72783;226732
KNOKKE-HEIST - FH10;3939579;1;0;0;1;SDU;;Y;NA;2;4;Klaprozenpad6;;6 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Klaprozenpad;6;;;72979;226613
KNOKKE-HEIST - FH10;3939643;1;0;0;1;SDU;;Y;NA;2;4;Patriottenstraat14;;21 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Patriottenstraat;14;;;72601;226611
KNOKKE-HEIST - FH10;3939669;1;0;0;1;SDU;;Y;NA;2;4;Zeegrasstraat24;;2 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeegrasstraat;24;;;72552;226539
KNOKKE-HEIST - FH10;4030250;1;0;0;1;SDU;;Y;NA;2;4;Mimosastraat16;;1 Unit in CRAB,niet in GM.;;;BUILDING template;Mimosastraat;16;;;72618;226577
KNOKKE-HEIST - FH10;4185262;1;0;0;1;SDU;;Y;NA;2;4;Zeegrasstraat44;;1 Unit in CRAB en GM.;;;BUILDING template;Zeegrasstraat;44;;;72664;226263
KNOKKE-HEIST - FH10;4335087;1;0;0;1;SDU;;Y;NA;2;4;Duinbergenlaan105;;1 Unit in CRAB en GM.;;;BUILDING template;Duinbergenlaan;105;;;72652;226601
KNOKKE-HEIST - FH10;4335120;1;0;0;1;SDU;;Y;NA;2;4;Patriottenstraat42;;1 Unit in CRAB en GM.;;;BUILDING template;Patriottenstraat;42;;;72526;226579
KNOKKE-HEIST - FH10;4335884;1;0;0;1;SDU;;Y;NA;2;4;Lommergang5;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Lommergang;5;;;72949;226387
KNOKKE-HEIST - FH10;4336425;1;0;0;1;SDU;;Y;NA;2;4;Florapad5;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Florapad;5;;;72601;226321
KNOKKE-HEIST - FH10;4336661;1;0;0;1;SDU;;Y;NA;2;4;Patriottenstraat18;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Patriottenstraat;18;;;72599;226608
KNOKKE-HEIST - FH10;4336664;1;0;0;1;SDU;;Y;NA;2;4;Elizabetlaan323;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Elizabetlaan;323;;;72225;226166
KNOKKE-HEIST - FH10;4336814;1;0;0;1;SDU;;Y;NA;2;4;Patriottenstraat54;;7 Units in  CRAB en GM.;;;BUILDING template;Patriottenstraat;54;;;72485;226561
KNOKKE-HEIST - FH10;4336816;1;0;0;1;SDU;;Y;NA;2;4;Patriottenstraat58;;1 Unit in CRAB, niet in GM.;;;BUILDING template;Patriottenstraat;58;;;72482;226567
KNOKKE-HEIST - FH10;4336913;1;0;0;1;SDU;;Y;NA;2;4;Engelsestraat3;;3 Units in CRAB en GM.;;;BUILDING template;Engelsestraat;3;;;72772;226693
KNOKKE-HEIST - FH10;5579241;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand431;;14 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Albertstrand;431;;;73145;226759
KNOKKE-HEIST - FH10;5579242;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand438;;26 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Albertstrand;438;;;73216;226774
KNOKKE-HEIST - FH10;5579327;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Duinbergen395;;16 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Duinbergen;395;;;72794;226738
KNOKKE-HEIST - FH10;5579329;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Duinbergen416;;1 Unit in CRAB, niet in GM.;;;BUILDING template;Zeedijk-Duinbergen;416;;;72938;226802
KNOKKE-HEIST - FH10;5579332;1;0;0;1;SDU;;Y;NA;2;4;Duinbergenlaan87;;2 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Duinbergenlaan;87;;;72761;226514
KNOKKE-HEIST - FH10;5579333;1;0;0;1;SDU;;Y;NA;2;4;Duinbergenlaan113;;1 Unit in CRAB en GM.;;;BUILDING template;Duinbergenlaan;113;;;72641;226629
KNOKKE-HEIST - FH10;5579513;1;0;0;1;SDU;;Y;NA;2;4;Jozef Nellenslaan47;;12 Units in CRAB, onduidelijk in GM;;;BUILDING template;Jozef Nellenslaan;47;;;73292;226767
KNOKKE-HEIST - FH10;5579538;1;0;0;1;SDU;;Y;NA;2;4;Patriottenstraat2;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Patriottenstraat;2;;;72637;226622
