Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
KNOKKE-HEIST - FH04;2759451;6;1;1;8;MDU;A;Y;NA;7;5;Beschermd Erfgoed;;Y;Nieuwbouw voorzien: contact met Immo Pallen: 7 bouwlagen, 1BU, 6LU;BUILDING template;Ebbestraat;8;;;75878,971;227901,695
KNOKKE-HEIST - FH04;5579422;11;0;0;11;MDU;A;N;HEIGHT;6;3;;;Y;Afbraak -  Démolition;BUILDING template;Kustlaan;65;;Kustlaan 63-65;75260,002;227686,073
KNOKKE-HEIST - FH04;2762369;6;0;0;6;MDU;A;Y;NA;7;3;;;Y;In aanbouw - En construction;BUILDING template;Kustlaan;113;;;75384,451;227723,272
KNOKKE-HEIST - FH04;2762409;8;0;0;8;MDU;A;N;HEIGHT;7;4;;;Y;In aanbouw - En construction;BUILDING template;Kustlaan;151;;;75546,05;227750,447
KNOKKE-HEIST - FH04;5905413;8;1;0;9;MDU;A;N;HEIGHT;9;4;;;Y;In aanbouw - En construction;BUILDING template;Zeedijk-Het Zoute;757;B;;75567,537;227816,153
KNOKKE-HEIST - FH04;2762474;6;1;1;8;MDU;A;N;IRREG;7;5;;;Y;In aanbouw - En construction;BUILDING template;Kustlaan;201;;;75641,805;227792,206
KNOKKE-HEIST - FH04;2762489;6;1;1;8;MDU;A;N;IRREG;7;4;;;Y;In aanbouw - En construction - Dit is een werf. Ik heb uit veiligheid geen toegang gekregen tot de bovenste verdiepingen. Enkel de kelder gezien. Er is koper en cat 5e voorzien. Eigenaar en syndic zijn voorlopig onbekend;BUILDING template;Kustlaan;229;;;75682,19;227806,551
KNOKKE-HEIST - FH04;335104;0;1;1;2;MDU;A;N;HEIGHT;6;3;;;Y;_;BUILDING template;Kustlaan;63;;Kustlaan 63-65;75255,493;227683,569
KNOKKE-HEIST - FH04;337110;6;0;0;6;MDU;C;N;IRREG;5;4;;;Y;Bouwgrond - Terrain à bâtir;BUILDING template;Swolfsstraat;18;;;75117,172;227641,31
KNOKKE-HEIST - FH04;2768064;0;1;0;1;MDU;A;N;IRREG;8;5;;;Y;Afbraak -  afbraak gepland in najaar2020;BUILDING template;Zeedijk-Het Zoute;799;;Zeedijk-Het Zoute 799-800;75810,965;227913,999
KNOKKE-HEIST - FH04;2768065;16;0;1;17;MDU;A;N;IRREG;8;5;;;Y;Afbraak: najaar 2020 wordt het gebouw afgebroken. Nieuwe aantal LU is onbekend;BUILDING template;Zeedijk-Het Zoute;800;;Zeedijk-Het Zoute 799-800;75815,603;227915,852
