Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Kolom1;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
ANTWERPEN-WEST - FH05;1015480;32;3;0;35;MDU;Plantinkaai1;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Plantinkaai;1;;;151870,376;212053,847
ANTWERPEN-WEST - FH05;1056833;9;0;0;9;MDU;Hoogstraat11;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Hoogstraat;11;;;152113,265;212250,821
ANTWERPEN-WEST - FH05;1059317;0;2;0;2;MDU;Blauwmoezelstraat1;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Blauwmoezelstraat;1;;;152221,155;212307,52
ANTWERPEN-WEST - FH05;1059319;0;2;0;2;MDU;Blauwmoezelstraat2;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Blauwmoezelstraat;2;;;152230,027;212323,278
ANTWERPEN-WEST - FH05;1059324;0;1;0;1;SDU;Oude Beurs50;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Oude Beurs;50;;;152304,942;212393,159
ANTWERPEN-WEST - FH05;1059326;5;1;0;6;MDU;Oude Beurs24;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Oude Beurs;24;;;152238;212431
ANTWERPEN-WEST - FH05;1059331;0;1;0;1;SDU;Grote Markt28;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;28;;;152211,282;212334,435
ANTWERPEN-WEST - FH05;1059332;0;3;0;3;MDU;Grote Markt32;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;32;;;152205,544;212349,072
ANTWERPEN-WEST - FH05;1059336;0;1;0;1;SDU;Grote Markt25;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;25;;;152249,703;212386,215
ANTWERPEN-WEST - FH05;1059341;0;1;0;1;SDU;Grote Markt2;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;2;;;152141,219;212297,575
ANTWERPEN-WEST - FH05;1059344;0;2;0;2;MDU;Korte Koepoortstraat10;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Korte Koepoortstraat;10;;;152350,187;212363,504
ANTWERPEN-WEST - FH05;1059350;1;0;0;1;SDU;Schoenmakersstraat2;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Schoenmakersstraat;2;;;152295,106;212387,087
ANTWERPEN-WEST - FH05;1059356;0;3;0;3;MDU;Lijnwaadmarkt11;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Lijnwaadmarkt;11;;;152339,971;212306,429
ANTWERPEN-WEST - FH05;1059358;0;8;0;8;MDU;Kaasrui1;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Kaasrui;1;;;152299,442;212366,29
ANTWERPEN-WEST - FH05;1059361;0;3;0;3;MDU;Maalderijstraat7;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Maalderijstraat;7;;;152214,184;212306,297
ANTWERPEN-WEST - FH05;1059363;0;6;0;6;MDU;Torfbrug10;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Torfbrug;10;;;152280,219;212312,39
ANTWERPEN-WEST - FH05;1059370;0;1;0;1;SDU;Melkmarkt2;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Melkmarkt;2;;;152356,233;212333,393
ANTWERPEN-WEST - FH05;1091098;0;1;0;1;SDU;Korte Nieuwstraat11;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Korte Nieuwstraat;11;;;152416,203;212296,698
ANTWERPEN-WEST - FH05;1091133;0;1;0;1;SDU;Hoogstraat35;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Hoogstraat;35;;;152089,398;212179,176
ANTWERPEN-WEST - FH05;1091146;23;0;0;23;MDU;Orteliuskaai2;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Orteliuskaai;2;;;152196,156;212856,505
ANTWERPEN-WEST - FH05;1101822;3;1;0;4;MDU;Riemstraat51;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Riemstraat;51;;;151693,857;211425,884
ANTWERPEN-WEST - FH05;1111484;2;0;0;2;MDU;Grote Markt13;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;13;;;152194,842;212406,724
ANTWERPEN-WEST - FH05;12619;1;0;0;1;SDU;Lange Koepoortstraat2;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Lange Koepoortstraat;2;;;152383,672;212630,797
ANTWERPEN-WEST - FH05;12639;5;0;0;5;MDU;Plantinkaai16;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Plantinkaai;16;;;151813,38;211941,827
ANTWERPEN-WEST - FH05;12653;4;1;0;5;MDU;Wolstraat1;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Wolstraat;1;;;152362;212422
ANTWERPEN-WEST - FH05;1268534;4;0;0;4;MDU;Sint-Michielskaai26;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Sint-Michielskaai;26;;;151664,502;211614,617
ANTWERPEN-WEST - FH05;1469526;4;2;0;6;MDU;Plantinkaai22;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Plantinkaai;22;;;151795,006;211897,264
ANTWERPEN-WEST - FH05;1492129;0;1;0;1;SDU;Lijnwaadmarkt3;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Lijnwaadmarkt;3;;;152309,714;212316,259
ANTWERPEN-WEST - FH05;1737790;4;1;0;5;MDU;Kloosterstraat20;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Kloosterstraat;20;;;151852,01;211915,062
ANTWERPEN-WEST - FH05;1737791;1;0;0;1;SDU;Kloosterstraat22;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Kloosterstraat;22;;;151858;211904
ANTWERPEN-WEST - FH05;1737798;3;0;0;3;MDU;Kloosterstraat36;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Kloosterstraat;36;;;151834;211841
ANTWERPEN-WEST - FH05;1737799;4;0;0;4;MDU;Kloosterstraat38;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Kloosterstraat;38;;;151833;211835
ANTWERPEN-WEST - FH05;1737804;4;2;0;6;MDU;Kloosterstraat52;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Kloosterstraat;52;;;151814;211774
ANTWERPEN-WEST - FH05;1737818;12;0;0;12;MDU;Kloosterstraat80;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Kloosterstraat;80;;;151774;211662
ANTWERPEN-WEST - FH05;1737820;1;1;0;2;MDU;Kloosterstraat82;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Kloosterstraat;82;;;151769,783;211660,083
ANTWERPEN-WEST - FH05;1737827;3;0;0;3;MDU;Kloosterstraat106;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Kloosterstraat;106;;;151730,756;211588,865
ANTWERPEN-WEST - FH05;1749317;0;2;0;2;MDU;Blauwmoezelstraat7;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Blauwmoezelstraat;7;;;152253,217;212320,753
ANTWERPEN-WEST - FH05;1749321;10;0;0;10;MDU;Blauwmoezelstraat9;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Blauwmoezelstraat;9;;;152262,027;212313,267
ANTWERPEN-WEST - FH05;1749322;1;0;0;1;SDU;Blauwmoezelstraat10;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Blauwmoezelstraat;10;;;152269,852;212316,19
ANTWERPEN-WEST - FH05;1774557;1;0;0;1;SDU;Braderijstraat8;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Braderijstraat;8;;;152151,237;212453,355
ANTWERPEN-WEST - FH05;1804784;1;1;0;2;MDU;Hendrik Conscienceplein3;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Hendrik Conscienceplein;3;;;152467,54;212363,906
ANTWERPEN-WEST - FH05;1804802;0;4;0;4;MDU;Hendrik Conscienceplein9;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Hendrik Conscienceplein;9;;;152484,382;212363,504
ANTWERPEN-WEST - FH05;1804811;0;1;0;1;SDU;Hendrik Conscienceplein11;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Hendrik Conscienceplein;11;;;152489,789;212364,879
ANTWERPEN-WEST - FH05;1808601;1;0;0;1;SDU;Coppenolstraat10;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Coppenolstraat;10;;;152432;212435
ANTWERPEN-WEST - FH05;1830347;4;1;0;5;MDU;Ernest Van Dijckkaai19;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Ernest Van Dijckkaai;19;;;151958,949;212269,272
ANTWERPEN-WEST - FH05;1830376;1;1;0;2;MDU;Ernest Van Dijckkaai21;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Ernest Van Dijckkaai;21;;;151955,292;212260,941
ANTWERPEN-WEST - FH05;1830401;0;4;0;4;MDU;Ernest Van Dijckkaai24;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Ernest Van Dijckkaai;24;;;151946,012;212241,706
ANTWERPEN-WEST - FH05;1830454;0;2;0;2;MDU;Ernest Van Dijckkaai37;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Ernest Van Dijckkaai;37;;;151786,506;212099,756
ANTWERPEN-WEST - FH05;1863700;4;0;0;4;MDU;Kromme-Elleboogstraat4;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Kromme-Elleboogstraat;4;;;151808,392;211907,236
ANTWERPEN-WEST - FH05;1863703;4;0;0;4;MDU;Kromme-Elleboogstraat6;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Kromme-Elleboogstraat;6;;;151814,653;211903,792
ANTWERPEN-WEST - FH05;1863707;4;0;0;4;MDU;Kromme-Elleboogstraat10;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Kromme-Elleboogstraat;10;;;151824,045;211898,783
ANTWERPEN-WEST - FH05;1904650;0;1;0;1;SDU;Grote Goddaard6;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Grote Goddaard;6;;;152467,666;212483,126
ANTWERPEN-WEST - FH05;1904672;1;0;0;1;SDU;Grote Goddaard8;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Grote Goddaard;8;;;152472,513;212478,036
ANTWERPEN-WEST - FH05;1904686;13;0;0;13;MDU;Grote Goddaard10;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Grote Goddaard;10;;;152478,209;212470,401
ANTWERPEN-WEST - FH05;1904724;2;0;0;2;MDU;Grote Goddaard14;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Grote Goddaard;14;;;152485,746;212453,873
ANTWERPEN-WEST - FH05;1904770;1;0;0;1;SDU;Grote Goddaard20;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Grote Goddaard;20;;;152496,033;212440,526
ANTWERPEN-WEST - FH05;1904788;3;0;0;3;MDU;Grote Goddaard22;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Grote Goddaard;22;;;152498,437;212436,892
ANTWERPEN-WEST - FH05;1904814;1;0;0;1;SDU;Grote Goddaard28;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Grote Goddaard;28;;;152508,047;212426,055
ANTWERPEN-WEST - FH05;1904820;0;3;0;3;MDU;Grote Goddaard30;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Grote Goddaard;30;;;152509,953;212418,78
ANTWERPEN-WEST - FH05;1904852;4;0;0;4;MDU;Grote Goddaard32;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Grote Goddaard;32;;;152509,876;212410,466
ANTWERPEN-WEST - FH05;1905194;6;0;0;6;MDU;Kleine Goddaard24;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Kleine Goddaard;24;;;152427,721;212533,587
ANTWERPEN-WEST - FH05;1925045;0;1;0;1;SDU;Guldenberg2;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Guldenberg;2;;;152161,949;212750,598
ANTWERPEN-WEST - FH05;1928246;3;0;0;3;MDU;Haarstraat3;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Haarstraat;3;;;152021,127;212295,688
ANTWERPEN-WEST - FH05;1928268;0;1;0;1;SDU;Haarstraat7;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Haarstraat;7;;;152041,852;212286,544
ANTWERPEN-WEST - FH05;1928286;1;0;0;1;SDU;Haarstraat10;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Haarstraat;10;;;152031,489;212272,794
ANTWERPEN-WEST - FH05;1928316;0;1;0;1;SDU;Haarstraat18;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Haarstraat;18;;;152051,606;212263,176
ANTWERPEN-WEST - FH05;1928323;1;0;0;1;SDU;Haarstraat19;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Haarstraat;19;;;152065,152;212273,336
ANTWERPEN-WEST - FH05;1928329;3;0;0;3;MDU;Haarstraat20;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Haarstraat;20;;;152055,196;212260,738
ANTWERPEN-WEST - FH05;1928334;4;0;0;4;MDU;Haarstraat22;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Haarstraat;22;;;152061,156;212257,081
ANTWERPEN-WEST - FH05;192883;0;1;0;1;SDU;Ernest Van Dijckkaai25;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Ernest Van Dijckkaai;25;;;151943,777;212235,881
ANTWERPEN-WEST - FH05;1933766;0;2;0;2;MDU;Handschoenmarkt9;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Handschoenmarkt;9;;;152166,73;212305,533
ANTWERPEN-WEST - FH05;1933780;0;1;0;1;SDU;Handschoenmarkt13;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Handschoenmarkt;13;;;152175,013;212306,324
ANTWERPEN-WEST - FH05;1933794;0;1;0;1;SDU;Handschoenmarkt15;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Handschoenmarkt;15;;;152178,691;212306,727
ANTWERPEN-WEST - FH05;1933800;0;3;0;3;MDU;Handschoenmarkt17;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Handschoenmarkt;17;;;152184,271;212307,129
ANTWERPEN-WEST - FH05;1940290;1;0;0;1;SDU;Hofstraat9;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Hofstraat;9;;;152274,464;212516,839
ANTWERPEN-WEST - FH05;1940297;3;0;0;3;MDU;Hofstraat13;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Hofstraat;13;;;152275,782;212507,455
ANTWERPEN-WEST - FH05;1944354;2;0;0;2;MDU;Hoogstraat7;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Hoogstraat;7;;;152115,637;212265,3
ANTWERPEN-WEST - FH05;1944367;1;0;0;1;SDU;Hoogstraat20;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Hoogstraat;20;;;152086,081;212263,515
ANTWERPEN-WEST - FH05;1944370;0;1;0;1;SDU;Hoogstraat25;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Hoogstraat;25;;;152083,741;212210,423
ANTWERPEN-WEST - FH05;1944374;0;1;0;1;SDU;Hoogstraat28;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Hoogstraat;28;;;152071,587;212239,403
ANTWERPEN-WEST - FH05;1944377;1;1;0;2;MDU;Hoogstraat33;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Hoogstraat;33;;;152073;212194
ANTWERPEN-WEST - FH05;1944378;0;2;0;2;MDU;Hoogstraat34;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Hoogstraat;34;;;152054,789;212217,39
ANTWERPEN-WEST - FH05;1944379;3;1;0;4;MDU;Hoogstraat36;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Hoogstraat;36;;;152049,303;212207,501
ANTWERPEN-WEST - FH05;1944388;1;0;0;1;SDU;Hoogstraat54;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Hoogstraat;54;;;152010,531;212139,87
ANTWERPEN-WEST - FH05;1944402;0;1;0;1;SDU;Hoogstraat74;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Hoogstraat;74;;;151984,903;212084,779
ANTWERPEN-WEST - FH05;1956025;1;0;0;1;SDU;Sint-Jansvliet11;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Sint-Jansvliet;11;;;151932,826;212102,495
ANTWERPEN-WEST - FH05;1956609;1;0;0;1;SDU;Jeruzalemstraat6;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Jeruzalemstraat;6;;;152374,754;212459,707
ANTWERPEN-WEST - FH05;1956621;5;0;0;5;MDU;Jeruzalemstraat7;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Jeruzalemstraat;7;;;152386,642;212472,742
ANTWERPEN-WEST - FH05;1959677;0;1;0;1;SDU;Kaasrui9;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Kaasrui;9;;;152328,854;212359,958
ANTWERPEN-WEST - FH05;1959683;0;1;0;1;SDU;Kaasstraat4;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Kaasstraat;4;;;152042,358;212401,351
ANTWERPEN-WEST - FH05;1965728;0;2;0;2;MDU;Korte Koepoortstraat4;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Korte Koepoortstraat;4;;;152345,014;212384,139
ANTWERPEN-WEST - FH05;1965730;0;1;0;1;SDU;Korte Koepoortstraat6;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Korte Koepoortstraat;6;;;152347,513;212376,699
ANTWERPEN-WEST - FH05;1965750;0;1;0;1;SDU;Korte Koepoortstraat11;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Korte Koepoortstraat;11;;;152373,561;212362,879
ANTWERPEN-WEST - FH05;1965776;1;0;0;1;SDU;Lange Koepoortstraat8;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Lange Koepoortstraat;8;;;152378,255;212614,169
ANTWERPEN-WEST - FH05;1965852;0;3;0;3;MDU;Lange Koepoortstraat32;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Lange Koepoortstraat;32;;;152341,316;212546,967
ANTWERPEN-WEST - FH05;1965870;0;1;0;1;SDU;Lange Koepoortstraat34;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Lange Koepoortstraat;34;;;152340,809;212542,609
ANTWERPEN-WEST - FH05;1965911;0;1;0;1;SDU;Lange Koepoortstraat40;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Lange Koepoortstraat;40;;;152338,01;212517,066
ANTWERPEN-WEST - FH05;1965980;0;1;0;1;SDU;Lange Koepoortstraat60;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Lange Koepoortstraat;60;;;152337,883;212459,056
ANTWERPEN-WEST - FH05;1965997;0;2;0;2;MDU;Lange Koepoortstraat65;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Lange Koepoortstraat;65;;;152357,496;212438,229
ANTWERPEN-WEST - FH05;1966005;0;1;0;1;SDU;Lange Koepoortstraat74;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Lange Koepoortstraat;74;;;152340,63;212417,657
ANTWERPEN-WEST - FH05;1966011;0;2;0;2;MDU;Lange Koepoortstraat76;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Lange Koepoortstraat;76;;;152340,438;212413,504
ANTWERPEN-WEST - FH05;1968728;0;1;0;1;SDU;Oude Koornmarkt6;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Oude Koornmarkt;6;;;152133,834;212276,07
ANTWERPEN-WEST - FH05;1968751;0;2;0;2;MDU;Oude Koornmarkt14;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Oude Koornmarkt;14;;;152144,655;212261,774
ANTWERPEN-WEST - FH05;1968785;0;1;0;1;SDU;Oude Koornmarkt22;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Oude Koornmarkt;22;;;152150,809;212246,925
ANTWERPEN-WEST - FH05;1968794;0;1;0;1;SDU;Oude Koornmarkt24;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Oude Koornmarkt;24;;;152154,686;212243,924
ANTWERPEN-WEST - FH05;1968806;0;5;0;5;MDU;Oude Koornmarkt28;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Oude Koornmarkt;28;;;152164,022;212234,281
ANTWERPEN-WEST - FH05;1968843;0;3;0;3;MDU;Oude Koornmarkt34;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Oude Koornmarkt;34;;;152181,909;212214,17
ANTWERPEN-WEST - FH05;1968956;0;1;0;1;SDU;Oude Koornmarkt62;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Oude Koornmarkt;62;;;152200,888;212127,151
ANTWERPEN-WEST - FH05;1990853;0;1;0;1;SDU;Lijnwaadmarkt5;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Lijnwaadmarkt;5;;;152318,622;212317,22
ANTWERPEN-WEST - FH05;1998196;0;1;0;1;SDU;Grote Markt4;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;4;;;152141,923;212304,439
ANTWERPEN-WEST - FH05;1998205;9;0;0;9;MDU;Grote Markt12;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;12;;;152157,091;212319,933
ANTWERPEN-WEST - FH05;1998209;0;1;0;1;SDU;Grote Markt14;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;14;;;152162,317;212316,63
ANTWERPEN-WEST - FH05;1998211;0;1;0;1;SDU;Grote Markt16;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;16;;;152170,354;212318,119
ANTWERPEN-WEST - FH05;1998215;0;1;0;1;SDU;Grote Markt18;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;18;;;152174,827;212318,718
ANTWERPEN-WEST - FH05;1998218;4;0;0;4;MDU;Grote Markt19;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;19;;;152231,12;212394,164
ANTWERPEN-WEST - FH05;1998221;1;1;0;2;MDU;Grote Markt20;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;20;;;152178,933;212319,205
ANTWERPEN-WEST - FH05;1998225;0;1;0;1;SDU;Grote Markt22;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;22;;;152182,972;212321,954
ANTWERPEN-WEST - FH05;1998237;0;1;0;1;SDU;Grote Markt30;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;30;;;152209,612;212340,144
ANTWERPEN-WEST - FH05;1998245;0;1;0;1;SDU;Grote Markt33;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;33;;;152279,544;212371,272
ANTWERPEN-WEST - FH05;1998246;0;2;0;2;MDU;Grote Markt36;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;36;;;152212,54;212349,549
ANTWERPEN-WEST - FH05;1998254;3;1;0;4;MDU;Grote Markt42;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;42;;;152234,946;212342,543
ANTWERPEN-WEST - FH05;1998256;0;1;0;1;SDU;Grote Markt44;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;44;;;152240,276;212341,572
ANTWERPEN-WEST - FH05;1998258;6;1;0;7;MDU;Grote Markt46;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;46;;;152245,068;212339,75
ANTWERPEN-WEST - FH05;1998265;0;8;0;8;MDU;Grote Markt50;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;50;;;152256,62;212339,348
ANTWERPEN-WEST - FH05;1998273;0;1;0;1;SDU;Grote Markt56;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;56;;;152277,97;212337,499
ANTWERPEN-WEST - FH05;1998275;0;2;0;2;MDU;Grote Markt58;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;58;;;152284,357;212338,752
ANTWERPEN-WEST - FH05;2001900;0;4;0;4;MDU;Melkmarkt4;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Melkmarkt;4;;;152355,942;212326,186
ANTWERPEN-WEST - FH05;2001902;0;3;0;3;MDU;Melkmarkt5;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Melkmarkt;5;;;152372,857;212333,161
ANTWERPEN-WEST - FH05;2008198;15;0;0;15;MDU;Sint-Michielskaai15;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Sint-Michielskaai;15;;;151707,049;211696,65
ANTWERPEN-WEST - FH05;2008206;15;0;0;15;MDU;Sint-Michielskaai17;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Sint-Michielskaai;17;;;151701,224;211683,907
ANTWERPEN-WEST - FH05;2008254;10;0;0;10;MDU;Sint-Michielskaai19;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Sint-Michielskaai;19;;;151692,459;211672,988
ANTWERPEN-WEST - FH05;2012966;3;0;0;3;MDU;Minderbroedersrui34;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Minderbroedersrui;34;;;152484,39;212485,065
ANTWERPEN-WEST - FH05;2013163;0;1;0;1;SDU;Minderbroedersrui40;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Minderbroedersrui;40;;;152493,662;212471,352
ANTWERPEN-WEST - FH05;2013236;3;1;0;4;MDU;Minderbroedersrui42;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Minderbroedersrui;42;;;152495,901;212467,028
ANTWERPEN-WEST - FH05;2013569;0;1;0;1;SDU;Minderbroedersrui62;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Minderbroedersrui;62;;;152526,134;212412,805
ANTWERPEN-WEST - FH05;2013570;0;2;0;2;MDU;Minderbroedersrui64;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Minderbroedersrui;64;;;152526,425;212407,284
ANTWERPEN-WEST - FH05;2021356;1;0;0;1;SDU;Moriaanstraat8;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Moriaanstraat;8;;;152394,856;212375,077
ANTWERPEN-WEST - FH05;2027605;0;1;0;1;SDU;Korte Nieuwstraat13;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Korte Nieuwstraat;13;;;152424,076;212292,805
