Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
KNOKKE-HEIST - FH05;2759288;3;3;1;7;MDU;;N;IRREG;7;6;;;Y;_;BUILDING template;Dumortierlaan;68;;
KNOKKE-HEIST - FH05;2759308;5;1;1;7;MDU;;N;IRREG;6;3;;;Y;_;BUILDING template;Dumortierlaan;80;;
KNOKKE-HEIST - FH05;72418;0;1;0;1;MDU;;N;IRREG;5;3;;;Y;_;BUILDING template;Zoutelaan;61;;Jef Mennekenslaan 35_Zoutelaan 61-61A
KNOKKE-HEIST - FH05;72442;0;1;0;1;MDU;;N;IRREG;2;3;;;Y;_;BUILDING template;Jef Mennekenslaan;3;;Jef Mennekenslaan 3_Heilig Hartlaan 2-4-6
KNOKKE-HEIST - FH05;2759341;0;1;0;1;MDU;;N;IRREG;6;3;;1 Unit in CRAB, 9 LU in GM.;Y;_;BUILDING template;Dumortierlaan;105;;Dumortierlaan 105-107-107B
KNOKKE-HEIST - FH05;2759346;5;1;1;7;MDU;;N;IRREG;6;3;;;Y;_;BUILDING template;Dumortierlaan;109;;
KNOKKE-HEIST - FH05;2759350;4;1;0;5;MDU;;N;IRREG;5;3;;;Y;_;BUILDING template;Dumortierlaan;114;;
KNOKKE-HEIST - FH05;2759353;0;1;0;1;MDU;;N;IRREG;6;3;;1 Unit in CRAB, kan BU in GM zijn.;Y;_;BUILDING template;Dumortierlaan;117;;Dumortierlaan 117-119-121
KNOKKE-HEIST - FH05;2759358;5;1;1;7;MDU;;N;IRREG;6;3;;;Y;_;BUILDING template;Dumortierlaan;123;;
KNOKKE-HEIST - FH05;2759360;5;1;1;7;MDU;;N;IRREG;6;3;;;Y;Review Required;BUILDING template;Dumortierlaan;125;;
