Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
MECHELEN - FH01;3032937;1;1;1;3;MDU;D;Y;NA;4;10;;;;;BUILDING template;Frederik de Merodestraat;4;;;157832,464;190947,891
MECHELEN - FH01;904317;1;0;0;1;SDU;;Y;NA;3;12;;;;;BUILDING template;Korte Schipstraat;29;;;157830,337;190520,723
MECHELEN - FH01;5383991;1;0;0;1;MDU;D;N;IRREG;3;9;;;;Buildinggroup;BUILDING template;Sint-Janstraat;16;;Goswin de Stassartstraat 16_Sint-Janstraat 16;157814,102;191195,918
MECHELEN - FH01;3032938;1;1;0;2;MDU;D;Y;NA;3;10;;;;"Nr 5 &amp;amp;equals; BU";BUILDING template;Frederik de Merodestraat;5;;;157812,086;190951,823
MECHELEN - FH01;904574;1;0;0;1;SDU;;Y;NA;4;12;;;;;BUILDING template;Lange Schipstraat;1;;;157689,298;190635,883
MECHELEN - FH01;5904577;5;0;1;6;MDU;XC;N;IRREG;3;10;;;;Sint Jansstraat 8B deel van Buldinggroep : Aanleg  via garage vanaf de bdfo via bestaande kabelladder naar beginpunt van nieuwe schacht  parallel aan liftkoker  naar 3e  verdieping .. 5 Lu  - 1 Su.;BUILDING template;Sint-Janstraat;8;B;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;157894,426;191237,43
MECHELEN - FH01;3944029;3;0;0;3;MDU;D;Y;NA;3;10;;;;_;BUILDING template;Dobbelhuizen;16;;;157326,345;190904,121
MECHELEN - FH01;3047650;0;1;0;1;MDU;XC;N;IRREG;;;;;;;BUILDING template;Lange Schipstraat;72;;Lange Schipstraat 70-72-74-76-78;157831,442;190436,929
MECHELEN - FH01;4191732;1;0;1;2;MDU;D;Y;NA;4;12;;;;BE - 6 en 6A zelfde gebouw 2 ingangen;BUILDING template;Frederik de Merodestraat;6;;Frederik De Merodestraat 6-6A;157840,563;190961,089
MECHELEN - FH01;904579;2;1;0;3;MDU;D;Y;NA;5;4;;;;Lange schipstraat 2 : Mdu  1 bu  (leegstand ) 2Lu's mogelijk (niemand aanwezig ssv) ,   doorgaande ģevelbekabeling en individuele aansluitingen mogelijk via gevel.;BUILDING template;Lange Schipstraat;2;;;157663,021;190637,295
MECHELEN - FH01;5507055;7;0;1;8;MDU;XC;N;IRREG;4;12;;;;Aanleg  naast de liftschacht  (via de traphal niet mogelijk.);BUILDING template;Sint-Janstraat;10;A;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;157844,331;191193,695
MECHELEN - FH01;4215182;1;0;0;1;SDU;;Y;NA;;;;;;;BUILDING template;Zakstraat;17;;;158015,933;190859,591
MECHELEN - FH01;3032941;0;1;0;1;SDU;;Y;NA;3;10;;;;BE -;BUILDING template;Frederik de Merodestraat;7;;;157814,91;190955,153
MECHELEN - FH01;4194975;1;1;0;2;MDU;D;Y;NA;4;14;;;;Lange schipstraat 3: Mdu  1 bu  1 lu - doorgaande gevelbekabeling en aansluitingen mogelijk.;BUILDING template;Lange Schipstraat;3;;;157694,638;190634,057
MECHELEN - FH01;3048595;1;0;0;1;SDU;;Y;NA;2;12;;;;;BUILDING template;Sint-Katelijnestraat;1;;;157634,968;191054,646
MECHELEN - FH01;901177;1;0;0;1;SDU;;Y;NA;3;10;;;;;BUILDING template;Frederik de Merodestraat;8;;;157845,266;190964,007
MECHELEN - FH01;3047584;0;1;0;1;SDU;;Y;NA;3;12;;;;BE -;BUILDING template;Lange Schipstraat;4;;;157665,444;190630,304
MECHELEN - FH01;929577;0;1;0;1;SDU;;Y;NA;2;14;;;;BE -;BUILDING template;Sint-Katelijnestraat;2;;;157652,189;191054,83
MECHELEN - FH01;3032943;1;0;0;1;SDU;;Y;NA;3;10;;;;;BUILDING template;Frederik de Merodestraat;9;;;157817,718;190958,187
MECHELEN - FH01;3047585;1;0;0;1;SDU;;Y;NA;4;14;;;;BE -;BUILDING template;Lange Schipstraat;5;;;157701,499;190632,217
MECHELEN - FH01;4067640;1;1;0;2;MDU;D;Y;NA;3;16;;;;BE -;BUILDING template;Sint-Katelijnestraat;3;;;157632,331;191059,613
MECHELEN - FH01;6447591;1;0;0;1;MDU;D;Y;NA;2;5;;;;;BUILDING template;Goswin de Stassartstraat;27;A;Goswin de Stassartstraat 27-27A-29-29A;157804,917;191257,641
MECHELEN - FH01;3032945;0;1;0;1;MDU;D;Y;NA;4;12;;;;BE -;BUILDING template;Frederik de Merodestraat;10;;Frederik de Merodestraat 10-12;157845,337;190968,27
MECHELEN - FH01;3047586;3;1;0;4;MDU;D;Y;NA;4;4;;;;BE -;BUILDING template;Lange Schipstraat;6;;;157670,883;190628,564
MECHELEN - FH01;4042355;0;1;0;1;SDU;;Y;NA;3;16;;;;;BUILDING template;Sint-Katelijnestraat;4;;;157648,063;191058,341
MECHELEN - FH01;905650;10;0;1;11;MDU;D;N;IRREG;4;12;;;;Drabstraat 12: Mdu  10Lu's, 1 Su Doorgaande gevelbekabeling en aansluiting bereikbaarheid  van de Lu's  mogelijk. Geen kelder geen bestaande technische schacht na overleg met verantwoordelijke beheerder van het kerkfabriek is dit zo uitvoerbaar.;BUILDING template;Drabstraat;12;;;157530,02;190836,917
MECHELEN - FH01;4752018;1;0;0;1;SDU;;Y;NA;3;10;;;;;BUILDING template;Frederik de Merodestraat;11;;;157819,534;190961,95
MECHELEN - FH01;3047590;3;1;0;4;MDU;D;Y;NA;4;14;;;;"Lange schipstraat 7 :  mdu  3Lu&amp;amp;apos;s  1 bu  Aansluiting  via ?evelbekabeling  alle lu zijn  bereikbaar";BUILDING template;Lange Schipstraat;7;;;157706,547;190630,972
