Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
ANTWERPEN-WEST - FH08;49185;9;1;0;10;MDU;;Y;NA;4;4;Beschermd Erfgoed;"1 Unit in CRAB, 1 Unit in GM, 
 met 11 subadressen achter de hoek";;;BUILDING template;Aalmoezenierstraat;46;;
ANTWERPEN-WEST - FH08;1732191;1;0;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Aalmoezenierstraat;61;;
ANTWERPEN-WEST - FH08;3972556;9;0;0;9;MDU;;Y;NA;4;4;Beschermd Erfgoed;1 Unit in CRAB, 9 Bussen in GM.;;;BUILDING template;Aalmoezenierstraat;62;;
ANTWERPEN-WEST - FH08;1732192;1;0;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Aalmoezenierstraat;64;;
ANTWERPEN-WEST - FH08;1732194;3;0;0;3;MDU;;Y;NA;4;4;Beschermd Erfgoed;1 Unit in CRAB en GM.;;;BUILDING template;Aalmoezenierstraat;65;;
ANTWERPEN-WEST - FH08;49189;15;0;0;15;MDU;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Aalmoezenierstraat;66;;
ANTWERPEN-WEST - FH08;1732196;5;0;0;5;MDU;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Aalmoezenierstraat;68;;
ANTWERPEN-WEST - FH08;49186;1;0;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Aalmoezenierstraat;70;;
ANTWERPEN-WEST - FH08;5768998;1;0;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Aalmoezenierstraat;75;A;
ANTWERPEN-WEST - FH08;3918149;4;0;0;4;MDU;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Aalmoezenierstraat;76;;
ANTWERPEN-WEST - FH08;4507723;0;3;0;3;MDU;;Y;NA;4;4;Beschermd Erfgoed;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Begijnenstraat;22;;
ANTWERPEN-WEST - FH08;1739665;3;0;0;3;MDU;;Y;NA;4;4;Beschermd Erfgoed;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Begijnenstraat;26;;
ANTWERPEN-WEST - FH08;49172;0;4;0;4;MDU;;Y;NA;4;4;Beschermd Erfgoed;1 Unit in CRAB, Gevangenis in GM.;;;BUILDING template;Begijnenstraat;42;;
ANTWERPEN-WEST - FH08;1739681;7;1;0;8;MDU;;Y;NA;4;4;Beschermd Erfgoed;3 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Begijnenstraat;66;;
ANTWERPEN-WEST - FH08;49169;1;0;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Begijnenstraat;68;;
ANTWERPEN-WEST - FH08;60902;4;0;0;4;MDU;;Y;NA;4;4;Beschermd Erfgoed;3 Units in CRAB, 4 bussen in GM.;;;BUILDING template;Bogaardestraat;2;;
ANTWERPEN-WEST - FH08;4511199;1;0;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Bogaardestraat;4;;
ANTWERPEN-WEST - FH08;4511200;1;0;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Bogaardestraat;6;;
ANTWERPEN-WEST - FH08;1752870;0;1;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Bogaardestraat;18;;
ANTWERPEN-WEST - FH08;49196;1;0;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Bogaardestraat;58;;
ANTWERPEN-WEST - FH08;198789;1;0;0;1;SDU;;N;MON;2;0;Monument;;;;BUILDING template;Bredestraat;2;;
ANTWERPEN-WEST - FH08;1778750;0;1;0;1;SDU;;N;MON;2;0;Monument;;;;BUILDING template;Bredestraat;4;;
ANTWERPEN-WEST - FH08;1778758;1;0;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Bredestraat;6;;
ANTWERPEN-WEST - FH08;1778763;2;1;0;3;MDU;;N;MON;4;0;Monument;;;;BUILDING template;Bredestraat;8;;
ANTWERPEN-WEST - FH08;1934044;1;0;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Happaertstraat;15;;
ANTWERPEN-WEST - FH08;1934063;1;0;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Happaertstraat;17;;
ANTWERPEN-WEST - FH08;1934097;1;0;0;1;SDU;;N;MON;2;0;Monument;;;;BUILDING template;Happaertstraat;23;;
ANTWERPEN-WEST - FH08;1934120;1;1;0;2;MDU;;N;MON;4;0;Monument;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Happaertstraat;25;;
ANTWERPEN-WEST - FH08;1934140;1;0;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Happaertstraat;30;;
ANTWERPEN-WEST - FH08;1934194;2;0;0;2;MDU;;Y;NA;4;4;Beschermd Erfgoed;1 Unit in CRAB, 2 bellen in GM.;;;BUILDING template;Happaertstraat;32;;
ANTWERPEN-WEST - FH08;4511197;1;0;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Happaertstraat;34;;
ANTWERPEN-WEST - FH08;4511198;1;0;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Happaertstraat;36;;
ANTWERPEN-WEST - FH08;1934257;1;0;0;1;SDU;;N;MON;2;0;Monument;;;;BUILDING template;Happaertstraat;38;;
ANTWERPEN-WEST - FH08;4105364;0;1;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;IJzerenwaag;4;;
ANTWERPEN-WEST - FH08;4504965;0;1;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;IJzerenwaag;7;;
ANTWERPEN-WEST - FH08;4504967;4;0;0;4;MDU;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;IJzerenwaag;9;;
ANTWERPEN-WEST - FH08;1948488;1;0;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;IJzerenwaag;11;;
ANTWERPEN-WEST - FH08;49005;0;2;0;2;MDU;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Kammenstraat;28;;
ANTWERPEN-WEST - FH08;1959760;3;1;0;4;MDU;;Y;NA;4;4;Beschermd Erfgoed;3 Units in CRAB, 4 bellen in GM.;;;BUILDING template;Kammenstraat;30;;
ANTWERPEN-WEST - FH08;1959762;1;1;0;2;MDU;;N;MON;4;0;Monument;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Kammenstraat;32;;
ANTWERPEN-WEST - FH08;48995;2;1;0;3;MDU;;N;MON;4;0;Monument;1 Unit in CRAB en GM.;;;BUILDING template;Kammenstraat;34;;
ANTWERPEN-WEST - FH08;48997;0;1;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Kammenstraat;40;;
ANTWERPEN-WEST - FH08;48999;0;1;0;1;SDU;;N;MON;2;0;Monument;;;;BUILDING template;Kammenstraat;50;;
ANTWERPEN-WEST - FH08;1959783;3;1;0;4;MDU;;Y;NA;4;4;Beschermd Erfgoed;1 Unit in CRAB, 4 in GM;;;BUILDING template;Kammenstraat;54;;
ANTWERPEN-WEST - FH08;1959788;1;0;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Kammenstraat;62;;
ANTWERPEN-WEST - FH08;1959790;0;1;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Kammenstraat;64;;
