Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
ANTWERPEN-WEST - FH03;1396178;0;1;0;1;SDU;;Y;NA;4;4;;OK (IDEM CRAB);Y;;BUILDING template;Lange Brilstraat;14;;
ANTWERPEN-WEST - FH03;3928221;1;0;0;1;SDU;;N;IRREG;3;4;Beschermd Erfgoed;;Y;BE;BUILDING template;Raapstraat;33;;
ANTWERPEN-WEST - FH03;1938908;0;1;0;1;SDU;;Y;NA;3;4;Beschermd Erfgoed;;;;BUILDING template;Pieter van Hobokenstraat;9;;
ANTWERPEN-WEST - FH03;1938916;1;0;0;1;SDU;;Y;NA;4;4;;;;;BUILDING template;Pieter van Hobokenstraat;11;;
ANTWERPEN-WEST - FH03;1479727;0;1;0;1;SDU;;Y;NA;4;4;;"Volgens CRAB is er hier 1 LU
Op Google Maps is er 1 bus (winkel)";Y;;BUILDING template;Klapdorp;66;;
ANTWERPEN-WEST - FH03;3970829;0;1;0;1;SDU;;Y;NA;4;4;Beschermd Erfgoed;;Y;BE;BUILDING template;Italiëlei;82;;
ANTWERPEN-WEST - FH03;1938935;0;1;0;1;SDU;;Y;NA;3;4;;;;;BUILDING template;Pieter van Hobokenstraat;17;;
ANTWERPEN-WEST - FH03;1938949;0;1;0;1;SDU;;Y;NA;3;4;;;;;BUILDING template;Pieter van Hobokenstraat;19;;
ANTWERPEN-WEST - FH03;3993648;1;0;0;1;SDU;;N;ORN;3;4;Beschermd Erfgoed;OK (IDEM CRAB);Y;BE;BUILDING template;Hamerplaats;4;;
ANTWERPEN-WEST - FH03;3995724;0;1;0;1;SDU;;Y;NA;3;4;Beschermd Erfgoed;;Y;BE;BUILDING template;Grote Kauwenberg;32;;
ANTWERPEN-WEST - FH03;3999432;0;1;0;1;SDU;;Y;NA;4;4;;OK (IDEM CRAB);Y;;BUILDING template;Paardenmarkt;100;;
ANTWERPEN-WEST - FH03;1138871;1;0;0;1;SDU;;Y;NA;3;4;;;;;BUILDING template;Lange Noordstraat;40;;
ANTWERPEN-WEST - FH03;4009408;0;1;0;1;SDU;;Y;NA;2;4;;;Y;;BUILDING template;Blindestraat;7;;
ANTWERPEN-WEST - FH03;4011075;1;0;0;1;SDU;;Y;NA;3;4;;OK (IDEM CRAB);Y;;BUILDING template;Paardenmarkt;46;;
ANTWERPEN-WEST - FH03;1751683;0;1;0;1;SDU;;Y;NA;3;4;;"Volgens CRAB is er hier 1 LU
Op Google Maps niet controleerbaar";Y;;BUILDING template;Van Boendalestraat;5;;
