Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
KNOKKE-HEIST - FH11;292523;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Eieburg;6;;;70825,88;225976,58
KNOKKE-HEIST - FH11;2759512;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Eieburg;8;;;70819,74;225972,26
KNOKKE-HEIST - FH11;4067242;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Eieburg;10;;;70809,03;225964,22
KNOKKE-HEIST - FH11;2759514;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Eieburg;12;;;70803,34;225959,88
KNOKKE-HEIST - FH11;2759515;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Eieburg;14;;;70797,28;225956,05
KNOKKE-HEIST - FH11;292520;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Eieburg;16;;;70792,02;225951,25
KNOKKE-HEIST - FH11;299851;1;0;0;1;SDU;;N;IRREG;2;3;;;Y;_;BUILDING template;Felix Timmermansstraat;1;;;71571,84;225827,03
KNOKKE-HEIST - FH11;1518714;1;0;0;1;SDU;;N;IRREG;3;5;;;Y;_;BUILDING template;Felix Timmermansstraat;2;;;71573,565;225795,148
KNOKKE-HEIST - FH11;2766867;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;3;;;71578,565;225823,148
KNOKKE-HEIST - FH11;4336393;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;5;;;71585;225820
KNOKKE-HEIST - FH11;4336394;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;7;;;71592;225821
KNOKKE-HEIST - FH11;299852;1;0;0;1;SDU;;N;IRREG;3;5;;;Y;_;BUILDING template;Felix Timmermansstraat;8;;;71581,565;225791,148
KNOKKE-HEIST - FH11;2766869;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;9;;;71603,995;225814,958
KNOKKE-HEIST - FH11;2766871;1;0;0;1;SDU;;N;IRREG;4;5;;;Y;Review Required;BUILDING template;Felix Timmermansstraat;10;;;71588,565;225788,148
KNOKKE-HEIST - FH11;2766872;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;11;;;71607,565;225809,148
KNOKKE-HEIST - FH11;2766873;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;13;;;71613,565;225806,148
KNOKKE-HEIST - FH11;2766875;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;14;;;71600,96;225781,8
KNOKKE-HEIST - FH11;2766876;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;15;;;71618,565;225804,148
KNOKKE-HEIST - FH11;2766877;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;16;;;71607,565;225780,148
KNOKKE-HEIST - FH11;2766879;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;17;;;71626,57;225806,36
KNOKKE-HEIST - FH11;4336382;1;0;0;1;SDU;;N;IRREG;3;4;;;Y;_;BUILDING template;Felix Timmermansstraat;18;;;71618;225775
KNOKKE-HEIST - FH11;2766880;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;19;;;71629,91;225799,46
KNOKKE-HEIST - FH11;2766881;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;20;;;71623,565;225770,148
KNOKKE-HEIST - FH11;2766882;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;21;;;71649,565;225791,148
KNOKKE-HEIST - FH11;2766883;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;22;;;71629,565;225768,148
KNOKKE-HEIST - FH11;299814;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;23;;;71655,565;225787,148
KNOKKE-HEIST - FH11;4012903;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;24;;;71635,565;225766,148
KNOKKE-HEIST - FH11;2766885;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;25;;;71660,565;225786,148
KNOKKE-HEIST - FH11;299815;3;0;0;3;MDU;D;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;26;;;71640,431;225765,417
KNOKKE-HEIST - FH11;299817;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;27;;;71666,565;225784,148
KNOKKE-HEIST - FH11;299816;3;0;0;3;MDU;D;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;28;;;71651,246;225759,773
KNOKKE-HEIST - FH11;2766888;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;30;;;71658,565;225755,148
KNOKKE-HEIST - FH11;1500636;6;0;0;6;MDU;D;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;31;;;71675,926;225781,056
KNOKKE-HEIST - FH11;2766889;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;32;;;71663,06;225750,83
KNOKKE-HEIST - FH11;2766891;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;34;;;71669,565;225750,148
KNOKKE-HEIST - FH11;1479041;1;0;0;1;SDU;;N;IRREG;3;4;;;Y;_;BUILDING template;Felix Timmermansstraat;36;;;71674,204;225795,334
KNOKKE-HEIST - FH11;2766893;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;37;;;71697,229;225770,344
KNOKKE-HEIST - FH11;2766894;1;0;0;1;SDU;;N;IRREG;3;4;;;Y;Review Required;BUILDING template;Felix Timmermansstraat;38;;;71679,565;225746,149
KNOKKE-HEIST - FH11;2766895;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;39;;;71702,565;225766,149
KNOKKE-HEIST - FH11;2766896;3;0;0;3;MDU;D;N;IRREG;3;4;;;Y;Review Required;BUILDING template;Felix Timmermansstraat;40;;;71684,091;225744,963
KNOKKE-HEIST - FH11;2766897;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;41;;;71708,111;225764,85
KNOKKE-HEIST - FH11;2766899;3;0;0;3;MDU;D;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;42;;;71689,509;225741,713
KNOKKE-HEIST - FH11;2766900;3;0;0;3;MDU;D;N;IRREG;3;3;;;Y;_;BUILDING template;Felix Timmermansstraat;43;;;71712,204;225763,984
