Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Adres;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
KNOKKE-HEIST - FH08;317246;13;0;0;13;MDU;;Y;NA;4;4;Rozenlaan3;;11 Units in CRAB, 10 in GM.;;;BUILDING template;Rozenlaan;3;;;73565,315;226887,447
KNOKKE-HEIST - FH08;1456221;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand458;;14 units in CRAB en GM.;;;BUILDING template;Zeedijk-Albertstrand;458;;;73493;226877
KNOKKE-HEIST - FH08;245254;1;0;0;1;SDU;;Y;NA;2;4;Elizabetlaan208;;8 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Elizabetlaan;208;;;73525;226701
KNOKKE-HEIST - FH08;245261;1;0;0;1;SDU;;Y;NA;2;4;Rozenlaan2;;17 Units in CRAB, aantal onduidelijk in GM.;;;BUILDING template;Rozenlaan;2;;;73538;226884
KNOKKE-HEIST - FH08;245263;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand450;;20 units in CRAB, 19 in GM.;;;BUILDING template;Zeedijk-Albertstrand;450;;;73426;226856
KNOKKE-HEIST - FH08;245264;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand451;;27 units in CRAB, 26 in GM.;;;BUILDING template;Zeedijk-Albertstrand;451;;;73444;226857
KNOKKE-HEIST - FH08;245265;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand452;;19 units in CRAB, 18 in GM.;;;BUILDING template;Zeedijk-Albertstrand;452;;;73456;226867
KNOKKE-HEIST - FH08;245266;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand459;;17 units in CRAB en in GM.;;;BUILDING template;Zeedijk-Albertstrand;459;;;73508;226887
KNOKKE-HEIST - FH08;245267;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand449;;14 units in CRAB, 12 in GM.;;;BUILDING template;Zeedijk-Albertstrand;449;;;73411;226850
KNOKKE-HEIST - FH08;245268;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand460;;1 Unit in CRAB en GM.;;;BUILDING template;Zeedijk-Albertstrand;460;;;73514;226894
KNOKKE-HEIST - FH08;245269;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand462;;9 units in CRAB, 8 in GM.;;;BUILDING template;Zeedijk-Albertstrand;462;;;73520;226898
KNOKKE-HEIST - FH08;245270;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand464;;23 units in CRAB en GM.;;;BUILDING template;Zeedijk-Albertstrand;464;;;73529;226902
KNOKKE-HEIST - FH08;245273;1;0;0;1;SDU;;Y;NA;2;4;Jozef Nellenslaan93;;8 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Jozef Nellenslaan;93;;;73514;226851
KNOKKE-HEIST - FH08;2757511;1;0;0;1;SDU;;Y;NA;2;4;Acacialaan2A;;1 Unit in CRAB, niet duidelijk in GM.;;;BUILDING template;Acacialaan;2;A;;73452;226345
KNOKKE-HEIST - FH08;2757794;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand456;;18 units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Albertstrand;456;;;73479;226873
KNOKKE-HEIST - FH08;2757808;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand466;;22 units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Albertstrand;466;;;73566;226921
KNOKKE-HEIST - FH08;2757812;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand467;;22 units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Albertstrand;467;;;73579;226923
KNOKKE-HEIST - FH08;2757815;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand472;;8 units in CRAB en GM.;;;BUILDING template;Zeedijk-Albertstrand;472;;;73662;226953
KNOKKE-HEIST - FH08;2757816;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand473;;15 units in CRAB, 14 in GM.;;;BUILDING template;Zeedijk-Albertstrand;473;;;73670;226958
KNOKKE-HEIST - FH08;2757819;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand476;;15 units in CRAB, 14 in GM.;;;BUILDING template;Zeedijk-Albertstrand;476;;;73699;226969
KNOKKE-HEIST - FH08;2757821;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand479;;1 unit in CRAB en GM.;;;BUILDING template;Zeedijk-Albertstrand;479;;;73725;226978
KNOKKE-HEIST - FH08;2759498;1;0;0;1;SDU;;Y;NA;2;4;Eeuwfeestlaan44;;6 Units in CRAB, aantal onduidelijk in GM.;;;BUILDING template;Eeuwfeestlaan;44;;;73869;226470
KNOKKE-HEIST - FH08;2761095;1;0;0;1;SDU;;Y;NA;2;4;Kapellaan41;;1 Unit in CRAB en GM.;;;BUILDING template;Kapellaan;41;;;73751;226484
KNOKKE-HEIST - FH08;2762733;1;0;0;1;SDU;;Y;NA;2;4;Lentelaan9;;7 Units in CRAB en GM.;;;BUILDING template;Lentelaan;9;;;73326;226782
KNOKKE-HEIST - FH08;2764284;1;0;0;1;SDU;;Y;NA;2;4;Jozef Nellenslaan87;;10 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Jozef Nellenslaan;87;;;73456;226830
KNOKKE-HEIST - FH08;2764288;1;0;0;1;SDU;;Y;NA;2;4;Jozef Nellenslaan91;;1 Unit in CRAB, niet in GM.;;;BUILDING template;Jozef Nellenslaan;91;;;73495;226853
KNOKKE-HEIST - FH08;317237;1;0;0;1;SDU;;Y;NA;2;4;Zeerobbenlaan2;;1 Unit in CRAB, niet in GM.;;;BUILDING template;Zeerobbenlaan;2;;;73599;226929
KNOKKE-HEIST - FH08;317239;1;0;0;1;SDU;;Y;NA;2;4;Zeerobbenlaan10;;10 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeerobbenlaan;10;;;73633;226898
KNOKKE-HEIST - FH08;317245;1;0;0;1;SDU;;Y;NA;2;4;Rozenlaan1;;16 Units in CRAB, in GM aantal onduidelijk.;;;BUILDING template;Rozenlaan;1;;;73568;226900
KNOKKE-HEIST - FH08;317248;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand468;;23 units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Albertstrand;468;;;73595;226931
KNOKKE-HEIST - FH08;317502;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand469;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Albertstrand;469;;;73633;226943
KNOKKE-HEIST - FH08;317503;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand470;;13 units in CRAB, 12 in GM.;;;BUILDING template;Zeedijk-Albertstrand;470;;;73650;226949
KNOKKE-HEIST - FH08;317504;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand474;;18 units in CRAB, 14 in GM.;;;BUILDING template;Zeedijk-Albertstrand;474;;;73681;226963
KNOKKE-HEIST - FH08;317505;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand475;;11 units in CRAB, 9 in GM.;;;BUILDING template;Zeedijk-Albertstrand;475;;;73690;226966
KNOKKE-HEIST - FH08;317506;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand478;;9 units in CRAB en GM.;;;BUILDING template;Zeedijk-Albertstrand;478;;;73718;226975
KNOKKE-HEIST - FH08;317507;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand477;;15 units in CRAB, 14 in GM.;;;BUILDING template;Zeedijk-Albertstrand;477;;;73710;226973
KNOKKE-HEIST - FH08;317508;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand480;;3 Units in CRAB, 13 in GM.;;;BUILDING template;Zeedijk-Albertstrand;480;;;73728;226989
