Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
HASSELT - FH05;2423301;1;0;0;1;SDU;;N;IRREG;3;0;;;Y;_;BUILDING template;Kroonwinningstraat;27;;
HASSELT - FH05;328569;1;0;0;1;SDU;;Y;NA;3;4;;;Y;_;BUILDING template;Zomerstraat;17;;
HASSELT - FH05;NB-350032700758;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;_;BUILDING template;Winterstraat;32;;
HASSELT - FH05;4897827;1;0;0;1;SDU;;N;IRREG;3;0;;;Y;;BUILDING template;Kroonwinningstraat;52;;
HASSELT - FH05;328385;1;0;0;1;SDU;;N;ORN;3;0;;;Y;_;BUILDING template;Kroonwinningstraat;58;;
HASSELT - FH05;2423346;1;0;0;1;SDU;;N;GLASS;2;0;;;Y;_;BUILDING template;Kroonwinningstraat;60;;
HASSELT - FH05;328384;1;0;0;1;SDU;;N;IRREG;2;0;;;Y;;BUILDING template;Kroonwinningstraat;61;;
HASSELT - FH05;2448946;1;0;0;1;SDU;;Y;NA;2;4;;;Y;_;BUILDING template;Zomerstraat;19;;
HASSELT - FH05;2423350;1;0;0;1;SDU;;N;IRREG;3;0;;;Y;;BUILDING template;Kroonwinningstraat;65;;
HASSELT - FH05;2423352;1;0;0;1;SDU;;N;IRREG;2;0;;;Y;_;BUILDING template;Kroonwinningstraat;70;;
HASSELT - FH05;2423355;1;0;0;1;SDU;;N;IRREG;2;0;;;Y;_;BUILDING template;Kroonwinningstraat;72;;
HASSELT - FH05;NB-35003514c800;1;0;0;1;SDU;;N;IRREG;2;0;;;;_;BUILDING template;Winterstraat;35;;
HASSELT - FH05;2412563;1;0;0;1;SDU;;Y;NA;2;4;;;Y;;BUILDING template;Danielsstraat;8;;
HASSELT - FH05;2448953;1;0;0;1;SDU;;Y;NA;3;4;;;Y;_;BUILDING template;Zomerstraat;21;;
HASSELT - FH05;2426459;1;0;0;1;SDU;;N;IRREG;3;0;;;Y;_;BUILDING template;Luikersteenweg;138;;
HASSELT - FH05;2426463;8;0;0;8;MDU;;N;ORN;3;0;;;Y;_;BUILDING template;Luikersteenweg;140;A;
HASSELT - FH05;2426466;5;0;0;5;MDU;;N;ORN;3;0;;;Y;_;BUILDING template;Luikersteenweg;140;B;
HASSELT - FH05;2426476;1;0;0;1;SDU;;N;ORN;3;0;;;Y;;BUILDING template;Luikersteenweg;146;A;
HASSELT - FH05;1164602;0;1;1;2;MDU;;N;ORN;3;0;;;Y;;BUILDING template;Luikersteenweg;228;;
HASSELT - FH05;328577;0;1;1;2;MDU;;N;IRREG;2;0;;;Y;;BUILDING template;Oude Luikerbaan;83;;
HASSELT - FH05;4215406;1;0;0;1;SDU;;Y;NA;3;4;;;Y;_;BUILDING template;Zomerstraat;23;;
HASSELT - FH05;2426315;1;0;0;1;SDU;;N;ORN;3;0;;;Y;_;BUILDING template;Oude Luikerbaan;106;;
HASSELT - FH05;328542;1;0;0;1;SDU;;N;ORN;2;0;;;Y;_;BUILDING template;Oude Luikerbaan;107;;
HASSELT - FH05;2426322;1;0;0;1;SDU;;N;HEIGHT;3;0;;;Y;_;BUILDING template;Oude Luikerbaan;122;;
HASSELT - FH05;2426323;1;0;0;1;SDU;;N;ORN;3;0;;;Y;_;BUILDING template;Oude Luikerbaan;126;;
HASSELT - FH05;328546;1;0;0;1;SDU;;N;IRREG;3;0;;;Y;_;BUILDING template;Oude Luikerbaan;138;;
HASSELT - FH05;2426326;1;0;0;1;SDU;;N;IRREG;2;0;;;Y;_;BUILDING template;Oude Luikerbaan;140;;
