Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
ANTWERPEN-WEST - FH08;1948515;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;IJzerenwaag;16;;;152244,63;211871,212
ANTWERPEN-WEST - FH08;60911;4;0;0;4;MDU;;Y;NA;4;4;;;Y;_;BUILDING template;Schoytestraat;26;;;152158,777;211664,008
ANTWERPEN-WEST - FH08;49169;8;1;0;9;MDU;;Y;NA;4;5;Beschermd Erfgoed;;Y;_;BUILDING template;Begijnenstraat;68;;Begijnenstraat 66-68;152241,467;211372,433
ANTWERPEN-WEST - FH08;1959760;4;1;0;5;MDU;;Y;NA;4;4;Beschermd Erfgoed;3 Units in CRAB, 4 bellen in GM.;Y;_;BUILDING template;Kammenstraat;30;;;152211,892;211940,256
ANTWERPEN-WEST - FH08;60912;1;0;0;1;SDU;;Y;NA;2;3;;;Y;_;BUILDING template;Schoytestraat;75;;;152306,95;211626,933
ANTWERPEN-WEST - FH08;49174;4;1;0;5;MDU;;Y;NA;4;4;;;Y;_;BUILDING template;Nationalestraat;153;;Nationalestraat 153_Sint Rochusstraat 1;152024,533;211436,878
ANTWERPEN-WEST - FH08;1959762;1;1;0;2;MDU;;N;MON;3;4;Monument;1 Unit in CRAB, onduidelijk in GM.;Y;_;BUILDING template;Kammenstraat;32;;;152216,386;211932,893
ANTWERPEN-WEST - FH08;60913;6;0;0;6;MDU;;Y;NA;4;3;;1 Unit in CRAB, aantal onduidelijk in GM.;Y;_;BUILDING template;Schoytestraat;37;;Schoytestraat 37-39;152217,405;211661,485
ANTWERPEN-WEST - FH08;49177;0;1;0;1;SDU;;Y;NA;4;4;Beschermd Erfgoed;;Y;_;BUILDING template;Nationalestraat;91;;;152078,922;211607,635
ANTWERPEN-WEST - FH08;1959772;0;1;0;1;SDU;;Y;NA;4;4;;;Y;_;BUILDING template;Kammenstraat;42;;;152236,071;211897,852
ANTWERPEN-WEST - FH08;60915;4;1;0;5;MDU;;Y;NA;5;4;;;Y;_;BUILDING template;Schoytestraat;1;;;152114,778;211699,397
ANTWERPEN-WEST - FH08;49183;0;3;0;3;MDU;;N;GLASS;4;4;;;Y;Review Required;BUILDING template;Aalmoezenierstraat;12;;Aalmoezenierstraat 12-14-16;152113,467;211595,679
