Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
SINT-NIKLAAS - FH02;61714;1;0;0;1;SDU;;Y;NA;4;4;;;Y;;BUILDING template;Vermorgenstraat;39;;;134390,558;206663,931
SINT-NIKLAAS - FH02;68406;12;0;1;13;MDU;C;N;IRREG;4;15;;;;Ondergrondse distributie, 3 stijgleidingen 3 DTP;BUILDING template;Zwijgershoek;11;;;134350,621;206273,348
SINT-NIKLAAS - FH02;1513989;1;0;0;1;SDU;;Y;NA;2;6;;;Y;;BUILDING template;Walburgstraat;62;;;134533,797;205929,113
SINT-NIKLAAS - FH02;3508926;1;0;0;1;SDU;;N;IRREG;4;12;;;Y;;BUILDING template;August Nobelsstraat;5;;;134361,303;205687,141
SINT-NIKLAAS - FH02;1513986;1;0;0;1;SDU;;Y;NA;2;9;;;Y;;BUILDING template;Walburgstraat;59;;;134507,157;205917,371
SINT-NIKLAAS - FH02;6427374;1;0;0;1;SDU;;N;IRREG;3;9;;;;_;BUILDING template;Sint-Vincentiusstraat;9;A;;134806,487;206048,558
SINT-NIKLAAS - FH02;3490703;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;De Gravestraat;33;;;134544,091;206728,833
SINT-NIKLAAS - FH02;63267;1;0;0;1;SDU;;Y;NA;2;7;;;Y;;BUILDING template;Antwerpse Steenweg;2;;;134846,487;206380,913
SINT-NIKLAAS - FH02;4032571;0;1;0;1;SDU;;N;IRREG;2;7;;;;;BUILDING template;Zwijgershoek;15;;;134369,391;206278,137
SINT-NIKLAAS - FH02;1513991;1;0;0;1;SDU;;Y;NA;3;6;;;Y;;BUILDING template;Walburgstraat;64;;;134539,796;205926,89
SINT-NIKLAAS - FH02;3508932;4;0;1;5;MDU;D;N;IRREG;4;12;;;Y;;BUILDING template;August Nobelsstraat;7;;;134353,714;205679,213
SINT-NIKLAAS - FH02;1513988;1;0;0;1;SDU;;Y;NA;2;9;;;Y;;BUILDING template;Walburgstraat;61;;;134514,246;205915,053
SINT-NIKLAAS - FH02;3501733;1;0;0;1;MDU;D;Y;NA;2;6;;;;;BUILDING template;Lamstraat;38;A;Lamstraat 38-38A;134981,443;206052,117
SINT-NIKLAAS - FH02;4448914;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;De Gravestraat;35;;;134548,119;206727,856
SINT-NIKLAAS - FH02;3484913;1;0;0;1;SDU;;Y;NA;2;7;;;Y;;BUILDING template;Antwerpse Steenweg;4;;;134852,144;206380,626
SINT-NIKLAAS - FH02;3483874;1;0;0;1;SDU;;N;IRREG;2;7;;;;;BUILDING template;Zwijgershoek;21;;;134390,117;206284,636
SINT-NIKLAAS - FH02;1513993;1;0;0;1;SDU;;Y;NA;2;6;;;Y;;BUILDING template;Walburgstraat;66;;;134546,171;205924,381
SINT-NIKLAAS - FH02;3508947;4;0;2;6;MDU;D;N;IRREG;4;12;;;Y;Kwadrant D met virtuele BDF0 aangezien hier UG street survey.;BUILDING template;August Nobelsstraat;9;;;134347,858;205672,195
SINT-NIKLAAS - FH02;1513990;1;0;0;1;SDU;;Y;NA;2;8;;;Y;;BUILDING template;Walburgstraat;63;;;134521,648;205912,992
SINT-NIKLAAS - FH02;4448222;1;0;0;1;SDU;;N;IRREG;3;9;;;;_;BUILDING template;Truweelstraat;14;;;134571,326;206514,441
SINT-NIKLAAS - FH02;4448916;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;De Gravestraat;37;;;134551,959;206726,807
SINT-NIKLAAS - FH02;3484914;3;0;0;3;MDU;D;Y;NA;3;9;;;Y;;BUILDING template;Antwerpse Steenweg;6;;;134858,442;206382,633
SINT-NIKLAAS - FH02;4444833;1;0;0;1;SDU;;N;IRREG;2;7;;;;;BUILDING template;Zwijgershoek;17;;;134377,905;206279,928
SINT-NIKLAAS - FH02;1513995;1;0;0;1;SDU;;Y;NA;2;6;;;Y;;BUILDING template;Walburgstraat;68;;;134551,51;205922,462
SINT-NIKLAAS - FH02;91081;4;0;1;5;MDU;D;N;IRREG;4;12;;;Y;;BUILDING template;August Nobelsstraat;11;;;134342,364;205664,348
SINT-NIKLAAS - FH02;1513992;1;0;0;1;SDU;;Y;NA;2;8;;;Y;;BUILDING template;Walburgstraat;65;;;134528,757;205910,784
SINT-NIKLAAS - FH02;3512120;1;0;0;1;MDU;C;N;IRREG;2;6;;;;;BUILDING template;Polderstraat;38;B;Polderstraat 38A-38B;134905,654;206093,115
SINT-NIKLAAS - FH02;3490709;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;De Gravestraat;39;;;134555,335;206726,213
SINT-NIKLAAS - FH02;3484917;1;0;0;1;SDU;;Y;NA;2;6;;;Y;;BUILDING template;Antwerpse Steenweg;8;;;134864,717;206384,533
