Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
ANTWERPEN-WEST - FH07;1873244;2;1;0;3;MDU;D;Y;NA;3;4;;;Y;;BUILDING template;Franckenstraat;13;;
ANTWERPEN-WEST - FH07;2061342;0;1;0;1;MDU;D;Y;NA;4;12;;;Y;;BUILDING template;Lange Vlierstraat;11;;Lange vlierstraat 11-13
ANTWERPEN-WEST - FH07;1737812;4;1;1;6;MDU;D;Y;NA;3;9;;;;;BUILDING template;Kloosterstraat;65;;
ANTWERPEN-WEST - FH07;5951254;5;0;2;7;MDU;D;Y;NA;5;4;;;;;BUILDING template;Van Craesbeeckstraat;7;;
ANTWERPEN-WEST - FH07;4509958;0;1;0;1;SDU;;Y;NA;3;9;;;Y;;BUILDING template;Franckenstraat;15;;
ANTWERPEN-WEST - FH07;4252190;1;0;0;1;SDU;;Y;NA;3;9;;;Y;;BUILDING template;Lange Vlierstraat;15;;
ANTWERPEN-WEST - FH07;5833183;0;1;0;1;SDU;;Y;NA;1;4;;;Y;;BUILDING template;Willem Lepelstraat;30;;
ANTWERPEN-WEST - FH07;5992875;4;0;2;6;MDU;D;N;IRREG;5;15;;;;;BUILDING template;Van Craesbeeckstraat;15;B;Van Craesbeeckstraat 11-13-13A-15-15B
ANTWERPEN-WEST - FH07;NB-200010d9f738;10;0;2;12;MDU;C;N;IRREG;5;;;;;_;BUILDING template;Prekersstraat;10;;
ANTWERPEN-WEST - FH07;1873255;0;1;0;1;SDU;;Y;NA;5;15;;;Y;;BUILDING template;Franckenstraat;17;;
ANTWERPEN-WEST - FH07;2061345;4;0;0;4;MDU;D;Y;NA;4;12;;;Y;;BUILDING template;Lange Vlierstraat;17;;
ANTWERPEN-WEST - FH07;6020132;8;1;0;9;MDU;E;Y;NA;5;4;;;;;BUILDING template;Pompstraat;37;;
