Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
EVERE - FH04;1620671;1;0;0;1;SDU;;Y;NA;2;4;;;;;BUILDING template;Haachtsesteenweg - Chaussee de Haecht;945;;;152221,663;173707,896
EVERE - FH04;1621534;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Walkiersstraat - Rue Walkiers;8;;;151591,651;174182,313
EVERE - FH04;1622496;1;0;0;1;SDU;;Y;NA;2;4;;;;;BUILDING template;H. Van Hammestraat - Rue H. Van Hamme;84;;;151998,462;173994,734
EVERE - FH04;1623138;5;0;0;5;MDU;;Y;NA;4;4;;;;;BUILDING template;Edward Stuckensstraat - Rue Edouard Stuckens;40;;;151820,891;173922,112
EVERE - FH04;1623541;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Jaak Ballingsstraat - Rue Jacques Ballings;4;;;152053,894;173713,132
EVERE - FH04;3916114;1;0;0;1;SDU;;Y;NA;2;4;;;;;BUILDING template;Picardiestraat - Rue Picardie;74;;;151788,349;174154,087
EVERE - FH04;827981;0;1;0;1;SDU;;Y;NA;2;4;;;;;BUILDING template;Haachtsesteenweg - Chaussee de Haecht;817;;;151847,945;173485,825
EVERE - FH04;830407;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Fr. Van Cutsemstraat - Rue Fr. Van Cutsem;15;;;152622,953;174596,242
EVERE - FH04;NB-11405100619;1;0;0;1;SDU;;Y;NA;2;4;;;Y;;BUILDING template;Stroobantsstraat - Rue Stroobants;51;;;151858;174368
EVERE - FH04;1620672;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Haachtsesteenweg - Chaussee de Haecht;947;;;152228,612;173711,437
EVERE - FH04;1621535;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Walkiersstraat - Rue Walkiers;10;;;151588,994;174187,163
EVERE - FH04;1622497;1;0;0;1;SDU;;Y;NA;2;4;;;;;BUILDING template;H. Van Hammestraat - Rue H. Van Hamme;86;;;152003,62;173998,335
EVERE - FH04;1623139;5;0;0;5;MDU;;Y;NA;4;4;;;;;BUILDING template;Edward Stuckensstraat - Rue Edouard Stuckens;44;;;151827,838;173924,353
EVERE - FH04;1623543;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Jaak Ballingsstraat - Rue Jacques Ballings;8;;;152065,445;173716,806
EVERE - FH04;3916128;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;P. Van Obberghenstraat - Rue P. Van Obberghen;4;;;151908,528;173918,455
EVERE - FH04;827982;12;0;0;12;MDU;;Y;NA;4;4;;;;;BUILDING template;Haachtsesteenweg - Chaussee de Haecht;827;;;151870,092;173511,401
