Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos;Distribution
LIÈGE - FH13;5351549;1;0;0;1;SDU;;N;IRREG;1;4;;;Y;_;BUILDING template;Rue des Chrysanthèmes;27;;;237407,225;147999,523;Underground
LIÈGE - FH13;667259;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Rue des Eglantines;1;;;237239,294;148032,108;Underground
LIÈGE - FH13;3132050;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Rue de Cornillon;88;;;236844,078;148225,277;Underground
LIÈGE - FH13;5355301;1;0;0;1;SDU;;N;IRREG;3;4;;;Y;_;BUILDING template;Rue des Eglantines;1;A;;237249,291;148034,911;Underground
LIÈGE - FH13;3101520;1;0;0;1;SDU;;N;IRREG;3;4;;;Y;_;BUILDING template;Rue du Bastion;15;;;237037,897;147980,289;Underground
LIÈGE - FH13;5191882;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Rue de Cornillon;90;;;236848,751;148226,478;Underground
LIÈGE - FH13;5191889;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Rue de Cornillon;92;;;236855,709;148227,578;Underground
LIÈGE - FH13;3139579;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Rue des Eglantines;3;;;237234,401;148020,111;Underground
LIÈGE - FH13;3139580;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Rue des Eglantines;4;;;237227,952;148058,611;Underground
LIÈGE - FH13;667453;1;0;0;1;SDU;;N;IRREG;3;9;;;Y;_;BUILDING template;Rue Joseph Dejardin;7;;;236851,045;148012,365;Underground
LIÈGE - FH13;3139581;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Rue des Eglantines;5;;;237229,2;148018,744;Underground
LIÈGE - FH13;5199013;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Rue des Eglantines;6;;;237219,207;148055,635;Underground
LIÈGE - FH13;3139582;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Rue des Eglantines;7;;;237224,03;148018,654;Underground
LIÈGE - FH13;3128947;1;0;0;1;SDU;;N;IRREG;3;4;;;Y;_;BUILDING template;Rue Winston-Churchill;99;;;237017,798;148402,7;Underground
LIÈGE - FH13;3139583;2;0;0;2;MDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Rue des Eglantines;8;;;237213,39;148056,362;Underground
LIÈGE - FH13;3139584;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Rue des Eglantines;9;;;237218,558;148016,006;Underground
LIÈGE - FH13;11306;1;0;0;1;SDU;;N;IRREG;2;5;;;Y;_;BUILDING template;Rue Joseph Dejardin;12;;;236859,331;148054,284;Underground
LIÈGE - FH13;1286442;6;0;0;6;MDU;;N;IRREG;4;6;;;Y;_;BUILDING template;Avenue Joseph-Merlot;196;;;237386,451;147926,468;Underground
LIÈGE - FH13;3139585;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Rue des Eglantines;10;;;237208,473;148052,76;Underground
LIÈGE - FH13;3139586;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Rue des Eglantines;11;;;237213,666;148014,049;Underground
LIÈGE - FH13;3137079;1;0;0;1;SDU;;N;IRREG;2;5;;;Y;_;BUILDING template;Rue Joseph Dejardin;14;;;236854,048;148049,808;Underground
LIÈGE - FH13;3139587;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Rue des Eglantines;12;;;237203,362;148051,88;Underground
LIÈGE - FH13;3139588;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Rue des Eglantines;13;;;237207,995;148006,267;Underground
LIÈGE - FH13;3139589;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Rue des Eglantines;14;;;237197,291;148051,53;Underground
LIÈGE - FH13;3137084;1;0;0;1;SDU;;N;IRREG;3;5;;;Y;_;BUILDING template;Rue Joseph Dejardin;18;;;236845,966;148041,199;Underground
LIÈGE - FH13;5199023;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Rue des Eglantines;15;;;237202,826;148011,773;Underground
LIÈGE - FH13;3139590;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Rue des Eglantines;16;;;237188,54;148056,434;Underground
LIÈGE - FH13;667451;1;0;0;1;SDU;;N;IRREG;2;6;;;Y;_;BUILDING template;Rue Joseph Dejardin;23;;;236798,659;147960,945;Underground
LIÈGE - FH13;1505628;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Rue des Eglantines;17;;;237198,016;148008,954;Underground
LIÈGE - FH13;670798;1;0;0;1;SDU;;N;IRREG;3;6;;;Y;_;BUILDING template;Rue Saumery;9;;;236496,841;147768,732;Underground
