Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
HASSELT - FH10;654403;1;0;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;1 Unit in CRAB, onduidelijk in GM.;;BUILDING template;Armand Hertzstraat;25;;;217853;181316;
HASSELT - FH10;6738605;1;0;0;1;SDU;;N;HEIGHT;2;4;Bouwgrond;Bouwgrond;;BUILDING template;Kempische Kaai;45;;;218103;181144;
HASSELT - FH10;6738606;1;0;0;1;SDU;;N;HEIGHT;2;4;Bouwgrond;Bouwgrond;;BUILDING template;Kempische Kaai;47;;;218100;181160;
HASSELT - FH10;6738607;1;0;0;1;SDU;;N;HEIGHT;2;4;Bouwgrond;Leeg perceel in GM. (2019);;BUILDING template;Breughellaan;10;;;217574;181146;
HASSELT - FH10;4849310;0;1;0;1;SDU;;Y;NA;2;4;;straat bestaat nog niet in CRAB, zou volgens satelietbeelden nog in aanbouw zijn.;;BUILDING template;Oude-Broekermolenstraat;13;;;217929;181245;
HASSELT - FH10;4855649;17;0;0;17;MDU;;Y;NA;4;4;;16 Units in CRAB, 12 bellen in GM.;;BUILDING template;Havenstraat;12;;;218276,7;181319,58;
HASSELT - FH10;701480;1;0;0;1;SDU;;Y;NA;2;4;;2 Units in CRAB, 1 in GM.;;BUILDING template;Anne Ruttenstraat;46;;;217302,461;181173,84;
HASSELT - FH10;4855655;7;0;0;7;MDU;;Y;NA;4;4;;SDU in GM en CRAB;;BUILDING template;Havenstraat;18;;;218266,1;181325,3;
HASSELT - FH10;701484;0;2;0;2;MDU;;Y;NA;4;4;;Bestaat niet in CRAB, sportcomplex in GM.;;BUILDING template;Alverbergstraat;73;;;217152,194;181416,393;
HASSELT - FH10;4860616;5;0;0;5;MDU;;Y;NA;4;4;;1 Unit in CRAB, MDU in GM, aantal onduidelijk.;;BUILDING template;Hovenstraat;31;;;218366,518;180902,669;
HASSELT - FH10;2418667;4;0;0;4;MDU;;Y;NA;4;4;;1 Unit in CRAB, 1 bel in GM.;;BUILDING template;Hovenstraat;16;;;218331,58;180940,347;
HASSELT - FH10;701507;1;0;0;1;SDU;;Y;NA;2;4;;2 Units in CRAB en GM.;;BUILDING template;Anne Ruttenstraat;52;;;217328,85;181218;
HASSELT - FH10;2420099;1;1;0;2;MDU;;N;HEIGHT;4;4;Bouwgrond;bestaat niet in CRAB, ziet er bouwgrond uit in GM.;;BUILDING template;Kempische Kaai;51;;;218101,112;181158,622;
HASSELT - FH10;2420133;0;2;0;2;MDU;;Y;NA;4;4;;1 Unit in CRAB, groot bedrijf in GM.;;BUILDING template;Kempische Kaai;85;;;218008,256;181612,592;
HASSELT - FH10;4878826;1;0;0;1;SDU;;Y;NA;2;4;;2 Units in CRAB en GM.;;BUILDING template;Korte Breestraat;131;;;217377,108;181509,7;
HASSELT - FH10;2420149;2;1;0;3;MDU;;Y;NA;4;4;;1 Unit in CRAB, lijkt in GM ook een SDU LU te zijn.;;BUILDING template;Kempische steenweg;7;;;218272,456;180893,112;
HASSELT - FH10;2420152;2;0;0;2;MDU;;Y;NA;4;4;;3 Units in CRAB en GM.;;BUILDING template;Kempische steenweg;9;;;218263,632;180901,349;
HASSELT - FH10;2420154;2;0;0;2;MDU;;Y;NA;4;4;;1 Unit in CRAB en GM.;;BUILDING template;Kempische steenweg;11;;;218264,11;180906,65;
