Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos;Fiberhood
LEUVEN - FH08;3048775;1;0;0;1;SDU;;Y;NA;3;4;Valkerijgang26;;;;;BUILDING template;Valkerijgang;26;;;173141;175210;
LEUVEN - FH08;3048779;1;0;0;1;SDU;;Y;NA;3;4;Valkerijgang28;;;;;BUILDING template;Valkerijgang;28;;;173139;175207;
LEUVEN - FH08;3048781;1;0;0;1;SDU;;Y;NA;3;4;Valkerijgang30;;;;;BUILDING template;Valkerijgang;30;;;173136;175204;
LEUVEN - FH08;3049391;1;0;0;1;SDU;;N;IRREG;3;4;Karel van Lotharingenstraat29;;6LU;;;BUILDING template;Karel van Lotharingenstraat;29;;;173349;174814;
LEUVEN - FH08;4789355;55;0;0;55;MDU;;Y;NA;3;4;Mechelsestraat99;;Huisnr 97-101;;;BUILDING template;Mechelsestraat;99;;;173206,123;174733,448;
LEUVEN - FH08;3923647;1;0;0;1;SDU;;Y;NA;3;4;Jan-Pieter Minckelersstraat131;;;;;BUILDING template;Jan-Pieter Minckelersstraat;131;;;173474;175160;
LEUVEN - FH08;3940997;1;0;0;1;SDU;;Y;NA;3;4;Sint-Geertruiabdij2;;;;;BUILDING template;Sint-Geertruiabdij;2;;;173217;174884;
LEUVEN - FH08;3940998;1;0;0;1;SDU;;N;MON;3;4;Sint-Geertruiabdij4;Monument;Monument;;;BUILDING template;Sint-Geertruiabdij;4;;;173232;174829;
LEUVEN - FH08;3941064;1;0;0;1;SDU;;Y;NA;3;4;Lombaardenstraat39;;;;;BUILDING template;Lombaardenstraat;39;;;173501;174906;
LEUVEN - FH08;3941244;1;0;0;1;SDU;;Y;NA;3;4;Kardinaalstraat59;;;;;BUILDING template;Kardinaalstraat;59;;;173521;175070;
LEUVEN - FH08;3941553;1;0;0;1;SDU;;Y;NA;3;4;Vaartstraat109;;KOT;;;BUILDING template;Vaartstraat;109;;;173358;174955;
LEUVEN - FH08;3972527;1;0;0;1;SDU;;Y;NA;3;4;Fonteinstraat26;;garage;;;BUILDING template;Fonteinstraat;26;;;172984;175160;
LEUVEN - FH08;3974809;1;0;0;1;SDU;;Y;NA;1;4;Sluisstraat3;;;;;BUILDING template;Sluisstraat;3;;;173288;174970;
LEUVEN - FH08;3974814;1;0;0;1;SDU;;N;MON;3;4;Klein Begijnhof11;Monument;MON: Klein Begijnenhof;;;BUILDING template;Klein Begijnhof;11;;;173221;175026;
LEUVEN - FH08;3975198;1;0;0;1;SDU;;N;ORN;3;4;Sint-Maartenstraat38;;KOT -dit pand heeft geen huisnummer en is mogelijks deel van nr 42 (eventueel te bevragen daar);;;BUILDING template;Sint-Maartenstraat;38;;;173554;174917;
LEUVEN - FH08;4782327;1;0;0;1;SDU;;Y;NA;3;4;Mechelsestraat143;;;;;BUILDING template;Mechelsestraat;143;;;173185;174895;
LEUVEN - FH08;4783539;1;0;0;1;SDU;;N;IRREG;3;4;Vaartstraat76;;;;;BUILDING template;Vaartstraat;76;;;173395;174948;
LEUVEN - FH08;4786185;1;0;0;1;SDU;;Y;NA;3;4;Glasblazerijstraat53;;;;;BUILDING template;Glasblazerijstraat;53;;;173173;175253;
LEUVEN - FH08;4800408;1;0;0;1;SDU;;Y;NA;3;4;Fonteinstraat58;;;;;BUILDING template;Fonteinstraat;58;;;172892;175122;
LEUVEN - FH08;4800673;1;0;0;1;SDU;;N;IRREG;3;4;Marrainenplein9;;;;;BUILDING template;Marrainenplein;9;;;173056;175147;
LEUVEN - FH08;4800676;1;0;0;1;SDU;;N;IRREG;3;4;Marrainenplein15;;;;;BUILDING template;Marrainenplein;15;;;173059;175129;
LEUVEN - FH08;4800677;1;0;0;1;SDU;;N;IRREG;3;4;Marrainenplein17;;;;;BUILDING template;Marrainenplein;17;;;173064;175125;
LEUVEN - FH08;4800679;1;0;0;1;SDU;;N;IRREG;3;4;Marrainenplein19;;;;;BUILDING template;Marrainenplein;19;;;173065;175119;
LEUVEN - FH08;4800680;1;0;0;1;SDU;;N;IRREG;3;4;Marrainenplein21;;;;;BUILDING template;Marrainenplein;21;;;173067;175114;
LEUVEN - FH08;4800681;1;0;0;1;SDU;;N;IRREG;3;4;Marrainenplein23;;;;;BUILDING template;Marrainenplein;23;;;173069;175109;
LEUVEN - FH08;4800683;1;0;0;1;SDU;;N;IRREG;3;4;Marrainenplein27;;;;;BUILDING template;Marrainenplein;27;;;173076;175098;
LEUVEN - FH08;5525115;1;0;0;1;SDU;;N;MON;3;4;Klein Begijnhof22A;Monument;MON: Klein Begijnenhof;;;BUILDING template;Klein Begijnhof;22;A;;173236;174992;
LEUVEN - FH08;5602531;1;0;0;1;SDU;;N;IRREG;3;4;Jan-Pieter Minckelersstraat43;;"HUISNR 41-43;";;;BUILDING template;Jan-Pieter Minckelersstraat;43;;;173624;174953;
LEUVEN - FH08;5636151;1;0;0;1;SDU;;N;IRREG;1;4;Jan-Pieter Minckelersstraat192;;school (in aanbouw?);;;BUILDING template;Jan-Pieter Minckelersstraat;192;;;173554;175105;
LEUVEN - FH08;5693026;1;0;0;1;SDU;;N;MON;2;4;Klein Begijnhof12;Monument;MON: Klein Begijnenhof;;;BUILDING template;Klein Begijnhof;12;;;173220;175030;
LEUVEN - FH08;5957172;1;0;0;1;SDU;;N;IRREG;3;4;Rijdende-Artillerielaan5;;;;;BUILDING template;Rijdende-Artillerielaan;5;;;173589;174862;
LEUVEN - FH08;5957173;1;0;0;1;SDU;;N;IRREG;3;4;Rijdende-Artillerielaan7;;;;;BUILDING template;Rijdende-Artillerielaan;7;;;173592;174868;
LEUVEN - FH08;5973548;1;0;0;1;SDU;;N;IRREG;3;4;Vaartstraat115C;;"KOT (15&amp;15C=14units/kamers) - achterliggend pand";;;BUILDING template;Vaartstraat;115;C;;173316;174987;
LEUVEN - FH08;5986059;1;0;0;1;SDU;;N;ORN;3;4;Mechelsestraat165;;;;;BUILDING template;Mechelsestraat;165;;;173154;174984;
LEUVEN - FH08;6041852;1;0;0;1;SDU;;N;IRREG;4;4;Penitentienenstraat11C;;HUISNR 11C-11D;;;BUILDING template;Penitentienenstraat;11;C;;173108;175009;
LEUVEN - FH08;6041853;1;0;0;1;SDU;;N;IRREG;4;4;Penitentienenstraat11D;;HUISNR 11C-11D;;;BUILDING template;Penitentienenstraat;11;D;;173105;175007;
LEUVEN - FH08;6326738;1;0;0;1;SDU;;N;IRREG;3;4;Fonteinstraat12C;;;;;BUILDING template;Fonteinstraat;12;C;;173024;175184;
LEUVEN - FH08;6328338;1;0;0;1;SDU;;N;IRREG;4;4;Penitentienenstraat13C;;HUISNR 11C-13E;;;BUILDING template;Penitentienenstraat;13;C;;173084;175002;
LEUVEN - FH08;6328409;1;0;0;1;SDU;;N;IRREG;4;4;Penitentienenstraat13E;;HUISNR 11C-13E;;;BUILDING template;Penitentienenstraat;13;E;;173081;175001;
LEUVEN - FH08;6357660;1;0;0;1;SDU;;N;IRREG;3;4;Riddersstraat262;;;;;BUILDING template;Riddersstraat;262;;;172998;175221;
LEUVEN - FH08;6384928;1;0;0;1;SDU;;Y;NA;3;4;Sint-Maartenstraat72;;;;;BUILDING template;Sint-Maartenstraat;72;;;173491;175022;
LEUVEN - FH08;6516890;1;0;0;1;SDU;;Y;NA;3;4;Fonteinstraat60;;;;;BUILDING template;Fonteinstraat;60;;;172889;175120;
LEUVEN - FH08;6552683;1;0;0;1;SDU;;Y;NA;3;4;Mechelsestraat182;;no home - parking - overspanning van 10m;;;BUILDING template;Mechelsestraat;182;;;173098;175177;
LEUVEN - FH08;6740271;1;0;0;1;SDU;;N;IRREG;3;4;Rijdende-Artillerielaan11;;;;;BUILDING template;Rijdende-Artillerielaan;11;;;173594;174880;
LEUVEN - FH08;6740272;1;0;0;1;SDU;;N;IRREG;3;4;Fonteinstraat54;;Garage+deur;;;BUILDING template;Fonteinstraat;54;;;172901;175127;
LEUVEN - FH08;6740273;1;0;0;1;SDU;;Y;NA;3;4;Fonteinstraat62;;;;;BUILDING template;Fonteinstraat;62;;;172884;175117;
LEUVEN - FH08;6741776;1;0;0;1;SDU;;N;IRREG;2;4;Mechelsestraat167;;no home - parking;;;BUILDING template;Mechelsestraat;167;;;173149,558;174993,416;
LEUVEN - FH08;6741777;1;0;0;1;SDU;;Y;NA;2;4;Mechelsestraat207;;no home -garage;;;BUILDING template;Mechelsestraat;207;;;173055,165;175213,856;
