Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos;Fiberhood
LEUVEN - FH08;6741778;1;0;0;1;SDU;;N;IRREG;2;4;Penitentienenstraat1;;no home - parking;;;BUILDING template;Penitentienenstraat;1;;;173137,208;175012,017;
LEUVEN - FH08;6741783;1;0;0;1;SDU;;N;NA;2;4;Riddersstraat264;;;;;BUILDING template;Riddersstraat;264;;;173006,215;175223,224;
LEUVEN - FH08;6741786;1;0;0;1;SDU;;N;NA;2;4;Sluisstraat1;Monument;exist? huisnummer 1 tegen de gevel, maar niet gekend in crab en valt mee binnen het pand van Halfmaartstr17 en deze valt onder Monumenten;;;BUILDING template;Sluisstraat;1;;;173284,653;174965,474;
LEUVEN - FH08;6741794;1;0;0;1;SDU;;Y;NA;2;4;Sluisstraat17;;;;;BUILDING template;Sluisstraat;17;;;173287,214;175009,218;
LEUVEN - FH08;4800696;1;0;0;1;SDU;;Y;NA;3;4;Penitentienenstraat26;;;;;BUILDING template;Penitentienenstraat;26;;;173053,091;175020,014;
LEUVEN - FH08;6741799;1;0;0;1;SDU;;Y;NA;2;4;Karel van Lotharingenstraat33;;niet genummerd, van pand nr63;;;BUILDING template;Karel van Lotharingenstraat;33;;;173360,933;174809,038;
LEUVEN - FH08;6741805;1;0;0;1;SDU;;N;IRREG;2;4;Mechelsestraat169;;no home - parking;;;BUILDING template;Mechelsestraat;169;;;173147,655;174998,311;
LEUVEN - FH08;6741806;1;0;0;1;SDU;;N;IRREG;2;4;Mechelsestraat171;;no home - parking;;;BUILDING template;Mechelsestraat;171;;;173145,117;175002,934;
LEUVEN - FH08;6741808;1;0;0;1;SDU;;N;IRREG;2;4;Mechelsestraat173;;no home - parking;;;BUILDING template;Mechelsestraat;173;;;173143,485;175007,285;
LEUVEN - FH08;6741809;1;0;0;1;SDU;;N;IRREG;2;4;Mechelsestraat175;;no home - parking;;;BUILDING template;Mechelsestraat;175;;;173142,488;175014,083;
LEUVEN - FH08;6741810;1;0;0;1;SDU;;N;IRREG;2;4;Mechelsestraat187;;"no-home parking; te koop:bouwgrond op Maps";;;BUILDING template;Mechelsestraat;187;;;173122,546;175064,664;
LEUVEN - FH08;6741811;1;0;0;1;SDU;;N;IRREG;2;4;Penitentienenstraat24;;;;;BUILDING template;Penitentienenstraat;24;;;173059,617;175021,663;
LEUVEN - FH08;6741816;1;0;0;1;SDU;;N;IRREG;2;4;Penitentienenstraat3;;no home - parking;;;BUILDING template;Penitentienenstraat;3;;;173130,573;175011,861;
LEUVEN - FH08;6741817;1;0;0;1;SDU;;N;IRREG;2;4;Penitentienenstraat8;;no home - deel van BU nr2;;;BUILDING template;Penitentienenstraat;8;;;173114,919;175027,369;
LEUVEN - FH08;6741818;1;0;0;1;SDU;;N;IRREG;2;4;Vaartstraat72;;no-home - grijze poort;;;BUILDING template;Vaartstraat;72;;;173400,948;174930,533;
LEUVEN - FH08;967081;6;0;0;6;MDU;;Y;NA;4;4;Mechelsestraat160;;;;;BUILDING template;Mechelsestraat;160;;;173163,846;175015,869;
LEUVEN - FH08;3004760;1;0;0;1;SDU;;N;MON;3;4;Sint-Geertruiabdij6;Monument;Monument;;Monument;BUILDING template;Sint-Geertruiabdij;6;;;173287,494;174878,893;
LEUVEN - FH08;1111478;1;0;0;1;SDU;;Y;NA;3;4;Lei49;;KOT;;;BUILDING template;Lei;49;;;173180;174695;
LEUVEN - FH08;1111479;1;0;0;1;SDU;;Y;NA;3;4;Lei57;;;;;BUILDING template;Lei;57;;;173210;174708;
LEUVEN - FH08;1135216;1;0;0;1;SDU;;N;IRREG;3;4;Riddersstraat272;;;;;BUILDING template;Riddersstraat;272;;;173025;175234;
LEUVEN - FH08;1201099;1;0;0;1;SDU;;N;MON;3;4;Sint-Geertruiabdij8;Monument;Monument;;;BUILDING template;Sint-Geertruiabdij;8;;;173231;174875;
LEUVEN - FH08;298429;1;0;0;1;SDU;;Y;NA;3;4;Kardinaalstraat22B;;;;;BUILDING template;Kardinaalstraat;22;B;;173542;175061;
LEUVEN - FH08;3007199;1;0;0;1;SDU;;Y;NA;3;4;La Vignette2;;;;;BUILDING template;La Vignette;2;;;172910;175053;
LEUVEN - FH08;3017579;1;0;0;1;SDU;;Y;NA;3;4;Fonteinstraat7;;;;;BUILDING template;Fonteinstraat;7;;;172918;175117;
LEUVEN - FH08;3017602;1;0;0;1;SDU;;Y;NA;3;4;Fonteinstraat34B;;exists? Huisnr. 34-34B;;;BUILDING template;Fonteinstraat;34;B;;172957;175155;
LEUVEN - FH08;3018877;1;0;0;1;SDU;;Y;NA;3;4;Glasblazerijstraat39;;HUISNR 31-39;;;BUILDING template;Glasblazerijstraat;39;;;173189;175216;
LEUVEN - FH08;3019853;1;0;0;1;SDU;;Y;NA;3;4;Halfmaartstraat2;;café;;;BUILDING template;Halfmaartstraat;2;;;173212;174906;
LEUVEN - FH08;3023305;1;0;0;1;SDU;;N;IRREG;3;4;Kardinaalstraat22A;;;;;BUILDING template;Kardinaalstraat;22;A;;173531;175050;
LEUVEN - FH08;3030448;1;0;0;1;SDU;;N;MON;3;4;Mechelsestraat92;Monument;"90/92 KOT &amp; MON";;;BUILDING template;Mechelsestraat;92;;;173206;174798;
LEUVEN - FH08;3030465;1;0;0;1;SDU;;Y;NA;3;4;Mechelsestraat100;;;;;BUILDING template;Mechelsestraat;100;;;173202;174826;
LEUVEN - FH08;3030485;1;0;0;1;SDU;;N;ORN;3;4;Mechelsestraat109;;huisnr 107-109;;;BUILDING template;Mechelsestraat;109;;;173188;174752;
LEUVEN - FH08;3030548;1;0;0;1;SDU;;Y;NA;3;4;Mechelsestraat131;;;;;BUILDING template;Mechelsestraat;131;;;173177;174868;
LEUVEN - FH08;3030574;1;0;0;1;SDU;;N;MON;3;4;Mechelsestraat147;Monument;;;;BUILDING template;Mechelsestraat;147;;;173184;174903;
LEUVEN - FH08;3030618;1;0;0;1;SDU;;Y;NA;3;4;Mechelsestraat179;;;;;BUILDING template;Mechelsestraat;179;;;173138;175042;
LEUVEN - FH08;3043505;1;0;0;1;SDU;;N;IRREG;3;4;Sluisstraat6;;;;;BUILDING template;Sluisstraat;6;;;173307;175050;
LEUVEN - FH08;3044860;1;0;0;1;SDU;;Y;NA;3;4;Sint-Maartenstraat20;;;;;BUILDING template;Sint-Maartenstraat;20;;;173571;174854;
LEUVEN - FH08;3048672;1;0;0;1;SDU;;Y;NA;3;4;Vaartstraat80;;KOT;;;BUILDING template;Vaartstraat;80;;;173380;174973;
LEUVEN - FH08;3048679;1;0;0;1;SDU;;Y;NA;3;4;Vaartstraat86;;;;;BUILDING template;Vaartstraat;86;;;173377;174988;
LEUVEN - FH08;3048705;1;0;0;1;SDU;;Y;NA;3;4;Vaartstraat103;;;;;BUILDING template;Vaartstraat;103;;;173358;174955;
LEUVEN - FH08;3048727;1;0;0;1;SDU;;N;IRREG;3;4;Vaartstraat123;;;;;BUILDING template;Vaartstraat;123;;;173358;175015;
