Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Kolom1;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
KNOKKE-HEIST - FH12;299890;2;0;0;2;MDU;;Y;NA;4;4;Emanuel Hielstraat18;Beschermd Erfgoed;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Emanuel Hielstraat;18;;;71941,697;225969,902
KNOKKE-HEIST - FH12;6670527;1;0;0;1;SDU;;Y;NA;2;4;Krommedijk62;Bouwgrond;;;;BUILDING template;Krommedijk;62;;;72424;225988
KNOKKE-HEIST - FH12;2764882;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat231; ;;;;BUILDING template;Pannenstraat;231;;;72061,218;225897,23
KNOKKE-HEIST - FH12;299891;1;0;0;1;SDU;;Y;NA;2;4;Zuidstraat19; ;;;;BUILDING template;Zuidstraat;19;;;71950,164;226044,099
KNOKKE-HEIST - FH12;6670528;1;0;0;1;SDU;;Y;NA;2;4;Krommedijk70A; ;;;;BUILDING template;Krommedijk;70;A;;72416;226031
KNOKKE-HEIST - FH12;2764883;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat233; ;;;;BUILDING template;Pannenstraat;233;;;72066,113;225899,731
KNOKKE-HEIST - FH12;299892;1;0;0;1;SDU;;Y;NA;2;4;Zuidstraat2; ;;;;BUILDING template;Zuidstraat;2;;;71982,086;226001,454
KNOKKE-HEIST - FH12;6670529;1;0;0;1;SDU;;Y;NA;2;4;Breed Veertien3;Bouwgrond;;;;BUILDING template;Breed Veertien;3;;;71980;225489
KNOKKE-HEIST - FH12;2764885;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat234; ;;;;BUILDING template;Pannenstraat;234;;;72036,488;225855,11
KNOKKE-HEIST - FH12;299893;1;0;0;1;SDU;;Y;NA;2;4;Zuidstraat1; ;;;;BUILDING template;Zuidstraat;1;;;71995,521;226023,421
KNOKKE-HEIST - FH12;9869;1;1;0;2;MDU;;Y;NA;2;4;Westkapellestraat180; ;;;;BUILDING template;Westkapellestraat;180;;;72009;225527
KNOKKE-HEIST - FH12;2764886;3;0;0;3;MDU;;Y;NA;4;4;Pannenstraat235; ;;;;BUILDING template;Pannenstraat;235;;;72070,659;225903,022
KNOKKE-HEIST - FH12;299896;1;0;0;1;SDU;;Y;NA;2;4;Knokkestraat176; ;;;;BUILDING template;Knokkestraat;176;;;71980,842;226098,477
KNOKKE-HEIST - FH12;2764887;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat239; ;;;;BUILDING template;Pannenstraat;239;;;72081,275;225910,078
KNOKKE-HEIST - FH12;299897;1;0;0;1;SDU;;Y;NA;2;4;Knokkestraat178; ;;;;BUILDING template;Knokkestraat;178;;;71998,075;226093,801
KNOKKE-HEIST - FH12;1299779;1;0;0;1;SDU;;Y;NA;2;4;Zuidstraat27; ;;;;BUILDING template;Zuidstraat;27;;;71924,67;226023,606
KNOKKE-HEIST - FH12;2764889;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat241; ;;;;BUILDING template;Pannenstraat;241;;;72086,021;225913,122
KNOKKE-HEIST - FH12;300723;1;0;0;1;SDU;;Y;NA;2;4;Zonnebloemstraat5; ;;;;BUILDING template;Zonnebloemstraat;5;;;72611,528;225648,86
KNOKKE-HEIST - FH12;1347237;1;0;0;1;SDU;;Y;NA;2;4;Oostenhem28; ;;;;BUILDING template;Oostenhem;28;;;72000,728;225453,429
KNOKKE-HEIST - FH12;2764890;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat242; ;;;;BUILDING template;Pannenstraat;242;;;72057,186;225864,628
KNOKKE-HEIST - FH12;300729;1;0;0;1;SDU;;Y;NA;2;4;Zonnebloemstraat29; ;;;;BUILDING template;Zonnebloemstraat;29;;;72591,212;225732,729
KNOKKE-HEIST - FH12;1441406;1;0;0;1;SDU;;Y;NA;2;4;Emanuel Hielstraat19; ;;;;BUILDING template;Emanuel Hielstraat;19;;;71959,439;225907,469
KNOKKE-HEIST - FH12;2764892;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat243; ;;;;BUILDING template;Pannenstraat;243;;;72091,768;225915,653
KNOKKE-HEIST - FH12;300745;1;0;0;1;SDU;;Y;NA;2;4;Hulststraat25; ;;;;BUILDING template;Hulststraat;25;;;72645,046;225497,099
KNOKKE-HEIST - FH12;1448711;1;0;0;1;SDU;;Y;NA;2;4;Pinksterbloemhof6; ;;;;BUILDING template;Pinksterbloemhof;6;;;72514,785;225955,656
KNOKKE-HEIST - FH12;2764894;3;0;0;3;MDU;;Y;NA;4;4;Pannenstraat245; ;2 Unit in CRAB, 3 bussen in GM.;;;BUILDING template;Pannenstraat;245;;;72098,036;225916,951
KNOKKE-HEIST - FH12;300746;1;0;0;1;SDU;;Y;NA;2;4;Hulststraat21; ;;;;BUILDING template;Hulststraat;21;;;72599,216;225478,636
KNOKKE-HEIST - FH12;1449134;1;0;0;1;SDU;;Y;NA;2;4;Laurierstraat10; ;;;;BUILDING template;Laurierstraat;10;;;72313,063;225445,214
KNOKKE-HEIST - FH12;2764896;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat246; ;;;;BUILDING template;Pannenstraat;246;;;72071,857;225873,168
KNOKKE-HEIST - FH12;300747;1;0;0;1;SDU;;Y;NA;2;4;Hulststraat26; ;;;;BUILDING template;Hulststraat;26;;;72590,1;225444,548
KNOKKE-HEIST - FH12;1449304;1;0;0;1;SDU;;Y;NA;2;4;Hendrik Consciencestraat65; ;;;;BUILDING template;Hendrik Consciencestraat;65;;;71770,502;225698,92
KNOKKE-HEIST - FH12;2764897;3;0;0;3;MDU;;Y;NA;4;4;Pannenstraat247; ;;;;BUILDING template;Pannenstraat;247;;;72103,683;225922,032
KNOKKE-HEIST - FH12;300748;1;0;0;1;SDU;;Y;NA;2;4;Hulststraat13; ;;;;BUILDING template;Hulststraat;13;;;72449,67;225421,762
KNOKKE-HEIST - FH12;1449722;1;0;0;1;SDU;;Y;NA;2;4;Hendrik Consciencestraat37; ;;;;BUILDING template;Hendrik Consciencestraat;37;;;71774,819;225784,064
KNOKKE-HEIST - FH12;2764898;4;0;0;4;MDU;;Y;NA;4;4;Pannenstraat249; ;;;;BUILDING template;Pannenstraat;249;;;72110,659;225925,695
KNOKKE-HEIST - FH12;300749;1;0;0;1;SDU;;Y;NA;2;4;Heestersstraat34; ;;;;BUILDING template;Heestersstraat;34;;;72557,324;225531,916
KNOKKE-HEIST - FH12;1459948;1;0;0;1;SDU;;Y;NA;2;4;Pinksterbloemhof13; ;;;;BUILDING template;Pinksterbloemhof;13;;;72546,049;225952,715
KNOKKE-HEIST - FH12;2764899;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat250; ;;;;BUILDING template;Pannenstraat;250;;;72078,207;225881,105
KNOKKE-HEIST - FH12;300750;1;0;0;1;SDU;;Y;NA;2;4;Heestersstraat38; ;;;;BUILDING template;Heestersstraat;38;;;72603,438;225547,263
KNOKKE-HEIST - FH12;1460912;1;0;0;1;SDU;;Y;NA;2;4;Hendrik Consciencestraat55; ;;;;BUILDING template;Hendrik Consciencestraat;55;;;71771,819;225725,691
KNOKKE-HEIST - FH12;2764901;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat252; ;;;;BUILDING template;Pannenstraat;252;;;72083,247;225882,85
KNOKKE-HEIST - FH12;300751;1;0;0;1;SDU;;Y;NA;2;4;Laurierstraat42; ;;;;BUILDING template;Laurierstraat;42;;;72475,308;225528,752
KNOKKE-HEIST - FH12;1461104;1;0;0;1;SDU;;Y;NA;2;4;Polderstraat9; ;;;;BUILDING template;Polderstraat;9;;;71908,239;226076,543
KNOKKE-HEIST - FH12;2764903;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat257; ;;;;BUILDING template;Pannenstraat;257;;;72130,072;225935,147
KNOKKE-HEIST - FH12;300752;1;0;0;1;SDU;;Y;NA;2;4;Laurierstraat34; ;;;;BUILDING template;Laurierstraat;34;;;72500,471;225446,518
KNOKKE-HEIST - FH12;1461579;1;0;0;1;SDU;;Y;NA;2;4;Emanuel Hielstraat41; ;;;;BUILDING template;Emanuel Hielstraat;41;;;71909,1;225962,028
KNOKKE-HEIST - FH12;2764904;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat258; ;;;;BUILDING template;Pannenstraat;258;;;72102,709;225889,238
KNOKKE-HEIST - FH12;300753;1;0;0;1;SDU;;Y;NA;2;4;Laurierstraat13; ;;;;BUILDING template;Laurierstraat;13;;;72446,604;225525,314
KNOKKE-HEIST - FH12;1463191;1;0;0;1;SDU;;Y;NA;2;4;Zuidstraat17; ;;;;BUILDING template;Zuidstraat;17;;;71954,667;226042,491
KNOKKE-HEIST - FH12;2764906;3;0;0;3;MDU;;Y;NA;4;4;Pannenstraat260; ;;;;BUILDING template;Pannenstraat;260;;;72114,285;225893,284
KNOKKE-HEIST - FH12;300754;1;0;0;1;SDU;;Y;NA;2;4;Laurierstraat32; ;;;;BUILDING template;Laurierstraat;32;;;72470,042;225432,01
KNOKKE-HEIST - FH12;1467954;2;0;0;2;MDU;;Y;NA;4;4;Pannenstraat290; ;;;;BUILDING template;Pannenstraat;290;;;72373,411;226031,187
KNOKKE-HEIST - FH12;2764907;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat264; ;;;;BUILDING template;Pannenstraat;264;;;72118,568;225899,61
KNOKKE-HEIST - FH12;300755;1;0;0;1;SDU;;Y;NA;2;4;Laurierstraat18; ;;;;BUILDING template;Laurierstraat;18;;;72324,626;225404,871
KNOKKE-HEIST - FH12;1468910;1;0;0;1;SDU;;Y;NA;2;4;Krommedijk65; ;;;;BUILDING template;Krommedijk;65;;;72481,598;225911,016
KNOKKE-HEIST - FH12;2764908;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat273; ;;;;BUILDING template;Pannenstraat;273;;;72122,886;225957,22
KNOKKE-HEIST - FH12;300756;1;0;0;1;SDU;;Y;NA;2;4;Laurierstraat22; ;;;;BUILDING template;Laurierstraat;22;;;72357,752;225422,848
KNOKKE-HEIST - FH12;1468911;0;1;0;1;SDU;;Y;NA;2;4;Knokkestraat298; ;;;;BUILDING template;Knokkestraat;298;;;72441,86;226050,963
KNOKKE-HEIST - FH12;2764910;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat275; ;;;;BUILDING template;Pannenstraat;275;;;72126,584;225960,416
KNOKKE-HEIST - FH12;300757;1;0;0;1;SDU;;Y;NA;2;4;Laurierstraat30; ;;;;BUILDING template;Laurierstraat;30;;;72446,846;225453,19
KNOKKE-HEIST - FH12;1475681;2;0;0;2;MDU;;Y;NA;4;4;Emanuel Hielstraat14;Beschermd Erfgoed;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Emanuel Hielstraat;14;;;71952,718;225959,351
KNOKKE-HEIST - FH12;2764911;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat277; ;;;;BUILDING template;Pannenstraat;277;;;72145,908;225946,15
KNOKKE-HEIST - FH12;300758;1;0;0;1;SDU;;Y;NA;2;4;Laurierstraat9; ;;;;BUILDING template;Laurierstraat;9;;;72449,404;225485,329
KNOKKE-HEIST - FH12;1475682;1;0;0;1;SDU;;Y;NA;2;4;Emanuel Hielstraat12;Beschermd Erfgoed;;;;BUILDING template;Emanuel Hielstraat;12;;;71958,108;225954,369
KNOKKE-HEIST - FH12;2764912;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat278; ;;;;BUILDING template;Pannenstraat;278;;;72150,498;225913,388
KNOKKE-HEIST - FH12;300759;1;0;0;1;SDU;;Y;NA;2;4;Laurierstraat3;Beschermd Erfgoed;;;;BUILDING template;Laurierstraat;3;;;72367,147;225466,093
KNOKKE-HEIST - FH12;1475709;1;0;0;1;SDU;;Y;NA;2;4;Zuidstraat10; ;;;;BUILDING template;Zuidstraat;10;;;71963,531;226009,866
KNOKKE-HEIST - FH12;2764913;2;0;0;2;MDU;;Y;NA;4;4;Pannenstraat281; ;;;;BUILDING template;Pannenstraat;281;;;72159,929;225950,607
KNOKKE-HEIST - FH12;300760;1;0;0;1;SDU;;Y;NA;2;4;Laurierstraat6; ;;;;BUILDING template;Laurierstraat;6;;;72337,833;225455,797
KNOKKE-HEIST - FH12;1475710;1;0;0;1;SDU;;Y;NA;2;4;Zuidstraat12; ;;;;BUILDING template;Zuidstraat;12;;;71958,539;226011,88
KNOKKE-HEIST - FH12;2764914;6;0;0;6;MDU;;Y;NA;4;4;Pannenstraat283; ;;;;BUILDING template;Pannenstraat;283;;;72168,745;225955,809
