Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
ANTWERPEN-WEST - FH09;1736234;0;1;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;Y;_;BUILDING template;Arenbergstraat;23;;;152798,556;211727,813
ANTWERPEN-WEST - FH09;55120;0;1;0;1;SDU;;Y;NA;4;3;Beschermd Erfgoed;;Y;_;BUILDING template;Armeduivelstraat;11;;;152745,061;211805,855
ANTWERPEN-WEST - FH09;1736398;4;1;0;5;MDU;;Y;NA;3;4;Beschermd Erfgoed;;Y;;BUILDING template;Armeduivelstraat;9;;Armeduvelstraat 3-7-9;152746,008;211811,935
ANTWERPEN-WEST - FH09;55144;0;1;0;1;MDU;;Y;NA;2;4;Beschermd Erfgoed;;Y;;BUILDING template;Arenbergstraat;19;;Arenbergstraat 19_Sint Maartenstraat 1;152732,664;211727,561
ANTWERPEN-WEST - FH09;55149;10;2;0;12;MDU;;Y;NA;6;6;Beschermd Erfgoed;1 Unit in CRAB en GM.;Y;;BUILDING template;Orgelstraat;1;;Leopoldstraat 3_Orgelstraat 1-2-2A;152666,105;211748,979
ANTWERPEN-WEST - FH09;55153;0;1;0;1;SDU;;Y;NA;3;4;Beschermd Erfgoed;;Y;;BUILDING template;Maria Pijpelincxstraat;4;;;152815,174;211811,026
ANTWERPEN-WEST - FH09;1803183;1;1;0;2;MDU;;Y;NA;4;4;Beschermd Erfgoed;1 Unit in CRAB en GM.;Y;;BUILDING template;Komedieplaats;6;;Komedieplaats 4-6;152598,727;211798,457
ANTWERPEN-WEST - FH09;1803187;0;0;0;0;SDU;;Y;NA;2;4;Beschermd Erfgoed;;N;;BUILDING template;Komedieplaats;7;;;152610,839;211814,898
ANTWERPEN-WEST - FH09;1803210;0;2;0;2;MDU;;Y;NA;3;4;Beschermd Erfgoed;1 Unit in CRAB, 3 in GM.;Y;;BUILDING template;Komedieplaats;10;;;152610,963;211787,791
ANTWERPEN-WEST - FH09;55161;0;4;0;4;MDU;;Y;NA;4;4;Beschermd Erfgoed;;Y;;BUILDING template;Graanmarkt;7;;;152764,658;211798,375
ANTWERPEN-WEST - FH09;55172;0;2;0;2;MDU;;Y;NA;2;4;Beschermd Erfgoed;;Y;;BUILDING template;Graanmarkt;2;;Graanmarkt 2_ Arenbergstraat 21;152781,516;211749,604
ANTWERPEN-WEST - FH09;1874010;0;1;0;1;SDU;;Y;NA;3;5;Beschermd Erfgoed;1 Unit in CRAB, 2 Bussen in GM.;Y;;BUILDING template;Frankrijklei;106;;;153030,118;211656,721
ANTWERPEN-WEST - FH09;1874020;0;1;0;1;SDU;;Y;NA;3;5;Beschermd Erfgoed;;Y;;BUILDING template;Frankrijklei;108;;;153022,434;211647,635
ANTWERPEN-WEST - FH09;55488;0;1;0;1;SDU;;Y;NA;3;3;Beschermd Erfgoed;;Y;;BUILDING template;Leopoldstraat;16;;;152650,498;211690,574
ANTWERPEN-WEST - FH09;55489;0;1;0;1;SDU;;Y;NA;3;4;Beschermd Erfgoed;;Y;;BUILDING template;Leopoldplaats;1;;;152651,498;211418,841
