Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;NR BU GM;NR LU GM;NR SU GM;UNITS TOTAL GM;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;OPMERKINGEN;Wall Mount;Wall Mount IFH;Opdrachttemplate
ROESELARE - FH03;Units bu diff;877078;BL0305;;93888;877078;8903186;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;Meensesteenweg;179;;C;;2020-01-28;Peter Cremers;MDU;0;8;1;9;;;;;1;0;0;1;Building in opbouw. Units nog te bepalen;N;Y;BUILDING template
ROESELARE - FH03;Units bu diff;1255055;BL0314;;103419;1255055;29464060;Hof van 't Henneken 113-121-123;Hof van 't Henneken 113-121-123;Hof van t Henneken;123;;D;;;olivier collignon;MDU;0;1;0;1;0;1;0;1;1;1;0;2;;Y;Y;BUILDING template
ROESELARE - FH03;Units total diff;1255055;BL0314;;103419;1255055;29464060;Hof van 't Henneken 113-121-123;Hof van 't Henneken 113-121-123;Hof van t Henneken;123;;D;;;olivier collignon;MDU;0;1;0;1;0;1;0;1;1;1;0;2;;Y;Y;BUILDING template
ROESELARE - FH03;Units total diff;3415503;BL0314;;163667;3415503;29464060;Hof van 't Henneken 113-121-123;Hof van 't Henneken 113-121-123;Hof van t Henneken;113;;D;;;Ryan De Vries;MDU;0;1;0;1;0;1;0;1;0;1;0;1;;Y;Y;BUILDING template
ROESELARE - FH03;Units bu diff;3415503;BL0314;;163667;3415503;29464060;Hof van 't Henneken 113-121-123;Hof van 't Henneken 113-121-123;Hof van t Henneken;113;;D;;;Ryan De Vries;MDU;0;1;0;1;0;1;0;1;0;1;0;1;;Y;Y;BUILDING template
ROESELARE - FH03;Units total diff;1336303;BL0317;;105437;1336303;;Hof van 't Henneken 15-17;Hof van 't Henneken 15-17;Hof van t Henneken;15;;D;;2018-03-07;Kevin DEKENS;MDU;0;3;0;3;0;3;0;3;0;3;0;3;Het wassalon zou nr. 17 zijn (1BU) maar adres bestaat niet in Planrrrr;Y;Y;BUILDING template
ROESELARE - FH03;Units bu diff;1336303;BL0317;;105437;1336303;;Hof van 't Henneken 15-17;Hof van 't Henneken 15-17;Hof van t Henneken;15;;D;;2018-03-07;Kevin DEKENS;MDU;0;3;0;3;0;3;0;3;0;3;0;3;Het wassalon zou nr. 17 zijn (1BU) maar adres bestaat niet in Planrrrr;Y;Y;BUILDING template
ROESELARE - FH03;Units lu diff;3948073;BL0317;;5051554;3948073;33116447;Hof van 't Henneken 27-29;Hof van 't Henneken 27-29;Hof van t Henneken;29;;C;;2020-02-04;Peter Cremers;MDU;0;4;0;4;0;4;0;4;0;4;0;4;;Y;Y;BUILDING template
ROESELARE - FH03;Units total diff;3948073;BL0317;;5051554;3948073;33116447;Hof van 't Henneken 27-29;Hof van 't Henneken 27-29;Hof van t Henneken;29;;C;;2020-02-04;Peter Cremers;MDU;0;4;0;4;0;4;0;4;0;4;0;4;;Y;Y;BUILDING template
ROESELARE - FH03;Units total diff;877454;BL0303;;4708337;877454;;Iepersestraat 165-165A;Iepersestraat 165-165A;Iepersestraat;165;;C;;2020-06-24;Hidde Kiekens;MDU;0;14;1;15;0;14;1;15;0;14;1;15;ik vermoed dat nr. 165B ook nog in deze BG moet. Units niet duidelijk te bepalen. Volgens crab 165/14U - 165A/6U - 165B/2U;N;N;BUILDING template
ROESELARE - FH03;Units lu diff;877454;BL0303;;4708337;877454;;Iepersestraat 165-165A;Iepersestraat 165-165A;Iepersestraat;165;;C;;2020-06-24;Hidde Kiekens;MDU;0;14;1;15;0;14;1;15;0;14;1;15;ik vermoed dat nr. 165B ook nog in deze BG moet. Units niet duidelijk te bepalen. Volgens crab 165/14U - 165A/6U - 165B/2U;N;N;BUILDING template
ROESELARE - FH03;Units total diff;3416742;BL0325;;29388015;3416742;29394428;Leenstraat 4A-6-8;Leenstraat 4A-6-8;Leenstraat;4;A;D;;2020-03-05;olivier collignon;MDU;1;0;0;1;1;0;0;1;1;1;0;2;;N;N;BUILDING template
ROESELARE - FH03;Units lu diff;3416742;BL0325;;29388015;3416742;29394428;Leenstraat 4A-6-8;Leenstraat 4A-6-8;Leenstraat;4;A;D;;2020-03-05;olivier collignon;MDU;1;0;0;1;1;0;0;1;1;1;0;2;;N;N;BUILDING template
ROESELARE - FH03;Units su diff;3416744;BL0325;;164741;3416744;29394428;Leenstraat 4A-6-8;Leenstraat 4A-6-8;Leenstraat;6;;D;;2020-03-05;olivier collignon;MDU;0;8;1;9;0;8;1;9;2;8;2;12;;N;N;BUILDING template
ROESELARE - FH03;Units total diff;3416744;BL0325;;164741;3416744;29394428;Leenstraat 4A-6-8;Leenstraat 4A-6-8;Leenstraat;6;;D;;2020-03-05;olivier collignon;MDU;0;8;1;9;0;8;1;9;2;8;2;12;;N;N;BUILDING template
ROESELARE - FH03;Units bu diff;3416744;BL0325;;164741;3416744;29394428;Leenstraat 4A-6-8;Leenstraat 4A-6-8;Leenstraat;6;;D;;2020-03-05;olivier collignon;MDU;0;8;1;9;0;8;1;9;2;8;2;12;;N;N;BUILDING template
ROESELARE - FH03;Units total diff;4351204;BL0325;;29388021;4351204;29394428;Leenstraat 4A-6-8;Leenstraat 4A-6-8;Leenstraat;8;;D;;2020-03-05;olivier collignon;MDU;1;0;0;1;1;0;0;0;1;1;0;2;;N;N;BUILDING template
ROESELARE - FH03;Units lu diff;4351204;BL0325;;29388021;4351204;29394428;Leenstraat 4A-6-8;Leenstraat 4A-6-8;Leenstraat;8;;D;;2020-03-05;olivier collignon;MDU;1;0;0;1;1;0;0;0;1;1;0;2;;N;N;BUILDING template
ROESELARE - FH03;Units total diff;3417224;BL0304;;165158;3417224;29394433;Meensesteenweg 14-16-18-20;Meensesteenweg 14-16-18-20;Meensesteenweg;18;;A;;2020-06-17;Geert Stockman;MDU;0;11;1;12;0;11;1;12;2;11;1;14;;N;N;BUILDING template
ROESELARE - FH03;Units bu diff;3417224;BL0304;;165158;3417224;29394433;Meensesteenweg 14-16-18-20;Meensesteenweg 14-16-18-20;Meensesteenweg;18;;A;;2020-06-17;Geert Stockman;MDU;0;11;1;12;0;11;1;12;2;11;1;14;;N;N;BUILDING template
ROESELARE - FH03;Units total diff;3417225;BL0304;;165159;3417225;29394433;Meensesteenweg 14-16-18-20;Meensesteenweg 14-16-18-20;Meensesteenweg;20;;A;;2020-06-17;Geert Stockman;MDU;0;8;1;9;0;8;1;9;1;8;2;11;;N;N;BUILDING template
