Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;NR BU GM;NR LU GM;NR SU GM;UNITS TOTAL GM;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;OPMERKINGEN;Wall Mount;Wall Mount IFH;Opdrachttemplate
ROESELARE - FH03;Units total diff;3418060;BL0309;;165873;3418060;;;;Rijselstraat;9;A;C;;2018-02-22;;MDU;1;5;1;7;1;5;1;7;0;5;1;6;;N;Y;BUILDING template
ROESELARE - FH03;Units total diff;3418197;BL0320;;166001;3418197;;;;Rumbeeksesteenweg;13;;D;;2018-02-22;Belhassen OUERTANI;MDU;1;5;1;7;1;5;1;7;1;5;1;7;;Y;Y;BUILDING template
ROESELARE - FH03;Units su diff;3418197;BL0320;;166001;3418197;;;;Rumbeeksesteenweg;13;;D;;2018-02-22;Belhassen OUERTANI;MDU;1;5;1;7;1;5;1;7;1;5;1;7;;Y;Y;BUILDING template
ROESELARE - FH03;Quadrant diff;4212060;BL0306;;4707876;4212060;;;;Meensesteenweg;121;;;D;2019-12-30;;SDU;1;0;0;1;1;0;0;1;1;0;0;1;;Y;Y;BUILDING template
ROESELARE - FH03;Quadrant diff;4368585;BL0309;;25244870;4368585;;;;Rijselstraat;37;;D;C;2019-11-18;Ryan De Vries;MDU;0;8;0;8;0;8;0;8;0;8;0;8;;N;N;BUILDING template
ROESELARE - FH03;Units lu diff;4371200;BL0304;;5652214;4371200;;;;Meensesteenweg;12;;C;;2020-08-06;Geert Stockman;MDU;0;19;1;20;0;19;1;20;0;18;1;19;;N;N;BUILDING template
ROESELARE - FH03;Units total diff;4371200;BL0304;;5652214;4371200;;;;Meensesteenweg;12;;C;;2020-08-06;Geert Stockman;MDU;0;19;1;20;0;19;1;20;0;18;1;19;;N;N;BUILDING template
ROESELARE - FH03;Units bu diff;5580469;BL0324;;194174;5580469;;;;Leenstraat;7;;;;2019-11-13;Dirk Marien;SDU;0;1;0;1;;;;;1;0;0;1;Ik denk dan Leenstraat 1 t.e.m. 9 een BG is;Y;Y;BUILDING template
ROESELARE - FH03;Units lu diff;5580469;BL0324;;194174;5580469;;;;Leenstraat;7;;;;2019-11-13;Dirk Marien;SDU;0;1;0;1;;;;;1;0;0;1;Ik denk dan Leenstraat 1 t.e.m. 9 een BG is;Y;Y;BUILDING template
ROESELARE - FH03;Quadrant diff;876504;BL0317;;93472;876504;;;;Damberdstraat;30;;;D;2020-03-05;olivier collignon;SDU;1;0;0;1;;;;;0;3;0;3;"""logementhuis"" met 3 kamers? Hoeveel units?";Y;Y;BUILDING template
ROESELARE - FH03;Units lu diff;876504;BL0317;;93472;876504;;;;Damberdstraat;30;;;;2020-03-05;olivier collignon;SDU;1;0;0;1;;;;;0;3;0;3;"""logementhuis"" met 3 kamers? Hoeveel units?";Y;Y;BUILDING template
ROESELARE - FH03;Units bu diff;876504;BL0317;;93472;876504;;;;Damberdstraat;30;;;;2020-03-05;olivier collignon;SDU;1;0;0;1;;;;;0;3;0;3;"""logementhuis"" met 3 kamers? Hoeveel units?";Y;Y;BUILDING template
ROESELARE - FH03;Units total diff;876504;BL0317;;93472;876504;;;;Damberdstraat;30;;;;2020-03-05;olivier collignon;SDU;1;0;0;1;;;;;0;3;0;3;"""logementhuis"" met 3 kamers? Hoeveel units?";Y;Y;BUILDING template
ROESELARE - FH03;Buildingtype diff;876504;BL0317;;93472;876504;;;;Damberdstraat;30;;;;2020-03-05;olivier collignon;SDU;1;0;0;1;;;;;0;3;0;3;"""logementhuis"" met 3 kamers? Hoeveel units?";Y;;BUILDING template
ROESELARE - FH03;Buildingtype diff;876588;BL0323;;5051545;876588;;;;Delaerestraat;8;;;;2018-06-14;;SDU;0;1;0;1;0;1;0;1;1;1;0;2;BU ijssalon nr. 10;Y;;BUILDING template
ROESELARE - FH03;Units total diff;876588;BL0323;;5051545;876588;;;;Delaerestraat;8;;;;2018-06-14;;SDU;0;1;0;1;0;1;0;1;1;1;0;2;BU ijssalon nr. 10;Y;Y;BUILDING template
ROESELARE - FH03;Units bu diff;876588;BL0323;;5051545;876588;;;;Delaerestraat;8;;;;2018-06-14;;SDU;0;1;0;1;0;1;0;1;1;1;0;2;BU ijssalon nr. 10;Y;Y;BUILDING template
ROESELARE - FH03;Quadrant diff;876588;BL0323;;5051545;876588;;;;Delaerestraat;8;;;D;2018-06-14;;SDU;0;1;0;1;0;1;0;1;1;1;0;2;BU ijssalon nr. 10;Y;Y;BUILDING template
ROESELARE - FH03;Quadrant diff;877104;BL0315;;93906;877104;;;;Hof van t Henneken;85;;;C;;Michael MILTENAERE;SDU;1;0;0;1;;;;;1;7;0;8;8 studio's maar volgens survey zijn dit vluchtelingen opvangplaatsen. 8 LU's of 1 BU? Er lopen cat 5 kabels naar alle units vanaf technische ruimte;Y;Y;BUILDING template
ROESELARE - FH03;Buildingtype diff;877104;BL0315;;93906;877104;;;;Hof van t Henneken;85;;;;;Michael MILTENAERE;SDU;1;0;0;1;;;;;1;7;0;8;;Y;;BUILDING template
ROESELARE - FH03;Units total diff;877104;BL0315;;93906;877104;;;;Hof van t Henneken;85;;;;;Michael MILTENAERE;SDU;1;0;0;1;;;;;1;7;0;8;;Y;Y;BUILDING template
ROESELARE - FH03;Units lu diff;877104;BL0315;;93906;877104;;;;Hof van t Henneken;85;;;;;Michael MILTENAERE;SDU;1;0;0;1;;;;;1;7;0;8;;Y;Y;BUILDING template
ROESELARE - FH03;Units su diff;878422;BL0328;;94654;878422;;;;Ooststraat;8;;;;2018-02-21;Belhassen OUERTANI;MDU;1;5;1;7;1;5;1;7;1;5;1;7;QD maar meer dan 5 verdiepingen;Y;Y;BUILDING template
ROESELARE - FH03;Units total diff;878422;BL0328;;94654;878422;;;;Ooststraat;8;;;;2018-02-21;Belhassen OUERTANI;MDU;1;5;1;7;1;5;1;7;1;5;1;7;QD maar meer dan 5 verdiepingen;Y;Y;BUILDING template
ROESELARE - FH03;Units lu diff;878456;BL0326;;25244856;878456;;;;Ooststraat;142;;;;2019-11-13;Jonas Rettelet;SDU;1;0;0;1;1;0;0;1;0;1;0;1;;Y;N;BUILDING template
ROESELARE - FH03;Units bu diff;878456;BL0326;;25244856;878456;;;;Ooststraat;142;;;;2019-11-13;Jonas Rettelet;SDU;1;0;0;1;1;0;0;1;0;1;0;1;;Y;N;BUILDING template
ROESELARE - FH03;Units lu diff;880591;BL0322;;14160176;880591;;;;Botermarkt;22;;;;;;SDU;1;0;0;1;1;0;0;1;0;1;0;1;BG met Botermarkt 20?;Y;Y;BUILDING template
ROESELARE - FH03;Units bu diff;880591;BL0322;;14160176;880591;;;;Botermarkt;22;;;;;;SDU;1;0;0;1;1;0;0;1;0;1;0;1;BG met Botermarkt 20?;Y;Y;BUILDING template
