Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
HASSELT - FH06;5530321;0;5;8;13;MDU;;N;IRREG;4;3;;;Y;_;BUILDING template;Gouverneur Roppesingel;15;;
HASSELT - FH06;662332;0;1;0;1;SDU;;N;ORN;9;3;;;Y;_;BUILDING template;Sint-Katarinalaan;3;;
HASSELT - FH06;662330;32;0;2;34;MDU;;N;ORN;8;3;;;Y;_;BUILDING template;Sint-Katarinalaan;9;;
HASSELT - FH06;3937568;4;0;0;4;MDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Abraham Orteliuslaan;30;;
HASSELT - FH06;2440210;0;1;1;2;MDU;;N;IRREG;7;3;;;Y;_;BUILDING template;Stadsomvaart;11;;
HASSELT - FH06;666202;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Abraham Orteliuslaan;32;;
HASSELT - FH06;4126800;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Maastrichtersteenweg;179;;
HASSELT - FH06;2427307;1;1;0;2;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;Maastrichtersteenweg;181;;
HASSELT - FH06;2427323;1;1;1;3;MDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Maastrichtersteenweg;187;;
HASSELT - FH06;3937521;9;0;0;9;MDU;;N;IRREG;4;3;;;Y;_;BUILDING template;Maastrichtersteenweg;193;;
HASSELT - FH06;666210;18;1;1;20;MDU;;N;IRREG;4;3;;;Y;_;BUILDING template;Maastrichtersteenweg;211;;
HASSELT - FH06;6052413;1;0;0;1;SDU;;N;ORN;3;3;;;Y;_;BUILDING template;Bondgenotenlaan;12;;
HASSELT - FH06;5884925;0;1;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Casterstraat;77;;
HASSELT - FH06;78249;1;0;0;1;SDU;;N;IRREG;4;3;;;Y;;BUILDING template;Oude Luikerbaan;61;;
HASSELT - FH06;4155272;1;0;0;1;SDU;;N;ORN;3;4;;;Y;;BUILDING template;Oudstrijderslaan;22;;
HASSELT - FH06;662569;1;0;0;1;SDU;;N;ORN;3;4;;;Y;;BUILDING template;Oudstrijderslaan;24;;
HASSELT - FH06;662570;1;0;0;1;SDU;;N;ORN;3;4;;;Y;;BUILDING template;Oudstrijderslaan;26;;
HASSELT - FH06;4845812;1;0;0;1;SDU;;N;ORN;3;4;;;Y;;BUILDING template;Oudstrijderslaan;28;;
HASSELT - FH06;2433066;1;0;0;1;SDU;;N;ORN;3;4;;;Y;;BUILDING template;Oudstrijderslaan;30;;
HASSELT - FH06;2433067;1;0;0;1;SDU;;N;ORN;3;4;;;Y;;BUILDING template;Oudstrijderslaan;32;;
HASSELT - FH06;2433068;1;0;0;1;SDU;;N;ORN;3;4;;;Y;;BUILDING template;Oudstrijderslaan;34;;
HASSELT - FH06;2433072;1;0;0;1;SDU;;N;ORN;3;4;;;Y;;BUILDING template;Oudstrijderslaan;42;;
HASSELT - FH06;2433073;1;0;0;1;SDU;;N;ORN;3;4;;;Y;;BUILDING template;Oudstrijderslaan;44;;
HASSELT - FH06;2433074;1;0;0;1;SDU;;N;ORN;3;4;;;Y;;BUILDING template;Oudstrijderslaan;46;;
HASSELT - FH06;2433076;1;0;0;1;SDU;;N;ORN;3;4;;;Y;;BUILDING template;Oudstrijderslaan;48;;
