Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
ANTWERPEN-WEST - FH02;59164;1;1;0;2;MDU;;Y;NA;4;4;;1LU in CRAB, onduidelijk in GM.;Y;_;BUILDING template;Oudemansstraat;31;;
ANTWERPEN-WEST - FH02;1740009;1;0;0;1;SDU;;Y;NA;4;4;Beschermd Erfgoed;1LU in CRAB, in GM ook 1 bel.;Y;BE;BUILDING template;Generaal Belliardstraat;7;;
ANTWERPEN-WEST - FH02;2012819;2;0;0;2;MDU;;Y;NA;4;4;;;Y;_;BUILDING template;Minderbroedersrui;27;A;
ANTWERPEN-WEST - FH02;4505796;0;1;0;1;SDU;;Y;NA;3;4;Beschermd Erfgoed;;Y;_;BUILDING template;Keistraat;7;;
ANTWERPEN-WEST - FH02;1740010;8;2;0;10;MDU;;Y;NA;4;6;;8LU in CRAB,;Y;_;BUILDING template;Generaal Belliardstraat;9;;
ANTWERPEN-WEST - FH02;2012864;5;0;0;5;MDU;;Y;NA;4;5;Beschermd Erfgoed;3LU in CRAB, 5 bussen in GM.;Y;BE;BUILDING template;Minderbroedersrui;29;;
ANTWERPEN-WEST - FH02;4505804;3;1;0;4;MDU;;Y;NA;3;4;;3LU in CRAB, in GM 4 bussen.;Y;_;BUILDING template;Oudemansstraat;22;;
ANTWERPEN-WEST - FH02;1740011;0;1;0;1;SDU;;Y;NA;3;4;;;Y;_;BUILDING template;Generaal Belliardstraat;11;;
ANTWERPEN-WEST - FH02;2013035;6;1;0;7;MDU;;N;MON;3;5;Monument;;Y;_;BUILDING template;Minderbroedersrui;35;;
ANTWERPEN-WEST - FH02;4505806;3;0;0;3;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Oudemansstraat;32;;
ANTWERPEN-WEST - FH02;59178;0;1;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Dries;22;;
ANTWERPEN-WEST - FH02;1740012;4;0;0;4;MDU;;Y;NA;3;4;;1LU in CRAB, 3 bussen in GM;Y;_;BUILDING template;Generaal Belliardstraat;13;;
ANTWERPEN-WEST - FH02;2013104;3;1;0;4;MDU;;Y;NA;4;4;;2LU in CRAB, onduidelijk in GM.;Y;_;BUILDING template;Minderbroedersrui;37;;
ANTWERPEN-WEST - FH02;4505815;4;0;0;4;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Oudemansstraat;7;;
ANTWERPEN-WEST - FH02;59179;2;0;0;2;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Leguit;2;;
ANTWERPEN-WEST - FH02;1740013;7;0;0;7;MDU;;Y;NA;3;4;Beschermd Erfgoed;;Y;BE;BUILDING template;Generaal Belliardstraat;15;;
ANTWERPEN-WEST - FH02;2013136;1;0;0;1;SDU;;N;MON;2;4;Monument;;Y;Review Required MON;BUILDING template;Minderbroedersrui;39;;
ANTWERPEN-WEST - FH02;4505816;0;1;0;1;SDU;;Y;NA;4;3;;;Y;_;BUILDING template;Oudemansstraat;11;;
ANTWERPEN-WEST - FH02;59182;6;24;0;30;MDU;;Y;NA;4;4;;;Y;_;BUILDING template;Sint-Pietersvliet;11;;
ANTWERPEN-WEST - FH02;1740015;4;0;0;4;MDU;;Y;NA;4;4;;1LU in CRAB, 3bussen in GM;Y;_;BUILDING template;Generaal Belliardstraat;17;;
ANTWERPEN-WEST - FH02;2013184;6;0;0;6;MDU;;N;HEIGHT;4;4;;3LU in CRAB, aantal app onduidelijk in GM.;Y;_;BUILDING template;Minderbroedersrui;41;;
ANTWERPEN-WEST - FH02;4505817;5;0;0;5;MDU;;Y;NA;4;3;;1LU in CRAB, onduidelijk in GM.;Y;_;BUILDING template;Oudemansstraat;15;;
ANTWERPEN-WEST - FH02;59183;4;0;0;4;MDU;;Y;NA;4;5;;3LU in CRAB, onduidelijk in GM.;Y;_;BUILDING template;Sint-Pietersvliet;31;;
ANTWERPEN-WEST - FH02;1740016;4;1;0;5;MDU;;Y;NA;4;4;;;Y;_;BUILDING template;Generaal Belliardstraat;19;;
ANTWERPEN-WEST - FH02;2013255;4;1;0;5;MDU;;Y;NA;4;5;Beschermd Erfgoed;4LU in CRAB, 5 bussen in GM.;Y;BE;BUILDING template;Minderbroedersrui;43;;
ANTWERPEN-WEST - FH02;4505819;0;1;0;1;SDU;;Y;NA;3;3;Beschermd Erfgoed;;Y;BE;BUILDING template;Oudemansstraat;19;;
ANTWERPEN-WEST - FH02;59184;1;1;0;2;MDU;;Y;NA;9;6;;;Y;_;BUILDING template;Sint-Pietersvliet;1;;
ANTWERPEN-WEST - FH02;1740020;4;0;0;4;MDU;;Y;NA;4;4;;1LU in CRAB, 3 bussen in GM;Y;_;BUILDING template;Generaal Belliardstraat;29;;
ANTWERPEN-WEST - FH02;2013627;6;0;0;6;MDU;;Y;NA;4;4;;1LU in CRAB, 1 bus te zien in GM.;Y;_;BUILDING template;Minderbroedersstraat;5;;
ANTWERPEN-WEST - FH02;4505826;0;1;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;Korte Schipperskapelstraat;6;;
ANTWERPEN-WEST - FH02;59185;0;13;2;15;MDU;;Y;NA;13;6;;9LU in CRAB, onduidelijk in GM;Y;_;BUILDING template;Sint-Pietersvliet;3;;
ANTWERPEN-WEST - FH02;1740021;1;0;0;1;SDU;;Y;NA;2;4;;;Y;_;BUILDING template;Generaal Belliardstraat;31;;
ANTWERPEN-WEST - FH02;2013630;7;0;0;7;MDU;;N;ORN;4;4;;6LU in CRAB, onduidelijk in GM.;Y;_;BUILDING template;Minderbroedersstraat;6;;
ANTWERPEN-WEST - FH02;4505828;8;0;0;8;MDU;;Y;NA;4;4;;8LU in CRAB, aantal in GM onduidelijk.;Y;Review Required;BUILDING template;Korte Schipperskapelstraat;10;;
ANTWERPEN-WEST - FH02;59187;19;1;0;20;MDU;;Y;NA;8;6;Beschermd Erfgoed;1LU in CRAB, aantal onduidelijk in GM.;Y;BE;BUILDING template;Van Meterenkaai;4;;
ANTWERPEN-WEST - FH02;1781996;8;1;0;9;MDU;;Y;NA;5;3;;8LU in CRAB, ook in GM;Y;_;BUILDING template;Adriaan Brouwerstraat;14;;
ANTWERPEN-WEST - FH02;2013632;7;0;0;7;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Minderbroedersstraat;7;;
ANTWERPEN-WEST - FH02;4506638;0;1;0;1;SDU;;N;ORN;4;4;;1LU in CRAB, aantal app onduidelijk in GM.;Y;_;BUILDING template;Stijfselrui;32;;
ANTWERPEN-WEST - FH02;59189;0;1;0;1;SDU;;Y;NA;2;4;;;Y;_;BUILDING template;Lange Schipperskapelstraat;13;;
ANTWERPEN-WEST - FH02;1782007;0;1;0;1;SDU;;N;IRREG;5;0;;;Y;_;BUILDING template;Adriaan Brouwerstraat;16;;
ANTWERPEN-WEST - FH02;2013636;8;0;0;8;MDU;;N;ORN;5;4;;1LU in CRAB, in GM ook;Y;_;BUILDING template;Minderbroedersstraat;8;;
ANTWERPEN-WEST - FH02;4507208;2;0;0;2;MDU;;Y;NA;3;4;;;Y;_;BUILDING template;Stijfselstraat;24;;
ANTWERPEN-WEST - FH02;1782243;6;0;0;6;MDU;;Y;NA;4;4;Beschermd Erfgoed;5LU in CRAB, huisnr staat in Gm, ook in kadaster.;Y;BE;BUILDING template;Brouwersvliet;12;;
ANTWERPEN-WEST - FH02;2013647;1;0;0;1;SDU;;Y;NA;2;5;;;Y;_;BUILDING template;Minderbroedersstraat;11;;
ANTWERPEN-WEST - FH02;4507210;1;0;0;1;SDU;;Y;NA;5;5;Beschermd Erfgoed;;Y;BE;BUILDING template;Stijfselstraat;28;;
ANTWERPEN-WEST - FH02;59262;0;1;0;1;SDU;;Y;NA;5;3;;;Y;_;BUILDING template;Rouaansekaai;4;;
ANTWERPEN-WEST - FH02;1782244;0;1;0;1;SDU;;Y;NA;4;5;;1LU in CRAB, BU in GM;Y;_;BUILDING template;Brouwersvliet;14;;
ANTWERPEN-WEST - FH02;2013655;6;0;0;6;MDU;;N;ORN;4;4;;5LU in CRAb, in GM  6 bussen.;Y;_;BUILDING template;Minderbroedersstraat;12;;
ANTWERPEN-WEST - FH02;4507211;5;0;0;5;MDU;;Y;NA;5;4;;;Y;_;BUILDING template;Stijfselstraat;30;;
ANTWERPEN-WEST - FH02;59290;0;1;0;1;SDU;;N;ORN;6;4;;;Y;_;BUILDING template;Brouwersvliet;39;;
ANTWERPEN-WEST - FH02;1782259;0;1;0;1;SDU;;Y;NA;4;5;;;Y;_;BUILDING template;Brouwersvliet;16;;
ANTWERPEN-WEST - FH02;2013661;1;0;0;1;SDU;;Y;NA;3;4;;;Y;_;BUILDING template;Minderbroedersstraat;13;;
ANTWERPEN-WEST - FH02;4507212;1;0;0;1;SDU;;Y;NA;3;4;;;Y;_;BUILDING template;Stijfselstraat;4;;
ANTWERPEN-WEST - FH02;59291;0;1;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Brouwersvliet;37;;
ANTWERPEN-WEST - FH02;1782266;5;1;0;6;MDU;;Y;NA;2;4;;1LU in CRAB, ook te zien in GM;Y;_;BUILDING template;Brouwersvliet;18;;
ANTWERPEN-WEST - FH02;2013672;1;0;0;1;SDU;;N;ORN;3;4;Beschermd Erfgoed;2LU in CRAb, zit samen met 2 in GM;Y;BE;BUILDING template;Minderbroedersstraat;18;;
ANTWERPEN-WEST - FH02;4507213;0;1;0;1;SDU;;Y;NA;2;4;;;Y;_;BUILDING template;Stijfselstraat;6;;
ANTWERPEN-WEST - FH02;61789;6;1;0;7;MDU;;Y;NA;7;4;;niet in CRAB, huisnummer ook niet i, GM, wel in kadaster.;Y;_;BUILDING template;Brouwersvliet;30;;
ANTWERPEN-WEST - FH02;1782295;4;0;0;4;MDU;;Y;NA;4;5;;1LU in CRAB, 4bussen in GM;Y;_;BUILDING template;Brouwersvliet;22;;
ANTWERPEN-WEST - FH02;2013696;0;1;0;1;SDU;;N;MON;2;5;Monument;;Y;_;BUILDING template;Minderbroedersstraat;22;;
ANTWERPEN-WEST - FH02;4507216;0;1;0;1;SDU;;Y;NA;3;4;;;Y;_;BUILDING template;Stijfselstraat;8;;
ANTWERPEN-WEST - FH02;61790;0;1;0;1;SDU;;N;IRREG;6;0;;;Y;_;BUILDING template;Brouwersvliet;10;;
ANTWERPEN-WEST - FH02;1782329;0;1;0;1;SDU;;Y;NA;5;4;Beschermd Erfgoed;;Y;BE;BUILDING template;Brouwersvliet;29;;
ANTWERPEN-WEST - FH02;2021321;0;1;0;1;SDU;;Y;NA;2;4;;1LU in CRAB. Gm heeft geen street view in deze straat;Y;_;BUILDING template;Morgenstraat;5;;
ANTWERPEN-WEST - FH02;61791;0;1;0;1;SDU;;N;GLASS;4;4;;;Y;Review Required;BUILDING template;Brouwersvliet;4;;
ANTWERPEN-WEST - FH02;1782345;3;1;0;4;MDU;;Y;NA;4;5;;;Y;_;BUILDING template;Brouwersvliet;32;;
ANTWERPEN-WEST - FH02;2021329;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Morgenstraat;11;;
ANTWERPEN-WEST - FH02;4507218;0;1;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;Stijfselrui;21;;
ANTWERPEN-WEST - FH02;61792;0;1;0;1;SDU;;N;GLASS;7;4;;1BU in CRAB, ook in GM te zien, niet in kadaster.;Y;_;BUILDING template;Brouwersvliet;2;;
ANTWERPEN-WEST - FH02;1782360;4;1;0;5;MDU;;Y;NA;4;5;;4LU in CRAB, in GM ook 4bussen te zien.;Y;_;BUILDING template;Brouwersvliet;34;;
ANTWERPEN-WEST - FH02;2021330;1;0;0;1;SDU;;N;ORN;3;4;;;Y;_;BUILDING template;Morgenstraat;13;;
ANTWERPEN-WEST - FH02;4507219;0;1;0;1;SDU;;Y;NA;2;5;;;Y;_;BUILDING template;Stijfselrui;23;;
ANTWERPEN-WEST - FH02;6518701;1;0;0;1;SDU;;Y;NA;3;5;;;;_;BUILDING template;Ambtmanstraat;16;A;
ANTWERPEN-WEST - FH02;61793;4;1;0;5;MDU;;Y;NA;5;5;Beschermd Erfgoed;1LU in CRAB, 4bussen te zien in GM.;Y;BE;BUILDING template;Brouwersvliet;44;;
ANTWERPEN-WEST - FH02;1782369;0;1;0;1;SDU;;Y;NA;3;5;;1LU in CRAB, in GM ook te zien. Lijkt BU onder 38 te zijn.;Y;_;BUILDING template;Brouwersvliet;36;;
ANTWERPEN-WEST - FH02;2021335;1;0;0;1;SDU;;Y;NA;2;4;;;Y;_;BUILDING template;Morgenstraat;15;;
ANTWERPEN-WEST - FH02;4507221;0;1;0;1;SDU;;N;HEIGHT;2;4;;1LU in CRAB, onduidelijk in GM.;Y;_;BUILDING template;Stijfselrui;25;;
ANTWERPEN-WEST - FH02;61794;1;1;0;2;MDU;;Y;NA;4;5;;2LU in ,CRAB, aantal niet duidelijk in GM;Y;_;BUILDING template;Brouwersvliet;24;;
ANTWERPEN-WEST - FH02;1782383;12;1;0;13;MDU;;Y;NA;4;5;;;Y;_;BUILDING template;Brouwersvliet;38;;
ANTWERPEN-WEST - FH02;2021339;3;0;0;3;MDU;;Y;NA;3;4;;;Y;_;BUILDING template;Morgenstraat;16;;
ANTWERPEN-WEST - FH02;4507235;1;0;0;1;SDU;;Y;NA;3;4;;;Y;_;BUILDING template;Stijfselrui;43;;
ANTWERPEN-WEST - FH02;61795;1;0;0;1;SDU;;N;ORN;4;4;;;Y;_;BUILDING template;Blauwbroekstraat;3;;
ANTWERPEN-WEST - FH02;1782406;4;1;0;5;MDU;;Y;NA;5;5;;1LU in CRAB, 4bussen te zien inGM op vermoedelijk te huisnummer;Y;_;BUILDING template;Brouwersvliet;40;;
ANTWERPEN-WEST - FH02;2021344;0;1;0;1;SDU;;Y;NA;2;5;;;Y;_;BUILDING template;Morgenstraat;17;;
