Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Building comment;Crab Comment;Opdrachttemplate;Building exists;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
MECHELEN - FH02;3045143;0;1;0;1;SDU;;N;IRREG;3;12;;;BUILDING template;;Onze-Lieve-Vrouwestraat;115;;
MECHELEN - FH02;3045149;1;1;0;2;MDU;C;N;IRREG;3;12;Wachtbuizen met trekkoord;;BUILDING template;;Onze-Lieve-Vrouwestraat;119;;
MECHELEN - FH02;10978;0;2;0;2;MDU;B;N;IRREG;4;10;nagekeken;;BUILDING template;;Onze-Lieve-Vrouwestraat;123;;
MECHELEN - FH02;3040897;1;0;1;2;SDU;D;N;IRREG;3;9;;;BUILDING template;;Leopoldstraat;59;;
MECHELEN - FH02;335265;1;0;0;1;SDU;D;N;IRREG;1;3;BE_;;BUILDING template;;Colomastraat;2;;
MECHELEN - FH02;3040909;11;3;1;15;MDU;B;N;IRREG;3;9;BE_nagekeken;;BUILDING template;;Leopoldstraat;70;;
MECHELEN - FH02;335251;1;1;0;2;MDU;D;N;IRREG;3;9;;;BUILDING template;;Leopoldstraat;77;;
MECHELEN - FH02;3050697;1;0;0;1;SDU;;N;IRREG;3;9;;;BUILDING template;;Vaartdijk;53;;
MECHELEN - FH02;371059;1;0;0;1;SDU;D;N;IRREG;3;9;;;BUILDING template;;Vaartdijk;54;;
MECHELEN - FH02;3944164;6;0;1;7;MDU;B;N;IRREG;4;12;nagekeken  opmerking : renovatie,  geen inside info, geen contactgegevens;;BUILDING template;;Raghenoplein;4;;
MECHELEN - FH02;3053934;11;0;0;11;MDU;X;N;IRREG;4;12;nagekeken;;BUILDING template;;Zoutwerf;25;;
MECHELEN - FH02;3053935;10;0;0;10;MDU;X;N;IRREG;5;5;controle : foto's en schema's-Gevel : geen foto;;BUILDING template;;Zoutwerf;26;;
MECHELEN - FH02;354065;0;1;0;1;SDU;;N;IRREG;5;4;_;;BUILDING template;;Hendrik Consciencestraat;5;;
MECHELEN - FH02;3924463;8;0;0;8;MDU;X;N;IRREG;5;12;controle : geen su bij 'details eenheden';;BUILDING template;;Zoutwerf;27;;
MECHELEN - FH02;3053938;5;0;0;5;MDU;X;N;IRREG;3;12;nagekeken;;BUILDING template;;Zoutwerf;28;;
MECHELEN - FH02;354066;0;1;0;1;SDU;;N;IRREG;5;4;_;;BUILDING template;;Hendrik Consciencestraat;7;;
MECHELEN - FH02;354896;1;0;0;1;SDU;;N;IRREG;2;6;BE_;;BUILDING template;;Vaartdijk;75;;
MECHELEN - FH02;3050707;1;0;0;1;SDU;;N;IRREG;3;9;BE_;;BUILDING template;;Vaartdijk;76;;
MECHELEN - FH02;4757353;1;0;0;1;SDU;D;N;IRREG;2;6;;;BUILDING template;;Vaartdijk;77;;
MECHELEN - FH02;3050709;1;0;0;1;SDU;D;N;IRREG;3;9;BE_;;BUILDING template;;Vaartdijk;78;;
MECHELEN - FH02;3050711;1;0;0;1;SDU;D;N;IRREG;2;6;BE_;;BUILDING template;;Vaartdijk;79;;
MECHELEN - FH02;3050712;1;0;0;1;SDU;D;N;IRREG;2;6;BE_;;BUILDING template;;Vaartdijk;80;;
MECHELEN - FH02;3048236;8;0;0;8;MDU;D;N;IRREG;3;12;;;BUILDING template;;Hendrik Speecqvest;68;;
MECHELEN - FH02;3048238;0;1;0;1;SDU;D;N;IRREG;3;12;;;BUILDING template;;Hendrik Speecqvest;70;;
MECHELEN - FH02;4203584;2;0;0;2;MDU;D;N;IRREG;3;12;;;BUILDING template;;Hendrik Speecqvest;72;;
MECHELEN - FH02;6581988;1;0;0;1;SDU;;N;IRREG;3;4;_;;BUILDING template;;Hoogstraat;7;A;
MECHELEN - FH02;3037271;2;1;0;3;MDU;D;N;IRREG;3;4;Controle : QB.  bg 23?        Nummer 21 zijn de appartementen boven .23 de winkel beneden;;BUILDING template;;Hoogstraat;21;;
MECHELEN - FH02;3037274;2;1;0;3;MDU;D;N;IRREG;3;4;21 zijn de appartementen boven 23 is de winkel beneden;;BUILDING template;;Hoogstraat;23;;
MECHELEN - FH02;3050849;3;1;0;4;MDU;X;N;IRREG;4;9;DG_In aanbouw - En construction. W een bg met nummer 11. Er komt 1 grote winkel met 2 appartementen  en een loft;;BUILDING template;;Graaf van Egmontstraat;9;;
MECHELEN - FH02;386440;0;1;0;1;SDU;;N;IRREG;3;10;BE_;;BUILDING template;;Louizastraat;40;;Louizastraat_40_Van Benedenlaan_73
MECHELEN - FH02;3031778;4;0;1;5;MDU;D;N;IRREG;3;4;nagekeken;;BUILDING template;;Brusselsepoortstraat;25;;
MECHELEN - FH02;6527500;1;0;0;1;SDU;;Y;NA;3;6;1 woning;;BUILDING template;;Lieve-Heerstraat;6;C;
MECHELEN - FH02;336881;6;0;1;7;MDU;X;Y;NA;5;3;"BE_controle : su ontbreekt bij &apos;details eenheden&apos;";;BUILDING template;;Willem Geetsstraat;1;;
MECHELEN - FH02;3048038;9;2;1;12;MDU;X;Y;NA;8;6;;;BUILDING template;;Schuttersvest;74;;
MECHELEN - FH02;4763146;1;0;0;1;SDU;D;Y;NA;2;6;;;BUILDING template;;Sint-Jacobstraat;46;;
MECHELEN - FH02;4763080;0;1;0;1;MDU;XC;Y;NA;4;9;;;BUILDING template;;Milsenstraat;17;;
MECHELEN - FH02;386473;15;1;1;17;MDU;XA;Y;NA;9;24;Units van Schuttersvest staan ook ingevuld in de survey van Schuttersvest 17.;;BUILDING template;;Schuttersvest;19;;
MECHELEN - FH02;383273;5;1;1;7;MDU;X;Y;NA;7;4;"controle : aansluiting su + floorbox op kabelvoorstel ?;  gebeurt de aansluiting bu op tussenverdieping?; intro buiten (waar ga je het gebouw binnen?)";;BUILDING template;;Leopoldstraat;1;;
MECHELEN - FH02;354883;1;0;0;1;SDU;D;Y;NA;2;6;;;BUILDING template;;Willem Herreynsstraat;43;;
MECHELEN - FH02;3036072;2;0;0;2;MDU;D;Y;NA;3;10;;;BUILDING template;;Hanswijkstraat;60;;
MECHELEN - FH02;4757586;2;0;0;2;MDU;D;Y;NA;3;9;;;BUILDING template;;Leopoldstraat;21;;
MECHELEN - FH02;3045122;6;0;1;7;MDU;D;Y;NA;4;3;Units zijn via de gevel aansluitbaar.;;BUILDING template;;Onze-Lieve-Vrouwestraat;94;;
MECHELEN - FH02;5853881;1;0;0;1;SDU;;Y;NA;4;4;_;;BUILDING template;;Raghenoplein;21;A;
MECHELEN - FH02;4761104;1;0;0;1;SDU;D;Y;NA;3;10;BE_;;BUILDING template;;Ziekeliedenstraat;3;;
MECHELEN - FH02;354061;3;1;0;4;MDU;B;Y;NA;4;12;;;BUILDING template;;Hendrik Consciencestraat;13;;
MECHELEN - FH02;3053795;1;0;0;1;SDU;D;Y;NA;3;10;;;BUILDING template;;Ziekeliedenstraat;10;;
MECHELEN - FH02;404310;6;1;0;7;MDU;X;Y;NA;4;12;nagekeken;;BUILDING template;;Raghenoplein;25;;
MECHELEN - FH02;4222183;1;0;0;1;SDU;;Y;NA;3;9;;;BUILDING template;;Vaartdijk;71;;
MECHELEN - FH02;5985662;1;0;0;1;SDU;;Y;NA;4;4;_;;BUILDING template;;Hendrik Consciencestraat;13;A;
MECHELEN - FH02;3032563;1;0;0;1;SDU;;Y;NA;2;7;BE_;;BUILDING template;;Coxiestraat;17;;
MECHELEN - FH02;3048228;1;0;0;1;SDU;;Y;NA;3;9;;;BUILDING template;;Hendrik Speecqvest;50;;
MECHELEN - FH02;10980;1;0;0;1;SDU;D;Y;NA;3;10;BE_;;BUILDING template;;Louizastraat;13;;
MECHELEN - FH02;3037247;0;1;1;2;SDU;;Y;NA;3;10;;;BUILDING template;;Hoogstraat;1;;
MECHELEN - FH02;3042464;1;0;0;1;SDU;;Y;NA;4;12;;;BUILDING template;;Louizastraat;15;;
MECHELEN - FH02;5507128;1;0;0;1;SDU;;Y;NA;3;10;;;BUILDING template;;Oude Brusselsestraat;1;A;
MECHELEN - FH02;3050735;0;1;0;1;SDU;D;Y;NA;3;16;BE_;;BUILDING template;N;Van Benedenlaan;12;;
MECHELEN - FH02;4754428;1;0;0;1;SDU;D;Y;NA;3;10;;;BUILDING template;;Ravenbergstraat;25;;
MECHELEN - FH02;173463;1;0;0;1;SDU;;Y;NA;2;6;;;BUILDING template;;Schuttershofstraat;12;;
MECHELEN - FH02;4764876;1;0;0;1;SDU;;Y;NA;3;4;_;;BUILDING template;;Korenmarkt;29;;
MECHELEN - FH02;3047948;0;1;0;1;SDU;D;Y;NA;3;10;;;BUILDING template;;Schuttersvest;10;;
MECHELEN - FH02;3037299;0;1;0;1;SDU;D;Y;NA;2;8;;;BUILDING template;;Hoogstraat;59;;
MECHELEN - FH02;3042552;1;0;0;1;SDU;;Y;NA;2;7;;;BUILDING template;;Maalderijstraatje;1;A;
MECHELEN - FH02;5558667;28;2;0;30;MDU;X;Y;NA;7;4;;;BUILDING template;;Van Benedenlaan;47;;
MECHELEN - FH02;3995779;1;1;0;2;MDU;D;Y;NA;3;4;11 en 13 van het zelfde eigenaar;;BUILDING template;;Milsenstraat;11;;
MECHELEN - FH02;398325;1;0;0;1;SDU;D;Y;NA;3;10;BE_;;BUILDING template;;Hoogstraatje;11;;
MECHELEN - FH02;398321;1;0;0;1;SDU;D;Y;NA;3;12;BE_;;BUILDING template;;Hoogstraatje;12;;
MECHELEN - FH02;3043143;7;2;0;9;MDU;;Y;NA;3;9;"Nummer 13 staat binnen achter de gebouw&period; Zelfde eigenaar";;BUILDING template;;Milsenstraat;13;;
MECHELEN - FH02;4027942;0;1;0;1;MDU;XC;Y;NA;3;8;Via opbouw kabelgoten werken;;BUILDING template;;Milsenstraat;15;;
MECHELEN - FH02;354044;0;1;1;2;SDU;D;Y;NA;3;9;;;BUILDING template;;Koning Albertplein;1;;
MECHELEN - FH02;3050795;1;0;0;1;MDU;D;Y;NA;3;12;Units via gevel aansluitbaar;;BUILDING template;;Van Benedenlaan;71;;
MECHELEN - FH02;3040928;2;1;0;3;MDU;D;N;IRREG;3;9;BE_;;BUILDING template;;Leopoldstraat;86;;
