Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
ANTWERPEN-WEST - FH11;2060986;2;0;0;2;MDU;;Y;NA;4;3;Beschermd Erfgoed;1 Unit in CRAB- 2 bussen in GM;Y;_;BUILDING template;Vlaamsekaai;34;;;151570,131;211112,895
ANTWERPEN-WEST - FH11;977818;3;1;0;4;MDU;;Y;NA;4;6;Beschermd Erfgoed;4 Units in CRAB en GM;Y;_;BUILDING template;Vlaamsekaai;62;;;151441,802;210942,524
ANTWERPEN-WEST - FH11;3926668;8;0;1;9;MDU;;Y;NA;5;3;;8 Units in CRAB en GM;Y;_;BUILDING template;De Gerlachekaai;14;;;151264,92;211051,202
ANTWERPEN-WEST - FH11;2060987;1;2;0;3;MDU;;Y;NA;4;4;Beschermd Erfgoed;1 Unit in CRAB- onduidelijk in GM;Y;_;BUILDING template;Vlaamsekaai;35;;;151561,389;211099,022
ANTWERPEN-WEST - FH11;977820;0;1;0;1;SDU;;Y;NA;6;3;;;Y;_;BUILDING template;Vlaamsekaai;52;;;151481,884;210996,956
ANTWERPEN-WEST - FH11;3928365;4;1;1;6;MDU;;N;ORN;6;4;;;Y;_;BUILDING template;Schalienstraat;14;;;151177,716;210919,684
ANTWERPEN-WEST - FH11;2060989;3;1;0;4;MDU;;Y;NA;4;3;Beschermd Erfgoed;3 Units in CRAB- onduidelijk in GM;Y;_;BUILDING template;Vlaamsekaai;43;;;151526,4;211054,67
ANTWERPEN-WEST - FH11;977821;4;0;1;5;MDU;;Y;NA;6;3;Beschermd Erfgoed;;Y;_;BUILDING template;Vlaamsekaai;50;;;151496,945;211017,051
ANTWERPEN-WEST - FH11;2060990;4;0;0;4;MDU;;Y;NA;4;3;Beschermd Erfgoed;4 Units in CRAB en GM;Y;_;BUILDING template;Vlaamsekaai;44;;;151524,036;211044,992
ANTWERPEN-WEST - FH11;977822;0;1;0;1;SDU;;Y;NA;4;3;Beschermd Erfgoed;1 Unit in CRAB- onduidelijk in GM;Y;_;BUILDING template;Vlaamsekaai;42;;;151530,509;211060,683
ANTWERPEN-WEST - FH11;4054053;0;1;1;2;MDU;;Y;NA;6;6;;1 Unit in CRAB- onduidelijk in GM;Y;_;BUILDING template;Museumstraat;12;D;Museumstraat 12-12A-12B-12C-12D-14-14A;151608,912;211096,632
ANTWERPEN-WEST - FH11;2060994;4;0;0;4;MDU;;Y;NA;3;3;Beschermd Erfgoed;;Y;_;BUILDING template;Vlaamsekaai;46;;;151513,9;211035,602
