Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate;FT Distributie;FT Distributie Opmerking;SS_FOTO_FACADE1_URL
HASSELT - FH08;BL0018;707035;Acaciastraat;3;;;217314;180128;SDU;;1;0;0;1;N;ORN;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-c9b34f5c-76c4-490a-83e5-aba900b24d0f;;https://web.appeee.nl/Files/FormEntry/55607-c9b34f5c-76c4-490a-83e5-aba900b24d0f200426124911394917.jpg
HASSELT - FH08;BL0019;2414686;Ertbeekstraat;40;;;217368,989;180252,556;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-59d534f2-fe64-445f-a181-aba900c5fa04;;https://web.appeee.nl/Files/FormEntry/55607-59d534f2-fe64-445f-a181-aba900c5fa04200426140053740000.jpg
HASSELT - FH08;BL0017;2446492;Vredestraat;98;;;217071,884;180067,887;MDU;;7;0;0;7;N;IRREG;4;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-77008a8a-8318-46da-aaa6-aba9009b6c5d;;https://web.appeee.nl/Files/FormEntry/55607-77008a8a-8318-46da-aaa6-aba9009b6c5d200426112556765000.jpg
HASSELT - FH08;BL0020;707019;Spoorwegstraat;56;;;217455,297;180381,204;SDU;;1;0;0;1;N;ORN;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-3cb4c9e4-f263-4be6-9eca-aba900d06896;;https://web.appeee.nl/Files/FormEntry/55607-3cb4c9e4-f263-4be6-9eca-aba900d06896200426143904546000.jpg
HASSELT - FH08;BL0018;4895215;Acaciastraat;5;;;217306;180127;SDU;;1;0;0;1;N;ORN;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-ca107c0c-c472-4d7d-a791-aba900b1f90a;;https://web.appeee.nl/Files/FormEntry/55607-ca107c0c-c472-4d7d-a791-aba900b1f90a200426124802553000.jpg
HASSELT - FH08;BL0018;2407583;Acaciastraat;7;;;217298,813;180126,968;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-1d474156-5a7f-4dc3-85a6-aba900b1b27e;;https://web.appeee.nl/Files/FormEntry/55607-1d474156-5a7f-4dc3-85a6-aba900b1b27e200426124705076000.jpg
HASSELT - FH08;BL0020;2414688;Ertbeekstraat;43;;;217372,154;180299,297;MDU;;10;0;0;10;Y;NA;4;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-fa0554e4-950e-4081-83ef-aba900d2f339;;https://web.appeee.nl/Files/FormEntry/55607-fa0554e4-950e-4081-83ef-aba900d2f339200426144810040000.jpg
HASSELT - FH08;BL0016;2446494;Vredestraat;100;;;217068,466;180039,959;SDU;;1;0;0;1;N;IRREG;3;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-c7ed033a-988f-485b-b159-aba900d1d2e1;;https://web.appeee.nl/Files/FormEntry/55607-c7ed033a-988f-485b-b159-aba900d1d2e1200426144416831000.jpg
HASSELT - FH08;BL0022;707020;Spoorwegstraat;53;;;217482,669;180377,052;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-59d7249f-a559-4e7a-99b2-aba900e46f15;;https://web.appeee.nl/Files/FormEntry/55607-59d7249f-a559-4e7a-99b2-aba900e46f15200426155153295000.jpg
HASSELT - FH08;BL0022;4895299;Runkstersteenweg;19;;;217598;180322;SDU;;0;0;0;0;N;HEIGHT;2;;;N;;BUILDING template;;;https://web.appeee.nl/Files/FormEntry/55607-392f72ec-f479-419a-a6fa-aba900ea975c
