Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
KNOKKE - FH01;2767130;1;0;0;1;SDU;;Y;NA;2;4;;;;;BUILDING template;Edward Verheyestraat;45;;
KNOKKE - FH01;2763128;9;1;1;11;MDU;A;N;IRREG;6;4;;;;;BUILDING template;Lippenslaan;141;;
KNOKKE - FH01;333270;6;1;0;7;MDU;D;Y;NA;4;4;;;;;BUILDING template;Piers de Raveschootlaan;52;;
KNOKKE - FH01;4346584;0;1;0;1;MDU;C;Y;NA;3;4;;;;;BUILDING template;Van Steenestraat;11;;Van Steenestraat 9-11_Sebastiaan Nachtegaelestraat 10_Edward Verheyestraat 5
KNOKKE - FH01;2767131;1;0;0;1;SDU;;Y;NA;3;4;;;;;BUILDING template;Edward Verheyestraat;47;;
KNOKKE - FH01;2763131;5;1;1;7;MDU;A;N;IRREG;6;0;;;;OPGELET: tussen gelijkvloers en 1e verdieping hebben we een tussenverdiepinging;BUILDING template;Lippenslaan;142;;
KNOKKE - FH01;2765533;7;1;1;9;MDU;XC;Y;NA;4;4;;;;;BUILDING template;Piers de Raveschootlaan;55;;
KNOKKE - FH01;5579467;5;0;1;6;MDU;A;N;ORN;6;0;;;;;BUILDING template;Lippenslaan;22;;
KNOKKE - FH01;2767132;1;0;0;1;SDU;;Y;NA;3;4;;;;;BUILDING template;Edward Verheyestraat;49;;
KNOKKE - FH01;2763133;5;1;2;8;MDU;XA;N;IRREG;6;4;;;;;BUILDING template;Lippenslaan;144;;
KNOKKE - FH01;2765536;7;1;1;9;MDU;C;Y;NA;5;4;;;;;BUILDING template;Piers de Raveschootlaan;57;;
KNOKKE - FH01;5579483;0;1;0;1;SDU;;N;ORN;3;0;;;;;BUILDING template;Maurice Lippensplein;10;;
KNOKKE - FH01;2763899;2;1;0;3;MDU;D;N;IRREG;3;12;Beschermd Erfgoed;;;BE;BUILDING template;Sebastiaan Nachtegaelestraat;12;;
KNOKKE - FH01;2767134;1;1;0;2;MDU;D;Y;NA;3;6;;;;;BUILDING template;Edward Verheyestraat;51;;
KNOKKE - FH01;2763136;0;1;0;1;SDU;;N;IRREG;1;4;;;;;BUILDING template;Lippenslaan;146;;
KNOKKE - FH01;1450191;4;1;2;7;MDU;XC;Y;NA;5;4;;;;;BUILDING template;Piers de Raveschootlaan;59;;
KNOKKE - FH01;5830032;1;0;0;1;SDU;;N;IRREG;3;0;;;;;BUILDING template;Cassiersstraat;3;;
KNOKKE - FH01;2767135;1;0;0;1;SDU;;Y;NA;2;4;;;;;BUILDING template;Edward Verheyestraat;53;;
