Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
ANTWERPEN-WEST - FH06;1892898;0;1;0;1;SDU;;N;NA;3;5;Beschermd Erfgoed;;Y;_;BUILDING template;Maarschalk Gérardstraat;4;A;
ANTWERPEN-WEST - FH06;55292;1;0;0;1;SDU;;Y;NA;4;3;;;Y;;BUILDING template;Rosier;1;;
ANTWERPEN-WEST - FH06;1892908;0;1;0;1;SDU;;Y;NA;4;3;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Maarschalk Gérardstraat;5;;
ANTWERPEN-WEST - FH06;2068427;0;1;0;1;SDU;;N;IRREG;4;0;;;Y;_;BUILDING template;Lombardenvest;15;;
ANTWERPEN-WEST - FH06;2068428;1;0;0;1;SDU;;Y;NA;4;3;;;Y;_;BUILDING template;Lombardenvest;16;;
ANTWERPEN-WEST - FH06;1892935;0;1;0;1;SDU;;Y;NA;3;3;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Maarschalk Gérardstraat;8;;
ANTWERPEN-WEST - FH06;2068429;0;1;0;1;SDU;;N;IRREG;4;0;;;Y;_;BUILDING template;Lombardenvest;19;;
ANTWERPEN-WEST - FH06;2068430;0;1;0;1;SDU;;Y;NA;4;4;;;Y;;BUILDING template;Lombardenvest;23;;
ANTWERPEN-WEST - FH06;1892950;0;1;0;1;SDU;;Y;NA;3;3;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Maarschalk Gérardstraat;11;;
ANTWERPEN-WEST - FH06;1893001;0;1;0;1;SDU;;Y;NA;4;3;;;Y;_;BUILDING template;Maarschalk Gérardstraat;15;;
ANTWERPEN-WEST - FH06;2068433;0;1;0;1;SDU;;Y;NA;4;5;;;Y;;BUILDING template;Lombardenvest;31;;
ANTWERPEN-WEST - FH06;55312;1;0;0;1;SDU;;Y;NA;4;4;;;Y;_;BUILDING template;Oudaan;12;;
ANTWERPEN-WEST - FH06;1893042;0;1;0;1;SDU;;Y;NA;2;3;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Maarschalk Gérardstraat;18;;
ANTWERPEN-WEST - FH06;2068435;0;1;0;1;SDU;;Y;NA;4;5;;;Y;;BUILDING template;Lombardenvest;35;;
ANTWERPEN-WEST - FH06;1893085;0;1;0;1;SDU;;Y;NA;3;3;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Maarschalk Gérardstraat;20;;
ANTWERPEN-WEST - FH06;2068436;0;1;0;1;SDU;;Y;NA;4;4;;;Y;_;BUILDING template;Lombardenvest;37;;
ANTWERPEN-WEST - FH06;2068437;0;1;0;1;SDU;;Y;NA;4;3;;;Y;;BUILDING template;Lombardenvest;39;;
ANTWERPEN-WEST - FH06;1893166;0;1;0;1;SDU;;Y;NA;3;3;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Maarschalk Gérardstraat;26;;
ANTWERPEN-WEST - FH06;2068438;0;1;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Lombardenvest;42;;
