Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
KNOKKE-HEIST - FH03;2763399;0;1;0;1;SDU;;N;IRREG;4;3;Beschermd Erfgoed;1LU in CRAB, in gm huisnr ook te zien. Kunnen 2LU zijn.;Y;_;BUILDING template;Lippenslaan;383;;;74770,547;227491,171
KNOKKE-HEIST - FH03;2763400;1;1;0;2;MDU;;N;IRREG;5;3;;;Y;_;BUILDING template;Lippenslaan;385;;;74770,547;227497,171
KNOKKE-HEIST - FH03;2763403;10;1;1;12;MDU;;N;IRREG;6;3;;;Y;_;BUILDING template;Lippenslaan;389;;;74771,221;227511,408
KNOKKE-HEIST - FH03;2763402;1;1;0;2;MDU;;N;IRREG;4;3;Beschermd Erfgoed;;Y;_;BUILDING template;Lippenslaan;387;;;74771,547;227503,171
KNOKKE-HEIST - FH03;321005;6;1;1;8;MDU;;N;IRREG;7;3;;;Y;_;BUILDING template;Lippenslaan;248;;;74771,55;227194,171
KNOKKE-HEIST - FH03;336835;0;1;0;1;MDU;;N;IRREG;3;3;Beschermd Erfgoed;;Y;_;BUILDING template;Lippenslaan;258;;Dumortierlaan 1_Lippenslaan 258;74777,693;227262,343
KNOKKE-HEIST - FH03;2763284;0;1;0;1;MDU;;N;IRREG;7;3;;1LU in CRAB, lijkt BU in GM;Y;_;BUILDING template;Lippenslaan;262;;Dumortierlaan 3-5-7_Lippenslaan 262;74779,288;227275,841
KNOKKE-HEIST - FH03;2763295;0;1;0;1;MDU;;N;IRREG;5;3;;;Y;_;BUILDING template;Lippenslaan;270;;Dumortierlaan 9_Lippenslaan 270;74781,265;227291,953
KNOKKE-HEIST - FH03;2763301;0;1;0;1;MDU;;N;IRREG;7;3;;;Y;_;BUILDING template;Lippenslaan;276;;Lippenslaan 274-276;74782,135;227299,692
KNOKKE-HEIST - FH03;2763304;6;1;1;8;MDU;;N;IRREG;7;3;;;Y;_;BUILDING template;Lippenslaan;278;;;74782,484;227306,343
KNOKKE-HEIST - FH03;2763307;12;1;1;14;MDU;;N;IRREG;7;6;;13LU in CRAB, onduidelijk in GM;Y;_;BUILDING template;Lippenslaan;280;;Lippenslaan 280-282;74783,33;227311,669
KNOKKE-HEIST - FH03;2763310;0;1;0;1;MDU;;N;IRREG;7;3;;2LU in CRAB, onduidelijk in GM;Y;_;BUILDING template;Lippenslaan;282;;Lippenslaan 280-282;74783,418;227316,343
KNOKKE-HEIST - FH03;2763281;0;1;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Lippenslaan;260;;;74783,88;227270,288
KNOKKE-HEIST - FH03;2763313;0;1;0;1;MDU;;N;IRREG;7;3;;1LU in CRAB, onduidelijk in GM huisnr wel te zien.;Y;_;BUILDING template;Lippenslaan;284;;Lippenslaan 284-286-300-302;74784,939;227323,799
KNOKKE-HEIST - FH03;2763329;6;2;1;9;MDU;;N;IRREG;7;6;;;Y;_;BUILDING template;Lippenslaan;302;;Lippenslaan 284-286-300-302;74785,548;227343,171
KNOKKE-HEIST - FH03;2763328;12;0;1;13;MDU;;N;IRREG;7;3;;;Y;_;BUILDING template;Lippenslaan;300;;Lippenslaan 284-286-300-302;74785,637;227337,479
KNOKKE-HEIST - FH03;2763286;0;0;0;0;SDU;;N;IRREG;2;4;;;N;;BUILDING template;Lippenslaan;264;;;74787,164;227274,326
KNOKKE-HEIST - FH03;1366430;0;1;0;1;MDU;;N;IRREG;7;3;;1LU in CRAB, is BU in GM op GLV;Y;_;BUILDING template;Lippenslaan;304;;Lippenslaan 304-306;74787,548;227352,171
KNOKKE-HEIST - FH03;2763299;11;1;1;13;MDU;;N;IRREG;7;3;;11LU in CRAB, 13 in GM;Y;_;BUILDING template;Lippenslaan;274;;Lippenslaan 274-276;74787,67;227297,348
KNOKKE-HEIST - FH03;2759211;16;0;0;16;MDU;;N;IRREG;7;3;;;Y;_;BUILDING template;Dumortierlaan;5;;Dumortierlaan 3-5-7_Lippenslaan 262;74788,492;227276,06
