Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
HASSELT - FH02;1143120;0;1;0;1;SDU;;N;IRREG;4;4;Beschermd Erfgoed;;;;BUILDING template;Demerstraat;58;;
HASSELT - FH02;2448111;0;2;0;2;MDU;C;N;IRREG;1;4;Beschermd Erfgoed;;;;BUILDING template;Witte-Nonnenstraat;26;;
HASSELT - FH02;69186;1;0;0;1;SDU;;Y;NA;2;4;Beschermd Erfgoed;;Y;;BUILDING template;Bonnefantenstraat;19;;
HASSELT - FH02;2414101;0;1;0;1;SDU;;N;IRREG;2;4;Beschermd Erfgoed;;;;BUILDING template;Dorpstraat;13;;
HASSELT - FH02;2412733;0;1;0;1;SDU;;N;IRREG;3;4;Beschermd Erfgoed;;;;BUILDING template;Demerstraat;69;;
HASSELT - FH02;70104;1;0;0;1;SDU;;N;IRREG;3;4;Beschermd Erfgoed;;;;BUILDING template;Dorpstraat;8;;
HASSELT - FH02;2427056;0;1;0;1;SDU;;N;IRREG;3;4;Beschermd Erfgoed;;;;BUILDING template;Maastrichterstraat;87;;
HASSELT - FH02;2427062;0;1;0;1;SDU;;N;IRREG;3;4;Beschermd Erfgoed;;;;BUILDING template;Maastrichterstraat;89;;
HASSELT - FH02;2427069;4;0;0;4;MDU;D;N;IRREG;3;4;Beschermd Erfgoed;;;;BUILDING template;Maastrichterstraat;91;;
HASSELT - FH02;70261;0;1;0;1;SDU;;N;IRREG;3;4;Beschermd Erfgoed;;;;BUILDING template;Isabellastraat;13;;
HASSELT - FH02;70264;1;0;0;1;SDU;;N;IRREG;3;4;Beschermd Erfgoed;;;;BUILDING template;Isabellastraat;15;;
HASSELT - FH02;2427078;0;1;0;1;SDU;;N;IRREG;3;4;Beschermd Erfgoed;;;;BUILDING template;Maastrichterstraat;99;;
HASSELT - FH02;2418887;1;0;0;1;SDU;;N;IRREG;3;4;Beschermd Erfgoed;;;;BUILDING template;Isabellastraat;17;;
HASSELT - FH02;4846204;1;0;0;1;SDU;;N;IRREG;3;4;Beschermd Erfgoed;;;;BUILDING template;Isabellastraat;19;;
HASSELT - FH02;2427084;0;1;0;1;SDU;;N;IRREG;3;4;Beschermd Erfgoed;;;;BUILDING template;Maastrichterstraat;105;;
HASSELT - FH02;2429605;0;1;0;1;SDU;;N;IRREG;3;4;Beschermd Erfgoed;;;;BUILDING template;Minderbroedersstraat;7;;
HASSELT - FH02;2408332;0;1;0;1;SDU;;N;IRREG;2;4;Beschermd Erfgoed;;;;BUILDING template;Badderijstraat;21;;
HASSELT - FH02;2408335;0;1;0;1;SDU;;N;IRREG;3;4;Beschermd Erfgoed;;;;BUILDING template;Badderijstraat;23;;
HASSELT - FH02;655410;0;1;0;1;SDU;;N;IRREG;2;4;Beschermd Erfgoed;;;;BUILDING template;Maastrichterstraat;98;;
HASSELT - FH02;2416474;0;1;0;1;SDU;;N;IRREG;3;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;13;;
HASSELT - FH02;2416476;0;1;0;1;SDU;;N;IRREG;5;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;14;;
HASSELT - FH02;677217;1;1;0;2;MDU;D;N;IRREG;2;3;Beschermd Erfgoed;;;;BUILDING template;de Schiervellaan;2;;
HASSELT - FH02;2412609;0;1;0;1;SDU;;N;IRREG;3;4;Beschermd Erfgoed;;;De Bu staat momenteel leeg verdieping wordt als magazijn gebruikt.;BUILDING template;Demerstraat;4;;
HASSELT - FH02;2412621;0;1;0;1;SDU;;N;IRREG;4;7;Beschermd Erfgoed;;;;BUILDING template;Demerstraat;10;;
HASSELT - FH02;655552;0;1;0;1;SDU;;N;IRREG;3;4;Beschermd Erfgoed;;;;BUILDING template;Kolonel Dusartplein;20;;
HASSELT - FH02;677158;0;1;0;1;SDU;;N;IRREG;3;4;Beschermd Erfgoed;;;;BUILDING template;Maastrichterstraat;22;;
HASSELT - FH02;2426972;0;1;0;1;SDU;;N;IRREG;3;4;Beschermd Erfgoed;;;;BUILDING template;Maastrichterstraat;24;;
HASSELT - FH02;70323;0;1;0;1;SDU;;N;IRREG;3;4;Beschermd Erfgoed;;;;BUILDING template;Minderbroedersstraat;44;;
HASSELT - FH02;2438614;0;1;0;1;SDU;;N;IRREG;2;4;Beschermd Erfgoed;;;;BUILDING template;Schrijnwerkersstraat;9;;
HASSELT - FH02;4846894;0;1;0;1;SDU;;N;IRREG;2;4;Beschermd Erfgoed;;;;BUILDING template;Schrijnwerkersstraat;11;;
HASSELT - FH02;2445653;0;1;0;1;SDU;;N;IRREG;3;4;Beschermd Erfgoed;;;;BUILDING template;Vismarkt;5;;
HASSELT - FH02;2433537;0;1;0;1;SDU;;N;IRREG;3;4;Beschermd Erfgoed;;;;BUILDING template;Paardsdemerstraat;13;;
HASSELT - FH02;2433539;1;0;0;1;SDU;;N;IRREG;2;4;Beschermd Erfgoed;;;;BUILDING template;Paardsdemerstraat;15;;
