Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
HASSELT - FH01;2409799;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Boomkensstraat;89;;;;
HASSELT - FH01;4172102;1;0;0;1;SDU;;Y;NA;2;4;;;;;BUILDING template;Vooruitzichtstraat;24;;;;
HASSELT - FH01;2415714;1;0;0;1;SDU;;Y;NA;2;9;;;;;BUILDING template;Geraetsstraat;8;;;;
HASSELT - FH01;4162140;1;0;0;1;MDU;C;N;IRREG;2;7;;;;;BUILDING template;Woutersplein;16;;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;;
HASSELT - FH01;2427881;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Manteliusstraat;26;;;;
HASSELT - FH01;2409801;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Boomkensstraat;91;;;;
HASSELT - FH01;2446170;1;0;0;1;SDU;;Y;NA;1;7;;;;;BUILDING template;Vooruitzichtstraat;26;;;;
HASSELT - FH01;2415721;3;1;1;5;MDU;D;N;IRREG;3;10;;;;;BUILDING template;Geraetsstraat;18;;Geraetsstraat 18-20;;
HASSELT - FH01;2406676;1;0;0;1;MDU;C;N;IRREG;2;7;;;;;BUILDING template;Woutersplein;17;;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;;
HASSELT - FH01;2427884;2;1;0;3;MDU;D;Y;NA;3;9;;;;;BUILDING template;Manteliusstraat;28;;;;
HASSELT - FH01;2446173;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Vooruitzichtstraat;28;;;;
HASSELT - FH01;2415724;0;1;0;1;MDU;D;N;IRREG;3;10;;;;;BUILDING template;Geraetsstraat;20;;Geraetsstraat 18-20;;
HASSELT - FH01;2406677;1;0;0;1;MDU;C;N;IRREG;2;7;;;;;BUILDING template;Woutersplein;18;;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;;
HASSELT - FH01;2427892;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Manteliusstraat;30;;;;
HASSELT - FH01;2446180;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Vooruitzichtstraat;30;;;;
HASSELT - FH01;4044631;0;1;0;1;SDU;;N;IRREG;3;9;;;;;BUILDING template;Geraetsstraat;22;;;;
HASSELT - FH01;2448148;0;1;0;1;MDU;C;N;IRREG;1;4;;;;Woutersstraat 1: Sdu Bu  aansluitbaar  vanuit schacht huisnr 3;BUILDING template;Woutersstraat;1;;Woutersstraat 1-3-5-7-11-13-15;;
HASSELT - FH01;2427900;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Manteliusstraat;32;;;;
HASSELT - FH01;2446185;1;0;0;1;SDU;;Y;NA;2;4;;;;;BUILDING template;Vooruitzichtstraat;32;;;;
HASSELT - FH01;2448151;11;0;0;11;MDU;C;N;IRREG;4;13;;;;;BUILDING template;Woutersstraat;3;;Woutersstraat 1-3-5-7-11-13-15;;
HASSELT - FH01;4226728;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Manteliusstraat;34;;;;
HASSELT - FH01;4897419;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Vooruitzichtstraat;34;;;;
HASSELT - FH01;707228;0;2;0;2;MDU;C;N;IRREG;1;4;;;;Woutersstraat 5, 7 : 1  Bu   momenteel leegstand , deze is opsplitsbaar  naar 2 en kan vanuit schacht huisrnr 3  als huisnr 11 aangesloten worden.;BUILDING template;Woutersstraat;7;;Woutersstraat 1-3-5-7-11-13-15;;
HASSELT - FH01;2427918;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Manteliusstraat;36;;;;
HASSELT - FH01;2446194;1;0;0;1;SDU;;Y;NA;2;4;;;;;BUILDING template;Vooruitzichtstraat;36;;;;
HASSELT - FH01;2448160;7;0;0;7;MDU;C;N;IRREG;4;13;;;;;BUILDING template;Woutersstraat;11;;Woutersstraat 1-3-5-7-11-13-15;;
HASSELT - FH01;2427923;3;0;0;3;MDU;D;Y;NA;3;9;;;;;BUILDING template;Manteliusstraat;38;;;;
HASSELT - FH01;4149687;1;0;0;1;SDU;;Y;NA;2;4;;;;;BUILDING template;Vooruitzichtstraat;38;;;;
HASSELT - FH01;2427938;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Manteliusstraat;40;;;;
HASSELT - FH01;2427952;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Manteliusstraat;42;;;;
HASSELT - FH01;654140;1;0;0;1;SDU;;Y;NA;3;8;;;;;BUILDING template;Manteliusstraat;44;;;;
HASSELT - FH01;654138;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Manteliusstraat;46;;;;
HASSELT - FH01;654143;0;1;0;1;SDU;;Y;NA;3;8;;;;;BUILDING template;Manteliusstraat;48;;;;
HASSELT - FH01;654101;1;0;0;1;SDU;;N;IRREG;2;7;;;;;BUILDING template;Melkvoetstraat;1;;;;
HASSELT - FH01;654103;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Melkvoetstraat;3;;;;
HASSELT - FH01;2428955;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Melkvoetstraat;5;;;;
HASSELT - FH01;708110;3;1;0;4;MDU;D;Y;NA;4;4;;;Y;Sint-Hubertusplein 2: Mdu  1bu,  3lu  doorgaande gevelbekabeling en aansluiting mogelijk via de gevel.;BUILDING template;Sint-Hubertusplein;2;;Sint-Hubertusplein 2-2A;;
HASSELT - FH01;4847241;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Melkvoetstraat;7;;;;
HASSELT - FH01;2428963;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Melkvoetstraat;9;;;;
HASSELT - FH01;4847245;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Melkvoetstraat;11;;;;
HASSELT - FH01;2428971;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Melkvoetstraat;13;;;;
HASSELT - FH01;2428975;1;0;0;1;SDU;;Y;NA;3;8;;;;;BUILDING template;Melkvoetstraat;15;;;;
HASSELT - FH01;2428979;1;0;0;1;SDU;;Y;NA;3;8;;;;;BUILDING template;Melkvoetstraat;17;;;;
HASSELT - FH01;2428986;1;0;0;1;SDU;;Y;NA;3;8;;;;;BUILDING template;Melkvoetstraat;19;;;;
HASSELT - FH01;654105;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Melkvoetstraat;21;;;;
HASSELT - FH01;654107;1;0;0;1;SDU;;Y;NA;3;8;;;;;BUILDING template;Melkvoetstraat;23;;;;
HASSELT - FH01;2442757;5;0;0;5;MDU;D;Y;NA;3;9;;;;;BUILDING template;Torenstraat;19;;;;
HASSELT - FH01;2428996;1;0;0;1;SDU;;Y;NA;3;8;;;;;BUILDING template;Melkvoetstraat;25;;;;
HASSELT - FH01;2442760;1;0;1;2;MDU;D;Y;NA;3;9;;;;;BUILDING template;Torenstraat;21;;;;
HASSELT - FH01;2428998;1;0;0;1;SDU;;Y;NA;3;8;;;;;BUILDING template;Melkvoetstraat;27;;;;
HASSELT - FH01;3937671;6;0;0;6;MDU;D;Y;NA;3;9;;;;;BUILDING template;Torenstraat;23;;;;
HASSELT - FH01;2429001;1;0;0;1;SDU;;Y;NA;3;8;;;;;BUILDING template;Melkvoetstraat;29;;;;
HASSELT - FH01;2442767;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Torenstraat;25;;;;
HASSELT - FH01;2429004;1;0;0;1;SDU;;Y;NA;3;8;;;;;BUILDING template;Melkvoetstraat;31;;;;
HASSELT - FH01;6162632;1;0;0;1;SDU;;N;IRREG;;;;;;;BUILDING template;Harmoniestraat;43;;;;
HASSELT - FH01;2442771;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Torenstraat;27;;;;
HASSELT - FH01;2442239;0;7;0;7;MDU;B;N;IRREG;5;10;;;;;BUILDING template;Thonissenlaan;20;;;;
HASSELT - FH01;4181956;1;0;0;1;SDU;;Y;NA;3;8;;;;;BUILDING template;Melkvoetstraat;33;;;;
HASSELT - FH01;2442774;3;0;0;3;MDU;D;Y;NA;3;9;;;;;BUILDING template;Torenstraat;29;;Torenstraat 29-31;;
HASSELT - FH01;2442260;7;0;1;8;MDU;B;N;IRREG;5;10;;;;;BUILDING template;Thonissenlaan;28;;Thonissenlaan 28-34;;
HASSELT - FH01;2429009;1;0;0;1;SDU;;Y;NA;3;8;;;;;BUILDING template;Melkvoetstraat;35;;;;
HASSELT - FH01;3937675;4;0;0;4;MDU;D;Y;NA;4;9;;;;;BUILDING template;Torenstraat;33;;;;
HASSELT - FH01;2442284;0;1;0;1;MDU;B;N;IRREG;3;9;;;;;BUILDING template;Thonissenlaan;34;;Thonissenlaan 28-34;;
HASSELT - FH01;4151467;1;0;0;1;SDU;;Y;NA;3;8;;;;;BUILDING template;Melkvoetstraat;37;;;;
HASSELT - FH01;707337;4;1;0;5;MDU;D;Y;NA;4;12;;;;;BUILDING template;Torenstraat;35;;;;
HASSELT - FH01;2442290;0;1;0;1;SDU;;N;IRREG;2;8;;;;;BUILDING template;Thonissenlaan;36;;;;
HASSELT - FH01;2442390;0;1;0;1;SDU;;N;GABLE;2;9;;;;;BUILDING template;Thonissenlaan;56;A;;;
HASSELT - FH01;6330683;3;0;0;3;MDU;C;N;IRREG;0;0;;;;;BUILDING template;Boomkensstraat;109;;;217613,553;179835,344
HASSELT - FH01;2429012;1;0;0;1;SDU;;Y;NA;3;8;;;;;BUILDING template;Melkvoetstraat;39;;;;
HASSELT - FH01;1019987;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Woutersstraat;2;;;;
