Projectnummer;Opdrachtnummer;Straat;Huisnummer;Huisnummer Toevoeging;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;BG Name;xPos;yPos
EVERE - FH04;1621981;Frans Leonstraat - Rue Frans Leon;11;;1;1;0;2;MDU;;Y;NA;3;6;;;Y;_;BUILDING template;;152389;174215
EVERE - FH04;NB-1140833482;H. Van Hoordestraat - Rue H. Van Hoorde;8;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;152036;174039
EVERE - FH04;1620700;Haachtsesteenweg - Chaussee de Haecht;995;;3;0;0;3;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152353,846;173788,663
EVERE - FH04;1621845;Windmolenstraat - Rue du Moulin AÂ  Vent;32;;3;0;0;3;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151889,704;173632,49
EVERE - FH04;1622472;H. Van Hammestraat - Rue H. Van Hamme;19;;1;0;0;1;SDU;;Y;NA;2;6;;;Y;_;BUILDING template;;151755,208;173977,238
EVERE - FH04;1623154;Edward Stuckensstraat - Rue Edouard Stuckens;65;;4;0;0;4;MDU;;Y;NA;4;5;;;Y;_;BUILDING template;;151919,419;173948,896
EVERE - FH04;1623559;Jaak Ballingsstraat - Rue Jacques Ballings;26;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152119,116;173729,317
EVERE - FH04;4005747;Parijsstraat - Rue de Paris;28;;2;0;0;2;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152234,258;174117,214
EVERE - FH04;828001;Lindestraat - Rue du Tilleul;225;;4;0;0;4;MDU;;Y;NA;4;7;;;Y;_;BUILDING template;;151844,421;173504,392
EVERE - FH04;831370;P. Van Obberghenstraat - Rue P. Van Obberghen;8;;2;0;0;2;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;P. Van Obberghenstraat 8-10;151911,575;173909,336
EVERE - FH04;1621993;Frans Leonstraat - Rue Frans Leon;34;;1;0;0;1;SDU;;Y;NA;3;9;;;Y;_;BUILDING template;;152351;174282
EVERE - FH04;1620701;Haachtsesteenweg - Chaussee de Haecht;997;;1;0;0;1;SDU;;Y;NA;3;4;;;Y;_;BUILDING template;;152359,195;173791,758
EVERE - FH04;1621846;Windmolenstraat - Rue du Moulin AÂ  Vent;33;;1;0;1;2;MDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151888,126;173659,57
EVERE - FH04;1622473;H. Van Hammestraat - Rue H. Van Hamme;21;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151759,531;173979,602
EVERE - FH04;1623155;Edward Stuckensstraat - Rue Edouard Stuckens;66;;1;0;0;1;SDU;;Y;NA;4;6;;;Y;Hier is er twijfel wegens balkon en klimop;BUILDING template;;151893,513;173923,276
EVERE - FH04;1623560;Jaak Ballingsstraat - Rue Jacques Ballings;27;;1;0;1;2;MDU;;Y;NA;3;8;;;Y;_;BUILDING template;;152110,757;173752,275
EVERE - FH04;4007698;Laurent Vandenhovenstraat - Rue Laurent Vandenhoven;49;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152583,929;174688,989
EVERE - FH04;828002;Lindestraat - Rue du Tilleul;227;;4;0;0;4;MDU;;Y;NA;4;7;;;Y;_;BUILDING template;;151845,089;173496,611
EVERE - FH04;831371;Edward Stuckensstraat - Rue Edouard Stuckens;2;;0;1;0;1;SDU;;N;ORN;2;4;;;Y;_;BUILDING template;;151705,58;173928,785
EVERE - FH04;1622192;Gustaaf Norgastraat - Rue Gustave Norga;29;A;0;0;0;0;SDU;;Y;NA;2;4;;;N;;BUILDING template;;152284;174238
EVERE - FH04;1620711;Haachtsesteenweg - Chaussee de Haecht;1023;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152410,49;173823,064
EVERE - FH04;1621847;Windmolenstraat - Rue du Moulin AÂ  Vent;34;;3;0;0;3;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151894,881;173635,837
EVERE - FH04;827731;H. Van Hammestraat - Rue H. Van Hamme;23;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151764,855;173979,923
EVERE - FH04;1623156;Edward Stuckensstraat - Rue Edouard Stuckens;67;;2;0;0;2;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151926,959;173950,319
