Projectnummer;Opdrachtnummer;Straat;Huisnummer;Huisnummer Toevoeging;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;BG Name;xPos;yPos
EVERE - FH04;3916139;Sint-Vincentiusstraat - Rue Saint-Vincent;68;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152569,21;174338,638
EVERE - FH04;827985;Haachtsesteenweg - Chaussee de Haecht;863;;1;0;0;1;SDU;;N;ORN;2;4;;;Y;_;BUILDING template;;152000,745;173556,43
EVERE - FH04;830582;Laurent Vandenhovenstraat - Rue Laurent Vandenhoven;61;;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;;152623,361;174723,127
EVERE - FH04;1621234;Picardiestraat - Rue Picardie;3;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151597,199;174167,456
EVERE - FH04;1620676;Haachtsesteenweg - Chaussee de Haecht;955;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152245,122;173725,966
EVERE - FH04;1621539;Walkiersstraat - Rue Walkiers;20;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151569,2;174207,636
EVERE - FH04;1622461;H. Van Hammestraat - Rue H. Van Hamme;4;;1;0;0;1;SDU;;N;IRREG;3;4;;;Y;_;BUILDING template;;151720,982;173944,891
EVERE - FH04;1623143;Edward Stuckensstraat - Rue Edouard Stuckens;50;;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;;151845,096;173925,135
EVERE - FH04;1623547;Jaak Ballingsstraat - Rue Jacques Ballings;13;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;152070,009;173742,646
EVERE - FH04;3916142;L. Van Boeckelstraat - Rue L. Van Boeckel;38;;3;0;0;3;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152269,35;173961,712
EVERE - FH04;827987;Haachtsesteenweg - Chaussee de Haecht;829;;9;1;1;11;MDU;;N;IRREG;5;4;;;Y;_;BUILDING template;Haachtsesteenweg 829-831;151890,281;173506,346
EVERE - FH04;830583;Laurent Vandenhovenstraat - Rue Laurent Vandenhoven;58;;1;0;0;1;SDU;;Y;NA;2;7;;;Y;_;BUILDING template;;152583,235;174653,422
EVERE - FH04;1621235;Picardiestraat - Rue Picardie;4;;0;1;1;2;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151604,878;174146,07
EVERE - FH04;1620681;Haachtsesteenweg - Chaussee de Haecht;967;;0;1;1;2;MDU;;N;IRREG;3;4;;;Y;_;BUILDING template;Fr. Pepermansstraat 83_Haachtsesteenweg 967;152275,045;173752,528
EVERE - FH04;1621540;Walkiersstraat - Rue Walkiers;22;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151566,668;174212,489
EVERE - FH04;1622462;H. Van Hammestraat - Rue H. Van Hamme;5;;1;0;0;1;MDU;;N;IRREG;2;4;;;Y;_;BUILDING template;H. Van Hammestraat 5-7;151704,909;173966,98
EVERE - FH04;1623144;Edward Stuckensstraat - Rue Edouard Stuckens;51;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151879,759;173948,289
EVERE - FH04;1623548;Jaak Ballingsstraat - Rue Jacques Ballings;14;;1;0;0;1;SDU;;Y;NA;2;5;;;Y;_;BUILDING template;;152083,162;173721,226
EVERE - FH04;3916153;Fr. Van Cutsemstraat - Rue Fr. Van Cutsem;42;;6;0;0;6;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152655,185;174510,256
EVERE - FH04;827988;Windmolenstraat - Rue du Moulin AÂ  Vent;26;;1;0;1;2;MDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151874,461;173623,872
EVERE - FH04;830584;Laurent Vandenhovenstraat - Rue Laurent Vandenhoven;68;;3;1;0;4;MDU;;Y;NA;4;5;;;Y;_;BUILDING template;Laurent Vandenhovenstraat 66-68;152598,276;174666,716
EVERE - FH04;1621236;Picardiestraat - Rue Picardie;5;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151602,649;174169,46
EVERE - FH04;1620683;Haachtsesteenweg - Chaussee de Haecht;971;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;152291,756;173758,872
EVERE - FH04;1621541;Walkiersstraat - Rue Walkiers;26;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151560,674;174221,685
EVERE - FH04;1622463;H. Van Hammestraat - Rue H. Van Hamme;6;;1;0;0;1;SDU;;N;IRREG;3;4;;;Y;_;BUILDING template;;151725,601;173945,024
EVERE - FH04;1623145;Edward Stuckensstraat - Rue Edouard Stuckens;52;;1;0;1;2;MDU;;Y;NA;3;6;;;Y;_;BUILDING template;;151851,69;173924,366
EVERE - FH04;1623549;Jaak Ballingsstraat - Rue Jacques Ballings;15;;1;0;0;1;SDU;;Y;NA;3;7;;;Y;_;BUILDING template;;152075,485;173744,22
EVERE - FH04;3916156;Edward Dekosterstraat - Rue Edouard Dekoster;105;;2;0;0;2;MDU;;N;IRREG;3;4;;;Y;_;BUILDING template;;152487,765;174420,152
EVERE - FH04;827990;Windmolenstraat - Rue du Moulin AÂ  Vent;42;;3;0;0;3;MDU;;Y;NA;3;4;;;Y;_;BUILDING template;;151916,347;173653,099
EVERE - FH04;830586;Laurent Vandenhovenstraat - Rue Laurent Vandenhoven;48;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152561,09;174631,791
EVERE - FH04;829712;Stroobantsstraat - Rue Stroobants;1;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151529,096;174257,324
EVERE - FH04;1620684;Haachtsesteenweg - Chaussee de Haecht;973;;2;1;0;3;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152297,045;173761,808
EVERE - FH04;1621542;Walkiersstraat - Rue Walkiers;28;;3;0;0;3;MDU;;Y;NA;4;8;;;Y;_;BUILDING template;;151556,972;174227,523
EVERE - FH04;1622464;H. Van Hammestraat - Rue H. Van Hamme;7;;1;0;0;1;MDU;;N;IRREG;2;4;;;Y;_;BUILDING template;H. Van Hammestraat 5-7;151713;173979
EVERE - FH04;1623146;Edward Stuckensstraat - Rue Edouard Stuckens;54;;1;0;1;2;MDU;;Y;NA;3;6;;;Y;_;BUILDING template;;151858,203;173924,631
EVERE - FH04;1623550;Jaak Ballingsstraat - Rue Jacques Ballings;16;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152088,318;173722,317
EVERE - FH04;3916157;Edward Dekosterstraat - Rue Edouard Dekoster;122;;1;0;1;2;MDU;;Y;NA;3;7;;;Y;_;BUILDING template;Edward Dekosterstraat 122-124;152506,902;174380,597
EVERE - FH04;827991;Windmolenstraat - Rue du Moulin AÂ  Vent;46;;3;0;0;3;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151935,418;173663,75
EVERE - FH04;831361;P. Mattheussensstraat - Rue Pierre Mattheussens;33;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151831,691;173791,406
EVERE - FH04;1621356;Stroobantsstraat - Rue Stroobants;10;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151563,822;174243,82
EVERE - FH04;1620686;Haachtsesteenweg - Chaussee de Haecht;975;;1;0;1;2;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152304,735;173765,427
EVERE - FH04;1621543;Walkiersstraat - Rue Walkiers;34;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151525,869;174273,149
EVERE - FH04;1622465;H. Van Hammestraat - Rue H. Van Hamme;8;;1;0;0;1;SDU;;N;IRREG;3;4;;;Y;_;BUILDING template;;151730,185;173945,758
EVERE - FH04;1623147;Edward Stuckensstraat - Rue Edouard Stuckens;55;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151890,684;173949,214
EVERE - FH04;1623551;Jaak Ballingsstraat - Rue Jacques Ballings;18;;4;0;0;4;MDU;;Y;NA;4;7;;;Y;_;BUILDING template;;152095,384;173722,938
EVERE - FH04;3918855;Edward Dekosterstraat - Rue Edouard Dekoster;180;;1;0;0;1;SDU;;Y;NA;2;7;;;Y;_;BUILDING template;;152591,203;174569,201
EVERE - FH04;827993;Windmolenstraat - Rue du Moulin AÂ  Vent;52;;1;1;1;3;MDU;;N;IRREG;3;4;;;Y;_;BUILDING template;;151955,566;173675,464
EVERE - FH04;831362;P. Mattheussensstraat - Rue Pierre Mattheussens;33;B;3;0;0;3;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151857,601;173804,624
EVERE - FH04;1621412;Lindestraat - Rue du Tilleul;77;;8;0;0;8;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;;151709;173898
EVERE - FH04;1620690;Haachtsesteenweg - Chaussee de Haecht;983;;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;;152320,933;173772,593
EVERE - FH04;1621544;Walkiersstraat - Rue Walkiers;36;;2;0;0;2;MDU;;Y;NA;3;6;;;Y;_;BUILDING template;;151524,45;174278,115
EVERE - FH04;1622466;H. Van Hammestraat - Rue H. Van Hamme;9;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151728,858;173968,635
EVERE - FH04;1623148;Edward Stuckensstraat - Rue Edouard Stuckens;56;;3;0;0;3;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151863,933;173924,122
EVERE - FH04;1623552;Jaak Ballingsstraat - Rue Jacques Ballings;19;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;152087,283;173746,416
EVERE - FH04;3955668;Frans Pepermansstraat - Rue Frans Pepermans;28;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152158,598;173911,293
EVERE - FH04;827995;Windmolenstraat - Rue du Moulin AÂ  Vent;66;;1;0;1;2;MDU;;N;IRREG;3;4;;;Y;_;BUILDING template;;151999,495;173701,173
EVERE - FH04;831363;P. Mattheussensstraat - Rue Pierre Mattheussens;69;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151943,11;173846,649
EVERE - FH04;1621414;Lindestraat - Rue du Tilleul;83;;8;0;0;8;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;;151711;173889
EVERE - FH04;1620692;Haachtsesteenweg - Chaussee de Haecht;985;;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;;152324,292;173775,822
EVERE - FH04;1621545;Walkiersstraat - Rue Walkiers;38;;1;0;0;1;SDU;;Y;NA;2;5;;;Y;_;BUILDING template;;151520,662;174285,247
EVERE - FH04;1622467;H. Van Hammestraat - Rue H. Van Hamme;10;;1;0;0;1;SDU;;N;IRREG;3;4;;;Y;_;BUILDING template;;151734,956;173945,835
EVERE - FH04;1623149;Edward Stuckensstraat - Rue Edouard Stuckens;58;;1;0;0;1;SDU;;Y;NA;4;6;;;Y;_;BUILDING template;;151870,191;173923,437
EVERE - FH04;1623554;Jaak Ballingsstraat - Rue Jacques Ballings;21;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;152093,193;173747,587
EVERE - FH04;3957334;Edward Dekosterstraat - Rue Edouard Dekoster;167;;2;0;0;2;MDU;;Y;NA;3;6;;;Y;_;BUILDING template;Edward Dekosterstraat 165-167;152578,311;174589,836
EVERE - FH04;827996;Lindestraat - Rue du Tilleul;191;;7;0;0;7;MDU;;Y;NA;4;9;;;Y;Lindestraat 191-193-195A-195B-197A-197B- 199A-199B-201A-201B is streegje hier twijfel voor facade;BUILDING template;;151809,913;173581,02
EVERE - FH04;831364;W. Van Perckstraat - Rue Willebrord Van Perck;38;;6;0;0;6;MDU;;N;IRREG;3;4;;;Y;_;BUILDING template;;151838,291;173796,586
EVERE - FH04;1621428;Lindestraat - Rue du Tilleul;117;;0;1;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151734,484;173792,606
EVERE - FH04;1620693;Haachtsesteenweg - Chaussee de Haecht;987;;1;0;1;2;MDU;;Y;NA;3;6;;;Y;_;BUILDING template;;152328,996;173778,051
EVERE - FH04;1621546;Walkiersstraat - Rue Walkiers;40;;1;0;1;2;MDU;;Y;NA;2;5;;;Y;_;BUILDING template;;151518,436;174290,686
EVERE - FH04;1622468;H. Van Hammestraat - Rue H. Van Hamme;12;;1;0;0;1;SDU;;N;IRREG;3;4;;;Y;_;BUILDING template;;151743,187;173950,4
EVERE - FH04;1623150;Edward Stuckensstraat - Rue Edouard Stuckens;60;;4;0;0;4;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;;151875,214;173923,087
EVERE - FH04;1623555;Jaak Ballingsstraat - Rue Jacques Ballings;22;;1;0;0;1;SDU;;Y;NA;2;5;;;Y;_;BUILDING template;;152106,719;173727,473
EVERE - FH04;3996762;Frans Pepermansstraat - Rue Frans Pepermans;20;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152148,315;173928,549
EVERE - FH04;827997;Lindestraat - Rue du Tilleul;205;;6;0;0;6;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;;151816,897;173566,159
