Projectnummer;errors;Opdrachtnummer;Blok;Cluster_NR;Building_FID;LAM_MK;BG_Id;BG_Name;BG_Name_IFH;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;SSV_Date;Surveyor;Buildingtype;NR_BU;NR_LU;NR_SU;UNITS_TOTAL;LU;BU;SU;TOTAAL;Opdrachttemplate
MECHELEN - FH01;Units total diff;1351370;BL0116;4;425532;1351370;33740121;Begijnenstraat 33-35-37-39-41-43-43A;Begijnenstraat 33-35-37-39-41-43-43A;Begijnenstraat;43;;XC;2020-05-28;Jo De Clippel;MDU;0;3;1;4;4;0;1;5;BUILDING template
MECHELEN - FH01;Units total diff;3030790;BL0105;2;427852;3030790;33740117;Befferstraat 37-39;Befferstraat 37-39;Befferstraat;37;;D;2020-05-19 08:30:06;Dieu Jocelin;MDU;0;1;2;3;1;0;0;1;BUILDING template
MECHELEN - FH01;Units total diff;3032955;BL0106;2;429086;3032955;33740199;Frederik de Merodestraat 21-23;Frederik de Merodestraat 21-23;Frederik de Merodestraat;21;;D;2020-06-12;Dieu Jocelin;MDU;0;2;0;2;1;0;0;1;BUILDING template
MECHELEN - FH01;Units total diff;3040453;BL0130;3;433368;3040453;33740125;Leermarkt 56-58;Leermarkt 56-58;Leermarkt;56;;D;2020-05-19 11:15:20;Dieu Jocelin;MDU;1;0;1;2;1;0;0;1;BUILDING template
MECHELEN - FH01;Units total diff;3042702;BL0122;3;434549;3042702;33740133;Grote Markt 37-38;Grote Markt 37-38;Grote Markt;37;;D;2020-05-18 10:25:04;Jo De Clippel;MDU;1;1;0;2;1;0;0;1;BUILDING template
MECHELEN - FH01;Units total diff;3043720;BL0115;5;435046;3043720;;;;Nauwstraat;5;;C;2020-05-20 09:45:07;Dieu Jocelin;MDU;1;3;1;5;6;0;2;8;BUILDING template
MECHELEN - FH01;Units total diff;3046132;BL0115;5;436306;3046132;33740160;Persoonshoek 9-11-13;Persoonshoek 9-11-13;Persoonshoek;9;;C;2020-05-29 15:25:06;Jo De Clippel;MDU;1;20;3;24;13;1;0;14;BUILDING template
MECHELEN - FH01;Units total diff;3046136;BL0115;5;436307;3046136;33740160;Persoonshoek 9-11-13;Persoonshoek 9-11-13;Persoonshoek;11;;C;2020-05-29 15:35:07;Jo De Clippel;MDU;0;33;1;34;33;1;1;35;BUILDING template
MECHELEN - FH01;Units total diff;3046140;BL0115;5;436308;3046140;33740160;Persoonshoek 9-11-13;Persoonshoek 9-11-13;Persoonshoek;13;;XC;2020-06-10 13:20:26;Jo De Clippel;MDU;0;42;0;42;42;1;0;43;BUILDING template
MECHELEN - FH01;Units total diff;3047607;BL0127;4;10472511;3047607;;;;Lange Schipstraat;24;;D;2020-05-06;Dieu Jocelin;MDU;2;0;1;3;1;1;0;2;BUILDING template
MECHELEN - FH01;Units total diff;3048621;BL0108;1;11452664;3048621;33740175;Sint-Katelijnestraat 36-36B;Sint-Katelijnestraat 36-36B;Sint-Katelijnestraat;36;B;D;2020-05-25 08:25:04;Jo De Clippel;MDU;1;1;0;2;0;1;0;1;BUILDING template
MECHELEN - FH01;Units total diff;3049069;BL0116;4;437711;3049069;;;;Steenweg;8;;D;2020-05-18 10:45:30;Dieu Jocelin;MDU;1;1;1;3;3;1;1;5;BUILDING template
