Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;Opdrachttemplate
MECHELEN - FH01;Units bu diff;3043720;BL0115;5;435046;3043720;;;;Nauwstraat;5;;C;;20/05/2020 9:45;Dieu Jocelin;MDU;1;3;1;5;0;6;2;8;BUILDING template
MECHELEN - FH01;Units su diff;3043720;BL0115;5;435046;3043720;;;;Nauwstraat;5;;C;;20/05/2020 9:45;Dieu Jocelin;MDU;1;3;1;5;0;6;2;8;BUILDING template
MECHELEN - FH01;Units lu diff;3043720;BL0115;5;435046;3043720;;;;Nauwstraat;5;;C;;20/05/2020 9:45;Dieu Jocelin;MDU;1;3;1;5;0;6;2;8;BUILDING template
MECHELEN - FH01;Units total diff;3043720;BL0115;5;435046;3043720;;;;Nauwstraat;5;;C;;20/05/2020 9:45;Dieu Jocelin;MDU;1;3;1;5;0;6;2;8;BUILDING template
MECHELEN - FH01;Units lu diff;3046132;BL0115;5;436306;3046132;33740160;Persoonshoek 9-11-13;Persoonshoek 9-11-13;Persoonshoek;9;;C;;29/05/2020 15:25;Jo De Clippel;MDU;1;20;3;24;1;13;0;14;BUILDING template
MECHELEN - FH01;Units su diff;3046132;BL0115;5;436306;3046132;33740160;Persoonshoek 9-11-13;Persoonshoek 9-11-13;Persoonshoek;9;;C;;29/05/2020 15:25;Jo De Clippel;MDU;1;20;3;24;1;13;0;14;BUILDING template
MECHELEN - FH01;Units total diff;3046132;BL0115;5;436306;3046132;33740160;Persoonshoek 9-11-13;Persoonshoek 9-11-13;Persoonshoek;9;;C;;29/05/2020 15:25;Jo De Clippel;MDU;1;20;3;24;1;13;0;14;BUILDING template
MECHELEN - FH01;Units bu diff;3046136;BL0115;5;436307;3046136;33740160;Persoonshoek 9-11-13;Persoonshoek 9-11-13;Persoonshoek;11;;C;;29/05/2020 15:35;Jo De Clippel;MDU;0;33;1;34;1;33;1;35;BUILDING template
MECHELEN - FH01;Units total diff;3046136;BL0115;5;436307;3046136;33740160;Persoonshoek 9-11-13;Persoonshoek 9-11-13;Persoonshoek;11;;C;;29/05/2020 15:35;Jo De Clippel;MDU;0;33;1;34;1;33;1;35;BUILDING template
MECHELEN - FH01;Units bu diff;3046140;BL0115;5;436308;3046140;33740160;Persoonshoek 9-11-13;Persoonshoek 9-11-13;Persoonshoek;13;;XC;;10/06/2020 13:20;Jo De Clippel;MDU;0;42;0;42;1;42;0;43;BUILDING template
MECHELEN - FH01;Units total diff;3046140;BL0115;5;436308;3046140;33740160;Persoonshoek 9-11-13;Persoonshoek 9-11-13;Persoonshoek;13;;XC;;10/06/2020 13:20;Jo De Clippel;MDU;0;42;0;42;1;42;0;43;BUILDING template
