Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Opdrachttemplate
KNOKKE-HEIST - FH04;Kustlaan;33;;75106;227630;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;663;;74972,54549;227669,1721;MDU;;28;2;0;30;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;674;;75045;227692;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;666;;74985,54544;227673,1722;MDU;;8;1;0;9;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;683;;75083,54506;227704,1729;MDU;;8;1;0;9;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;667;;74992;227675;MDU;;18;0;0;18;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Marie-Josestraat;3;;75036,57;227679,7;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;668;;74997;227677;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Marie-Josestraat;5;;75038,45;227674,86;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;669;;75001,54538;227678,1723;MDU;;7;1;0;8;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;783;;75713,82291;227871,4977;MDU;;29;3;0;32;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;672;;75019,45439;227684,8012;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Zeewindstraat;10;;75747,54279;227868,1789;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;675;;75045;227692;MDU;;14;0;0;14;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;247;;75732;227819;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;676;;75047,31526;227684,7326;MDU;;4;0;0;4;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;253;;75741;227823;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;682;;75078,54509;227702,1729;MDU;;7;1;0;8;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;801;;75819,5424;227918,1784;MDU;;10;1;0;11;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;684;;75084;227705;MDU;;8;0;0;8;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Ebbestraat;7;;75849;227902;MDU;;2;0;0;2;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;686;;75095;227703;MDU;;15;0;0;15;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Ebbestraat;11;;75837;227924;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;689;;75120,54492;227716,1732;MDU;;6;1;0;7;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;745;;75429;227788;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;690;;75121;227717;MDU;;7;0;0;7;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Albertplein;9;;75445,54411;227764,1757;SDU;;0;1;0;1;Y;NA;2;BUILDING template
