Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Building comment;Building exists;Opdrachttemplate
ANTWERPEN-WEST - FH06;BL0611;2052146;Schrijnwerkersstraat;10;;;152432,925;212004,445;SDU;;0;1;0;1;N;MON;4;Review Required MON;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0601;1739684;Begijnenstraat;89;;;152258,06;211350,925;SDU;;1;0;0;1;Y;NA;3;;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0612;2052147;Schrijnwerkersstraat;11;;;152448,916;211991,964;SDU;;0;1;0;1;N;MON;2;Review Required MON;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0601;1741131;Bervoetstraat;4;;;152270,595;211349,075;SDU;;0;1;0;1;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0611;2052148;Schrijnwerkersstraat;12;;;152432,834;211997,216;SDU;;0;1;0;1;Y;NA;3;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0602;1741132;Bervoetstraat;5;;;152273,266;211368,733;MDU;;4;0;0;4;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0612;2052149;Schrijnwerkersstraat;13;;;152450,453;211987,732;SDU;;0;1;0;1;Y;NA;2;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0601;1741133;Bervoetstraat;6;;;152274,567;211347,842;MDU;;3;0;0;3;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0601;1741134;Bervoetstraat;8;;;152282,649;211345,993;MDU;;4;0;0;4;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0612;2052151;Schrijnwerkersstraat;15;;;152451,422;211983,362;SDU;;0;1;0;1;N;MON;4;_ MON;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0601;1741135;Bervoetstraat;10;;;152288,403;211341,472;MDU;;3;0;0;3;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0612;2052153;Schrijnwerkersstraat;19;;;152454,544;211974,557;SDU;;0;1;0;1;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0611;2052154;Schrijnwerkersstraat;20;;;152433,278;211976,374;SDU;;0;1;0;1;Y;NA;4;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0601;1741137;Bervoetstraat;12;;;152292,513;211339,829;SDU;;1;0;0;1;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0612;2052155;Schrijnwerkersstraat;21;;;152455,464;211967,995;SDU;;0;1;0;1;Y;NA;5;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0601;1741139;Bervoetstraat;16;;;152298,745;211342,5;SDU;;0;1;0;1;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0618;2055923;Sudermanstraat;16;;;152465,41;212191,458;MDU;;4;0;0;4;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0601;1741140;Bervoetstraat;22;;;152318;211336;SDU;;1;0;0;1;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0618;2055924;Sudermanstraat;20;;;152460,465;212182,052;MDU;;2;0;0;2;N;MON;3;_ MON;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0601;1741141;Bervoetstraat;24;;;152333,609;211337,147;SDU;;1;0;0;1;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0618;2055925;Sudermanstraat;22;;;152453,009;212176,531;MDU;;1;1;0;2;Y;NA;3;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0602;1741143;Bervoetstraat;31;;;152333,406;211355,331;SDU;;0;1;0;1;Y;NA;3;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0601;2056536;Terninckstraat;3;;;152293,984;211292,367;MDU;;2;1;0;3;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0602;1741144;Bervoetstraat;33;;;152338,913;211354,935;SDU;;1;0;0;1;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0601;2056538;Terninckstraat;5;;;152300,05;211295,057;SDU;;0;1;0;1;Y;NA;2;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0601;1741145;Bervoetstraat;34;;;152356,013;211336,535;MDU;;4;0;0;4;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0601;2056539;Terninckstraat;7;;;152303,373;211297,114;MDU;;3;0;0;3;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0602;1741146;Bervoetstraat;35;;;152343,804;211354,405;SDU;;1;0;0;1;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0602;1741147;Bervoetstraat;39;;;152354,881;211353,896;MDU;;6;0;0;6;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0601;2056544;Terninckstraat;15;;;152346,697;211320,838;MDU;;5;0;0;5;Y;NA;2;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0602;1741148;Bervoetstraat;41;;;152361,94;211352,389;SDU;;1;0;0;1;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0601;2056545;Terninckstraat;17;;;152354,767;211326,221;MDU;;1;1;0;2;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0602;1741149;Bervoetstraat;43;;;152366,825;211353,238;SDU;;1;0;0;1;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0601;2056547;Terninckstraat;19;;;152359,019;211328,753;MDU;;4;0;0;4;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0602;1741150;Bervoetstraat;45;;;152372,635;211353,708;SDU;;1;0;0;1;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0601;2056549;Terninckstraat;21;;;152365,231;211335,043;MDU;;6;2;0;8;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0602;1741151;Bervoetstraat;51;;;152391,61;211352,921;SDU;;1;0;0;1;Y;NA;0;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0605;2061259;Vleminckveld;5;;;152366,136;211693,696;SDU;;0;1;0;1;N;ORN;5;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0620;1750022;Jan Blomstraat;4;;;152211,306;212231,855;SDU;;0;1;0;1;Y;NA;3;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;2061260;Vleminckveld;10;;;152361,481;211663,602;SDU;;0;1;0;1;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0622;1750023;Jan Blomstraat;5;;;152240,395;212226,406;SDU;;0;1;0;1;N;MON;3;_ MON;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0605;2061261;Vleminckveld;11;;;152378,85;211680,69;MDU;;12;0;0;12;N;ORN;5;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0620;1750024;Jan Blomstraat;6;;;152219,593;212226,112;SDU;;0;1;0;1;Y;NA;4;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;2061262;Vleminckveld;14;;;152367,383;211655,339;MDU;;9;1;0;10;N;ORN;5;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0615;721;Eiermarkt;20;;;152452,273;212121,192;SDU;;0;1;0;1;N;ORN;27;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;1778756;Bredestraat;5;;;152346,688;211656,598;MDU;;3;0;0;3;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;2061264;Vleminckveld;18;;;152377,219;211644,008;MDU;;8;0;0;8;Y;NA;3;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0611;12599;Schoenmarkt;2;;;152367,335;212031,436;SDU;;0;1;0;1;N;MON;2;_ MON;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;1778769;Bredestraat;9;;;152345,271;211648,1;MDU;;4;0;0;4;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;2061266;Vleminckveld;22;;;152388,673;211632,634;SDU;;1;0;0;1;Y;NA;3;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0607;12601;Lombardenstraat;2;;;152340,924;211945,648;SDU;;0;1;0;1;Y;NA;4;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;1778777;Bredestraat;11;;;152344,327;211642,906;MDU;;3;0;0;3;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;2061267;Vleminckveld;24;;;152399,083;211632,756;SDU;;0;1;0;1;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;12605;Vleminckveld;6;;;152351,645;211671,392;MDU;;1;2;0;3;Y;NA;4;_ BE;Y;BUILDING template
