Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Postcode;Plaats;xPos;yPos;Opdrachtnummer;Opdrachttemplate
KNOKKE-HEIST - FH04;Zeedijk-Knokke;668;;8300;Knokke-Heist;74997,0;227677,0;NB-83006681fa801;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;740;;8300;Knokke-Heist;75402,0;227785,0;NB-83007401f3045;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;671;;8300;Knokke-Heist;75008,0;227681,0;NB-830067143d985;BUILDING template
KNOKKE-HEIST - FH04;Lichttorenplein;1;B;8300;Knokke-Heist;74971,0;227602,0;NB-83001B6950;BUILDING template
KNOKKE-HEIST - FH04;Lichttorenplein;6;B;8300;Knokke-Heist;74879,54;227568,81;NB-83006Bbc82;BUILDING template
KNOKKE-HEIST - FH04;Marie-Josestraat;4;;8300;Knokke-Heist;75021,0;227661,0;NB-83004fbce11;BUILDING template
KNOKKE-HEIST - FH04;Antoine Breartstraat;9;;8300;Knokke-Heist;75303,3202;227741,2882;NB-83009486f16;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;49;;8300;Knokke-Heist;75168,0;227649,0;NB-8300498d6d14;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;61;;8300;Knokke-Heist;75230,0;227674,0;NB-830061affc41;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;742;;8300;Knokke-Heist;75411,0;227785,0;NB-8300742464d80;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;65;;8300;Knokke-Heist;75260,0;227688,0;NB-830065cf1278;BUILDING template
