Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Postcode;Plaats;xPos;yPos;Opdrachtnummer;Opdrachttemplate
KNOKKE-HEIST - FH04;Swolfsstraat;7;;8300;Knokke-Heist;75123,0;227696,0;NB-830078e3d54;BUILDING template
KNOKKE-HEIST - FH04;Antoine Breartstraat;19;;8300;Knokke-Heist;75316,3;227748,01;NB-830019228c92;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;684;;8300;Knokke-Heist;75084,0;227705,0;NB-8300684beab57;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;79;;8300;Knokke-Heist;75290,0;227700,0;NB-830079694700;BUILDING template
KNOKKE-HEIST - FH04;Swolfsstraat;10;;8300;Knokke-Heist;75108,0;227676,0;NB-830010b06382;BUILDING template
KNOKKE-HEIST - FH04;Antoine Breartstraat;13;A;8300;Knokke-Heist;75316,3;227748,01;NB-830013A9438;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;113;;8300;Knokke-Heist;75384,0;227721,0;NB-8300113890c35;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;765;;8300;Knokke-Heist;75624,0;227836,0;NB-8300765b3dd79;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;686;;8300;Knokke-Heist;75094,78;227702,96;NB-8300686e4d793;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;117;;8300;Knokke-Heist;75400,5202;227717,6326;NB-8300117b26468;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;125;;8300;Knokke-Heist;75420,0;227719,0;NB-8300125d80d96;BUILDING template
KNOKKE-HEIST - FH04;Swolfsstraat;15;;8300;Knokke-Heist;75136,0;227658,0;NB-830015cfcc22;BUILDING template
KNOKKE-HEIST - FH04;Antoine Breartstraat;15;a;8300;Knokke-Heist;75316,3;227748,01;NB-830015a7e72;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;129;;8300;Knokke-Heist;75432,0;227720,0;NB-8300129f9ce30;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;769;;8300;Knokke-Heist;75648,0;227845,0;NB-8300769d64d09;BUILDING template
KNOKKE-HEIST - FH04;Antoine Breartstraat;16;a;8300;Knokke-Heist;75316,3;227748,01;NB-830016aa907;BUILDING template
KNOKKE-HEIST - FH04;Antoine Breartstraat;17;a;8300;Knokke-Heist;75316,3;227748,01;NB-830017af742;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;687;;8300;Knokke-Heist;75094,78;227702,96;NB-830068714dd27;BUILDING template
KNOKKE-HEIST - FH04;De Wielingen;9;;8300;Knokke-Heist;75963,55;227930,85;NB-83009fdac74;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;133;;8300;Knokke-Heist;75447,0;227721,0;NB-830013321fc61;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;688;;8300;Knokke-Heist;75116,74;227714,01;NB-8300688350d56;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;690;;8300;Knokke-Heist;75121,0;227717,0;NB-8300690583a25;BUILDING template
KNOKKE-HEIST - FH04;Swolfsstraat;18;;8300;Knokke-Heist;75120,0;227641,0;NB-830018fee665;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;770;;8300;Knokke-Heist;75656,0;227848,0;NB-8300770f98d34;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;772;;8300;Knokke-Heist;75661,39;227849,46;NB-830077217a061;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;692;;8300;Knokke-Heist;75126,0;227719,0;NB-8300692a88b54;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;774;;8300;Knokke-Heist;75667,0;227852,0;NB-8300774361e92;BUILDING template
KNOKKE-HEIST - FH04;Van Bunnenplein;14;;8300;Knokke-Heist;74843,0;227608,0;NB-830014370d89;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;776;;8300;Knokke-Heist;75671,87;227853,68;NB-83007765a4a17;BUILDING template
KNOKKE-HEIST - FH04;Van Bunnenplein;16;;8300;Knokke-Heist;74848,0;227593,0;NB-830016c25325;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;778;;8300;Knokke-Heist;75694,0;227865,0;NB-830077878ec48;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;779;;8300;Knokke-Heist;75694,0;227865,0;NB-83007799bd074;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;694;;8300;Knokke-Heist;75131,0;227721,0;NB-8300694cb5588;BUILDING template
KNOKKE-HEIST - FH04;De Wielingen;19;;8300;Knokke-Heist;75935,0;227970,0;NB-830019e37970;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;135;;8300;Knokke-Heist;75447,0;227721,0;NB-8300135456a89;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;780;;8300;Knokke-Heist;75703,0;227868,0;NB-8300780ba2c01;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;137;;8300;Knokke-Heist;75447,0;227721,0;NB-8300137662219;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;782;;8300;Knokke-Heist;75708,97;227869,92;NB-8300782d78523;BUILDING template
KNOKKE-HEIST - FH04;De Wielingen;21;;8300;Knokke-Heist;75935,0;227970,0;NB-8300212b1d89;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;139;;8300;Knokke-Heist;75525,0;227741,0;NB-83001398a9d45;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;784;;8300;Knokke-Heist;75718,94;227875,14;NB-8300784f43370;BUILDING template
KNOKKE-HEIST - FH04;Duindistelstraat;3;;8300;Knokke-Heist;75279,0;227742,0;NB-8300350b190;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;149;;8300;Knokke-Heist;75540,0;227746,0;NB-8300149a81681;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;153;;8300;Knokke-Heist;75548,0;227749,0;NB-8300153d2f009;BUILDING template
KNOKKE-HEIST - FH04;Albertplein;10;;8300;Knokke-Heist;75446,0;227765,0;NB-830010b3ed25;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;695;;8300;Knokke-Heist;75136,0;227723,0;NB-8300695f3fb20;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;698;;8300;Knokke-Heist;75165,0;227731,0;NB-83006981b9b87;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;155;;8300;Knokke-Heist;75548,0;227749,0;NB-8300155f3a635;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;699;;8300;Knokke-Heist;75165,0;227731,0;NB-8300699dcbe13;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;159;;8300;Knokke-Heist;75554,0;227752,0;NB-830015911ce95;BUILDING template
KNOKKE-HEIST - FH04;Van Bunnenplein;17;;8300;Knokke-Heist;74848,0;227593,0;NB-830017ec7454;BUILDING template
KNOKKE-HEIST - FH04;Duindistelstraat;14;;8300;Knokke-Heist;75242,0;227693,0;NB-8300147cd333;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;163;;8300;Knokke-Heist;75561,0;227754,0;NB-8300163cce317;BUILDING template
KNOKKE-HEIST - FH04;Zandstraat;1;;8300;Knokke-Heist;75191,0;227727,0;NB-830010ec792;BUILDING template
KNOKKE-HEIST - FH04;Duindistelstraat;18;;8300;Knokke-Heist;75239,8254;227686,5683;NB-830018312291;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;167;;8300;Knokke-Heist;75566,0;227757,0;NB-83001675c2882;BUILDING template
KNOKKE-HEIST - FH04;Duindistelstraat;2;A;8300;Knokke-Heist;75256,66;227737,54;NB-83002Ac730;BUILDING template
KNOKKE-HEIST - FH04;Ebbestraat;4;;8300;Knokke-Heist;75883,0;227887,0;NB-83004a36754;BUILDING template
KNOKKE-HEIST - FH04;Ebbestraat;6;;8300;Knokke-Heist;75883,0;227887,0;NB-83006a83093;BUILDING template
KNOKKE-HEIST - FH04;Zandstraat;3;;8300;Knokke-Heist;75195,0;227717,0;NB-830033b7027;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;177;;8300;Knokke-Heist;75583,0;227763,0;NB-8300177205d78;BUILDING template
KNOKKE-HEIST - FH04;Ebbestraat;7;;8300;Knokke-Heist;75848,98;227901,6;NB-83007d6ed32;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;183;;8300;Knokke-Heist;75592,89;227767,41;NB-83001838e5a55;BUILDING template
KNOKKE-HEIST - FH04;Ebbestraat;9;;8300;Knokke-Heist;75837,0;227924,0;NB-8300904e463;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;189;;8300;Knokke-Heist;75622,0;227778,0;NB-8300189c04c87;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;785;;8300;Knokke-Heist;75725,12;227876,72;NB-83007852ec266;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;195;;8300;Knokke-Heist;75634,0;227783,0;NB-8300195f04993;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;786;;8300;Knokke-Heist;75730,62;227880,52;NB-830078686d502;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;787;;8300;Knokke-Heist;75735,94;227882,48;NB-8300787af2839;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;788;;8300;Knokke-Heist;75742,55;227883,87;NB-8300788dbb282;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;789;;8300;Knokke-Heist;75746,98;227885,77;NB-83007890dd308;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;199;;8300;Knokke-Heist;75640,0;227785,0;NB-8300199148a68;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;790;;8300;Knokke-Heist;75746,98;227885,77;NB-83007902dd341;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;706;;8300;Knokke-Heist;75226,0;227750,0;NB-83007062a1a60;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;791;;8300;Knokke-Heist;75753,0;227891,0;NB-8300791538f74;BUILDING template
KNOKKE-HEIST - FH04;Zandstraat;4;;8300;Knokke-Heist;75175,0;227711,0;NB-83004641f54;BUILDING template
KNOKKE-HEIST - FH04;Ebbestraat;11;;8300;Knokke-Heist;75837,0;227924,0;NB-830011299988;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;792;;8300;Knokke-Heist;75787,0;227905,0;NB-83007927abd07;BUILDING template
KNOKKE-HEIST - FH04;Ebbestraat;15;;8300;Knokke-Heist;75837,0;227924,0;NB-83001547b425;BUILDING template
