File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building  SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod Date LU;Prov Mod By LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;431736;2,01912E+13;3037618;41630000;13778;Ijzerenleen;'10;';2800;Mechelen;;157716,4215;190803,086;;N;IRREG;4;18;Unknown;Unknown;;None;;;;IFH_BATCH;6/12/2019 10:58;;Y;;;;6/12/2019 10:50;1;1558423;;BU;1;';';';';';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;434537;2,01912E+13;3042673;41630000;19912;Grote Markt;'13;';2800;Mechelen;;157860,035;190919,553;;N;IRREG;3;12;Unknown;Unknown;;None;;;;IFH_BATCH;6/12/2019 11:04;;Y;;;;6/12/2019 10:50;1;1562188;;BU;1;';';';';';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;436865;2,01912E+13;3047272;41630000;27117;Schaalstraat;'14;';2800;Mechelen;;157734,906;190667,8618;;Y;NA;3;12;Unknown;Unknown;;None;;;;IFH_BATCH;6/12/2019 11:08;;Y;;;;6/12/2019 10:50;1;1563426;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;;;;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;437053;2,01912E+13;3047685;41630000;27524;Schoenmarkt;'2;';2800;Mechelen;;157781,344;190847,82;;N;IRREG;4;20;Unknown;Unknown;;None;;;;IFH_BATCH;6/12/2019 11:13;;Y;;;;6/12/2019 10:50;1;1568931;;BU;1;';';';';';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;441609;2,01912E+13;4042355;41630000;29067;Sint-Katelijnestraat;'4;';2800;Mechelen;;157650,7215;191059,7761;;Y;NA;3;16;Unknown;Unknown;;None;;;;IFH_BATCH;6/12/2019 11:14;;Y;;;;6/12/2019 10:50;1;1581636;;BU;1;';';';';';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;446032;2,01912E+13;4751106;41630000;6657;Dobbelhuizen;'25;';2800;Mechelen;;157291,228;190933,1611;;Y;NA;3;4;Unknown;Unknown;;None;;;;IFH_BATCH;6/12/2019 11:29;;Y;;;;6/12/2019 10:50;1;1572777;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;;;;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;446035;2,01912E+13;4751112;41630000;6657;Dobbelhuizen;'35;';2800;Mechelen;;157282,8185;190961,5611;;Y;NA;3;18;Unknown;Unknown;;None;;;;IFH_BATCH;6/12/2019 11:29;;Y;;;;6/12/2019 10:50;1;1579110;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;;;;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;450458;2,01912E+13;904922;41630000;13778;Ijzerenleen;'1;';2800;Mechelen;;157767,5536;190799,8599;;Y;NA;4;15;Unknown;Unknown;;None;;;;IFH_BATCH;6/12/2019 10:57;;Y;;;;6/12/2019 10:50;1;1557518;;BU;1;';';';';';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;7092638;2,01912E+13;5838515;41630000;31510;Van Hoeystraat;'25;';2800;Mechelen - Malines;;157875,7458;191288,7026;;N;IRREG;3;9;Unknown;Unknown;;None;;;;IFH_BATCH;6/12/2019 11:18;;Y;;;;6/12/2019 10:50;1;10446711;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;;;;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;7092658;2,01912E+13;3047668;41630000;27507;Lange Schipstraat;'89;';2800;Mechelen - Malines;;157899,908;190381,5163;;Y;NA;4;12;Unknown;Unknown;;None;;;;IFH_BATCH;6/12/2019 11:12;;Y;;;;6/12/2019 10:50;1;1595219;;LU;1;';';';';';Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;Y;;;;6/12/2019 10:50
