Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Postcode;Plaats;xPos;yPos;Opdrachtnummer;LAM MK;Opdrachttemplate
KNOKKE-HEIST - FH04;Van Bunnenplein;18;;8300;Knokke-Heist;74854,04;227583,31;2758570;2758570;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;815;;8300;Knokke-Heist;75914,54196;227958,1791;2768078;2768078;BUILDING template
KNOKKE-HEIST - FH04;Duindistelstraat;5;;8300;Knokke-Heist;75275,54457;227734,1744;2759116;2759116;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;817;;8300;Knokke-Heist;75922,54192;227962,1792;2768081;2768081;BUILDING template
KNOKKE-HEIST - FH04;Duindistelstraat;7;;8300;Knokke-Heist;75273,54463;227727,1744;2759118;2759118;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;818;;8300;Knokke-Heist;75927,5419;227964,1792;2768082;2768082;BUILDING template
KNOKKE-HEIST - FH04;Duindistelstraat;9;;8300;Knokke-Heist;75271,23;227720,74;2759119;2759119;BUILDING template
KNOKKE-HEIST - FH04;Antoine Breartstraat;16;;8300;Knokke-Heist;75316;227748;3923027;3923027;BUILDING template
KNOKKE-HEIST - FH04;Duindistelstraat;11;;8300;Knokke-Heist;75268,54472;227716,1743;2759121;2759121;BUILDING template
KNOKKE-HEIST - FH04;Zandstraat;16;;8300;Knokke-Heist;75184;227683;3939667;3939667;BUILDING template
KNOKKE-HEIST - FH04;Duindistelstraat;12;;8300;Knokke-Heist;75241,99;227702,84;2759123;2759123;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;213;;8300;Knokke-Heist;75658;227792;3954195;3954195;BUILDING template
KNOKKE-HEIST - FH04;Duindistelstraat;15;;8300;Knokke-Heist;75266,54479;227708,1743;2759125;2759125;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;723;;8300;Knokke-Heist;75328,54416;227777,1747;4067471;4067471;BUILDING template
KNOKKE-HEIST - FH04;Ebbestraat;3;;8300;Knokke-Heist;75856,41;227890,84;2759447;2759447;BUILDING template
KNOKKE-HEIST - FH04;Strandstraat;10;;8300;Knokke-Heist;75685;227838;4070277;4070277;BUILDING template
KNOKKE-HEIST - FH04;Ebbestraat;4;;8300;Knokke-Heist;75883;227887;2759448;2759448;BUILDING template
KNOKKE-HEIST - FH04;Duindistelstraat;14;;8300;Knokke-Heist;75242;227693;4073573;4073573;BUILDING template
KNOKKE-HEIST - FH04;Ebbestraat;5;;8300;Knokke-Heist;75848,98;227901,6;2759449;2759449;BUILDING template
KNOKKE-HEIST - FH04;Zandstraat;11;;8300;Knokke-Heist;75205,54505;227685,1739;4091179;4091179;BUILDING template
KNOKKE-HEIST - FH04;Ebbestraat;8;;8300;Knokke-Heist;75884,5;227901,53;2759451;2759451;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;741;;8300;Knokke-Heist;75410,544;227784,1754;4128652;4128652;BUILDING template
KNOKKE-HEIST - FH04;Golvenstraat;4;;8300;Knokke-Heist;75566,54353;227818,1766;2760023;2760023;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;753;;8300;Knokke-Heist;75535;227809;4342854;4342854;BUILDING template
KNOKKE-HEIST - FH04;Golvenstraat;5;;8300;Knokke-Heist;75603,54357;227806,1769;2760024;2760024;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;725;;8300;Knokke-Heist;75340,54414;227778,1748;4343060;4343060;BUILDING template
KNOKKE-HEIST - FH04;Golvenstraat;7;;8300;Knokke-Heist;75604;227807;2760025;2760025;BUILDING template
KNOKKE-HEIST - FH04;Strandstraat;16;;8300;Knokke-Heist;75690,54332;227823,1775;4343871;4343871;BUILDING template
KNOKKE-HEIST - FH04;Golvenstraat;9;;8300;Knokke-Heist;75605,54361;227801,1769;2760027;2760027;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;191;;8300;Knokke-Heist;75627,52;227780,2;4343877;4343877;BUILDING template
KNOKKE-HEIST - FH04;Golvenstraat;11;;8300;Knokke-Heist;75605,54361;227801,1769;2760029;2760029;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;223;;8300;Knokke-Heist;75677,54354;227798,1775;4343880;4343880;BUILDING template
KNOKKE-HEIST - FH04;Golvenstraat;13;;8300;Knokke-Heist;75608,54368;227791,1769;2760031;2760031;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;69;;8300;Knokke-Heist;75268;227689;4345021;4345021;BUILDING template
KNOKKE-HEIST - FH04;Golvenstraat;15;;8300;Knokke-Heist;75608,54368;227791,1769;2760032;2760032;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;710;;8300;Knokke-Heist;75249;227751;4345048;4345048;BUILDING template
KNOKKE-HEIST - FH04;Golvenstraat;17;;8300;Knokke-Heist;75609;227792;2760033;2760033;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;717;;8300;Knokke-Heist;75282,54429;227768,1744;4345065;4345065;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;648;A;8300;Knokke-Heist;74839;227629;2761457;2761457;BUILDING template
KNOKKE-HEIST - FH04;Antoine Breartstraat;11;;8300;Knokke-Heist;75316;227748;4345067;4345067;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;651;;8300;Knokke-Heist;74852;227631;2761459;2761459;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;329;;8300;Knokke-Heist;75933,54244;227895,1794;4345256;4345256;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;653;;8300;Knokke-Heist;74862,11;227634,18;2761461;2761461;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;333;;8300;Knokke-Heist;75940,5424;227898,1794;4345257;4345257;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;654;;8300;Knokke-Heist;74863;227636;2761464;2761464;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;665;;8300;Knokke-Heist;74973;227670;4346484;4346484;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;657;;8300;Knokke-Heist;74874,54586;227638,1713;2761466;2761466;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;3;;8300;Knokke-Heist;74880;227569;4346486;4346486;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;658;;8300;Knokke-Heist;74875;227639;2761468;2761468;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;7;;8300;Knokke-Heist;74880;227569;4346487;4346487;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;660;;8300;Knokke-Heist;74925,51;227632,52;2761472;2761472;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;9;;8300;Knokke-Heist;74880;227569;4346488;4346488;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;662;;8300;Knokke-Heist;74961,54553;227665,172;2761475;2761475;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;33;;8300;Knokke-Heist;75106;227630;4347674;4347674;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;663;;8300;Knokke-Heist;74972,54549;227669,1721;2761477;2761477;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;674;;8300;Knokke-Heist;75045;227692;4347685;4347685;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;666;;8300;Knokke-Heist;74985,54544;227673,1722;2761479;2761479;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;683;;8300;Knokke-Heist;75083,54506;227704,1729;4347699;4347699;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;667;;8300;Knokke-Heist;74992;227675;2761482;2761482;BUILDING template
KNOKKE-HEIST - FH04;Marie-Josestraat;3;;8300;Knokke-Heist;75036,57;227679,7;4347702;4347702;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;668;;8300;Knokke-Heist;74997;227677;2761483;2761483;BUILDING template
KNOKKE-HEIST - FH04;Marie-Josestraat;5;;8300;Knokke-Heist;75038,45;227674,86;4347703;4347703;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;669;;8300;Knokke-Heist;75001,54538;227678,1723;2761485;2761485;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;783;;8300;Knokke-Heist;75713,82291;227871,4977;4348169;4348169;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;672;;8300;Knokke-Heist;75019,45439;227684,8012;2761490;2761490;BUILDING template
KNOKKE-HEIST - FH04;Zeewindstraat;10;;8300;Knokke-Heist;75747,54279;227868,1789;4348172;4348172;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;675;;8300;Knokke-Heist;75045;227692;2761492;2761492;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;247;;8300;Knokke-Heist;75732;227819;4348174;4348174;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;676;;8300;Knokke-Heist;75047,31526;227684,7326;2761494;2761494;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;253;;8300;Knokke-Heist;75741;227823;4348177;4348177;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;682;;8300;Knokke-Heist;75078,54509;227702,1729;2761501;2761501;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;801;;8300;Knokke-Heist;75819,5424;227918,1784;4348188;4348188;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;684;;8300;Knokke-Heist;75084;227705;2761502;2761502;BUILDING template
KNOKKE-HEIST - FH04;Ebbestraat;7;;8300;Knokke-Heist;75849;227902;4348190;4348190;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;686;;8300;Knokke-Heist;75095;227703;2761504;2761504;BUILDING template
KNOKKE-HEIST - FH04;Ebbestraat;11;;8300;Knokke-Heist;75837;227924;4348192;4348192;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;689;;8300;Knokke-Heist;75120,54492;227716,1732;2761505;2761505;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;745;;8300;Knokke-Heist;75429;227788;4348200;4348200;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;690;;8300;Knokke-Heist;75121;227717;2761506;2761506;BUILDING template
KNOKKE-HEIST - FH04;Albertplein;9;;8300;Knokke-Heist;75445,54411;227764,1757;4348202;4348202;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;691;;8300;Knokke-Heist;75125,5449;227718,1732;2761507;2761507;BUILDING template
KNOKKE-HEIST - FH04;Lichttorenplein;6;A;8300;Knokke-Heist;74880,24641;227568,2815;5446596;5446596;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;692;;8300;Knokke-Heist;75126;227719;2761510;2761510;BUILDING template
KNOKKE-HEIST - FH04;Zeewindstraat;9;;8300;Knokke-Heist;75797;227862;5567537;5567537;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;693;;8300;Knokke-Heist;75130,54487;227720,1732;2761511;2761511;BUILDING template
KNOKKE-HEIST - FH04;Albertplein;4;;8300;Knokke-Heist;75450,87;227740,75;5579236;5579236;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;694;;8300;Knokke-Heist;75131;227721;2761513;2761513;BUILDING template
KNOKKE-HEIST - FH04;Albertplein;6;;8300;Knokke-Heist;75447,54423;227749,1757;5579237;5579237;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;695;;8300;Knokke-Heist;75136;227723;2761514;2761514;BUILDING template
KNOKKE-HEIST - FH04;Albertplein;11;;8300;Knokke-Heist;75446;227765;5579238;5579238;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;696;;8300;Knokke-Heist;75135,54485;227722,1733;2761516;2761516;BUILDING template
KNOKKE-HEIST - FH04;Albertplein;17;;8300;Knokke-Heist;75513,54407;227758,1762;5579240;5579240;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;697;;8300;Knokke-Heist;75148,17487;227717,9634;2761517;2761517;BUILDING template
KNOKKE-HEIST - FH04;Antoine Breartstraat;3;;8300;Knokke-Heist;75316;227748;5579288;5579288;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;699;;8300;Knokke-Heist;75165;227731;2761519;2761519;BUILDING template
KNOKKE-HEIST - FH04;Antoine Breartstraat;5;;8300;Knokke-Heist;75324;227719;5579289;5579289;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;5;;8300;Knokke-Heist;74880;227569;2762273;2762273;BUILDING template
KNOKKE-HEIST - FH04;Antoine Breartstraat;15;;8300;Knokke-Heist;75316;227748;5579290;5579290;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;13;A;8300;Knokke-Heist;74992,10659;227600,7982;2762279;2762279;BUILDING template
KNOKKE-HEIST - FH04;Van Bunnenplein;13;;8300;Knokke-Heist;74842,54615;227607,1711;5579293;5579293;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;13;B;8300;Knokke-Heist;74990,3;227590,77;2762280;2762280;BUILDING template
KNOKKE-HEIST - FH04;Duindistelstraat;16;;8300;Knokke-Heist;75240,54499;227687,1742;5579334;5579334;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;15;;8300;Knokke-Heist;75004,1;227595,31;2762281;2762281;BUILDING template
KNOKKE-HEIST - FH04;Ebbestraat;6;;8300;Knokke-Heist;75883;227887;5579354;5579354;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;17;;8300;Knokke-Heist;75013,54599;227599,1725;2762283;2762283;BUILDING template
