Projectnummer;LAM MK;Building FID;SSV Date;BUILDING KEY;Blok;LU KEY;VCA;M1;M2A;M2B;M3A;M3B;M4A;M4B;M5A;M5B;M5C;M6A;M6B;M6C;B1 construction start;B2 construction end;Opdrachttemplate
EVERE - FH01;15080;;;15080;;11298690;;2017-10-01;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;15080;;;15080;;11298691;;2017-10-01;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;15080;;;15080;BL0124;2583354;;2017-10-01;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;15082;;;15082;BL0104;2574085;;2019-11-20;;;;;;;;;;;;;2018-12-01;2019-09-30;(L/B/S)U template
EVERE - FH01;25429;;;25429;BL0117;2584686;;2017-10-01;;;;;;;;;;;;;2018-12-01;2019-12-09;(L/B/S)U template
EVERE - FH01;25433;;;25433;BL0115;10333491;;2017-10-01;;;;;;;;;;;;;2018-12-01;2019-10-31;(L/B/S)U template
EVERE - FH01;25441;;;25441;BL0110;2573581;;2018-05-30;;;;;;;;;;;;;2018-12-01;2019-09-30;(L/B/S)U template
EVERE - FH01;25441;;;25441;BL0110;2573584;;2018-05-30;;;;;;;;;;;;;2018-12-01;2019-09-30;(L/B/S)U template
EVERE - FH01;25441;;;25441;BL0110;11045213;;2018-05-30;;;;;;;;;;;;;2018-12-01;2019-09-30;(L/B/S)U template
EVERE - FH01;25441;;;25441;BL0110;11045214;;2018-05-30;;;;;;;;;;;;;2018-12-01;2019-09-30;(L/B/S)U template
EVERE - FH01;25441;;;25441;BL0110;11045215;;2018-05-30;;;;;;;;;;;;;2018-12-01;2019-09-30;(L/B/S)U template
EVERE - FH01;25441;;;25441;BL0110;11045216;;2018-05-30;;;;;;;;;;;;;2018-12-01;2019-09-30;(L/B/S)U template
EVERE - FH01;25445;;;25445;BL0113;2578643;;2017-10-01;;;;;;;;;;;;;2018-12-01;2019-08-31;(L/B/S)U template
EVERE - FH01;25483;;;25483;BL0110;2576872;;2019-11-22;;;;;;;;;;;;;2018-12-01;2019-09-30;(L/B/S)U template
EVERE - FH01;46315;;;46315;BL0104;2574048;;2019-11-25;;;;;;;;;;;;;2018-12-01;2019-09-30;(L/B/S)U template
EVERE - FH01;46316;;;46316;BL0104;2574084;;2019-08-23;;;;;;;;;;;;;2018-12-01;2019-09-30;(L/B/S)U template
EVERE - FH01;46317;;;46317;BL0110;2574055;;2019-11-25;;;;;;;;;;;;;2018-12-01;2019-09-30;(L/B/S)U template
EVERE - FH01;46318;;;46318;BL0110;2574022;;2019-11-04;;;;;;;;;;;;;2018-12-01;2019-09-30;(L/B/S)U template
EVERE - FH01;46319;;;46319;BL0110;2574021;;2019-11-04;;;;;;;;;;;;;2018-12-01;2019-09-30;(L/B/S)U template
EVERE - FH01;46321;;;46321;BL0104;2578238;;2019-11-12;;;;;;;;;;;;;2018-12-01;2019-09-30;(L/B/S)U template
EVERE - FH01;46322;;;46322;BL0104;2576891;;2019-11-25;;;;;;;;;;;;;2018-12-01;2019-09-30;(L/B/S)U template
EVERE - FH01;46323;;;46323;BL0104;2576909;;2019-11-25;;;;;;;;;;;;;2018-12-01;2019-09-30;(L/B/S)U template
EVERE - FH01;46324;;;46324;BL0104;2576920;;2018-05-02;;;;;;;;;;;;;2018-12-01;2019-09-30;(L/B/S)U template
EVERE - FH01;46324;;;46324;BL0104;2576921;;2018-05-02;;;;;;;;;;;;;2018-12-01;2019-09-30;(L/B/S)U template
EVERE - FH01;46324;;;46324;BL0104;2576922;;2018-05-02;;;;;;;;;;;;;2018-12-01;2019-09-30;(L/B/S)U template
EVERE - FH01;584102;;;584102;BL0125;10892065;;2019-09-24;;;;;;;;;;;;;2018-12-01;2020-09-30;(L/B/S)U template
EVERE - FH01;584103;;;584103;BL0125;11057749;;2019-10-11;;;;;;;;;;;;;2018-12-01;2020-09-30;(L/B/S)U template
EVERE - FH01;584104;;;584104;BL0125;2585768;;2017-10-01;;;;;;;;;;;;;2018-12-01;2020-09-30;(L/B/S)U template
EVERE - FH01;584106;;;584106;;11323236;;;;;;;;;;;;;;;2018-12-01;2020-09-30;(L/B/S)U template
EVERE - FH01;584106;;;584106;;11323237;;;;;;;;;;;;;;;2018-12-01;2020-09-30;(L/B/S)U template
EVERE - FH01;584106;;;584106;;11323238;;;;;;;;;;;;;;;2018-12-01;2020-09-30;(L/B/S)U template
EVERE - FH01;584106;;;584106;;11289848;;2019-10-11;;;;;;;;;;;;;2018-12-01;2020-09-30;(L/B/S)U template
EVERE - FH01;722650;;;722650;BL0129;2583427;;2019-08-02;;;;;;;;;;;;;2018-12-01;2020-01-15;(L/B/S)U template
EVERE - FH01;722651;;;722651;;11289145;;2019-08-13;;;;;;;;;;;;;2018-12-01;2020-09-30;(L/B/S)U template
EVERE - FH01;722651;;;722651;BL0129;2583428;;2019-08-13;;;;;;;;;;;;;2018-12-01;2020-09-30;(L/B/S)U template
EVERE - FH01;722654;;;722654;BL0129;11080091;;2018-05-08;;;;;;;;;;;;;2018-12-01;2020-01-15;(L/B/S)U template
EVERE - FH01;722654;;;722654;BL0129;2583319;;2018-05-08;;;;;;;;;;;;;2018-12-01;2020-01-15;(L/B/S)U template
EVERE - FH01;722654;;;722654;BL0129;2583321;;2018-05-08;;;;;;;;;;;;;2018-12-01;2020-01-15;(L/B/S)U template
EVERE - FH01;722655;;;722655;BL0129;2583322;;2018-05-17;;;;;;;;;;;;;2018-12-01;2020-01-15;(L/B/S)U template
EVERE - FH01;722655;;;722655;BL0129;2583323;;2018-05-17;;;;;;;;;;;;;2018-12-01;2020-01-15;(L/B/S)U template
EVERE - FH01;722657;;;722657;BL0129;2583339;;2017-10-01;;;;;;;;;;;;;2018-12-01;2020-01-15;(L/B/S)U template
EVERE - FH01;722659;;;722659;BL0129;2583596;;2019-08-13;;;;;;;;;;;;;2018-12-01;2020-01-15;(L/B/S)U template
EVERE - FH01;722660;;;722660;BL0129;2583351;;2017-10-01;;;;;;;;;;;;;2018-12-01;2020-09-30;(L/B/S)U template
EVERE - FH01;722660;;;722660;;11289411;;2017-10-01;;;;;;;;;;;;;2018-12-01;2020-09-30;(L/B/S)U template
EVERE - FH01;722660;;;722660;;11289412;;2017-10-01;;;;;;;;;;;;;2018-12-01;2020-09-30;(L/B/S)U template
EVERE - FH01;722661;;;722661;;11280661;;2019-11-22;;;;;;;;;;;;;2018-12-01;2020-02-25;(L/B/S)U template
EVERE - FH01;722661;;;722661;;11280662;;2019-11-22;;;;;;;;;;;;;2018-12-01;2020-02-25;(L/B/S)U template
EVERE - FH01;722661;;;722661;;11280663;;2019-11-22;;;;;;;;;;;;;2018-12-01;2020-02-25;(L/B/S)U template
EVERE - FH01;722661;;;722661;;11280659;;2019-11-22;;;;;;;;;;;;;2018-12-01;2020-02-25;(L/B/S)U template
EVERE - FH01;722661;;;722661;;11280660;;2019-11-22;;;;;;;;;;;;;2018-12-01;2020-02-25;(L/B/S)U template
EVERE - FH01;722661;;;722661;BL0124;2583395;;2019-11-22;;;;;;;;;;;;;2018-12-01;2020-02-25;(L/B/S)U template
EVERE - FH01;722673;;;722673;BL0128;2577833;;2019-11-21;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;722674;;;722674;BL0128;2577834;;2019-11-21;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723868;;;723868;BL0128;2577599;;2019-11-21;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723869;;;723869;BL0128;2577600;;2019-11-21;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723870;;;723870;BL0128;2577595;;2019-11-21;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723871;;;723871;BL0128;2577594;;2019-11-21;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723872;;;723872;BL0128;2577596;;2019-11-21;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723873;;;723873;BL0128;2577591;;2019-11-18;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723874;;;723874;BL0128;2580307;;2019-11-18;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723875;;;723875;BL0128;2580301;;2019-11-18;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723876;;;723876;BL0128;2580299;;2019-11-18;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723877;;;723877;BL0128;2580303;;2019-11-21;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723878;;;723878;BL0128;2580312;;2019-11-21;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723879;;;723879;BL0128;2580311;;2019-11-18;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723880;;;723880;BL0128;2580300;;2019-11-21;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723881;;;723881;BL0128;2580302;;2019-11-21;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723882;;;723882;BL0128;2580298;;2019-11-21;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723883;;;723883;BL0128;2580296;;2019-11-21;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723884;;;723884;BL0128;2576947;;2017-10-01;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723885;;;723885;BL0128;2576936;;2017-10-01;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723886;;;723886;BL0128;2576938;;2017-10-01;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723888;;;723888;BL0128;2576934;;2017-10-01;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723889;;;723889;BL0128;2576937;;2017-10-01;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723890;;;723890;BL0128;2576939;;2017-10-01;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
EVERE - FH01;723891;;;723891;BL0128;2576935;;2017-10-01;;;;;;;;;;;;;2018-12-01;2019-12-20;(L/B/S)U template
