Projectnummer;LAM MK;Building FID;SSV Date;Quadrant;TSA SIGNED;BUILDING KEY;Blok;LU KEY;VCA;M1;M2A;M2B;M3A;M3B;M4A;M4B;M5A;M5B;M5C;M6A;M6B;M6C;B1 construction start;B2 construction end;Opdrachttemplate
MECHELEN - FH01;929568;;;;;929568;BL0101;1562057;;2020-02-03;;;;;;;;;;;;;2020-06-12;2020-12-31;(L/B/S)U template
MECHELEN - FH01;929562;;;;;929562;BL0101;1595541;;;;;;;;;;;;;;;2020-06-12;2020-12-31;(L/B/S)U template
MECHELEN - FH01;929569;;;;;929569;BL0101;1572707;;2018-09-07;;;;;;;;;;;;;2020-06-12;2020-12-31;(L/B/S)U template
MECHELEN - FH01;929622;;;;;929622;BL0101;1593754;;2020-04-28;;;;;;;;;;;;;2020-06-12;2020-12-31;(L/B/S)U template
MECHELEN - FH01;5838665;;;;;5838665;BL0101;10448323;;;;;;;;;;;;;;;2020-06-12;2020-12-31;(L/B/S)U template
MECHELEN - FH01;4260111;;;;;4260111;BL0101;1558120;;2020-04-28;;;;;;;;;;;;;2020-06-12;2020-12-31;(L/B/S)U template
MECHELEN - FH01;929622;;;;;929622;BL0101;1593749;;2020-04-28;;;;;;;;;;;;;2020-06-12;2020-12-31;(L/B/S)U template
MECHELEN - FH01;4732814;;;;;4732814;BL0101;1562180;;;;;;;;;;;;;;;2020-06-12;2020-12-31;(L/B/S)U template
MECHELEN - FH01;929569;;;;;929569;BL0101;1572708;;2018-09-07;;;;;;;;;;;;;2020-06-12;2020-12-31;(L/B/S)U template
MECHELEN - FH01;929622;;;;;929622;BL0101;1593750;;2020-04-28;;;;;;;;;;;;;2020-06-12;2020-12-31;(L/B/S)U template
MECHELEN - FH01;3033234;;;;;3033234;BL0101;1578110;;2020-05-18;;;;;;;;;;;;;2020-06-12;2020-12-31;(L/B/S)U template
MECHELEN - FH01;3032830;;;;;3032830;BL0101;1591453;;2018-09-07;;;;;;;;;;;;;2020-06-12;2020-12-31;(L/B/S)U template
MECHELEN - FH01;4740715;;;;;4740715;BL0101;10446700;;2020-05-18;;;;;;;;;;;;;2020-06-12;2020-12-31;(L/B/S)U template
MECHELEN - FH01;929563;;;;;929563;BL0101;11091302;;2020-04-28;;;;;;;;;;;;;2020-06-12;2020-12-31;(L/B/S)U template
MECHELEN - FH01;3033229;;;;;3033229;BL0101;11050289;;2018-09-07;;;;;;;;;;;;;2020-06-12;2020-12-31;(L/B/S)U template
MECHELEN - FH01;929622;;;;;929622;BL0101;1593751;;2020-04-28;;;;;;;;;;;;;2020-06-12;2020-12-31;(L/B/S)U template
MECHELEN - FH01;3047870;;;;;3047870;BL0101;11091100;;;;;;;;;;;;;;;2020-06-12;2020-12-31;(L/B/S)U template
MECHELEN - FH01;6447591;;;;;6447591;BL0101;11090720;;2020-05-18;;;;;;;;;;;;;2020-06-12;2020-12-31;(L/B/S)U template
MECHELEN - FH01;3033229;;;;;3033229;BL0101;1571561;;2018-09-07;;;;;;;;;;;;;2020-06-12;2020-12-31;(L/B/S)U template
MECHELEN - FH01;4732895;;;;;4732895;BL0101;1589041;;;;;;;;;;;;;;;2020-06-12;2020-12-31;(L/B/S)U template
MECHELEN - FH01;929563;;;;;929563;BL0101;11091301;;2020-04-28;;;;;;;;;;;;;2020-06-12;2020-12-31;(L/B/S)U template
