Projectnummer;LAM MK;Building FID;SSV Date;Quadrant;TSA SIGNED;BUILDING KEY;Blok;LU KEY;VCA;M1;M2A;M2B;M3A;M3B;M4A;M4B;M5A;M5B;M5C;M6A;M6B;M6C;B1 construction start;B2 construction end;Opdrachttemplate
KNOKKE-HEIST - FH09;2756754;20977632;2019-11-29 11:35:19;A;OK;2756754;BL0903;2756754;OK;;;;;;;;;;;;;;2020-01-30;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;2756770;20977639;2019-11-26 11:55:18;A;OK;2756770;BL0903;2756770;OK;;;;;;;;;;;;;;2020-01-30;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;2756869;21118735;2020-01-14;A;OK;2756869;BL0910;2756869;OK;;;;;;;;;;;;;;2020-12-31;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;5559096;1809025;2019-12-20 14:45:19;A;OK;5559096;BL0914;5559096;OK;;;;;;;;;;;;;;2020-03-02;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;6525309;21118184;2019-12-20 14:45:19;A;OK;6525309;BL0914;6525309;OK;;;;;;;;;;;;;;2020-03-02;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;2756739;20977628;2019-12-04;A;OK;2756739;BL0902;2756739;OK;;;;;;;;;;;;;;2020-01-27;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;2756885;20977680;2020-01-14 12:15:29;A;OK;2756885;BL0912;2756885;OK;;;;;;;;;;;;;;2020-12-31;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;278;1803433;2020-01-14 11:10:18;XC;OK;278;BL0917;278;OK;;;;;;;;;;;;;;2020-07-05;2020-12-31;BUILDING template
KNOKKE-HEIST - FH09;4146526;21118248;2019-12-04 12:50:22;XA;OK;4146526;BL0902;4146526;OK;;;;;;;;;;;;;;2020-01-27;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;2756727;21118251;2019-12-04 12:50:22;XA;OK;2756727;BL0902;2756727;OK;;;;;;;;;;;;;;2020-01-27;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;2756766;20977636;2019-11-29 12:20:17;A;OK;2756766;BL0903;2756766;OK;;;;;;;;;;;;;;2020-01-30;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;2756725;20977621;2019-12-04 12:50:22;XA;OK;2756725;BL0902;2756725;OK;;;;;;;;;;;;;;2020-01-27;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;9883;20977982;2020-02-13 11:20:17;XC;PENDING;9883;BL0905;9883;PENDING;;;;;;;;;;;;;;2020-12-31;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;9885;20977983;;;;9885;BL0905;9885;;;;;;;;;;;;;;;2020-12-31;2021-02-14;BUILDING template
KNOKKE-HEIST - FH09;71496;20977957;2019-11-22 16:05:15;XA;PENDING;71496;BL0910;71496;PENDING;;;;;;;;;;;;;;2020-12-31;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;71499;20977960;2020-01-24 12:15:24;XA;PENDING;71499;BL0918;71499;PENDING;;;;;;;;;;;;;;2020-05-12;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;71632;20977961;2019-11-22 13:35:24;XA;PENDING;71632;BL0911;71632;PENDING;;;;;;;;;;;;;;2020-12-31;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;71634;20977962;2020-02-24;A;PENDING;71634;BL0911;71634;PENDING;;;;;;;;;;;;;;2020-12-31;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;71699;20977967;2020-01-28 11:40:22;XA;PENDING;71699;BL0911;71699;PENDING;;;;;;;;;;;;;;2020-12-31;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;71700;20977968;2020-01-28 11:45:31;D;;71700;BL0911;71700;;;;;;;;;;;;;;;2020-12-31;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;71705;20977971;2020-01-21 16:30:29;XC;PENDING;71705;BL0918;71705;PENDING;;;;;;;;;;;;;;2020-05-12;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;71706;20977972;2019-12-15 18:10:13;XA;PENDING;71706;BL0911;71706;PENDING;;;;;;;;;;;;;;2020-12-31;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;71710;20977973;2020-01-30 14:50:20;D;;71710;BL0918;71710;;;;;;;;;;;;;;;2020-05-12;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;71712;20977974;;;;71712;BL0911;71712;;;;;;;;;;;;;;;2020-12-31;2021-02-14;BUILDING template
KNOKKE-HEIST - FH09;71713;20977975;2020-01-23 14:35:25;XA;PENDING;71713;BL0918;71713;PENDING;;;;;;;;;;;;;;2020-05-12;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;71737;20977976;2020-01-22 10:55:19;XA;PENDING;71737;BL0909;71737;PENDING;;;;;;;;;;;;;;2020-12-31;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;71741;20977977;2020-01-16 12:35:16;XA;PENDING;71741;BL0909;71741;PENDING;;;;;;;;;;;;;;2020-12-31;2021-01-30;BUILDING template
KNOKKE-HEIST - FH09;71743;20977979;2020-01-20 13:45:30;XC;PENDING;71743;BL0908;71743;PENDING;;;;;;;;;;;;;;2020-12-31;2021-01-30;BUILDING template
