Projectnummer;LAM MK;Building FID;SSV Date;BUILDING KEY;Blok;LU KEY;VCA;M1;M2A;M2B;M3A;M3B;M4A;M4B;M5A;M5B;M5C;M6A;M6B;M6C;B1 construction start;B2 construction end;Opdrachttemplate
ANTWERPEN-WEST - FH01;1782040;;;1782040;;11313533;OK;;;;;;;;;;;;;;2020-03-26;2020-06-03;(L/B/S)U template
ANTWERPEN-WEST - FH01;1088758;;;1088758;BL0130;11077423;OK;2019-06-18;;;;;;;;;;;;;2020-04-17;2020-04-17;(L/B/S)U template
ANTWERPEN-WEST - FH01;4128343;;;4128343;BL0130;11077605;OK;2019-06-18;;;;;;;;;;;;;2020-04-17;2020-04-17;(L/B/S)U template
ANTWERPEN-WEST - FH01;1088758;;;1088758;BL0130;11077424;OK;2019-06-18;;;;;;;;;;;;;2020-04-17;2020-04-17;(L/B/S)U template
ANTWERPEN-WEST - FH01;4128343;;;4128343;BL0130;11077606;OK;2019-06-18;;;;;;;;;;;;;2020-04-17;2020-04-17;(L/B/S)U template
ANTWERPEN-WEST - FH01;5394016;;;5394016;BL0124;1807562;;2020-01-17;;;;;;;;;;;;;2020-07-12;2020-08-31;(L/B/S)U template
ANTWERPEN-WEST - FH01;1088758;;;1088758;BL0130;11077425;OK;2019-06-18;;;;;;;;;;;;;2020-04-17;2020-04-17;(L/B/S)U template
ANTWERPEN-WEST - FH01;4128343;;;4128343;BL0130;11077607;OK;2019-06-18;;;;;;;;;;;;;2020-04-17;2020-04-17;(L/B/S)U template
ANTWERPEN-WEST - FH01;5394016;;;5394016;BL0124;11078020;;2020-01-17;;;;;;;;;;;;;2020-07-12;2020-08-31;(L/B/S)U template
ANTWERPEN-WEST - FH01;1088758;;;1088758;BL0130;11077426;OK;2019-06-18;;;;;;;;;;;;;2020-04-17;2020-04-17;(L/B/S)U template
ANTWERPEN-WEST - FH01;4128344;;;4128344;BL0130;11076380;OK;2019-06-18;;;;;;;;;;;;;2020-04-17;2020-04-17;(L/B/S)U template
ANTWERPEN-WEST - FH01;5394016;;;5394016;BL0124;11078021;;2020-01-17;;;;;;;;;;;;;2020-07-12;2020-08-31;(L/B/S)U template
ANTWERPEN-WEST - FH01;1088758;;;1088758;BL0130;11077427;OK;2019-06-18;;;;;;;;;;;;;2020-04-17;2020-04-17;(L/B/S)U template
ANTWERPEN-WEST - FH01;4128344;;;4128344;BL0130;11076381;OK;2019-06-18;;;;;;;;;;;;;2020-04-17;2020-04-17;(L/B/S)U template
ANTWERPEN-WEST - FH01;5394016;;;5394016;BL0124;11078022;;2020-01-17;;;;;;;;;;;;;2020-07-12;2020-08-31;(L/B/S)U template
ANTWERPEN-WEST - FH01;4128344;;;4128344;BL0130;11076382;OK;2019-06-18;;;;;;;;;;;;;2020-04-17;2020-04-17;(L/B/S)U template
ANTWERPEN-WEST - FH01;5394016;;;5394016;BL0124;11078023;;2020-01-17;;;;;;;;;;;;;2020-07-12;2020-08-31;(L/B/S)U template
ANTWERPEN-WEST - FH01;1088758;;;1088758;BL0130;11077429;OK;2019-06-18;;;;;;;;;;;;;2020-04-17;2020-04-17;(L/B/S)U template
