OpdrachtID,Projectnummer,"Cluster NR",Blok,Straat,Huisnummer,"Huisnummer Toevoeging",Kamer,Plaats,Opdrachttemplate,Opdrachtnummer,"BUILDING KEY",Quadrant,Buildingtype,"NR BU","NR LU","NR SU","UNITS TOTAL","SSV Completed","SSV Date","TSA NEEDED","TSA SIGNED","TSA SENT",Surveyor,"Building exists","STS COMPLETED DATE"
598784,"KNOKKE-HEIST - FH04",,BL0401,"Van Bunnenplein",18,,,Knokke-Heist,"BUILDING template",2758570,2758570,,MDU,1,7,0,8,,,,,,,,
599040,"KNOKKE-HEIST - FH04",,BL0414,"Zeedijk-Het Zoute",815,,,Knokke-Heist,"BUILDING template",2768078,2768078,,MDU,0,7,0,7,,,,,,,,
598785,"KNOKKE-HEIST - FH04",,BL0407,Duindistelstraat,5,,,Knokke-Heist,"BUILDING template",2759116,2759116,,MDU,0,7,1,8,,,,,,"Hidde Kiekens",Y,2020-01-15
599041,"KNOKKE-HEIST - FH04",,BL0414,"Zeedijk-Het Zoute",817,,,Knokke-Heist,"BUILDING template",2768081,2768081,,SDU,1,0,0,1,,,,,,,,
598786,"KNOKKE-HEIST - FH04",,BL0407,Duindistelstraat,7,,,Knokke-Heist,"BUILDING template",2759118,2759118,,MDU,0,10,0,10,,,,,,"Hidde Kiekens",Y,2020-01-15
599042,"KNOKKE-HEIST - FH04",,BL0414,"Zeedijk-Het Zoute",818,,,Knokke-Heist,"BUILDING template",2768082,2768082,,SDU,1,0,0,1,,,,,,,,
598787,"KNOKKE-HEIST - FH04",,BL0407,Duindistelstraat,9,,,Knokke-Heist,"BUILDING template",2759119,2759119,,SDU,1,0,0,1,,,,,,"Hidde Kiekens",Y,2020-01-15
599043,"KNOKKE-HEIST - FH04",,BL0408,"Antoine Breartstraat",16,,,Knokke-Heist,"BUILDING template",3923027,3923027,,MDU,0,12,1,13,,,,,,"Hidde Kiekens",Y,2020-01-16
598788,"KNOKKE-HEIST - FH04",,BL0407,Duindistelstraat,11,,,Knokke-Heist,"BUILDING template",2759121,2759121,,MDU,1,12,0,13,,,,,,"Hidde Kiekens",Y,2020-01-15
599044,"KNOKKE-HEIST - FH04",,BL0405,Zandstraat,16,,,Knokke-Heist,"BUILDING template",3939667,3939667,,MDU,,6,,6,,,,,,,,
598789,"KNOKKE-HEIST - FH04",,BL0406,Duindistelstraat,12,,,Knokke-Heist,"BUILDING template",2759123,2759123,,MDU,1,15,0,16,,,,,,"Hidde Kiekens",Y,2020-01-15
599045,"KNOKKE-HEIST - FH04",,BL0411,Kustlaan,213,,,Knokke-Heist,"BUILDING template",3954195,3954195,,SDU,1,0,0,1,,,,,,"Maayken Vanfleteren",Y,2020-01-16
598790,"KNOKKE-HEIST - FH04",,BL0407,Duindistelstraat,15,,,Knokke-Heist,"BUILDING template",2759125,2759125,,MDU,0,16,1,17,,,,,,"Hidde Kiekens",Y,2020-01-15
599046,"KNOKKE-HEIST - FH04",,BL0408,"Zeedijk-Het Zoute",723,,,Knokke-Heist,"BUILDING template",4067471,4067471,,MDU,0,17,0,17,,,,,,"Hidde Kiekens",Y,2020-01-16
598791,"KNOKKE-HEIST - FH04",,BL0413,Ebbestraat,3,,,Knokke-Heist,"BUILDING template",2759447,2759447,,MDU,0,10,1,11,,,,,,"Maayken Vanfleteren",Y,2020-01-17
599047,"KNOKKE-HEIST - FH04",,BL0411,Strandstraat,10,,,Knokke-Heist,"BUILDING template",4070277,4070277,,MDU,0,2,0,2,,,,,,"Maayken Vanfleteren",N,
598792,"KNOKKE-HEIST - FH04",,BL0414,Ebbestraat,4,,,Knokke-Heist,"BUILDING template",2759448,2759448,,SDU,1,,,1,,,,,,,,
599048,"KNOKKE-HEIST - FH04",,BL0406,Duindistelstraat,14,,,Knokke-Heist,"BUILDING template",4073573,4073573,,SDU,0,1,0,1,,,,,,"Hidde Kiekens",N,
598793,"KNOKKE-HEIST - FH04",,BL0413,Ebbestraat,5,,,Knokke-Heist,"BUILDING template",2759449,2759449,,MDU,0,6,1,7,,,,,,"Maayken Vanfleteren",Y,2020-01-17
599049,"KNOKKE-HEIST - FH04",,BL0406,Zandstraat,11,,,Knokke-Heist,"BUILDING template",4091179,4091179,,MDU,0,13,0,13,,,,,,"Hidde Kiekens",Y,2020-01-15
598794,"KNOKKE-HEIST - FH04",,BL0414,Ebbestraat,8,,,Knokke-Heist,"BUILDING template",2759451,2759451,,MDU,,8,,8,,,,,,,,
599050,"KNOKKE-HEIST - FH04",,BL0408,"Zeedijk-Het Zoute",741,,,Knokke-Heist,"BUILDING template",4128652,4128652,,SDU,1,0,0,1,,,,,,"Hidde Kiekens",Y,2020-01-16
598795,"KNOKKE-HEIST - FH04",,BL0410,Golvenstraat,4,,,Knokke-Heist,"BUILDING template",2760023,2760023,,MDU,0,23,1,24,,,,,,"Hidde Kiekens",Y,2020-01-17
599051,"KNOKKE-HEIST - FH04",,BL0408,"Zeedijk-Het Zoute",753,,,Knokke-Heist,"BUILDING template",4342854,4342854,,SDU,1,0,0,1,,,,,,"Hidde Kiekens",Y,2020-01-17
598796,"KNOKKE-HEIST - FH04",,BL0411,Golvenstraat,5,,,Knokke-Heist,"BUILDING template",2760024,2760024,,MDU,0,6,1,7,,,,,,"Maayken Vanfleteren",Y,2020-01-16
599052,"KNOKKE-HEIST - FH04",,BL0408,"Zeedijk-Het Zoute",725,,,Knokke-Heist,"BUILDING template",4343060,4343060,,SDU,1,0,0,1,,,,,,"Hidde Kiekens",Y,2020-01-16
598797,"KNOKKE-HEIST - FH04",,BL0411,Golvenstraat,7,,,Knokke-Heist,"BUILDING template",2760025,2760025,,SDU,1,0,0,1,,,,,,"Maayken Vanfleteren",Y,2020-01-16
599053,"KNOKKE-HEIST - FH04",,BL0411,Strandstraat,16,,,Knokke-Heist,"BUILDING template",4343871,4343871,,SDU,1,0,0,1,,,,,,"Maayken Vanfleteren",Y,2020-01-16
598798,"KNOKKE-HEIST - FH04",,BL0411,Golvenstraat,9,,,Knokke-Heist,"BUILDING template",2760027,2760027,,MDU,0,8,1,9,,,,,,"Maayken Vanfleteren",Y,2020-01-17
599054,"KNOKKE-HEIST - FH04",,BL0411,Kustlaan,191,,,Knokke-Heist,"BUILDING template",4343877,4343877,,MDU,1,6,2,9,,,,,,"Maayken Vanfleteren",Y,2020-01-16
598799,"KNOKKE-HEIST - FH04",,BL0411,Golvenstraat,11,,,Knokke-Heist,"BUILDING template",2760029,2760029,,SDU,1,0,0,1,,,,,,"Maayken Vanfleteren",Y,2020-01-17
599055,"KNOKKE-HEIST - FH04",,BL0411,Kustlaan,223,,,Knokke-Heist,"BUILDING template",4343880,4343880,,MDU,0,6,1,7,,,,,,"Maayken Vanfleteren",Y,2020-01-16
598800,"KNOKKE-HEIST - FH04",,BL0411,Golvenstraat,13,,,Knokke-Heist,"BUILDING template",2760031,2760031,,SDU,1,0,0,1,,,,,,"Maayken Vanfleteren",Y,2020-01-16
