OpdrachtID,Projectnummer,"Cluster NR",Blok,Straat,Huisnummer,"Huisnummer Toevoeging",Kamer,Plaats,Opdrachttemplate,Opdrachtnummer,"BUILDING KEY",Quadrant,Buildingtype,"NR BU","NR LU","NR SU","UNITS TOTAL","SSV Completed","SSV Date","TSA NEEDED","TSA SIGNED","TSA SENT",Surveyor,"Building exists","STS COMPLETED DATE"
599056,"KNOKKE-HEIST - FH04",,BL0407,Kustlaan,69,,,Knokke-Heist,"BUILDING template",4345021,4345021,,SDU,0,1,0,1,,,,,,"Hidde Kiekens",N,
598801,"KNOKKE-HEIST - FH04",,BL0411,Golvenstraat,15,,,Knokke-Heist,"BUILDING template",2760032,2760032,,MDU,0,17,1,18,,,,,,"Maayken Vanfleteren",Y,2020-01-16
599057,"KNOKKE-HEIST - FH04",,BL0406,"Zeedijk-Het Zoute",710,,,Knokke-Heist,"BUILDING template",4345048,4345048,,SDU,0,1,0,1,,,,,,"Hidde Kiekens",N,
598802,"KNOKKE-HEIST - FH04",,BL0411,Golvenstraat,17,,,Knokke-Heist,"BUILDING template",2760033,2760033,,SDU,0,1,0,1,,,,,,"Maayken Vanfleteren",Y,2020-01-16
599058,"KNOKKE-HEIST - FH04",,BL0407,"Zeedijk-Het Zoute",717,,,Knokke-Heist,"BUILDING template",4345065,4345065,,SDU,1,0,0,1,,,,,,"Hidde Kiekens",Y,2020-01-16
598803,"KNOKKE-HEIST - FH04",,BL0401,Zeedijk-Knokke,648,A,,Knokke-Heist,"BUILDING template",2761457,2761457,,SDU,,1,,1,,,,,,,,
599059,"KNOKKE-HEIST - FH04",,BL0407,"Antoine Breartstraat",11,,,Knokke-Heist,"BUILDING template",4345067,4345067,,SDU,1,0,0,1,,,,,,"Hidde Kiekens",Y,2020-01-15
598804,"KNOKKE-HEIST - FH04",,BL0401,Zeedijk-Knokke,651,,,Knokke-Heist,"BUILDING template",2761459,2761459,,MDU,,19,,19,,,,,,,,
599060,"KNOKKE-HEIST - FH04",,BL0414,Kustlaan,329,,,Knokke-Heist,"BUILDING template",4345256,4345256,,SDU,1,,,1,,,,,,,,
598805,"KNOKKE-HEIST - FH04",,BL0401,Zeedijk-Knokke,653,,,Knokke-Heist,"BUILDING template",2761461,2761461,,MDU,1,43,,44,,,,,,,,
599061,"KNOKKE-HEIST - FH04",,BL0414,Kustlaan,333,,,Knokke-Heist,"BUILDING template",4345257,4345257,,MDU,1,6,,7,,,,,,,,
598806,"KNOKKE-HEIST - FH04",,BL0401,Zeedijk-Knokke,654,,,Knokke-Heist,"BUILDING template",2761464,2761464,,SDU,1,,,1,,,,,,,,
599062,"KNOKKE-HEIST - FH04",,BL0403,Zeedijk-Knokke,665,,,Knokke-Heist,"BUILDING template",4346484,4346484,,SDU,1,0,0,1,,,,,,"Geert Stockman",Y,2020-01-17
598807,"KNOKKE-HEIST - FH04",,BL0401,Zeedijk-Knokke,657,,,Knokke-Heist,"BUILDING template",2761466,2761466,,MDU,1,8,,9,,,,,,,,
599063,"KNOKKE-HEIST - FH04",,BL0401,Kustlaan,3,,,Knokke-Heist,"BUILDING template",4346486,4346486,,SDU,,1,,1,,,,,,,,
598808,"KNOKKE-HEIST - FH04",,BL0401,Zeedijk-Knokke,658,,,Knokke-Heist,"BUILDING template",2761468,2761468,,SDU,,1,,1,,,,,,,,
599064,"KNOKKE-HEIST - FH04",,BL0401,Kustlaan,7,,,Knokke-Heist,"BUILDING template",4346487,4346487,,SDU,,1,,1,,,,,,,,
598809,"KNOKKE-HEIST - FH04",,BL0402,Zeedijk-Knokke,660,,,Knokke-Heist,"BUILDING template",2761472,2761472,,SDU,1,,,1,,,,,,,,
599065,"KNOKKE-HEIST - FH04",,BL0401,Kustlaan,9,,,Knokke-Heist,"BUILDING template",4346488,4346488,,SDU,,1,,1,,,,,,,,
598810,"KNOKKE-HEIST - FH04",,BL0403,Zeedijk-Knokke,662,,,Knokke-Heist,"BUILDING template",2761475,2761475,,MDU,1,8,0,9,,,,,,"Geert Stockman",Y,2020-01-17
599066,"KNOKKE-HEIST - FH04",,BL0404,Kustlaan,33,,,Knokke-Heist,"BUILDING template",4347674,4347674,,SDU,1,0,0,1,,,,,,"Geert Stockman",Y,2020-01-19
598811,"KNOKKE-HEIST - FH04",,BL0403,Zeedijk-Knokke,663,,,Knokke-Heist,"BUILDING template",2761477,2761477,,SDU,1,0,0,1,,,,,,"Geert Stockman",Y,2020-01-17
599067,"KNOKKE-HEIST - FH04",,BL0404,Zeedijk-Knokke,674,,,Knokke-Heist,"BUILDING template",4347685,4347685,,SDU,1,0,0,1,,,,,,"Geert Stockman",Y,2020-01-17
598812,"KNOKKE-HEIST - FH04",,BL0403,Zeedijk-Knokke,666,,,Knokke-Heist,"BUILDING template",2761479,2761479,,MDU,1,8,0,9,,,,,,"Geert Stockman",Y,2020-01-17
599068,"KNOKKE-HEIST - FH04",,BL0404,Zeedijk-Knokke,683,,,Knokke-Heist,"BUILDING template",4347699,4347699,,SDU,1,0,0,1,,,,,,"Geert Stockman",Y,2020-01-17
598813,"KNOKKE-HEIST - FH04",,BL0403,Zeedijk-Knokke,667,,,Knokke-Heist,"BUILDING template",2761482,2761482,,SDU,1,0,0,1,,,,,,"Geert Stockman",Y,2020-01-17
599069,"KNOKKE-HEIST - FH04",,BL0404,Marie-Josestraat,3,,,Knokke-Heist,"BUILDING template",4347702,4347702,,SDU,0,1,0,1,,,,,,"Geert Stockman",Y,2020-01-17
598814,"KNOKKE-HEIST - FH04",,BL0403,Zeedijk-Knokke,668,,,Knokke-Heist,"BUILDING template",2761483,2761483,,MDU,0,16,0,16,,,,,,"Geert Stockman",Y,2020-01-17
599070,"KNOKKE-HEIST - FH04",,BL0404,Marie-Josestraat,5,,,Knokke-Heist,"BUILDING template",4347703,4347703,,SDU,0,1,0,1,,,,,,"Geert Stockman",Y,2020-01-17
598815,"KNOKKE-HEIST - FH04",,BL0403,Zeedijk-Knokke,669,,,Knokke-Heist,"BUILDING template",2761485,2761485,,MDU,1,8,0,9,,,,,,"Geert Stockman",Y,2020-01-17
599071,"KNOKKE-HEIST - FH04",,BL0412,"Zeedijk-Het Zoute",783,,,Knokke-Heist,"BUILDING template",4348169,4348169,,SDU,1,0,0,1,,,,,,"Maayken Vanfleteren",Y,2020-01-17
598816,"KNOKKE-HEIST - FH04",,BL0403,Zeedijk-Knokke,672,,,Knokke-Heist,"BUILDING template",2761490,2761490,,SDU,1,0,0,1,,,,,,"Geert Stockman",Y,2020-01-17
599072,"KNOKKE-HEIST - FH04",,BL0412,Zeewindstraat,10,,,Knokke-Heist,"BUILDING template",4348172,4348172,,SDU,1,,,1,,,,,,"Maayken Vanfleteren",N,
598817,"KNOKKE-HEIST - FH04",,BL0404,Zeedijk-Knokke,675,,,Knokke-Heist,"BUILDING template",2761492,2761492,,SDU,1,0,0,1,,,,,,"Geert Stockman",Y,2020-01-17
599073,"KNOKKE-HEIST - FH04",,BL0412,Kustlaan,247,,,Knokke-Heist,"BUILDING template",4348174,4348174,,SDU,,1,,1,,,,,,"Maayken Vanfleteren",N,
598818,"KNOKKE-HEIST - FH04",,BL0404,Zeedijk-Knokke,676,,,Knokke-Heist,"BUILDING template",2761494,2761494,,MDU,0,15,0,15,,,,,,"Geert Stockman",Y,2020-01-17
599074,"KNOKKE-HEIST - FH04",,BL0412,Kustlaan,253,,,Knokke-Heist,"BUILDING template",4348177,4348177,,SDU,1,0,0,1,,,,,,"Maayken Vanfleteren",Y,2020-01-17
617250,"KNOKKE-HEIST - FH04",,,Zeedijk-Knokke,659,,,Knokke-Heist,"BUILDING template",NB-830065996b686,NB-830065996b686,,SDU,1,0,0,1,,2020-01-17,,,,"Geert Stockman",,
598819,"KNOKKE-HEIST - FH04",,BL0404,Zeedijk-Knokke,682,,,Knokke-Heist,"BUILDING template",2761501,2761501,,MDU,1,7,0,8,,,,,,"Geert Stockman",Y,2020-01-17
599075,"KNOKKE-HEIST - FH04",,BL0413,"Zeedijk-Het Zoute",801,,,Knokke-Heist,"BUILDING template",4348188,4348188,,MDU,0,8,1,9,,,,,,"Maayken Vanfleteren",Y,2020-01-17
598820,"KNOKKE-HEIST - FH04",,BL0404,Zeedijk-Knokke,684,,,Knokke-Heist,"BUILDING template",2761502,2761502,,MDU,0,8,0,8,,,,,,"Geert Stockman",Y,2020-01-17
599076,"KNOKKE-HEIST - FH04",,BL0413,Ebbestraat,7,,,Knokke-Heist,"BUILDING template",4348190,4348190,,SDU,1,0,0,1,,,,,,"Maayken Vanfleteren",Y,2020-01-17
598821,"KNOKKE-HEIST - FH04",,BL0404,Zeedijk-Knokke,686,,,Knokke-Heist,"BUILDING template",2761504,2761504,,MDU,2,14,0,16,,,,,,"Geert Stockman",Y,2020-01-19
599077,"KNOKKE-HEIST - FH04",,BL0413,Ebbestraat,11,,,Knokke-Heist,"BUILDING template",4348192,4348192,,SDU,,1,,1,,,,,,,,
598822,"KNOKKE-HEIST - FH04",,BL0405,Zeedijk-Knokke,689,,,Knokke-Heist,"BUILDING template",2761505,2761505,,SDU,1,0,0,1,,,,,,"Geert Stockman",Y,2020-01-19
599078,"KNOKKE-HEIST - FH04",,BL0408,"Zeedijk-Het Zoute",745,,,Knokke-Heist,"BUILDING template",4348200,4348200,,SDU,1,0,0,1,,,,,,"Hidde Kiekens",Y,2020-01-16
598823,"KNOKKE-HEIST - FH04",,BL0405,Zeedijk-Knokke,690,,,Knokke-Heist,"BUILDING template",2761506,2761506,,MDU,0,6,0,6,,,,,,"Geert Stockman",Y,2020-01-19
599079,"KNOKKE-HEIST - FH04",,BL0408,Albertplein,9,,,Knokke-Heist,"BUILDING template",4348202,4348202,,SDU,1,0,0,1,,,,,,"Hidde Kiekens",N,
598824,"KNOKKE-HEIST - FH04",,BL0405,Zeedijk-Knokke,691,,,Knokke-Heist,"BUILDING template",2761507,2761507,,MDU,1,8,0,9,,,,,,,,
599080,"KNOKKE-HEIST - FH04",,BL0401,Lichttorenplein,6,A,,Knokke-Heist,"BUILDING template",5446596,5446596,,SDU,1,,,1,,,,,,,,
598825,"KNOKKE-HEIST - FH04",,BL0405,Zeedijk-Knokke,692,,,Knokke-Heist,"BUILDING template",2761510,2761510,,MDU,1,8,0,9,,,,,,"Geert Stockman",Y,2020-01-19
599081,"KNOKKE-HEIST - FH04",,BL0413,Zeewindstraat,9,,,Knokke-Heist,"BUILDING template",5567537,5567537,,SDU,1,0,0,1,,,,,,"Maayken Vanfleteren",Y,2020-01-17
598826,"KNOKKE-HEIST - FH04",,BL0405,Zeedijk-Knokke,693,,,Knokke-Heist,"BUILDING template",2761511,2761511,,SDU,1,0,0,1,,,,,,"Geert Stockman",Y,2020-01-19
599082,"KNOKKE-HEIST - FH04",,BL0408,Albertplein,4,,,Knokke-Heist,"BUILDING template",5579236,5579236,,SDU,1,0,1,2,,,,,,"Hidde Kiekens",Y,2020-01-16
598827,"KNOKKE-HEIST - FH04",,BL0405,Zeedijk-Knokke,694,,,Knokke-Heist,"BUILDING template",2761513,2761513,,MDU,0,8,0,8,,,,,,"Geert Stockman",Y,2020-01-19
599083,"KNOKKE-HEIST - FH04",,BL0408,Albertplein,6,,,Knokke-Heist,"BUILDING template",5579237,5579237,,MDU,0,8,1,9,,,,,,"Hidde Kiekens",Y,2020-01-16
598828,"KNOKKE-HEIST - FH04",,BL0405,Zeedijk-Knokke,695,,,Knokke-Heist,"BUILDING template",2761514,2761514,,SDU,1,0,0,1,,,,,,"Geert Stockman",Y,2020-01-19
599084,"KNOKKE-HEIST - FH04",,BL0408,Albertplein,11,,,Knokke-Heist,"BUILDING template",5579238,5579238,,MDU,0,36,3,39,,,,,,"Hidde Kiekens",Y,2020-01-16
598829,"KNOKKE-HEIST - FH04",,BL0405,Zeedijk-Knokke,696,,,Knokke-Heist,"BUILDING template",2761516,2761516,,MDU,0,8,0,8,,,,,,"Geert Stockman",Y,2020-01-19
599085,"KNOKKE-HEIST - FH04",,BL0410,Albertplein,17,,,Knokke-Heist,"BUILDING template",5579240,5579240,,SDU,1,0,0,1,,,,,,"Hidde Kiekens",Y,2020-01-17
598830,"KNOKKE-HEIST - FH04",,BL0405,Zeedijk-Knokke,697,,,Knokke-Heist,"BUILDING template",2761517,2761517,,MDU,0,29,0,29,,,,,,"Geert Stockman",Y,2020-01-19
599086,"KNOKKE-HEIST - FH04",,BL0407,"Antoine Breartstraat",3,,,Knokke-Heist,"BUILDING template",5579288,5579288,,SDU,1,0,0,1,,,,,,"Hidde Kiekens",Y,2020-01-15
598831,"KNOKKE-HEIST - FH04",,BL0405,Zeedijk-Knokke,699,,,Knokke-Heist,"BUILDING template",2761519,2761519,,MDU,,2,,2,,,,,,,,
599087,"KNOKKE-HEIST - FH04",,BL0407,"Antoine Breartstraat",5,,,Knokke-Heist,"BUILDING template",5579289,5579289,,MDU,0,27,1,28,,,,,,"Hidde Kiekens",Y,2020-01-15
598832,"KNOKKE-HEIST - FH04",,BL0401,Kustlaan,5,,,Knokke-Heist,"BUILDING template",2762273,2762273,,SDU,,1,,1,,,,,,,,
599088,"KNOKKE-HEIST - FH04",,BL0407,"Antoine Breartstraat",15,,,Knokke-Heist,"BUILDING template",5579290,5579290,,SDU,1,0,0,1,,,,,,"Hidde Kiekens",Y,2020-01-15
598833,"KNOKKE-HEIST - FH04",,BL0403,Kustlaan,13,A,,Knokke-Heist,"BUILDING template",2762279,2762279,,SDU,1,0,0,1,,,,,,"Geert Stockman",Y,2020-01-19
599089,"KNOKKE-HEIST - FH04",,BL0401,"Van Bunnenplein",13,,,Knokke-Heist,"BUILDING template",5579293,5579293,,MDU,1,25,,26,,,,,,,,
598834,"KNOKKE-HEIST - FH04",,BL0403,Kustlaan,13,B,,Knokke-Heist,"BUILDING template",2762280,2762280,,SDU,1,0,0,1,,,,,,"Geert Stockman",Y,2020-01-19
599090,"KNOKKE-HEIST - FH04",,BL0406,Duindistelstraat,16,,,Knokke-Heist,"BUILDING template",5579334,5579334,,SDU,1,0,0,1,,,,,,"Hidde Kiekens",Y,2020-01-15
598835,"KNOKKE-HEIST - FH04",,BL0403,Kustlaan,15,,,Knokke-Heist,"BUILDING template",2762281,2762281,,MDU,1,10,0,11,,,,,,"Geert Stockman",Y,2020-01-19
599091,"KNOKKE-HEIST - FH04",,BL0414,Ebbestraat,6,,,Knokke-Heist,"BUILDING template",5579354,5579354,,MDU,,2,,2,,,,,,,,
598836,"KNOKKE-HEIST - FH04",,BL0403,Kustlaan,17,,,Knokke-Heist,"BUILDING template",2762283,2762283,,MDU,1,2,0,3,,,,,,"Geert Stockman",Y,2020-01-19
599092,"KNOKKE-HEIST - FH04",,BL0401,Zeedijk-Knokke,652,,,Knokke-Heist,"BUILDING template",5579394,5579394,,SDU,,1,,1,,,,,,,,
598837,"KNOKKE-HEIST - FH04",,BL0404,Kustlaan,29,,,Knokke-Heist,"BUILDING template",2762292,2762292,,MDU,1,5,0,6,,,,,,"Geert Stockman",Y,2020-01-19
599093,"KNOKKE-HEIST - FH04",,BL0403,Zeedijk-Knokke,671,,,Knokke-Heist,"BUILDING template",5579395,5579395,,MDU,0,21,0,21,,,,,,"Geert Stockman",Y,2020-01-17
598838,"KNOKKE-HEIST - FH04",,BL0404,Kustlaan,31,,,Knokke-Heist,"BUILDING template",2762294,2762294,,MDU,1,5,0,6,,,,,,"Geert Stockman",Y,2020-01-19
599094,"KNOKKE-HEIST - FH04",,BL0404,Zeedijk-Knokke,677,,,Knokke-Heist,"BUILDING template",5579396,5579396,,SDU,1,0,0,1,,,,,,"Geert Stockman",Y,2020-01-17
598839,"KNOKKE-HEIST - FH04",,BL0404,Kustlaan,35,,,Knokke-Heist,"BUILDING template",2762299,2762299,,MDU,0,10,0,10,,,,,,"Geert Stockman",Y,2020-01-19
599095,"KNOKKE-HEIST - FH04",,BL0404,Zeedijk-Knokke,679,,,Knokke-Heist,"BUILDING template",5579397,5579397,,SDU,1,0,0,1,,,,,,"Geert Stockman",Y,2020-01-17
598840,"KNOKKE-HEIST - FH04",,BL0404,Kustlaan,37,,,Knokke-Heist,"BUILDING template",2762300,2762300,,SDU,1,0,0,1,,,,,,"Geert Stockman",Y,2020-01-19
599096,"KNOKKE-HEIST - FH04",,BL0404,Zeedijk-Knokke,681,,,Knokke-Heist,"BUILDING template",5579398,5579398,,MDU,0,6,0,6,,,,,,"Geert Stockman",Y,2020-01-17
598841,"KNOKKE-HEIST - FH04",,BL0405,Kustlaan,45,,,Knokke-Heist,"BUILDING template",2762308,2762308,,MDU,2,24,0,26,,,,,,,,
599097,"KNOKKE-HEIST - FH04",,BL0404,Kustlaan,27,,,Knokke-Heist,"BUILDING template",5579419,5579419,,MDU,1,10,0,11,,,,,,"Geert Stockman",Y,2020-01-19
598842,"KNOKKE-HEIST - FH04",,BL0405,Kustlaan,47,,,Knokke-Heist,"BUILDING template",2762309,2762309,,MDU,0,25,0,25,,,,,,,,
599098,"KNOKKE-HEIST - FH04",,BL0404,Kustlaan,41,,,Knokke-Heist,"BUILDING template",5579420,5579420,,SDU,1,0,0,1,,,,,,"Geert Stockman",Y,2020-01-17
598843,"KNOKKE-HEIST - FH04",,BL0405,Kustlaan,49,,,Knokke-Heist,"BUILDING template",2762312,2762312,,SDU,,1,,1,,,,,,,,
599099,"KNOKKE-HEIST - FH04",,BL0407,Kustlaan,65,,,Knokke-Heist,"BUILDING template",5579422,5579422,,MDU,0,11,0,11,,,,,,"Hidde Kiekens",Y,2020-01-15
598844,"KNOKKE-HEIST - FH04",,BL0405,Kustlaan,51,,,Knokke-Heist,"BUILDING template",2762313,2762313,,SDU,1,,,1,,,,,,,,
599100,"KNOKKE-HEIST - FH04",,BL0408,Kustlaan,101,,,Knokke-Heist,"BUILDING template",5579428,5579428,,MDU,1,6,0,7,,,,,,"Hidde Kiekens",Y,2020-01-16
598845,"KNOKKE-HEIST - FH04",,BL0406,Kustlaan,59,,,Knokke-Heist,"BUILDING template",2762318,2762318,,MDU,0,28,1,29,,,,,,"Hidde Kiekens",Y,2020-01-15
599101,"KNOKKE-HEIST - FH04",,BL0408,Kustlaan,129,,,Knokke-Heist,"BUILDING template",5579430,5579430,,MDU,0,6,1,7,,,,,,"Hidde Kiekens",Y,2020-01-16
598846,"KNOKKE-HEIST - FH04",,BL0407,Kustlaan,67,,,Knokke-Heist,"BUILDING template",2762329,2762329,,SDU,1,0,0,1,,,,,,"Hidde Kiekens",Y,2020-01-15
599102,"KNOKKE-HEIST - FH04",,BL0408,Kustlaan,137,,,Knokke-Heist,"BUILDING template",5579432,5579432,,SDU,1,0,0,1,,,,,,"Hidde Kiekens",Y,2020-01-16
598847,"KNOKKE-HEIST - FH04",,BL0407,Kustlaan,71,,,Knokke-Heist,"BUILDING template",2762333,2762333,,SDU,1,0,0,1,,,,,,"Hidde Kiekens",Y,2020-01-15
599103,"KNOKKE-HEIST - FH04",,BL0410,Kustlaan,145,,,Knokke-Heist,"BUILDING template",5579434,5579434,,MDU,0,37,2,39,,,,,,"Hidde Kiekens",Y,2020-01-17
598848,"KNOKKE-HEIST - FH04",,BL0407,Kustlaan,73,,,Knokke-Heist,"BUILDING template",2762335,2762335,,SDU,1,0,0,1,,,,,,"Hidde Kiekens",Y,2020-01-15
599104,"KNOKKE-HEIST - FH04",,BL0410,Kustlaan,149,,,Knokke-Heist,"BUILDING template",5579435,5579435,,SDU,1,0,0,1,,,,,,"Hidde Kiekens",Y,2020-01-17
617280,"KNOKKE-HEIST - FH04",,,Kustlaan,299,,,Knokke-Heist,"BUILDING template",NB-8300299837516,NB-8300299837516,,MDU,0,6,1,7,,2020-01-17,,,,"Maayken Vanfleteren",,
598849,"KNOKKE-HEIST - FH04",,BL0407,Kustlaan,75,,,Knokke-Heist,"BUILDING template",2762336,2762336,,SDU,1,0,0,1,,,,,,"Hidde Kiekens",Y,2020-01-15
599105,"KNOKKE-HEIST - FH04",,BL0410,Kustlaan,173,,,Knokke-Heist,"BUILDING template",5579436,5579436,,SDU,1,0,0,1,,,,,,"Hidde Kiekens",Y,2020-01-17
598850,"KNOKKE-HEIST - FH04",,BL0407,Kustlaan,77,,,Knokke-Heist,"BUILDING template",2762339,2762339,,MDU,0,24,1,25,,,,,,"Hidde Kiekens",Y,2020-01-15
599106,"KNOKKE-HEIST - FH04",,BL0410,Kustlaan,183,,,Knokke-Heist,"BUILDING template",5579437,5579437,,SDU,1,0,1,2,,,,,,"Hidde Kiekens",Y,2020-01-17
598851,"KNOKKE-HEIST - FH04",,BL0407,Kustlaan,79,,,Knokke-Heist,"BUILDING template",2762341,2762341,,SDU,1,0,1,2,,,,,,"Hidde Kiekens",Y,2020-01-15
