'Building_Units'[mainkey];Lu_Key;Block_Name;Street;House_Nr;House_Nr_Suffix;App_Nr;Postal_Code;City;LU_nature;MUD/SDU;Quadrant;VCA;M5A;M6A;B1;B2;Handover_Date;Stop_Selling_Dt;Stop_Service_Dt;Best_Unit_Status;RFS;RFT;Building_Group_FID;Building_Group_name;B2_new
108788;10411026;W03-C-Antwerpen-West-FH01_BL0012;Bordeauxstraat;7;;1;2000;Antwerpen;BU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
108792;1748566;W03-C-Antwerpen-West-FH01_BL0012;Napoleonkaai;31;;1;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
108792;1748567;W03-C-Antwerpen-West-FH01_BL0012;Napoleonkaai;31;;101;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
108792;1748568;W03-C-Antwerpen-West-FH01_BL0012;Napoleonkaai;31;;201;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
108792;1748569;W03-C-Antwerpen-West-FH01_BL0012;Napoleonkaai;31;;301;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
108793;11077521;W03-C-Antwerpen-West-FH01_BL0012;Napoleonkaai;43;;201;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
108793;1785474;W03-C-Antwerpen-West-FH01_BL0012;Napoleonkaai;43;;1;2000;Antwerpen;BU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
108793;1785475;W03-C-Antwerpen-West-FH01_BL0012;Napoleonkaai;43;;101;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
108796;1698255;W03-C-Antwerpen-West-FH01_BL0012;Londenstraat;20;;;2000;Antwerpen;BU;SDU;;;;;2020-04-14;2020-10-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
108797;11077309;W03-C-Antwerpen-West-FH01_BL0012;Londenstraat;28;;201;2000;Antwerpen;BU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
108797;11184297;W03-C-Antwerpen-West-FH01_BL0012;Londenstraat;28;;301;2000;Antwerpen;BU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
108797;1731030;W03-C-Antwerpen-West-FH01_BL0012;Londenstraat;28;;1;2000;Antwerpen;BU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
108797;1731083;W03-C-Antwerpen-West-FH01_BL0012;Londenstraat;28;;2;2000;Antwerpen;BU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
108797;1731477;W03-C-Antwerpen-West-FH01_BL0012;Londenstraat;28;;101;2000;Antwerpen;BU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
108798;11076606;W03-C-Antwerpen-West-FH01_BL0012;Londenstraat;36;;1;2000;Antwerpen;BU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
108798;11076607;W03-C-Antwerpen-West-FH01_BL0012;Londenstraat;36;;101;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
108798;11076608;W03-C-Antwerpen-West-FH01_BL0012;Londenstraat;36;;201;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
109137;11077754;W03-C-Antwerpen-West-FH01_BL0011;Bordeauxstraat;2;;2;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-06;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
109137;11077755;W03-C-Antwerpen-West-FH01_BL0011;Bordeauxstraat;2;;101;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-06;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
109137;11077756;W03-C-Antwerpen-West-FH01_BL0011;Bordeauxstraat;2;;201;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-06;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
109137;1693421;W03-C-Antwerpen-West-FH01_BL0011;Bordeauxstraat;2;;1;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-06;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
