OpdrachtID,Projectnummer,Straat,Huisnummer,"Huisnummer Toevoeging",Postcode,Plaats,xPos,yPos,Opdrachtnummer,"LAM MK",Opdrachttemplate
873479,"Knokke - FH10",Anemonenlaan,11,,,Knokke,,,NB-1101403,NB-1101403,"BUILDING template"
873480,"Knokke - FH10",Arcadelaan,2,,,Knokke,,,NB-201404,NB-201404,"BUILDING template"
873481,"Knokke - FH10",Bocheldreef,3,,,Knokke,,,NB-301405,NB-301405,"BUILDING template"
873482,"Knokke - FH10",Bocheldreef,11,,,Knokke,,,NB-1101406,NB-1101406,"BUILDING template"
873483,"Knokke - FH10",Brieshelling,7,,,Knokke,,,NB-701407,NB-701407,"BUILDING template"
873484,"Knokke - FH10",Duinbergenlaan,59,,,Knokke,,,NB-5901408,NB-5901408,"BUILDING template"
873485,"Knokke - FH10",Duinbergenlaan,87,,,Knokke,,,NB-8701409,NB-8701409,"BUILDING template"
873486,"Knokke - FH10",Duinbergenlaan,105,,,Knokke,,,NB-10501410,NB-10501410,"BUILDING template"
873487,"Knokke - FH10",Duinbergenlaan,113,,,Knokke,,,NB-11301411,NB-11301411,"BUILDING template"
873488,"Knokke - FH10",Duinbergenlaan,115,,,Knokke,,,NB-11501412,NB-11501412,"BUILDING template"
873489,"Knokke - FH10",Duinendreef,26,,,Knokke,,,NB-2601413,NB-2601413,"BUILDING template"
873490,"Knokke - FH10",Duinendreef,39,,,Knokke,,,NB-3901414,NB-3901414,"BUILDING template"
873491,"Knokke - FH10",Duinendreef,43,,,Knokke,,,NB-4301415,NB-4301415,"BUILDING template"
873492,"Knokke - FH10",Duinendreef,46,,,Knokke,,,NB-4601416,NB-4601416,"BUILDING template"
873493,"Knokke - FH10",Duinendreef,47,,,Knokke,,,NB-4701417,NB-4701417,"BUILDING template"
873494,"Knokke - FH10",Elizabetlaan,245,,,Knokke,,,NB-24501418,NB-24501418,"BUILDING template"
873495,"Knokke - FH10",Elizabetlaan,249,,,Knokke,,,NB-24901419,NB-24901419,"BUILDING template"
873496,"Knokke - FH10",Elizabetlaan,283,,,Knokke,,,NB-28301420,NB-28301420,"BUILDING template"
873497,"Knokke - FH10",Elizabetlaan,323,,,Knokke,,,NB-32301421,NB-32301421,"BUILDING template"
873498,"Knokke - FH10",Engelsestraat,1,,,Knokke,,,NB-101422,NB-101422,"BUILDING template"
873499,"Knokke - FH10",Engelsestraat,3,,,Knokke,,,NB-301423,NB-301423,"BUILDING template"
873500,"Knokke - FH10",Florapad,2,A,,Knokke,,,NB-2A01424,NB-2A01424,"BUILDING template"
873501,"Knokke - FH10",Florapad,2,C,,Knokke,,,NB-2C01425,NB-2C01425,"BUILDING template"
873502,"Knokke - FH10",Florapad,2,D,,Knokke,,,NB-2D01426,NB-2D01426,"BUILDING template"
873503,"Knokke - FH10",Florapad,2,E,,Knokke,,,NB-2E01427,NB-2E01427,"BUILDING template"
873504,"Knokke - FH10",Florapad,2,F,,Knokke,,,NB-2F01428,NB-2F01428,"BUILDING template"
873505,"Knokke - FH10",Florapad,2,G,,Knokke,,,NB-2G01429,NB-2G01429,"BUILDING template"
873506,"Knokke - FH10",Florapad,2,H,,Knokke,,,NB-2H01430,NB-2H01430,"BUILDING template"
873507,"Knokke - FH10",Florapad,2,I,,Knokke,,,NB-2I01431,NB-2I01431,"BUILDING template"
873508,"Knokke - FH10",Florapad,5,,,Knokke,,,NB-501432,NB-501432,"BUILDING template"
873509,"Knokke - FH10",Gallischpad,6,,,Knokke,,,NB-601433,NB-601433,"BUILDING template"
873510,"Knokke - FH10",Hazenpad,1,,,Knokke,,,NB-101434,NB-101434,"BUILDING template"
873511,"Knokke - FH10","Jozef Nellenslaan",6,,,Knokke,,,NB-601435,NB-601435,"BUILDING template"
873512,"Knokke - FH10","Jozef Nellenslaan",47,,,Knokke,,,NB-4701436,NB-4701436,"BUILDING template"
873513,"Knokke - FH10",Klaprozenpad,6,,,Knokke,,,NB-601437,NB-601437,"BUILDING template"
873515,"Knokke - FH10",Kruindreef,5,,,Knokke,,,NB-501438,NB-501438,"BUILDING template"
873516,"Knokke - FH10",Kruindreef,5,A,,Knokke,,,NB-5A01439,NB-5A01439,"BUILDING template"
873517,"Knokke - FH10",Kruindreef,7,,,Knokke,,,NB-701440,NB-701440,"BUILDING template"
873518,"Knokke - FH10",Kruindreef,7,A,,Knokke,,,NB-7A01441,NB-7A01441,"BUILDING template"
873519,"Knokke - FH10",Leeuwerikenlaan,11,,,Knokke,,,NB-1101442,NB-1101442,"BUILDING template"
873520,"Knokke - FH10",Leeuwerikenlaan,13,,,Knokke,,,NB-1301443,NB-1301443,"BUILDING template"
873521,"Knokke - FH10",Lommergang,3,,,Knokke,,,NB-301444,NB-301444,"BUILDING template"
873522,"Knokke - FH10",Lommergang,5,,,Knokke,,,NB-501445,NB-501445,"BUILDING template"
873523,"Knokke - FH10",Lommergang,7,,,Knokke,,,NB-701446,NB-701446,"BUILDING template"
873524,"Knokke - FH10",Lommergang,8,,,Knokke,,,NB-801447,NB-801447,"BUILDING template"
873525,"Knokke - FH10","Majoor Quaillestraat",2,,,Knokke,,,NB-201448,NB-201448,"BUILDING template"
873526,"Knokke - FH10","Majoor Quaillestraat",10,,,Knokke,,,NB-1001449,NB-1001449,"BUILDING template"
873527,"Knokke - FH10",Margrietenpad,14,A,,Knokke,,,NB-14A01450,NB-14A01450,"BUILDING template"
873528,"Knokke - FH10",Margrietenpad,14,B,,Knokke,,,NB-14B01451,NB-14B01451,"BUILDING template"
873529,"Knokke - FH10",Meeuwendreef,2,,,Knokke,,,NB-201452,NB-201452,"BUILDING template"
873530,"Knokke - FH10",Meeuwendreef,8,A,,Knokke,,,NB-8A01453,NB-8A01453,"BUILDING template"
873531,"Knokke - FH10",Mimosastraat,16,,,Knokke,,,NB-1601454,NB-1601454,"BUILDING template"
873532,"Knokke - FH10",Patriottenstraat,2,,,Knokke,,,NB-201455,NB-201455,"BUILDING template"
873533,"Knokke - FH10",Patriottenstraat,7,A,,Knokke,,,NB-7A01456,NB-7A01456,"BUILDING template"
873534,"Knokke - FH10",Patriottenstraat,8,,,Knokke,,,NB-801457,NB-801457,"BUILDING template"
873535,"Knokke - FH10",Patriottenstraat,12,,,Knokke,,,NB-1201458,NB-1201458,"BUILDING template"
873536,"Knokke - FH10",Patriottenstraat,14,,,Knokke,,,NB-1401459,NB-1401459,"BUILDING template"
873537,"Knokke - FH10",Patriottenstraat,18,,,Knokke,,,NB-1801460,NB-1801460,"BUILDING template"
873538,"Knokke - FH10",Patriottenstraat,34,,,Knokke,,,NB-3401461,NB-3401461,"BUILDING template"
873539,"Knokke - FH10",Patriottenstraat,38,,,Knokke,,,NB-3801462,NB-3801462,"BUILDING template"
873540,"Knokke - FH10",Patriottenstraat,42,,,Knokke,,,NB-4201463,NB-4201463,"BUILDING template"
873541,"Knokke - FH10",Patriottenstraat,54,,,Knokke,,,NB-5401464,NB-5401464,"BUILDING template"
873542,"Knokke - FH10",Patriottenstraat,58,,,Knokke,,,NB-5801465,NB-5801465,"BUILDING template"
873543,"Knokke - FH10",Patriottenstraat,60,,,Knokke,,,NB-6001466,NB-6001466,"BUILDING template"
873544,"Knokke - FH10",Petunialaan,6,,,Knokke,,,NB-601467,NB-601467,"BUILDING template"
873545,"Knokke - FH10",Petunialaan,10,,,Knokke,,,NB-1001468,NB-1001468,"BUILDING template"
873546,"Knokke - FH10",Petunialaan,18,,,Knokke,,,NB-1801469,NB-1801469,"BUILDING template"
873547,"Knokke - FH10",Petunialaan,22,,,Knokke,,,NB-2201470,NB-2201470,"BUILDING template"
873548,"Knokke - FH10",Petunialaan,30,,,Knokke,,,NB-3001471,NB-3001471,"BUILDING template"
873549,"Knokke - FH10",Phillippartpad,1,,,Knokke,,,NB-101472,NB-101472,"BUILDING template"
873550,"Knokke - FH10",Phillippartpad,3,,,Knokke,,,NB-301473,NB-301473,"BUILDING template"
873551,"Knokke - FH10",Poststraat,10,,,Knokke,,,NB-1001474,NB-1001474,"BUILDING template"
873552,"Knokke - FH10",Poststraat,16,,,Knokke,,,NB-1601475,NB-1601475,"BUILDING template"
873553,"Knokke - FH10",Poststraat,20,,,Knokke,,,NB-2001476,NB-2001476,"BUILDING template"
873554,"Knokke - FH10",Zeedijk-Duinbergen,300,A,,Knokke,,,NB-300A01477,NB-300A01477,"BUILDING template"
873555,"Knokke - FH10",Zeedijk-Duinbergen,300,B,,Knokke,,,NB-300B01478,NB-300B01478,"BUILDING template"
873556,"Knokke - FH10",Zeedijk-Duinbergen,304,,,Knokke,,,NB-30401479,NB-30401479,"BUILDING template"
873557,"Knokke - FH10",Zeedijk-Duinbergen,307,,,Knokke,,,NB-30701480,NB-30701480,"BUILDING template"
873558,"Knokke - FH10",Zeedijk-Duinbergen,309,,,Knokke,,,NB-30901481,NB-30901481,"BUILDING template"
