OpdrachtID,Projectnummer,Straat,Huisnummer,"Huisnummer Toevoeging",Postcode,Plaats,xPos,yPos,Opdrachtnummer,"LAM MK",Opdrachttemplate
774303,"ANTWERPEN-WEST - FH09",Mechelseplein,3,,2000,Antwerpen,,,NB-Antw307ab36,NB-Antw307ab36,"BUILDING template"
774305,"ANTWERPEN-WEST - FH09",Mechelseplein,5,,2000,Antwerpen,,,NB-Antw51d7c57,NB-Antw51d7c57,"BUILDING template"
774307,"ANTWERPEN-WEST - FH09",Mechelseplein,11,,2000,Antwerpen,,,NB-Antw11355d74,NB-Antw11355d74,"BUILDING template"
774309,"ANTWERPEN-WEST - FH09",Mechelseplein,27,,2000,Antwerpen,,,NB-Antw2748da93,NB-Antw2748da93,"BUILDING template"
774311,"ANTWERPEN-WEST - FH09",Meistraat,2,,2000,Antwerpen,,,NB-Antw27a7739,NB-Antw27a7739,"BUILDING template"
774313,"ANTWERPEN-WEST - FH09",Meistraat,5,,2000,Antwerpen,,,NB-Antw5970060,NB-Antw5970060,"BUILDING template"
774315,"ANTWERPEN-WEST - FH09",Meistraat,5,A,2000,Antwerpen,,,NB-Antw5A9074,NB-Antw5A9074,"BUILDING template"
774317,"ANTWERPEN-WEST - FH09",Meistraat,7,,2000,Antwerpen,,,NB-Antw7be9397,NB-Antw7be9397,"BUILDING template"
774319,"ANTWERPEN-WEST - FH09",Meistraat,35,,2000,Antwerpen,,,NB-Antw35d28d08,NB-Antw35d28d08,"BUILDING template"
774321,"ANTWERPEN-WEST - FH09",Meistraat,39,A,2000,Antwerpen,,,NB-Antw39A2829,NB-Antw39A2829,"BUILDING template"
774323,"ANTWERPEN-WEST - FH09",Nieuwstad,2,A,2000,Antwerpen,,,NB-Antw2A8451,NB-Antw2A8451,"BUILDING template"
774325,"ANTWERPEN-WEST - FH09",Nieuwstad,4,A,2000,Antwerpen,,,NB-Antw4A0373,NB-Antw4A0373,"BUILDING template"
774327,"ANTWERPEN-WEST - FH09",Nieuwstad,20,A,2000,Antwerpen,,,NB-Antw20Ab891,NB-Antw20Ab891,"BUILDING template"
774073,"ANTWERPEN-WEST - FH09",Arenbergstraat,2,,2000,Antwerpen,,,NB-Antw20c9036,NB-Antw20c9036,"BUILDING template"
774329,"ANTWERPEN-WEST - FH09",Orgelstraat,2,A,2000,Antwerpen,,,NB-Antw2A4d17,NB-Antw2A4d17,"BUILDING template"
774331,"ANTWERPEN-WEST - FH09",Orgelstraat,3,A,2000,Antwerpen,,,NB-Antw3A3631,NB-Antw3A3631,"BUILDING template"
774333,"ANTWERPEN-WEST - FH09",Oudevaartplaats,2,,2000,Antwerpen,,,NB-Antw2777855,NB-Antw2777855,"BUILDING template"
774079,"ANTWERPEN-WEST - FH09",Arenbergstraat,2,A,2000,Antwerpen,,,NB-Antw2A8357,NB-Antw2A8357,"BUILDING template"
774335,"ANTWERPEN-WEST - FH09",Oudevaartplaats,16,,2000,Antwerpen,,,NB-Antw168ad967,NB-Antw168ad967,"BUILDING template"
774081,"ANTWERPEN-WEST - FH09",Arenbergstraat,5,,2000,Antwerpen,,,NB-Antw57e2677,NB-Antw57e2677,"BUILDING template"
774083,"ANTWERPEN-WEST - FH09",Arenbergstraat,7,,2000,Antwerpen,,,NB-Antw79bf703,NB-Antw79bf703,"BUILDING template"
774085,"ANTWERPEN-WEST - FH09",Arenbergstraat,8,,2000,Antwerpen,,,NB-Antw8b51b59,NB-Antw8b51b59,"BUILDING template"
774091,"ANTWERPEN-WEST - FH09",Arenbergstraat,14,,2000,Antwerpen,,,NB-Antw14ce8060,NB-Antw14ce8060,"BUILDING template"
774348,"ANTWERPEN-WEST - FH09",Oudevaartplaats,32,,2000,Antwerpen,,,NB-Antw32a01588,NB-Antw32a01588,"BUILDING template"
774093,"ANTWERPEN-WEST - FH09",Arenbergstraat,16,A,2000,Antwerpen,,,NB-Antw16A3a66,NB-Antw16A3a66,"BUILDING template"
774350,"ANTWERPEN-WEST - FH09",Oudevaartplaats,34,,2000,Antwerpen,,,NB-Antw34b4fa02,NB-Antw34b4fa02,"BUILDING template"
774095,"ANTWERPEN-WEST - FH09",Arenbergstraat,28,,2000,Antwerpen,,,NB-Antw2804f690,NB-Antw2804f690,"BUILDING template"
774352,"ANTWERPEN-WEST - FH09",Oudevaartplaats,37,,2000,Antwerpen,,,NB-Antw37c93426,NB-Antw37c93426,"BUILDING template"
774097,"ANTWERPEN-WEST - FH09",Arenbergstraat,32,,2000,Antwerpen,,,NB-Antw321a7205,NB-Antw321a7205,"BUILDING template"
774099,"ANTWERPEN-WEST - FH09",Arenbergstraat,34,,2000,Antwerpen,,,NB-Antw344bad50,NB-Antw344bad50,"BUILDING template"
774101,"ANTWERPEN-WEST - FH09",Arenbergstraat,38,,2000,Antwerpen,,,NB-Antw38651275,NB-Antw38651275,"BUILDING template"
774357,"ANTWERPEN-WEST - FH09",Oudevaartplaats,40,,2000,Antwerpen,,,NB-Antw40df4e38,NB-Antw40df4e38,"BUILDING template"
774103,"ANTWERPEN-WEST - FH09",Bourlastraat,1,A,2000,Antwerpen,,,NB-Antw1A9f90,NB-Antw1A9f90,"BUILDING template"
774105,"ANTWERPEN-WEST - FH09",Bourlastraat,11,,2000,Antwerpen,,,NB-Antw11967411,NB-Antw11967411,"BUILDING template"
774107,"ANTWERPEN-WEST - FH09",Bourlastraat,15,,2000,Antwerpen,,,NB-Antw15acb331,NB-Antw15acb331,"BUILDING template"
774368,"ANTWERPEN-WEST - FH09",Oudevaartplaats,42,,2000,Antwerpen,,,NB-Antw42f68c62,NB-Antw42f68c62,"BUILDING template"
774370,"ANTWERPEN-WEST - FH09",Oudevaartplaats,45,,2000,Antwerpen,,,NB-Antw450a9795,NB-Antw450a9795,"BUILDING template"
774372,"ANTWERPEN-WEST - FH09",Oudevaartplaats,46,,2000,Antwerpen,,,NB-Antw463ba421,NB-Antw463ba421,"BUILDING template"
774374,"ANTWERPEN-WEST - FH09",Oudevaartplaats,50,,2000,Antwerpen,,,NB-Antw50522645,NB-Antw50522645,"BUILDING template"
774376,"ANTWERPEN-WEST - FH09",Oudevaartplaats,51,,2000,Antwerpen,,,NB-Antw516a2a55,NB-Antw516a2a55,"BUILDING template"
774378,"ANTWERPEN-WEST - FH09",Oudevaartplaats,52,,2000,Antwerpen,,,NB-Antw527d2b77,NB-Antw527d2b77,"BUILDING template"
