OpdrachtID,Projectnummer,Straat,Huisnummer,"Huisnummer Toevoeging",Postcode,Plaats,xPos,yPos,Opdrachtnummer,Opdrachttemplate
555776,"KNOKKE-HEIST - FH04",Marie-Joséstraat,8,,8300,Knokke-Heist,,,NB-830083a7464,"BUILDING template"
555778,"KNOKKE-HEIST - FH04",Marie-Joséstraat,21,,8300,Knokke-Heist,,,NB-8300215b3994,"BUILDING template"
556547,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,674,,8300,Knokke-Heist,,,NB-830067483f505,"BUILDING template"
555268,"KNOKKE-HEIST - FH04","Antoine Breartstraat",10,,8300,Knokke-Heist,,,NB-830010806555,"BUILDING template"
555780,"KNOKKE-HEIST - FH04",Strandstraat,6,,8300,Knokke-Heist,,,NB-830067ee628,"BUILDING template"
556549,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,675,,8300,Knokke-Heist,,,NB-830067510a819,"BUILDING template"
555782,"KNOKKE-HEIST - FH04",Strandstraat,7,,8300,Knokke-Heist,,,NB-83007a41d56,"BUILDING template"
555784,"KNOKKE-HEIST - FH04",Strandstraat,10,,8300,Knokke-Heist,,,NB-830010c6a594,"BUILDING template"
555530,"KNOKKE-HEIST - FH04",Kustlaan,69,,8300,Knokke-Heist,,,NB-830069fa4c05,"BUILDING template"
556298,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",744,,8300,Knokke-Heist,,,NB-83007446eb712,"BUILDING template"
555787,"KNOKKE-HEIST - FH04",Strandstraat,14,,8300,Knokke-Heist,,,NB-830014f33a26,"BUILDING template"
555532,"KNOKKE-HEIST - FH04",Kustlaan,73,,8300,Knokke-Heist,,,NB-83007319b940,"BUILDING template"
556300,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",745,,8300,Knokke-Heist,,,NB-8300745953465,"BUILDING template"
555534,"KNOKKE-HEIST - FH04",Kustlaan,77,,8300,Knokke-Heist,,,NB-83007742d573,"BUILDING template"
555790,"KNOKKE-HEIST - FH04",Strandstraat,15,,8300,Knokke-Heist,,,NB-830015199467,"BUILDING template"
556302,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",746,,8300,Knokke-Heist,,,NB-8300746d32b59,"BUILDING template"
556304,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",747,,8300,Knokke-Heist,,,NB-8300747620293,"BUILDING template"
556306,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",748,,8300,Knokke-Heist,,,NB-830074887f925,"BUILDING template"
555283,"KNOKKE-HEIST - FH04","Antoine Breartstraat",11,,8300,Knokke-Heist,,,NB-830011ae3f87,"BUILDING template"
556308,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",749,,8300,Knokke-Heist,,,NB-8300749adfa56,"BUILDING template"
556564,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,677,,8300,Knokke-Heist,,,NB-830067742c246,"BUILDING template"
555285,"KNOKKE-HEIST - FH04","Antoine Breartstraat",15,,8300,Knokke-Heist,,,NB-830015d36c23,"BUILDING template"
556310,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",753,,8300,Knokke-Heist,,,NB-8300753d1ee85,"BUILDING template"
556566,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,679,,8300,Knokke-Heist,,,NB-8300679624c94,"BUILDING template"
555288,"KNOKKE-HEIST - FH04","Antoine Breartstraat",16,,8300,Knokke-Heist,,,NB-830016fe7755,"BUILDING template"
556312,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",754,,8300,Knokke-Heist,,,NB-8300754f20014,"BUILDING template"
556314,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",755,,8300,Knokke-Heist,,,NB-8300755158745,"BUILDING template"
556573,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,681,,8300,Knokke-Heist,,,NB-83006819a5625,"BUILDING template"
556318,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",756,,8300,Knokke-Heist,,,NB-8300756392577,"BUILDING template"
555808,"KNOKKE-HEIST - FH04",Strandstraat,20,,8300,Knokke-Heist,,,NB-830020499d95,"BUILDING template"
556320,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",760,,8300,Knokke-Heist,,,NB-83007605fa217,"BUILDING template"
555810,"KNOKKE-HEIST - FH04",Swolfsstraat,3,,8300,Knokke-Heist,,,NB-830036a5726,"BUILDING template"
556322,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",762,,8300,Knokke-Heist,,,NB-83007628d2549,"BUILDING template"
555812,"KNOKKE-HEIST - FH04",Swolfsstraat,7,,8300,Knokke-Heist,,,NB-830078e3d54,"BUILDING template"
555301,"KNOKKE-HEIST - FH04","Antoine Breartstraat",19,,8300,Knokke-Heist,,,NB-830019228c92,"BUILDING template"
556581,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,684,,8300,Knokke-Heist,,,NB-8300684beab57,"BUILDING template"
555558,"KNOKKE-HEIST - FH04",Kustlaan,79,,8300,Knokke-Heist,,,NB-830079694700,"BUILDING template"
555814,"KNOKKE-HEIST - FH04",Swolfsstraat,10,,8300,Knokke-Heist,,,NB-830010b06382,"BUILDING template"
555303,"KNOKKE-HEIST - FH04","Antoine Breartstraat",13,A,8300,Knokke-Heist,,,NB-830013A9438,"BUILDING template"
555560,"KNOKKE-HEIST - FH04",Kustlaan,113,,8300,Knokke-Heist,,,NB-8300113890c35,"BUILDING template"
556330,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",765,,8300,Knokke-Heist,,,NB-8300765b3dd79,"BUILDING template"
556590,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,686,,8300,Knokke-Heist,,,NB-8300686e4d793,"BUILDING template"
555567,"KNOKKE-HEIST - FH04",Kustlaan,117,,8300,Knokke-Heist,,,NB-8300117b26468,"BUILDING template"
555574,"KNOKKE-HEIST - FH04",Kustlaan,125,,8300,Knokke-Heist,,,NB-8300125d80d96,"BUILDING template"
555831,"KNOKKE-HEIST - FH04",Swolfsstraat,15,,8300,Knokke-Heist,,,NB-830015cfcc22,"BUILDING template"
555320,"KNOKKE-HEIST - FH04","Antoine Breartstraat",15,a,8300,Knokke-Heist,,,NB-830015a7e72,"BUILDING template"
555576,"KNOKKE-HEIST - FH04",Kustlaan,129,,8300,Knokke-Heist,,,NB-8300129f9ce30,"BUILDING template"
556345,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",769,,8300,Knokke-Heist,,,NB-8300769d64d09,"BUILDING template"
555322,"KNOKKE-HEIST - FH04","Antoine Breartstraat",16,a,8300,Knokke-Heist,,,NB-830016aa907,"BUILDING template"
555324,"KNOKKE-HEIST - FH04","Antoine Breartstraat",17,a,8300,Knokke-Heist,,,NB-830017af742,"BUILDING template"
556606,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,687,,8300,Knokke-Heist,,,NB-830068714dd27,"BUILDING template"
555327,"KNOKKE-HEIST - FH04","De Wielingen",9,,8300,Knokke-Heist,,,NB-83009fdac74,"BUILDING template"
555583,"KNOKKE-HEIST - FH04",Kustlaan,133,,8300,Knokke-Heist,,,NB-830013321fc61,"BUILDING template"
556608,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,688,,8300,Knokke-Heist,,,NB-8300688350d56,"BUILDING template"
555329,"KNOKKE-HEIST - FH04","De Wielingen",12,,8300,Knokke-Heist,,,NB-830012248607,"BUILDING template"
556610,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,690,,8300,Knokke-Heist,,,NB-8300690583a25,"BUILDING template"
555331,"KNOKKE-HEIST - FH04","De Wielingen",15,,8300,Knokke-Heist,,,NB-8300154b1542,"BUILDING template"
555846,"KNOKKE-HEIST - FH04",Swolfsstraat,18,,8300,Knokke-Heist,,,NB-830018fee665,"BUILDING template"
556360,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",770,,8300,Knokke-Heist,,,NB-8300770f98d34,"BUILDING template"
556362,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",772,,8300,Knokke-Heist,,,NB-830077217a061,"BUILDING template"
556618,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,692,,8300,Knokke-Heist,,,NB-8300692a88b54,"BUILDING template"
556364,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",774,,8300,Knokke-Heist,,,NB-8300774361e92,"BUILDING template"
555853,"KNOKKE-HEIST - FH04","Van Bunnenplein",14,,8300,Knokke-Heist,,,NB-830014370d89,"BUILDING template"
555342,"KNOKKE-HEIST - FH04","De Wielingen",16,,8300,Knokke-Heist,,,NB-830016747370,"BUILDING template"
556366,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",776,,8300,Knokke-Heist,,,NB-83007765a4a17,"BUILDING template"
555855,"KNOKKE-HEIST - FH04","Van Bunnenplein",16,,8300,Knokke-Heist,,,NB-830016c25325,"BUILDING template"
555344,"KNOKKE-HEIST - FH04","De Wielingen",1,,8300,Knokke-Heist,,,NB-8300194d307,"BUILDING template"
556368,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",778,,8300,Knokke-Heist,,,NB-830077878ec48,"BUILDING template"
555346,"KNOKKE-HEIST - FH04","De Wielingen",18,,8300,Knokke-Heist,,,NB-830018bff737,"BUILDING template"
556370,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",779,,8300,Knokke-Heist,,,NB-83007799bd074,"BUILDING template"
556627,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,694,,8300,Knokke-Heist,,,NB-8300694cb5588,"BUILDING template"
555348,"KNOKKE-HEIST - FH04","De Wielingen",19,,8300,Knokke-Heist,,,NB-830019e37970,"BUILDING template"
555604,"KNOKKE-HEIST - FH04",Kustlaan,135,,8300,Knokke-Heist,,,NB-8300135456a89,"BUILDING template"
556372,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",780,,8300,Knokke-Heist,,,NB-8300780ba2c01,"BUILDING template"
555350,"KNOKKE-HEIST - FH04","De Wielingen",20,,8300,Knokke-Heist,,,NB-83002009be99,"BUILDING template"
555606,"KNOKKE-HEIST - FH04",Kustlaan,137,,8300,Knokke-Heist,,,NB-8300137662219,"BUILDING template"
556374,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",782,,8300,Knokke-Heist,,,NB-8300782d78523,"BUILDING template"
555352,"KNOKKE-HEIST - FH04","De Wielingen",21,,8300,Knokke-Heist,,,NB-8300212b1d89,"BUILDING template"
555608,"KNOKKE-HEIST - FH04",Kustlaan,139,,8300,Knokke-Heist,,,NB-83001398a9d45,"BUILDING template"
556376,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",784,,8300,Knokke-Heist,,,NB-8300784f43370,"BUILDING template"
555354,"KNOKKE-HEIST - FH04",Duindistelstraat,3,,8300,Knokke-Heist,,,NB-8300350b190,"BUILDING template"
555610,"KNOKKE-HEIST - FH04",Kustlaan,149,,8300,Knokke-Heist,,,NB-8300149a81681,"BUILDING template"
555612,"KNOKKE-HEIST - FH04",Kustlaan,153,,8300,Knokke-Heist,,,NB-8300153d2f009,"BUILDING template"
555102,"KNOKKE-HEIST - FH04",Albertplein,10,,8300,Knokke-Heist,,,NB-830010b3ed25,"BUILDING template"
556638,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,695,,8300,Knokke-Heist,,,NB-8300695f3fb20,"BUILDING template"
556640,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,698,,8300,Knokke-Heist,,,NB-83006981b9b87,"BUILDING template"
555618,"KNOKKE-HEIST - FH04",Kustlaan,155,,8300,Knokke-Heist,,,NB-8300155f3a635,"BUILDING template"
556642,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,699,,8300,Knokke-Heist,,,NB-8300699dcbe13,"BUILDING template"
555620,"KNOKKE-HEIST - FH04",Kustlaan,159,,8300,Knokke-Heist,,,NB-830015911ce95,"BUILDING template"
555876,"KNOKKE-HEIST - FH04","Van Bunnenplein",17,,8300,Knokke-Heist,,,NB-830017ec7454,"BUILDING template"
555365,"KNOKKE-HEIST - FH04",Duindistelstraat,14,,8300,Knokke-Heist,,,NB-8300147cd333,"BUILDING template"
556645,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,640,A,8300,Knokke-Heist,,,NB-8300640A2045,"BUILDING template"
555622,"KNOKKE-HEIST - FH04",Kustlaan,163,,8300,Knokke-Heist,,,NB-8300163cce317,"BUILDING template"
555878,"KNOKKE-HEIST - FH04",Zandstraat,1,,8300,Knokke-Heist,,,NB-830010ec792,"BUILDING template"
555367,"KNOKKE-HEIST - FH04",Duindistelstraat,18,,8300,Knokke-Heist,,,NB-830018312291,"BUILDING template"
555624,"KNOKKE-HEIST - FH04",Kustlaan,167,,8300,Knokke-Heist,,,NB-83001675c2882,"BUILDING template"
555369,"KNOKKE-HEIST - FH04",Duindistelstraat,2,A,8300,Knokke-Heist,,,NB-83002Ac730,"BUILDING template"
555371,"KNOKKE-HEIST - FH04",Ebbestraat,4,,8300,Knokke-Heist,,,NB-83004a36754,"BUILDING template"
555373,"KNOKKE-HEIST - FH04",Ebbestraat,6,,8300,Knokke-Heist,,,NB-83006a83093,"BUILDING template"
555886,"KNOKKE-HEIST - FH04",Zandstraat,3,,8300,Knokke-Heist,,,NB-830033b7027,"BUILDING template"
555631,"KNOKKE-HEIST - FH04",Kustlaan,177,,8300,Knokke-Heist,,,NB-8300177205d78,"BUILDING template"
555376,"KNOKKE-HEIST - FH04",Ebbestraat,7,,8300,Knokke-Heist,,,NB-83007d6ed32,"BUILDING template"
555633,"KNOKKE-HEIST - FH04",Kustlaan,183,,8300,Knokke-Heist,,,NB-83001838e5a55,"BUILDING template"
555379,"KNOKKE-HEIST - FH04",Ebbestraat,9,,8300,Knokke-Heist,,,NB-8300904e463,"BUILDING template"
555635,"KNOKKE-HEIST - FH04",Kustlaan,189,,8300,Knokke-Heist,,,NB-8300189c04c87,"BUILDING template"
556405,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",785,,8300,Knokke-Heist,,,NB-83007852ec266,"BUILDING template"
556662,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,640,B,8300,Knokke-Heist,,,NB-8300640Bfe76,"BUILDING template"
555639,"KNOKKE-HEIST - FH04",Kustlaan,195,,8300,Knokke-Heist,,,NB-8300195f04993,"BUILDING template"
556407,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",786,,8300,Knokke-Heist,,,NB-830078686d502,"BUILDING template"
556664,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,640,C,8300,Knokke-Heist,,,NB-8300640C3907,"BUILDING template"
556409,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",787,,8300,Knokke-Heist,,,NB-8300787af2839,"BUILDING template"
556411,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",788,,8300,Knokke-Heist,,,NB-8300788dbb282,"BUILDING template"
556413,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",789,,8300,Knokke-Heist,,,NB-83007890dd308,"BUILDING template"
555646,"KNOKKE-HEIST - FH04",Kustlaan,199,,8300,Knokke-Heist,,,NB-8300199148a68,"BUILDING template"
556415,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",790,,8300,Knokke-Heist,,,NB-83007902dd341,"BUILDING template"
556160,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",706,,8300,Knokke-Heist,,,NB-83007062a1a60,"BUILDING template"
556417,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",791,,8300,Knokke-Heist,,,NB-8300791538f74,"BUILDING template"
555906,"KNOKKE-HEIST - FH04",Zandstraat,4,,8300,Knokke-Heist,,,NB-83004641f54,"BUILDING template"
555395,"KNOKKE-HEIST - FH04",Ebbestraat,11,,8300,Knokke-Heist,,,NB-830011299988,"BUILDING template"
556419,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",792,,8300,Knokke-Heist,,,NB-83007927abd07,"BUILDING template"
555397,"KNOKKE-HEIST - FH04",Ebbestraat,15,,8300,Knokke-Heist,,,NB-83001547b425,"BUILDING template"
555653,"KNOKKE-HEIST - FH04",Kustlaan,205,,8300,Knokke-Heist,,,NB-83002054c2469,"BUILDING template"
556421,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",793,,8300,Knokke-Heist,,,NB-8300793a04037,"BUILDING template"
556423,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",794,,8300,Knokke-Heist,,,NB-8300794c31966,"BUILDING template"
555400,"KNOKKE-HEIST - FH04",Golvenstraat,3,,8300,Knokke-Heist,,,NB-83003728155,"BUILDING template"
556425,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",795,,8300,Knokke-Heist,,,NB-8300795e69c96,"BUILDING template"
556681,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,640,D,8300,Knokke-Heist,,,NB-8300640D7e39,"BUILDING template"
555402,"KNOKKE-HEIST - FH04",Golvenstraat,17,,8300,Knokke-Heist,,,NB-83001795a590,"BUILDING template"
555658,"KNOKKE-HEIST - FH04",Kustlaan,213,,8300,Knokke-Heist,,,NB-83002136d2008,"BUILDING template"
556683,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,644,C,8300,Knokke-Heist,,,NB-8300644Ce971,"BUILDING template"
555404,"KNOKKE-HEIST - FH04",Golvenstraat,7,,8300,Knokke-Heist,,,NB-83007bdc126,"BUILDING template"
556685,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,648,A,8300,Knokke-Heist,,,NB-8300648Af046,"BUILDING template"
555406,"KNOKKE-HEIST - FH04",Golvenstraat,6,A,8300,Knokke-Heist,,,NB-83006Afe57,"BUILDING template"
555918,"KNOKKE-HEIST - FH04",Zandstraat,7,,8300,Knokke-Heist,,,NB-83007842b83,"BUILDING template"
556174,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",707,,8300,Knokke-Heist,,,NB-8300707da3124,"BUILDING template"
556687,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,697,A,8300,Knokke-Heist,,,NB-8300697Ad675,"BUILDING template"
555408,"KNOKKE-HEIST - FH04",Kustlaan,3,,8300,Knokke-Heist,,,NB-830030c5e89,"BUILDING template"
555920,"KNOKKE-HEIST - FH04",Zandstraat,12,,8300,Knokke-Heist,,,NB-830012a68415,"BUILDING template"
556176,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",709,,8300,Knokke-Heist,,,NB-830070999a964,"BUILDING template"
556689,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,697,B,8300,Knokke-Heist,,,NB-8300697B8604,"BUILDING template"
555410,"KNOKKE-HEIST - FH04",Kustlaan,5,,8300,Knokke-Heist,,,NB-83005315019,"BUILDING template"
555666,"KNOKKE-HEIST - FH04",Kustlaan,227,,8300,Knokke-Heist,,,NB-8300227cab185,"BUILDING template"
555922,"KNOKKE-HEIST - FH04",Zandstraat,16,,8300,Knokke-Heist,,,NB-830016cb6855,"BUILDING template"
556179,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",710,,8300,Knokke-Heist,,,NB-8300710c88908,"BUILDING template"
556435,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",796,,8300,Knokke-Heist,,,NB-8300796091223,"BUILDING template"
556691,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,697,C,8300,Knokke-Heist,,,NB-8300697C6336,"BUILDING template"
555412,"KNOKKE-HEIST - FH04",Kustlaan,7,,8300,Knokke-Heist,,,NB-83007551147,"BUILDING template"
556181,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",711,,8300,Knokke-Heist,,,NB-8300711fcfc45,"BUILDING template"
556437,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",800,,8300,Knokke-Heist,,,NB-8300800286190,"BUILDING template"
555414,"KNOKKE-HEIST - FH04",Kustlaan,9,,8300,Knokke-Heist,,,NB-8300976ce72,"BUILDING template"
556439,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",803,,8300,Knokke-Heist,,,NB-8300803776696,"BUILDING template"
555416,"KNOKKE-HEIST - FH04",Kustlaan,11,,8300,Knokke-Heist,,,NB-830011935300,"BUILDING template"
555672,"KNOKKE-HEIST - FH04",Kustlaan,237,,8300,Knokke-Heist,,,NB-8300237f5ac97,"BUILDING template"
555929,"KNOKKE-HEIST - FH04",Zandstraat,17,,8300,Knokke-Heist,,,NB-830017f98f88,"BUILDING template"
556441,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",805,,8300,Knokke-Heist,,,NB-830080568dd22,"BUILDING template"
555674,"KNOKKE-HEIST - FH04",Kustlaan,239,,8300,Knokke-Heist,,,NB-8300239eef634,"BUILDING template"
556443,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",816,,8300,Knokke-Heist,,,NB-8300816876954,"BUILDING template"
555677,"KNOKKE-HEIST - FH04",Kustlaan,247,,8300,Knokke-Heist,,,NB-8300247192867,"BUILDING template"
556445,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,651,,8300,Knokke-Heist,,,NB-8300651ab1a86,"BUILDING template"
555679,"KNOKKE-HEIST - FH04",Kustlaan,253,,8300,Knokke-Heist,,,NB-8300253400105,"BUILDING template"
555681,"KNOKKE-HEIST - FH04",Kustlaan,265,,8300,Knokke-Heist,,,NB-83002656d1810,"BUILDING template"
555937,"KNOKKE-HEIST - FH04",Zeewindstraat,3,,8300,Knokke-Heist,,,NB-83003203822,"BUILDING template"
555683,"KNOKKE-HEIST - FH04",Zeewindstraat,269,,8300,Knokke-Heist,,,NB-8300269e75a44,"BUILDING template"
555940,"KNOKKE-HEIST - FH04",Zeewindstraat,4,,8300,Knokke-Heist,,,NB-8300448ad48,"BUILDING template"
555942,"KNOKKE-HEIST - FH04",Zeewindstraat,9,,8300,Knokke-Heist,,,NB-83009675276,"BUILDING template"
555175,"KNOKKE-HEIST - FH04",Albertplein,11,,8300,Knokke-Heist,,,NB-830011fc8099,"BUILDING template"
555944,"KNOKKE-HEIST - FH04",Zeewindstraat,11,,8300,Knokke-Heist,,,NB-830011886205,"BUILDING template"
555690,"KNOKKE-HEIST - FH04",Kustlaan,271,,8300,Knokke-Heist,,,NB-8300271100075,"BUILDING template"
555946,"KNOKKE-HEIST - FH04",Zeewindstraat,12,,8300,Knokke-Heist,,,NB-830012aa8057,"BUILDING template"
555692,"KNOKKE-HEIST - FH04",Kustlaan,273,,8300,Knokke-Heist,,,NB-8300273337312,"BUILDING template"
555948,"KNOKKE-HEIST - FH04",Zeewindstraat,15,,8300,Knokke-Heist,,,NB-830015ea7e99,"BUILDING template"
555694,"KNOKKE-HEIST - FH04",Kustlaan,283,,8300,Knokke-Heist,,,NB-83002835fb250,"BUILDING template"
555950,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",703,,8300,Knokke-Heist,,,NB-83007031cf065,"BUILDING template"
555696,"KNOKKE-HEIST - FH04",Kustlaan,287,,8300,Knokke-Heist,,,NB-83002878c6380,"BUILDING template"
556465,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,652,,8300,Knokke-Heist,,,NB-8300652d38c15,"BUILDING template"
556467,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,654,,8300,Knokke-Heist,,,NB-8300654f42159,"BUILDING template"
556469,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,658,,8300,Knokke-Heist,,,NB-830065828c104,"BUILDING template"
556471,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",664,,8300,Knokke-Heist,,,NB-83006645ca697,"BUILDING template"
555707,"KNOKKE-HEIST - FH04",Kustlaan,303,,8300,Knokke-Heist,,,NB-8300303ae2e12,"BUILDING template"
555709,"KNOKKE-HEIST - FH04",Kustlaan,305,,8300,Knokke-Heist,,,NB-8300305d4cf38,"BUILDING template"
555711,"KNOKKE-HEIST - FH04",Kustlaan,307,,8300,Knokke-Heist,,,NB-8300307f36166,"BUILDING template"
555713,"KNOKKE-HEIST - FH04",Kustlaan,309,,8300,Knokke-Heist,,,NB-830030914c193,"BUILDING template"
