OpdrachtID,Projectnummer,Straat,Huisnummer,"Huisnummer Toevoeging",Postcode,Plaats,xPos,yPos,Opdrachtnummer,"LAM MK",Opdrachttemplate
742623,"KNOKKE-HEIST - FH05",Kustlaan,4,,8300,Knokke-Heist,,,NB-830047c2228,NB-830047c2228,"BUILDING template"
742370,"KNOKKE-HEIST - FH05","Winston Churchilllaan",35,,8300,Knokke-Heist,,,NB-830035a87579,NB-830035a87579,"BUILDING template"
742372,"KNOKKE-HEIST - FH05",Dumortierlaan,46,,8300,Knokke-Heist,,,NB-830046eaf394,NB-830046eaf394,"BUILDING template"
742629,"KNOKKE-HEIST - FH05",Kustlaan,2,,8300,Knokke-Heist,,,NB-83002a70f79,NB-83002a70f79,"BUILDING template"
742374,"KNOKKE-HEIST - FH05",Dumortierlaan,50,,8300,Knokke-Heist,,,NB-830050039725,NB-830050039725,"BUILDING template"
742631,"KNOKKE-HEIST - FH05",Kemmelbergstraat,2,,8300,Knokke-Heist,,,NB-83002ca3391,NB-83002ca3391,"BUILDING template"
742376,"KNOKKE-HEIST - FH05","Winston Churchilllaan",27,,8300,Knokke-Heist,,,NB-830027f25231,NB-830027f25231,"BUILDING template"
742378,"KNOKKE-HEIST - FH05",Dumortierlaan,56,,8300,Knokke-Heist,,,NB-83005625d147,NB-83005625d147,"BUILDING template"
742391,"KNOKKE-HEIST - FH05","Winston Churchilllaan",19,,8300,Knokke-Heist,,,NB-830019311c84,NB-830019311c84,"BUILDING template"
742393,"KNOKKE-HEIST - FH05",Dumortierlaan,76,,8300,Knokke-Heist,,,NB-8300763f6e85,NB-8300763f6e85,"BUILDING template"
742395,"KNOKKE-HEIST - FH05",,19,,8300,Knokke-Heist,,,NB-8300195fac12,NB-8300195fac12,"BUILDING template"
742397,"KNOKKE-HEIST - FH05",Dumortierlaan,86,,8300,Knokke-Heist,,,NB-8300866c2520,NB-8300866c2520,"BUILDING template"
