"OpdrachtID,Projectnummer,Straat,Huisnummer,""Huisnummer Toevoeging"",Postcode,Plaats,xPos,yPos,Opdrachtnummer,""LAM MK"",Opdrachttemplate"
"830570,""HASSELT - FH08"",Sint-Servaasstraat,46,,3500,Hasselt,,,NB-35004600771,NB-35004600771,""BUILDING template"""
"830571,""HASSELT - FH08"",Sint-Servaasstraat,47,,3500,Hasselt,,,NB-35004700772,NB-35004700772,""BUILDING template"""
"830572,""HASSELT - FH08"",Sint-Servaasstraat,49,,3500,Hasselt,,,NB-35004900773,NB-35004900773,""BUILDING template"""
"830573,""HASSELT - FH08"",Sint-Servaasstraat,50,,3500,Hasselt,,,NB-35005000774,NB-35005000774,""BUILDING template"""
"830574,""HASSELT - FH08"",Sint-Servaasstraat,51,,3500,Hasselt,,,NB-35005100775,NB-35005100775,""BUILDING template"""
"830575,""HASSELT - FH08"",Sint-Servaasstraat,56,,3500,Hasselt,,,NB-35005600776,NB-35005600776,""BUILDING template"""
"830576,""HASSELT - FH08"",Sint-Servaasstraat,52,,3500,Hasselt,,,NB-35005200777,NB-35005200777,""BUILDING template"""
"830577,""HASSELT - FH08"",Sint-Servaasstraat,58,,3500,Hasselt,,,NB-35005800778,NB-35005800778,""BUILDING template"""
"830578,""HASSELT - FH08"",Sint-Servaasstraat,53,,3500,Hasselt,,,NB-35005300779,NB-35005300779,""BUILDING template"""
"830579,""HASSELT - FH08"",Sint-Servaasstraat,60,,3500,Hasselt,,,NB-35006000780,NB-35006000780,""BUILDING template"""
"830580,""HASSELT - FH08"",Sint-Servaasstraat,62,,3500,Hasselt,,,NB-35006200781,NB-35006200781,""BUILDING template"""
"830581,""HASSELT - FH08"",Sint-Servaasstraat,64,,3500,Hasselt,,,NB-35006400782,NB-35006400782,""BUILDING template"""
"830582,""HASSELT - FH08"",Sint-Servaasstraat,66,,3500,Hasselt,,,NB-35006600783,NB-35006600783,""BUILDING template"""
"830583,""HASSELT - FH08"",Sint-Servaasstraat,68,,3500,Hasselt,,,NB-35006800784,NB-35006800784,""BUILDING template"""
"830584,""HASSELT - FH08"",Sint-Servaasstraat,70,,3500,Hasselt,,,NB-35007000785,NB-35007000785,""BUILDING template"""
"830585,""HASSELT - FH08"",Sint-Servaasstraat,72,,3500,Hasselt,,,NB-35007200786,NB-35007200786,""BUILDING template"""
"830586,""HASSELT - FH08"",Sint-Servaasstraat,74,,3500,Hasselt,,,NB-35007400787,NB-35007400787,""BUILDING template"""
"830587,""HASSELT - FH08"",Sint-Servaasstraat,76,,3500,Hasselt,,,NB-35007600788,NB-35007600788,""BUILDING template"""
"830588,""HASSELT - FH08"",Sint-Servaasstraat,78,,3500,Hasselt,,,NB-35007800789,NB-35007800789,""BUILDING template"""
"830589,""HASSELT - FH08"",Sint-Servaasstraat,80,,3500,Hasselt,,,NB-35008000790,NB-35008000790,""BUILDING template"""
"830590,""HASSELT - FH08"",Sint-Servaasstraat,82,,3500,Hasselt,,,NB-35008200791,NB-35008200791,""BUILDING template"""
"830591,""HASSELT - FH08"",Sint-Servaasstraat,84,,3500,Hasselt,,,NB-35008400792,NB-35008400792,""BUILDING template"""
"830592,""HASSELT - FH08"",Sint-Servaasstraat,86,,3500,Hasselt,,,NB-35008600793,NB-35008600793,""BUILDING template"""
"830593,""HASSELT - FH08"",Sint-Servaasstraat,88,,3500,Hasselt,,,NB-35008800794,NB-35008800794,""BUILDING template"""
"830594,""HASSELT - FH08"",Sint-Servaasstraat,92,,3500,Hasselt,,,NB-35009200796,NB-35009200796,""BUILDING template"""
"830595,""HASSELT - FH08"",Sint-Servaasstraat,90,,3500,Hasselt,,,NB-35009000795,NB-35009000795,""BUILDING template"""
"830596,""HASSELT - FH08"",Spoorwegstraat,45,,3500,Hasselt,,,NB-35004500797,NB-35004500797,""BUILDING template"""
