Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;Wall Mount;Wall Mount IFH;Opdrachttemplate
ANTWERPEN-WEST - FH09;NO CLUSTERS;59563;BL0009;;714132;59563;38305497;Arenbergstraat 1_Lange Gasthuisstraat 19-21;;Arenbergstraat;1;;;;;Yves de Roo;MDU;1;0;0;1;;;;;N;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59564;BL0009;;714133;59564;;;;Arenbergstraat;9;;;;;Yves de Roo;SDU;1;0;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59565;BL0009;;33070380;59565;38305497;Arenbergstraat 1_Lange Gasthuisstraat 19-21;;Lange Gasthuisstraat;21;;;;;Yves de Roo;MDU;1;0;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59567;BL0009;;13723862;59567;;;;Komedieplaats;2;;;;;Yves de Roo;MDU;1;2;0;3;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59570;BL0009;;714137;59570;;;;Leopoldstraat;14;;;;;Yves de Roo;SDU;1;0;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59571;BL0009;;714138;59571;38305462;Leopoldstraat 2-4;;Leopoldstraat;2;;;;;Yves de Roo;MDU;2;2;0;4;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59572;BL0019;;714139;59572;;;;Oudevaartplaats;59;;;;;Yves de Roo;SDU;1;0;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59573;BL0019;;714140;59573;38305481;Oudevaartplaats 35-37;;Oudevaartplaats;35;;;;;Yves de Roo;MDU;1;5;0;6;;;;;N;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59575;BL0013;;33070028;59575;38305476;Arenbergstraat 40_Oudevaartplaats 2-4-6;;Oudevaartplaats;2;;;;;Yves de Roo;MDU;3;67;1;71;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59576;BL0019;;33070054;59576;38305482;Oudevaartplaats 43-45;;Oudevaartplaats;45;;;;;Yves de Roo;MDU;1;7;0;8;;;;;Y;;BUILDING template
