LAM_MK;SSV_Action;LU_Key;SSV_Action_LU;Opdrachtnummer;LAM MK
5603003;DELETE;11090883;DELETE;NB-28003ac5992;905663
NB-280027B1b79;DELETE;11090480;DELETE;NB-280022d19b99;4081944
;;NB-28003ac5992---1;DELETE;;
;;NB-280029A4526---1;DELETE;;
4731208;DELETE;11096959;DELETE;;
NB-280076A0a43;DELETE;11091324;DELETE;;
NB-280029A4526;DELETE;NB-280022d19b99---1;DELETE;;
;;11091325;DELETE;;
;;11096958;DELETE;;
;;11090863;DELETE;;
;;NB-280076A0a43---0;DELETE;;
;;11091057;DELETE;;
;;11091323;DELETE;;
;;11091023;DELETE;;
;;11091024;DELETE;;
;;NB-280076A0a43---1;DELETE;;
;;1575975;DELETE;;
;;11090862;DELETE;;
;;1584291;DELETE;;
;;NB-280022d19b99---0;DELETE;;
;;NB-280027B1b79---1;DELETE;;
;;NB-28003ac5992---0;DELETE;;
;;11091322;DELETE;;
;;NB-280027B1b79---0;DELETE;;
;;11096957;DELETE;;
;;NB-280029A4526---0;DELETE;;
;;11096956;DELETE;;
;;1587883;DELETE;;
;;11090477;DELETE;;
;;10449607;DELETE;;
